Function	TotalCounts	ModuleCounts	Pvalue	Relevancy	Module
Photosynthesis.photophosphorylation	525	2	0.00023338876508676777	True	tan
Photosynthesis.calvin cycle	118	7	0.03098149929958893	True	tan
Photosynthesis.photorespiration	62	4	0.07238585557055267	False	tan
Photosynthesis.CAM/C4 photosynthesis	69	7	0.0018181976987584677	True	tan
Cellular respiration.pyruvate oxidation	39	5	0.002923916569201547	True	tan
Cellular respiration.oxidative phosphorylation	432	2	0.001874749063822814	True	tan
Carbohydrate metabolism.sucrose metabolism	164	1	0.1359566068716804	False	tan
Carbohydrate metabolism.starch metabolism	169	6	0.3290060976660157	False	tan
Carbohydrate metabolism.trehalose metabolism	49	8	2.9841345435862905e-05	True	tan
Carbohydrate metabolism.oligosaccharide metabolism	33	5	0.0013658204685950098	True	tan
Carbohydrate metabolism.mannose metabolism	20	3	0.013429134244881439	True	tan
Carbohydrate metabolism.oxidative pentose phosphate pathway	46	7	0.0001491534951583183	True	tan
Carbohydrate metabolism.fermentation	24	1	0.4602028042290708	False	tan
Amino acid metabolism.glutamate group amino acid biosynthesis	134	1	0.26940670566654645	False	tan
Amino acid metabolism.aspartate group amino acid biosynthesis	193	9	0.06545513640400716	False	tan
Amino acid metabolism.pyruvate group amino acid biosynthesis	64	2	0.6781227815373498	False	tan
Amino acid metabolism.serine group amino acid biosynthesis	44	4	0.025013179352472117	True	tan
Amino acid metabolism.amino acid degradation	240	2	0.0991717010867402	False	tan
Amino acid metabolism.polyamine metabolism	86	12	1.8095449652276665e-06	True	tan
Lipid metabolism.fatty acid metabolism	395	20	0.003374251707060862	True	tan
Lipid metabolism.glycerolipid metabolism	520	19	0.11956187702575621	False	tan
Lipid metabolism.sphingolipid metabolism	167	6	0.32351605469444844	False	tan
Lipid metabolism.lipid-A biosynthesis	20	4	0.00143954609409828	True	tan
Lipid metabolism.lipid trafficking	129	2	0.775661632539314	False	tan
Lipid metabolism.cytoplasmic lipid droplet-associated activities	83	4	0.15983491788679483	False	tan
Nucleotide metabolism.purines	196	3	0.4961373663885321	False	tan
Nucleotide metabolism.pyrimidines	100	4	0.3250483134753959	False	tan
Nucleotide metabolism.deoxynucleotides	52	1	1.0	False	tan
Secondary metabolism.terpenoid biosynthesis	243	1	0.02369691687033164	True	tan
Secondary metabolism.phenolics biosynthesis	79	5	0.0504422702223292	False	tan
Redox homeostasis.glutathione-based redox regulation	158	3	0.8017357779225986	False	tan
Redox homeostasis.ascorbate-based redox regulation	133	2	0.7779923169870142	False	tan
Redox homeostasis.reactive oxygen-induced signalling	108	16	1.4980724916526308e-08	True	tan
Phytohormone action.abscisic acid	151	8	0.059725869390620356	False	tan
Phytohormone action.auxin	311	7	1.0	False	tan
Phytohormone action.brassinosteroid	123	5	0.24510634612670892	False	tan
Phytohormone action.cytokinin	179	4	1.0	False	tan
Phytohormone action.ethylene	90	6	0.02704667499196583	True	tan
Phytohormone action.jasmonic acid	128	18	4.47985119761308e-09	True	tan
Phytohormone action.salicylic acid	8	1	0.18574372877259698	False	tan
Phytohormone action.strigolactone	37	6	0.0003109178392606991	True	tan
Phytohormone action.karrikins	8	3	0.000827438404075242	True	tan
Phytohormone action.signalling peptides	248	11	0.06539083994633006	False	tan
Chromatin organisation.chromatin structure	204	2	0.2560569429148929	False	tan
Chromatin organisation.post-translational histone modification	741	28	0.04349032815436056	True	tan
Chromatin organisation.nucleosome remodeling	327	10	0.4800277690395473	False	tan
Chromatin organisation.epigenetic state regulation	269	10	0.23649019149030986	False	tan
Cell division.DNA replication	367	7	0.6142878577890536	False	tan
Cell division.cell cycle organisation	622	7	0.0199798243633296	True	tan
Cell division.meiotic recombination	273	14	0.011364344395309272	True	tan
Cell division.cytokinesis	331	4	0.1568898927755116	False	tan
Cell division.plastid division	84	4	0.16470233343153554	False	tan
DNA damage response.nonhomologous end-joining (NHEJ) repair	29	4	0.005891545052778743	True	tan
DNA damage response.base excision repair (BER)	40	2	0.26952239211008017	False	tan
DNA damage response.photoreactivation	11	3	0.0023029310226577093	True	tan
DNA damage response.DNA-protein crosslink (DPC) repair	16	6	1.6873295385221585e-06	True	tan
RNA biosynthesis.DNA-dependent RNA polymerase complexes	163	9	0.02368323744250671	True	tan
RNA biosynthesis.RNA polymerase II-dependent transcription	526	10	0.4827159671016754	False	tan
RNA biosynthesis.RNA polymerase III-dependent transcription	113	5	0.21469424088166839	False	tan
RNA biosynthesis.DNA-binding transcriptional regulation	4152	101	0.7154591944704571	False	tan
RNA biosynthesis.transcriptional co-regulation	207	17	2.4284663128267514e-05	True	tan
RNA processing.spliceosome-mediated pre-mRNA splicing	725	11	0.09335099132449665	False	tan
RNA processing.pre-RNA group-I/-II intron splicing	162	2	0.4481951196082959	False	tan
RNA processing.mRNA modification	226	2	0.13566305630250824	False	tan
RNA homeostasis.mRNA degradation	250	1	0.024027711530952574	True	tan
RNA homeostasis.mRNA silencing	222	1	0.04940632819573774	True	tan
RNA homeostasis.post-transcriptional regulator activities	338	7	0.7283439929846941	False	tan
RNA homeostasis.RNA transport	129	1	0.38832525323723815	False	tan
Protein biosynthesis.translation initiation	182	1	0.09642147558988806	False	tan
Protein modification.acetylation	62	4	0.07238585557055267	False	tan
Protein modification.phosphorylation	1928	70	0.0028931354199001388	True	tan
Protein modification.dephosphorylation	511	8	0.20038648292584677	False	tan
Protein modification.ADP-ribosylation	32	2	0.19437271511175777	False	tan
Protein modification.hydroxylation	26	1	0.48724563138395016	False	tan
Protein modification.methylation	25	2	0.1315233744055862	False	tan
Protein modification.targeting peptide maturation	142	6	0.17902520455686163	False	tan
Protein homeostasis.protein quality control	506	4	0.006553674659924723	True	tan
Protein homeostasis.ubiquitin-proteasome system	2479	43	0.008214250434281024	True	tan
Protein homeostasis.proteolysis	815	28	0.11330008828329441	False	tan
Cytoskeleton organisation.microtubular network	430	6	0.16264252048663647	False	tan
Cytoskeleton organisation.microfilament network	434	1	0.0003134791028259795	True	tan
Cytoskeleton organisation.actin and tubulin folding	81	1	0.7258692544657531	False	tan
Cytoskeleton organisation.endoplasmic reticulum (ER) - cell/organelle membrane contact	75	2	0.715691893352898	False	tan
Cell wall organisation.cellulose	142	2	0.5910525270623324	False	tan
Cell wall organisation.hemicellulose	392	3	0.021922790037380548	True	tan
Cell wall organisation.pectin	358	2	0.010286128684435979	True	tan
Cell wall organisation.cell wall proteins	155	1	0.19398323746003898	False	tan
Cell wall organisation.lignin	85	1	0.7274404729080362	False	tan
Vesicle trafficking.anterograde trafficking	219	2	0.1887849292120567	False	tan
Vesicle trafficking.retrograde trafficking	319	1	0.0060279189846496875	True	tan
Vesicle trafficking.endocytic trafficking	188	7	0.3436578295606066	False	tan
