v5 Gene Model ID	v4 Gene Model ID	v3 Gene Model ID	Gene Symbol	Full Name
Zm00001eb247260		GRMZM2G079596	109939982	
Zm00001eb247260		GRMZM2G461231	109939982	
Zm00001eb247260		GRMZM2G507217	109939982	
Zm00001eb247280		GRMZM2G079596	109939982	
Zm00001eb247280		GRMZM2G461231	109939982	
Zm00001eb247280		GRMZM2G507217	109939982	
Zm00001eb247290		GRMZM2G079596	109939982	
Zm00001eb247290		GRMZM2G461231	109939982	
Zm00001eb247290		GRMZM2G507217	109939982	
Zm00001eb068310		GRMZM2G334514	A0A1D6DW15	
Zm00001eb068320		AC206980.3_FG007	A0A1D6DW25	
Zm00001eb084000		AC191050.3_FG003	A0A1D6EBM4	
Zm00001eb089590		GRMZM2G479125	A0A1D6EFZ8	
Zm00001eb238800		GRMZM2G405459	A0A1D6H658	
Zm00001eb005250		GRMZM2G063287	A0A1D6JQ00	
Zm00001eb011050		GRMZM2G127123	A0A1D6JWI7	
Zm00001eb044990		GRMZM2G418833	A0A1D6KSC7	
Zm00001eb058080		GRMZM2G395728	A0A1D6L5H8	
Zm00001eb276140		GRMZM2G112337	A0A1D6LRY4	
Zm00001eb140310		GRMZM2G454124	A0A1D6N0K2	
Zm00001eb157170		GRMZM2G059799	A0A1D6NG77	
Zm00001eb398940		GRMZM2G081175	A0A1D6PF37	
Zm00001eb175860		GRMZM2G007953	A0A1D6PYQ0	
Zm00001eb070860	Zm00001d002326	GRMZM5G817886	aaa1	adenosylmethionine aminotransferase1
		GRMZM2G325921	aaa2	adenosylmethionine aminotransferase2
Zm00001eb080600		GRMZM2G114523	aaap10	amino acid/auxin permease10
Zm00001eb080770		GRMZM2G137161	aaap11	amino acid/auxin permease11
Zm00001eb087950		GRMZM2G097802	aaap12	amino acid/auxin permease12
Zm00001eb090970		GRMZM2G082434	aaap14	amino acid/auxin permease14
Zm00001eb132750		GRMZM2G125832	aaap15	amino acid/auxin permease15
Zm00001eb136330		GRMZM2G092223	aaap16	amino acid/auxin permease16
Zm00001eb138770		GRMZM2G032304	aaap17	amino acid/auxin permease17
Zm00001eb138780		GRMZM2G032304	aaap17	amino acid/auxin permease17
Zm00001eb138820		GRMZM2G031167	aaap18	amino acid/auxin permease18
		GRMZM2G136288	aaap19	amino acid/auxin permease19
Zm00001eb144010		GRMZM2G078024	aaap20	amino acid/auxin permease20
Zm00001eb145670		GRMZM2G110195	aaap21	amino acid/auxin permease21
Zm00001eb145880		GRMZM5G830545	aaap22	amino acid/auxin permease22
Zm00001eb147400		GRMZM2G154958	aaap23	amino acid/auxin permease23
Zm00001eb159580		GRMZM2G057733	aaap25	amino acid/auxin permease25
Zm00001eb161260		GRMZM2G066428	aaap26	amino acid/auxin permease26
Zm00001eb161250		GRMZM2G066428	aaap27	amino acid/auxin permease27
Zm00001eb173390		GRMZM2G046743	aaap28	amino acid/auxin permease28
Zm00001eb178270		GRMZM2G180547	aaap29	amino acid/auxin permease29
Zm00001eb029450	Zm00001d030751	GRMZM2G017170	aaap3	amino acid/auxin permease3
Zm00001eb189540		GRMZM2G427319	aaap30	amino acid/auxin permease30
Zm00001eb192710		GRMZM2G101125	aaap31	amino acid/auxin permease31
Zm00001eb202080		GRMZM2G332505	aaap33	amino acid/auxin permease33
Zm00001eb234980		GRMZM2G332562	aaap34	amino acid/auxin permease34
Zm00001eb250210		GRMZM2G074053	aaap35	amino acid/auxin permease35
Zm00001eb253110		GRMZM2G161641	aaap36	amino acid/auxin permease36
Zm00001eb257440		GRMZM2G083788	aaap37	amino acid/auxin permease37
Zm00001eb257490		GRMZM2G080843	aaap38	amino acid/auxin permease38
Zm00001eb039240		GRMZM2G052461	aaap4	amino acid/auxin permease4
Zm00001eb261470		GRMZM2G127342	aaap40	amino acid/auxin permease40
Zm00001eb261490		GRMZM2G127294	aaap41	amino acid/auxin permease41
Zm00001eb261500		GRMZM2G127338	aaap43	amino acid/auxin permease43
Zm00001eb261510		GRMZM2G429322	aaap44	amino acid/auxin permease44
Zm00001eb264210		AC205362.4_FG002	aaap45	amino acid/auxin permease45
Zm00001eb277520		GRMZM2G331283	aaap46	amino acid/auxin permease46
Zm00001eb278120		GRMZM2G134888	aaap47	amino acid/auxin permease47
Zm00001eb279680		GRMZM2G010433	aaap48	amino acid/auxin permease48
Zm00001eb284440		GRMZM2G476886	aaap49	amino acid/auxin permease49
		GRMZM5G894432	aaap5	amino acid/auxin permease5
Zm00001eb297990		GRMZM5G894233	aaap51	amino acid/auxin permease51
Zm00001eb299500		GRMZM2G108023	aaap52	amino acid/auxin permease52
Zm00001eb303770		GRMZM2G173967	aaap53	amino acid/auxin permease53
Zm00001eb349050		GRMZM2G164814	aaap54	amino acid/auxin permease54
Zm00001eb366300		GRMZM2G092945	aaap55	amino acid/auxin permease55
Zm00001eb366310		GRMZM2G096407	aaap56	amino acid/auxin permease56
Zm00001eb368680		GRMZM2G036448	aaap57	amino acid/auxin permease57
Zm00001eb380520		GRMZM2G150406	aaap58	amino acid/auxin permease58
Zm00001eb384590		GRMZM2G145989	aaap59	amino acid/auxin permease59
Zm00001eb067590		GRMZM2G042933	aaap6	amino acid/auxin permease6
Zm00001eb384620		GRMZM2G136300	aaap60	amino acid/auxin permease60
Zm00001eb386970		GRMZM2G087635	aaap61	amino acid/auxin permease61
Zm00001eb387570		GRMZM2G177659	aaap62	amino acid/auxin permease62
Zm00001eb404730		GRMZM2G105192	aaap63	amino acid/auxin permease63
Zm00001eb408350		GRMZM2G076593	aaap64	amino acid/auxin permease64
Zm00001eb408360		GRMZM2G433162	aaap65	amino acid/auxin permease65
Zm00001eb408380		GRMZM2G157168	aaap66	amino acid/auxin permease66
Zm00001eb408430		GRMZM2G413943	aaap67	amino acid/auxin permease67
Zm00001eb412940		GRMZM2G149216	aaap68	amino acid/auxin permease68
Zm00001eb424670		GRMZM2G173597	aaap69	amino acid/auxin permease69
Zm00001eb069510		GRMZM2G175321	aaap7	amino acid/auxin permease7
Zm00001eb429100		GRMZM2G455128	aaap70	amino acid/auxin permease70
Zm00001eb429210		GRMZM2G360519	aaap71	amino acid/auxin permease71
		AC184835.3_FG003	aaap72	amino acid/auxin permease72
Zm00001eb074030		GRMZM2G109865	aaap8	amino acid/auxin permease8
Zm00001eb080050		GRMZM2G155491	aaap9	amino acid/auxin permease9
Zm00001eb064380		GRMZM2G016774	aae1	acyl-activating enzyme1
Zm00001eb373080	Zm00001d044916	GRMZM2G120302	aap1	acylaminoacyl-peptidase1
Zm00001eb020510		GRMZM2G068701	aas1	auxin amido synthetase1
Zm00001eb338800		GRMZM2G001421	aas10	auxin amido synthetase10
Zm00001eb344950		GRMZM2G162413	aas11	auxin amido synthetase11
Zm00001eb352750		GRMZM2G366873	aas12	auxin amido synthetase12
Zm00001eb358430		GRMZM2G091276	aas13	auxin amido synthetase13
Zm00001eb108330		GRMZM2G378106	aas2	auxin amido synthetase2
Zm00001eb113360		GRMZM2G410567	aas3	auxin amido synthetase3
Zm00001eb119720		GRMZM2G061005	aas4	auxin amido synthetase4
Zm00001eb119730		GRMZM2G060991	aas5	auxin amido synthetase5
Zm00001eb119750		GRMZM2G060991	aas5	auxin amido synthetase5
Zm00001eb151250		GRMZM2G061515	aas6	auxin amido synthetase6
Zm00001eb152200		GRMZM2G033359	aas7	auxin amido synthetase7
Zm00001eb326420		GRMZM2G053338	aas8	auxin amido synthetase8
Zm00001eb330350		GRMZM2G414460	aas9	auxin amido synthetase9
Zm00001eb407710	Zm00001d023529	GRMZM2G136910	aasr1	abscisic acid stress ripening1
Zm00001eb263060		GRMZM2G009792	aasr10	abscisic acid stress ripening10
Zm00001eb091920	Zm00001d004843	GRMZM5G854138	aasr2	abscisic acid stress ripening2
Zm00001eb083180	Zm00001d003712	GRMZM2G044132	aasr3	abscisic acid stress ripening3
Zm00001eb083180	Zm00001d003712	GRMZM5G806182	aasr3	abscisic acid stress ripening3
Zm00001eb422400	Zm00001d025401	GRMZM2G052100	aasr5	abscisic acid stress ripening5
Zm00001eb243310	Zm00001d016760	GRMZM2G057841	aasr6	abscisic acid stress ripening6
Zm00001eb131490	Zm00001d040786	GRMZM2G014797	aasr7	abscisic acid stress ripening7
Zm00001eb131480	Zm00001d040785	GRMZM2G314075	aasr8	abscisic acid stress ripening8
Zm00001eb131500	Zm00001d040787	GRMZM2G383699	aasr9	abscisic acid stress ripening9
Zm00001eb065210		GRMZM2G387394	aat1	anthocyanin acyltransferase1
Zm00001eb090330		GRMZM2G108597	aatr1	amino acid transporter1
Zm00001eb299740		GRMZM2G142721	AB512482	
Zm00001eb191420	Zm00001d051915	GRMZM2G157369	abc1	ABC(yeast) homolog1
Zm00001eb006830		GRMZM2G097283	abc4	aberrant chloroplast development4
Zm00001eb115000	Zm00001d007597	GRMZM2G105570	abcf1	ABC family1
Zm00001eb012880		GRMZM2G054332	abcg1	ABC transporter G family member 1
Zm00001eb075940	Zm00001d002871	GRMZM2G177812	abcg11	ABC transporter G family member 11
Zm00001eb163530		GRMZM2G006130	abf1	alpha-L-arabinofuranosidase1
Zm00001eb196100		GRMZM2G077299	abf2	alpha-L-arabinofuranosidase2
Zm00001eb168050		GRMZM2G393002	abf3	alpha-L-arabinofuranosidase3
Zm00001eb111760		GRMZM2G097277	abf4	alpha-L-arabinofuranosidase4
Zm00001eb015240		GRMZM2G180889	abf5	alpha-L-arabinofuranosidase5
Zm00001eb088900		GRMZM2G120132	abf6	alpha-L-arabinofuranosidase6
		GRMZM2G452353	abf7	alpha-L-arabinofuranosidase7
Zm00001eb115670		GRMZM2G131440	abf8	alpha-L-arabinofuranosidase8
Zm00001eb251960	Zm00001d017762	GRMZM2G179147	abh1	abscisic acid 8'-hydroxylase1
Zm00001eb188270	Zm00001d051554	GRMZM2G126505	abh2	abscisic acid 8'-hydroxylase2
Zm00001eb176720	Zm00001d050021	GRMZM2G105954	abh3	abscisic acid 8'-hydroxylase3
Zm00001eb314900		GRMZM2G065928	abh4	abscisic acid 8'-hydroxylase4
Zm00001eb100780	Zm00001d005889	GRMZM2G002142	abh5	abscisic acid 8'-hydroxylase5
	Zm00001d026694	AC193767.3_FG003	abi10	ABI3-VP1-transcription factor 10
	Zm00001d030908	GRMZM2G065478	abi11	ABI3-VP1-transcription factor 11
Zm00001eb073010	Zm00001d002562	GRMZM2G102059	abi12	ABI3-VP1-transcription factor 12
		GRMZM2G018336	abi13	ABI3-VP1-transcription factor 33
Zm00001eb171080	Zm00001d049369	GRMZM2G106673	abi14	ABI3-VP1-transcription factor 14
	Zm00001d044676	GRMZM2G361376	abi15	ABI3-VP1-transcription factor 15
