""	"specie"	"quality"	"tissue_abv"	"rep"	"location"
"F7_L1BL_3"	"PE75"	0	"Le1"	4	"Leaf 1"
"F7_L3BL_3"	"PE75"	0	"Le3Bl"	4	"Leaf 3 blade"
"F7_L3SH_3"	"PE75"	0	"Le3Sh"	4	"Leaf 3 sheath"
"PE_19_1"	"PE75"	0	"Se10"	1	"Seed 10 dap"
"PE_20_1"	"PE75"	0	"Se15"	1	"Seed 15 dap"
"PE_21_1"	"PE75"	0	"Se20"	1	"Seed 20 dap"
"PE_21_2"	"PE75"	0	"Se20"	2	"Seed 20 dap"
"PE_22_1"	"PE75"	0	"Se25"	1	"Seed 25 dap"
"PE_23_1"	"PE75"	0	"Se30"	1	"Seed 30 dap"
"PE_23_2"	"PE75"	0	"Se30"	2	"Seed 30 dap"
"PE_25_1"	"PE75"	0	"TaIm"	1	"immature tassel"
"PE_25_2"	"PE75"	0	"TaIm"	2	"immature tassel"
"PE_25_3"	"PE75"	0	"TaIm"	3	"immature tassel"
"PE_25_4"	"PE75"	0	"TaIm"	4	"immature tassel"
"PE_26_1"	"PE75"	0	"TaMe"	1	"meotic tassel"
"PE_26_2"	"PE75"	0	"TaMe"	2	"meotic tassel"
"PE_26_4"	"PE75"	0	"TaMe"	4	"meotic tassel"
"PE_27_1"	"PE75"	0	"CobIm"	1	"immature cob"
"PE_27_2"	"PE75"	0	"CobIm"	2	"immature cob"
"PE_27_3"	"PE75"	0	"CobIm"	3	"immature cob"
"PE_27_4"	"PE75"	0	"CobIm"	4	"immature cob"
"PE_28_2"	"PE75"	0	"CobPp"	2	"prepollinated cob"
"PE_28_3"	"PE75"	0	"CobPp"	3	"prepollinated cob"
"PE_28_4"	"PE75"	0	"CobPp"	4	"prepollinated cob"
"PE_29_1"	"PE75"	0	"Silk"	1	"silk"
"PE_29_2"	"PE75"	0	"Silk"	2	"silk"
"PE_29_3"	"PE75"	0	"Silk"	3	"silk"
"PE75_CO_1"	"PE75"	0	"Coleo"	1	"coleoptile"
"PE75_CO_2"	"PE75"	0	"Coleo"	2	"coleoptile"
"PE75_CO_3"	"PE75"	0	"Coleo"	3	"coleoptile"
"PE75_CO_4"	"PE75"	0	"Coleo"	4	"coleoptile"
"PE75_cob_1"	"PE75"	0	"Cob"	1	"cob"
"PE75_cob_2"	"PE75"	0	"Cob"	2	"cob"
"PE75_cob_3"	"PE75"	0	"Cob"	3	"cob"
"PE75_cob_4"	"PE75"	0	"Cob"	4	"cob"
"PE75_CR_1"	"PE75"	0	"RoCr"	1	"crown root"
"PE75_CR_2"	"PE75"	0	"RoCr"	2	"crown root"
"PE75_CR_3"	"PE75"	0	"RoCr"	3	"crown root"
"PE75_CR_4"	"PE75"	0	"RoCr"	4	"crown root"
"PE75_ELO_1"	"PE75"	0	"Le5El"	1	"Leaf 5 elongation zone"
"PE75_ELO_2"	"PE75"	0	"Le5El"	2	"Leaf 5 elongation zone"
