""	"specie"	"quality"	"tissue_abv"	"rep"	"location"
"B1_EP_1"	"EP1"	0	"Se40M"	1	"mature seed 40 dap"
"B1_EP_2"	"EP1"	0	"Se40M"	2	"mature seed 40 dap"
"B1_EP_4"	"EP1"	0	"Se40M"	4	"mature seed 40 dap"
"EP1_19_1"	"EP1"	0	"Se10"	1	"Seed 10 dap"
"EP1_19_2"	"EP1"	0	"Se10"	2	"Seed 10 dap"
"EP1_19_3"	"EP1"	0	"Se10"	3	"Seed 10 dap"
"EP1_19_4"	"EP1"	0	"Se10"	4	"Seed 10 dap"
"EP1_20_1"	"EP1"	0	"Se15"	1	"Seed 15 dap"
"EP1_20_2"	"EP1"	0	"Se15"	2	"Seed 15 dap"
"EP1_20_3"	"EP1"	0	"Se15"	3	"Seed 15 dap"
"EP1_20_4"	"EP1"	0	"Se15"	4	"Seed 15 dap"
"EP1_21_1"	"EP1"	0	"Se20"	1	"Seed 20 dap"
"EP1_21_2"	"EP1"	0	"Se20"	2	"Seed 20 dap"
"EP1_21_3"	"EP1"	0	"Se20"	3	"Seed 20 dap"
"EP1_21_4"	"EP1"	0	"Se20"	4	"Seed 20 dap"
"EP1_22_1"	"EP1"	0	"Se25"	1	"Seed 25 dap"
"EP1_22_2"	"EP1"	0	"Se25"	2	"Seed 25 dap"
"EP1_22_3"	"EP1"	0	"Se25"	3	"Seed 25 dap"
"EP1_22_4"	"EP1"	0	"Se25"	4	"Seed 25 dap"
"EP1_23_1"	"EP1"	0	"Se30"	1	"Seed 30 dap"
"EP1_23_2"	"EP1"	0	"Se30"	2	"Seed 30 dap"
"EP1_23_3"	"EP1"	0	"Se30"	3	"Seed 30 dap"
"EP1_23_4"	"EP1"	0	"Se30"	4	"Seed 30 dap"
"EP1_24_3"	"EP1"	0	"Se40M"	3	"mature seed 40 dap"
"EP1_25_1"	"EP1"	0	"TaIm"	1	"immature tassel"
"EP1_25_2"	"EP1"	0	"TaIm"	2	"immature tassel"
"EP1_25_3"	"EP1"	0	"TaIm"	3	"immature tassel"
"EP1_25_4"	"EP1"	0	"TaIm"	4	"immature tassel"
"EP1_26_1"	"EP1"	0	"TaMe"	1	"meotic tassel"
"EP1_26_2"	"EP1"	0	"TaMe"	2	"meotic tassel"
