"turquoise" "white" "magenta" "royalblue" "lightcyan" "red" "midnightblue" "saddlebrown" "darkgreen" "blue" "yellowgreen" "sienna3" "brown" "darkmagenta" "cyan" "skyblue" "steelblue" "lightgreen" "orange" "purple" "darkgrey" "darkturquoise" "grey60" "darkorange" "darkred" "salmon" "yellow" "green" "paleturquoise" "darkolivegreen" "lightyellow" "tan" "greenyellow" "pink" "skyblue3" "plum1" "black" "violet" "grey" "cob_b73" "coleoptile_b73" "crown_root_b73" "first_elongated_internode_b73" "flag_leaf_b73" "immature_cob_b73" "immature_tassel_b73" "leaf_1_b73" "leaf_3_blade_b73" "leaf_3_sheath_b73" "leaf_5_b73" "leaf_5_elongation_zone_b73" "leaf_5_mature_b73" "leaf_5_meristem_b73" "leaf_8_b73" "mature_seed_40_dap_b73" "meotic_tassel_b73" "mesophyll_b73" "prepollinated_cob_b73" "primary_root_b73" "primary_root_elongation_zone_b73" "primary_root_meristematic_zone_b73" "root_hair_zone_b73" "seed_10_dap_b73" "seed_15_dap_b73" "seed_20_dap_b73" "seed_25_dap_b73" "seed_30_dap_b73" "seminal_root_b73" "silk_b73" "cob_dk105" "coleoptile_dk105" "crown_root_dk105" "first_elongated_internode_dk105" "flag_leaf_dk105" "immature_cob_dk105" "immature_tassel_dk105" "leaf_1_dk105" "leaf_3_blade_dk105" "leaf_3_sheath_dk105" "leaf_5_dk105" "leaf_5_elongation_zone_dk105" "leaf_5_mature_dk105" "leaf_5_meristem_dk105" "leaf_8_dk105" "mature_seed_40_dap_dk105" "meotic_tassel_dk105" "mesophyll_dk105" "prepollinated_cob_dk105" "primary_root_dk105" "primary_root_elongation_zone_dk105" "primary_root_meristematic_zone_dk105" "root_hair_zone_dk105" "seed_10_dap_dk105" "seed_15_dap_dk105" "seed_20_dap_dk105" "seed_25_dap_dk105" "seed_30_dap_dk105" "seminal_root_dk105" "silk_dk105" "cob_ep1" "coleoptile_ep1" "crown_root_ep1" "first_elongated_internode_ep1" "flag_leaf_ep1" "immature_cob_ep1" "immature_tassel_ep1" "leaf_1_ep1" "leaf_3_blade_ep1" "leaf_3_sheath_ep1" "leaf_5_ep1" "leaf_5_elongation_zone_ep1" "leaf_5_mature_ep1" "leaf_5_meristem_ep1" "leaf_8_ep1" "mature_seed_40_dap_ep1" "meotic_tassel_ep1" "mesophyll_ep1" "prepollinated_cob_ep1" "primary_root_ep1" "primary_root_elongation_zone_ep1" "primary_root_meristematic_zone_ep1" "root_hair_zone_ep1" "seed_10_dap_ep1" "seed_15_dap_ep1" "seed_20_dap_ep1" "seed_25_dap_ep1" "seed_30_dap_ep1" "seminal_root_ep1" "silk_ep1" "cob_f7" "coleoptile_f7" "crown_root_f7" "first_elongated_internode_f7" "flag_leaf_f7" "immature_cob_f7" "immature_tassel_f7" "leaf_1_f7" "leaf_3_blade_f7" "leaf_3_sheath_f7" "leaf_5_f7" "leaf_5_elongation_zone_f7" "leaf_5_mature_f7" "leaf_5_meristem_f7" "leaf_8_f7" "mature_seed_40_dap_f7" "meotic_tassel_f7" "mesophyll_f7" "prepollinated_cob_f7" "primary_root_f7" "primary_root_elongation_zone_f7" "primary_root_meristematic_zone_f7" "root_hair_zone_f7" "seed_10_dap_f7" "seed_15_dap_f7" "seed_20_dap_f7" "seed_25_dap_f7" "seed_30_dap_f7" "seminal_root_f7" "silk_f7" "cob_pe75" "coleoptile_pe75" "crown_root_pe75" "first_elongated_internode_pe75" "flag_leaf_pe75" "immature_cob_pe75" "immature_tassel_pe75" "leaf_1_pe75" "leaf_3_blade_pe75" "leaf_3_sheath_pe75" "leaf_5_pe75" "leaf_5_elongation_zone_pe75" "leaf_5_mature_pe75" "leaf_5_meristem_pe75" "leaf_8_pe75" "meotic_tassel_pe75" "mesophyll_pe75" "prepollinated_cob_pe75" "primary_root_pe75" "primary_root_elongation_zone_pe75" "primary_root_meristematic_zone_pe75" "root_hair_zone_pe75" "seed_10_dap_pe75" "seed_15_dap_pe75" "seed_20_dap_pe75" "seed_25_dap_pe75" "seed_30_dap_pe75" "seminal_root_pe75" "silk_pe75"
"b73_cob" 0.126809118904772 0.0486675134519379 0.172334927070914 0.0989655584956368 -0.00737718761365754 0.0829847105143159 -0.0467389876317977 -0.0700660794432627 -0.0806988253852105 -0.114116205970999 -0.120579126504552 -0.0402004641287084 -0.0317136365204352 -0.00761080996652973 -0.0530068477650405 -0.0754225620670455 -0.10055134739658 -0.110990313622588 -0.0767940566646434 -0.0614124041915223 -0.0766764420559741 -0.103470586247559 -0.0505694242084942 -0.106650360486279 -0.0715575319636142 -0.0599317194669308 -0.157043065045905 -0.0555860487591456 -0.1004877450559 -0.0990710168448593 -0.0418747051210381 0.0904813921161063 0.0558511781245877 0.1006359544486 -0.0271617201238661 0.020310872617131 0.0200633073017314 -0.0168607459031876 0.0197788005960043 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_coleoptile" -0.0324165534580869 -0.0814911973687027 0.145416432091693 0.094122044814172 -0.0302364989350395 -0.0340693870725484 -0.0498303221717802 -0.0622792262287363 0.111539389772892 0.0105434212209017 -0.0738596857668033 -0.0340591905302239 -0.052523014801696 -0.0231904263342622 -0.0393697742300757 -0.06602023091914 -0.152755056748056 -0.0983524112163753 -0.0614374377017132 -0.058792908476521 -0.0693073965656376 -0.0987061382025852 -0.0439195617641219 -0.0908895811754268 -0.0627548256616063 0.0587056663954841 0.072047942950443 0.0365100989382692 0.0512820650270783 0.00276319227350641 -0.0225978854937892 0.0297920926163876 0.0651919685100583 0.0136442704210402 -0.0122813720274778 -0.00232943166860255 -0.0317250263996399 -0.026204609926834 0.0563069147240034 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_crown.root" -0.0756597718461998 -0.0905697578251093 0.148470090961722 0.0879542674061359 0.0280716129324147 -0.0125019199528176 -0.0514208072739215 -0.0630327556862371 -0.102205471030754 0.040535127542949 -0.0482186237622346 -0.0317355059341324 -0.0451686443708992 -0.0259236484013859 -0.0447919997511188 -0.0662180637489369 -0.15757405618058 -0.101988747329505 -0.0670698432704559 -0.0572231211671672 -0.0678972180763195 -0.100073804010201 -0.0438856944227654 -0.0947140529177325 -0.0646334447810423 0.088073990322724 0.0786614212156108 0.148876802622372 0.080347156071354 0.0472267956054639 0.111789890850149 0.0394043409993839 0.0827250670084547 -0.00275037987456503 -0.0102496957134702 -0.00689577868642891 -0.0302502222577961 0.0779242710188565 0.0711069812194583 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_first.elongated.internode" -0.0336161101236207 -0.0144573199821385 0.167482187608965 0.103061572238955 0.117858280239893 0.0384730176342195 -0.0539052165371562 -0.0731914467110422 0.0322062449365435 0.104296048877096 0.0299073177747014 -0.0348541870212867 -0.0187037548454457 -0.0286902169695963 -0.0504636747897808 -0.0739609314233537 -0.13952484767616 -0.110735230124226 -0.0782436324185161 -0.0665110833875505 -0.0699000377951262 -0.112277025482448 -0.0443025287132924 -0.0973147082730637 -0.0694314350616627 0.0755583282068649 0.0647726498937906 -0.0540031660534716 0.0138466180555824 -0.0885565827097377 -0.0844900107482812 -0.067410265866327 -0.135395073072875 -0.13995733597969 -0.023088379079988 -0.000169068654202973 -0.0346162138911825 -0.0679248919716139 -0.133724414410792 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_flag.leaf" 0.135798849906809 0.0982289028747429 0.17840358255461 0.105845627485985 0.00732535171840776 0.0564697553906948 -0.0492794571459272 -0.0739196610724011 -0.0384850208282952 -0.0834810609424736 -0.103714676542035 -0.0391455672464737 -0.0269594158431237 -0.0199351020065633 -0.0526341723959871 -0.0784200811868694 -0.107555001554982 -0.114773763205109 -0.0788177218220247 -0.0628859514889919 -0.0808935267197295 -0.110433069934761 -0.0530811307779464 -0.111144013826533 -0.0733645754188508 -0.0776909464265949 -0.111814270837196 -0.0540707980166566 -0.0815017911714519 -0.0824914123460257 -0.0141601127592045 0.0777545473423518 0.0100549965954713 0.0653218341758148 -0.0206527681431264 0.0337498775080068 0.05083804563358 0.0109780592955391 -0.0128160421324315 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_immature.cob" -0.0418495355261803 -0.00887803051200072 0.178444765731618 0.115100585826213 0.160765917159195 0.0878647727399043 -0.0571868321885282 -0.081315390697548 0.0783254927676166 0.111279163167284 0.0875555980343222 -0.0105554059155157 0.0135746182521865 -0.0255952203529682 -0.0559058245159803 -0.0833665326044616 -0.135210071281575 -0.1158706335279 -0.0859491371076731 -0.0720183329072029 -0.0775139320318877 -0.119889418904436 -0.0467542705067802 -0.108987536696582 -0.0748725522794353 0.0372061402263366 0.0335449673595637 -0.0843804094718732 -0.0501007499217824 -0.123028958365388 -0.117827452991775 -0.11807018829645 -0.148474752143042 -0.144620525447672 -0.0148817652840694 -0.0103425760120186 -0.0296700651834045 -0.0662632893987997 -0.171788934485521 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_immature.tassel" -0.0121887841207053 -0.0384396247035648 0.147419274293507 0.0869139607083178 -0.0284283131023871 -0.0194151618270604 -0.0386842327928843 -0.0708399382383274 0.0551617190435857 -0.027913051845065 0.000310852849403141 -0.0155537522976877 0.0336672553869221 0.0179379416852607 -0.0161652527543852 -0.0378559981599264 -0.0975691977640189 -0.0823055874980731 -0.0435491626737769 -0.0517017643144174 -0.071065689196726 -0.105208442905075 -0.0413319370855953 -0.0854313406056405 -0.05392782734553 -0.00931074941182647 -0.008368656817615 -0.0203880666138619 0.0218992779978438 0.0702063327722177 0.0404208836926551 0.0015333327658665 0.0164561098174729 0.0402170421011734 0.101097649791398 0.638294984196786 0.3276388712648 0.215942255040796 0.0342484518619963 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_leaf.1" 0.1291614344612 0.00302771477614065 0.168717678705946 0.0991863924693525 -0.0198076321657096 0.123924168077041 -0.0494342255940866 -0.0729993097852758 -0.0855847168453434 -0.13717863006785 -0.103739743527977 -0.0439843175772558 -0.0425393465782511 -0.0214477747810287 -0.0573706936524872 -0.0754315054422442 -0.105536694059098 -0.109773635891047 -0.0762385248427975 -0.0653601788839724 -0.0802158287406034 -0.0977814560667422 -0.0490315944400213 -0.105111199605305 -0.0720237374454974 -0.0554724318083543 -0.156653059339996 -0.0603954402746365 -0.11272414972578 -0.0815485238681416 -0.0355812852633847 0.106507792453532 0.0455151979209302 0.0955984731137185 -0.0241758111562582 0.00993226987525704 -0.0263376715008668 -0.0619650594754441 0.00177936277600746 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_leaf.3.blade" 0.155951399342578 0.0242489395072209 0.169289187141527 0.0949558434827536 -0.0525030326516018 0.119181421171387 -0.0517978586345832 -0.0745805237405457 -0.080184009418376 -0.156899458504969 -0.090219693965649 -0.0419334963062454 -0.0440052117911281 -0.0284253865081593 -0.0555394699204428 -0.0766050365128432 -0.112066094911372 -0.108700720588042 -0.075058839428931 -0.0648380456139805 -0.0828212965552709 -0.0980361099292495 -0.0470609086293275 -0.104062894870396 -0.0722953523156251 -0.0708686364740993 -0.149226750363137 -0.0644487059980308 -0.0562955849186737 -0.109869009534516 -0.0419832211994649 0.115970256819021 0.0159524627253505 0.0827516379425218 -0.0229594111701862 0.00413894572454066 -0.0294765667545355 -0.0665571863236901 -0.0105292586744713 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"b73_leaf.3.sheath" 0.0526732392065444 -0.0367460657267036 0.167331249954535 0.101685033382689 -0.0623682220074771 0.0371119084033936 -0.0510210598986914 -0.0740152638991624 0.0755205297301307 -0.0641015818726121 -0.105243995879588 -0.0403541977689273 -0.0661452939316024 -0.0312028569410203 -0.0504173783019467 -0.0666831174491348 -0.122098553445201 -0.105759212719457 -0.0735998166244243 -0.0634167889241183 -0.0724003154986717 -0.105070851159281 -0.0435846354665106 -0.113663920543098 -0.0715582028385456 -0.00995838968109918 0.0263821478033865 -0.00770054423088665 -0.0817545994830703 0.01529788724134 0.0855506204371204 0.0608327347698557 -0.0174952587259832 0.019664432341158 0.0206612251388439 0.0188073015021339 -0.0278037239910647 -0.0485117307238884 0.00417607595270083 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
