source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0004650,polygalacturonase activity,1.227250214025214e-28,True,"""Catalysis of the random hydrolysis of (1->4)-alpha-D-galactosiduronic linkages in pectate and other galacturonans."" [EC:3.2.1.15]",73,724,33,24541,0.04558011049723757,0.4520547945205479,query_1,['GO:0004553']
GO:CC,GO:0005576,extracellular region,6.697185133408062e-25,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",757,589,84,20617,0.14261460101867574,0.11096433289299867,query_1,['GO:0110165']
GO:BP,GO:0071555,cell wall organization,1.890905029117395e-20,True,"""A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."" [GOC:mah]",394,667,58,21641,0.08695652173913043,0.14720812182741116,query_1,"['GO:0045229', 'GO:0071554']"
GO:BP,GO:0045229,external encapsulating structure organization,1.6361791329326554e-19,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",411,667,58,21641,0.08695652173913043,0.1411192214111922,query_1,['GO:0016043']
GO:MF,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",2.3051598192265618e-18,True,"""Catalysis of the hydrolysis of any O-glycosyl bond."" [GOC:mah]",503,724,61,24541,0.08425414364640885,0.12127236580516898,query_1,['GO:0016798']
GO:CC,GO:0071944,cell periphery,3.8325657611944425e-18,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",1985,589,131,20617,0.22241086587436332,0.06599496221662468,query_1,['GO:0110165']
GO:MF,GO:0004857,enzyme inhibitor activity,2.5529008187783423e-17,True,"""Binds to and stops, prevents or reduces the activity of an enzyme."" [GOC:ai, GOC:ebc]",215,724,39,24541,0.05386740331491713,0.1813953488372093,query_1,"['GO:0030234', 'GO:0140678']"
GO:MF,GO:0140678,molecular function inhibitor activity,5.0367260705692434e-17,True,"""A molecular function regulator that inhibits or decreases the activity of its target via non-covalent binding that does not result in covalent modification to the target."" [GOC:curators]",219,724,39,24541,0.05386740331491713,0.1780821917808219,query_1,['GO:0098772']
GO:MF,GO:0016798,"hydrolase activity, acting on glycosyl bonds",2.334449707679914e-16,True,"""Catalysis of the hydrolysis of any glycosyl bond."" [GOC:jl]",568,724,62,24541,0.0856353591160221,0.10915492957746478,query_1,['GO:0016787']
GO:MF,GO:0030599,pectinesterase activity,4.3696437770895397e-16,True,"""Catalysis of the reaction: pectin + n H2O = n methanol + pectate."" [EC:3.1.1.11]",54,724,21,24541,0.029005524861878452,0.3888888888888889,query_1,['GO:0052689']
GO:BP,GO:0071554,cell wall organization or biogenesis,1.7054853670678408e-15,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cell wall."" [GOC:mah]",627,667,66,21641,0.09895052473763119,0.10526315789473684,query_1,['GO:0009987']
KEGG,KEGG:00040,Pentose and glucuronate interconversions,3.012684202366665e-15,True,Pentose and glucuronate interconversions,50,83,17,3709,0.20481927710843373,0.34,query_1,['KEGG:00000']
GO:BP,GO:0042545,cell wall modification,1.670192133327972e-12,True,"""The series of events leading to chemical and structural alterations of an existing cell wall that can result in loosening, increased extensibility or disassembly."" [GOC:jl]",56,667,19,21641,0.02848575712143928,0.3392857142857143,query_1,['GO:0071555']
GO:BP,GO:0045490,pectin catabolic process,1.8869533652939694e-12,True,"""The chemical reactions and pathways resulting in the breakdown of pectin, a polymer containing a backbone of alpha-1,4-linked D-galacturonic acid residues."" [GOC:go_curators, PMID:11931668]",64,667,20,21641,0.029985007496251874,0.3125,query_1,"['GO:0000272', 'GO:0045488']"
GO:CC,GO:0005618,cell wall,5.105889398221517e-12,True,"""The rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, most prokaryotic cells and some protozoan parasites, maintaining their shape and protecting them from osmotic lysis. In plants it is made of cellulose and, often, lignin; in fungi it is composed largely of polysaccharides; in bacteria it is composed of peptidoglycan; in protozoan parasites such as Giardia species, it's made of carbohydrates and proteins."" [GOC:giardia, ISBN:0198547684, PMID:15134259, Wikipedia:Microbial_cyst]",262,589,35,20617,0.059422750424448216,0.13358778625954199,query_1,['GO:0030312']
GO:MF,GO:0047911,"galacturan 1,4-alpha-galacturonidase activity",6.109001944785363e-12,True,"""Catalysis of the reaction: [(1->4)-alpha-D-galacturonide](n) + H2O = [(1->4)-alpha-D-galacturonide](n-1) + D-galacturonate."" [EC:3.2.1.67, MetaCyc:GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN]",9,724,9,24541,0.012430939226519336,1.0,query_1,['GO:0004553']
GO:CC,GO:0030312,external encapsulating structure,1.0162322152949427e-11,True,"""A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space."" [GOC:go_curators]",268,589,35,20617,0.059422750424448216,0.13059701492537312,query_1,"['GO:0071944', 'GO:0110165']"
GO:BP,GO:0000272,polysaccharide catabolic process,4.996059268827171e-11,True,"""The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."" [PMID:33139480]",183,667,30,21641,0.044977511244377814,0.16393442622950818,query_1,"['GO:0005976', 'GO:0009057', 'GO:0016052']"
