source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0022626,cytosolic ribosome,6.155218166551403e-72,True,"""A ribosome located in the cytosol."" [GOC:mtg_sensu]",326,3033,189,20617,0.06231454005934718,0.5797546012269938,query_1,"['GO:0005829', 'GO:0005840']"
GO:CC,GO:1990904,ribonucleoprotein complex,5.153484118433429e-71,True,"""A macromolecular complex that contains both RNA and protein molecules."" [GOC:krc, GOC:vesicles]",1260,3033,433,20617,0.14276294098252557,0.34365079365079365,query_1,['GO:0032991']
GO:MF,GO:0005198,structural molecule activity,3.123399495486081e-68,True,"""The action of a molecule that contributes to the structural integrity of a complex."" [GOC:mah, GOC:vw]",979,3285,345,24541,0.1050228310502283,0.35240040858018384,query_1,['GO:0003674']
KEGG,KEGG:03010,Ribosome,6.668753970511209e-65,True,Ribosome,225,732,159,3709,0.21721311475409835,0.7066666666666667,query_1,['KEGG:00000']
GO:CC,GO:0044391,ribosomal subunit,6.240929136962259e-64,True,"""Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit."" [GOC:jl]",450,3033,218,20617,0.07187603033300363,0.48444444444444446,query_1,"['GO:0005840', 'GO:1990904']"
GO:MF,GO:0003735,structural constituent of ribosome,1.9705952317698216e-63,True,"""The action of a molecule that contributes to the structural integrity of the ribosome."" [GOC:mah]",711,3285,275,24541,0.0837138508371385,0.38677918424753865,query_1,['GO:0005198']
GO:CC,GO:0022625,cytosolic large ribosomal subunit,3.1866674874918833e-55,True,"""The large subunit of a ribosome located in the cytosol."" [GOC:mtg_sensu]",176,3033,119,20617,0.03923508077810749,0.6761363636363636,query_1,"['GO:0015934', 'GO:0022626']"
GO:CC,GO:0015934,large ribosomal subunit,5.429153223379267e-54,True,"""The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site)."" [ISBN:0198506732]",229,3033,137,20617,0.04516979887899769,0.5982532751091703,query_1,['GO:0044391']
GO:CC,GO:0005840,ribosome,5.968253864847754e-52,True,"""An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."" [ISBN:0198506732]",831,3033,298,20617,0.098252555225849,0.358604091456077,query_1,['GO:0043232']
GO:BP,GO:0022613,ribonucleoprotein complex biogenesis,2.5805308583895673e-50,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."" [GOC:isa_complete, GOC:mah]",649,2998,244,21641,0.08138759172781855,0.37596302003081666,query_1,['GO:0044085']
GO:BP,GO:0006412,translation,3.4925102397052904e-48,True,"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]",1219,2998,365,21641,0.12174783188792529,0.29942575881870387,query_1,"['GO:0009059', 'GO:0010467', 'GO:0019538']"
GO:CC,GO:0043228,membraneless organelle,9.014822099215694e-46,True,"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]",2872,3033,694,20617,0.22881635344543355,0.2416434540389972,query_1,['GO:0043226']
GO:CC,GO:0043232,intracellular membraneless organelle,9.014822099215694e-46,True,"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]",2872,3033,694,20617,0.22881635344543355,0.2416434540389972,query_1,"['GO:0043228', 'GO:0043229']"
GO:CC,GO:0032991,protein-containing complex,2.4848763022031734e-44,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",4369,3033,952,20617,0.3138806462248599,0.2178988326848249,query_1,['GO:0005575']
GO:MF,GO:0003723,RNA binding,1.467701308504583e-41,True,"""Binding to an RNA molecule or a portion thereof."" [GOC:jl, GOC:mah]",2312,3285,543,24541,0.16529680365296803,0.23486159169550172,query_1,['GO:0003676']
GO:BP,GO:0042254,ribosome biogenesis,1.2021628911339584e-39,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."" [GOC:ma, PMID:26404467, Wikipedia:Ribosome_biogenesis]",527,2998,197,21641,0.0657104736490994,0.3738140417457306,query_1,['GO:0022613']
GO:CC,GO:0005829,cytosol,1.856292255760532e-32,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",1481,3033,392,20617,0.1292449719749423,0.2646860229574612,query_1,"['GO:0005737', 'GO:0110165']"
GO:BP,GO:0044085,cellular component biogenesis,7.330855224160434e-31,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]",1543,2998,385,21641,0.128418945963976,0.24951393389500973,query_1,['GO:0071840']
GO:BP,GO:0022618,protein-RNA complex assembly,2.2726789335702294e-28,True,"""The aggregation, arrangement and bonding together of proteins and RNA molecules to form a ribonucleoprotein complex."" [GOC:jl]",193,2998,94,21641,0.03135423615743829,0.48704663212435234,query_1,"['GO:0022613', 'GO:0065003', 'GO:0071826']"
GO:MF,GO:0003676,nucleic acid binding,1.6054075909502015e-27,True,"""Binding to a nucleic acid."" [GOC:jl]",5988,3285,1069,24541,0.3254185692541857,0.17852371409485637,query_1,['GO:0097159']
