source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0051252,regulation of RNA metabolic process,1.4269070578376116e-05,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",2944,2171,382,21641,0.1759557807461999,0.1297554347826087,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']"
GO:MF,GO:0003700,DNA-binding transcription factor activity,3.27896119663553e-05,True,"""A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."" [GOC:txnOH-2018]",1623,2505,231,24541,0.09221556886227544,0.1423290203327172,query_1,['GO:0140110']
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,4.7236476240218796e-05,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",2993,2171,384,21641,0.1768770152003685,0.12829936518543267,query_1,"['GO:0006139', 'GO:0080090']"
GO:MF,GO:0140110,transcription regulator activity,0.0001386378775597972,True,"""A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."" [GOC:pg, GOC:txnOH-2018, Wikipedia:Transcription_factor]",1805,2505,249,24541,0.09940119760479042,0.13795013850415513,query_1,['GO:0003674']
GO:BP,GO:2001141,regulation of RNA biosynthetic process,0.00016485937820766349,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",2811,2171,360,21641,0.16582220175034545,0.128068303094984,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']"
GO:BP,GO:0006355,regulation of DNA-templated transcription,0.00016485937820766349,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",2811,2171,360,21641,0.16582220175034545,0.128068303094984,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']"
GO:BP,GO:0006351,DNA-templated transcription,0.0007498916742099349,True,"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",3098,2171,387,21641,0.17825886688162138,0.12491930277598451,query_1,"['GO:0010467', 'GO:0032774']"
GO:BP,GO:0009813,flavonoid biosynthetic process,0.0018497228329087253,True,"""The chemical reactions and pathways resulting in the formation of flavonoids, a group of phenolic derivatives containing a flavan skeleton."" [GOC:tair_curators, ISBN:0198547684]",30,2171,13,21641,0.005988023952095809,0.43333333333333335,query_1,"['GO:0009058', 'GO:0009812']"
GO:BP,GO:0080090,regulation of primary metabolic process,0.0029156215668306442,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",3360,2171,411,21641,0.1893136803316444,0.12232142857142857,query_1,"['GO:0019222', 'GO:0044238']"
GO:BP,GO:0009889,regulation of biosynthetic process,0.003204813528174773,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",3492,2171,425,21641,0.1957623215108245,0.12170675830469645,query_1,"['GO:0009058', 'GO:0019222']"
GO:BP,GO:0010468,regulation of gene expression,0.0032880418638118313,True,"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",3456,2171,421,21641,0.19391985260248734,0.12181712962962964,query_1,"['GO:0010467', 'GO:0010556']"
GO:BP,GO:0010556,regulation of macromolecule biosynthetic process,0.004690960337227739,True,"""Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3468,2171,421,21641,0.19391985260248734,0.12139561707035755,query_1,"['GO:0009059', 'GO:0009889', 'GO:0060255']"
GO:BP,GO:0009812,flavonoid metabolic process,0.009754520681077935,True,"""The chemical reactions and pathways involving flavonoids, a group of water-soluble phenolic derivatives containing a flavan skeleton including flavones, flavonols and flavanoids, and anthocyanins."" [GOC:tair_curators, ISBN:0198547684]",34,2171,13,21641,0.005988023952095809,0.38235294117647056,query_1,['GO:0008152']
GO:BP,GO:0006694,steroid biosynthetic process,0.012515643566793341,True,"""The chemical reactions and pathways resulting in the formation of steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus; includes de novo formation and steroid interconversion by modification."" [GOC:go_curators]",83,2171,22,21641,0.010133578995854445,0.26506024096385544,query_1,"['GO:0008202', 'GO:0008610']"
GO:BP,GO:0008202,steroid metabolic process,0.02134514754917709,True,"""The chemical reactions and pathways involving steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus."" [ISBN:0198547684]",104,2171,25,21641,0.011515430677107323,0.2403846153846154,query_1,['GO:0006629']
GO:BP,GO:0060255,regulation of macromolecule metabolic process,0.023368052701953346,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3674,2171,437,21641,0.20128972823583602,0.11894393032117583,query_1,"['GO:0019222', 'GO:0043170']"
GO:BP,GO:0050789,regulation of biological process,0.028010159431880385,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",5427,2171,622,21641,0.2865039152464302,0.11461212456237332,query_1,"['GO:0008150', 'GO:0065007']"
GO:MF,GO:0030414,peptidase inhibitor activity,0.02886776863860162,True,"""Binds to and stops, prevents or reduces the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."" [GOC:jl]",71,2505,19,24541,0.007584830339321357,0.2676056338028169,query_1,"['GO:0004857', 'GO:0061134']"
GO:MF,GO:0004866,endopeptidase inhibitor activity,0.02886776863860162,True,"""Binds to and stops, prevents or reduces the activity of an endopeptidase."" [GOC:jl]",71,2505,19,24541,0.007584830339321357,0.2676056338028169,query_1,"['GO:0030414', 'GO:0061135']"
GO:MF,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.029862536138477315,True,"""Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor."" [EC:1.14.-.-]",510,2505,80,24541,0.031936127744510975,0.1568627450980392,query_1,['GO:0016491']
GO:BP,GO:0006629,lipid metabolic process,0.030834486002691355,True,"""The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."" [GOC:ma]",1265,2171,170,21641,0.0783049286043298,0.13438735177865613,query_1,['GO:0044238']
GO:MF,GO:0061135,endopeptidase regulator activity,0.03550013172656402,True,"""Binds to and modulates the activity of a peptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides."" [GOC:dph, GOC:tb]",72,2505,19,24541,0.007584830339321357,0.2638888888888889,query_1,['GO:0061134']
GO:BP,GO:0010268,brassinosteroid homeostasis,0.04190638546464677,True,"""Any process involved in the maintenance of an internal steady state of brassinosteroids within an organism or cell."" [PMID:15908602]",24,2171,10,21641,0.004606172270842929,0.4166666666666667,query_1,['GO:0055088']
GO:MF,GO:0061134,peptidase regulator activity,0.04344483660553586,True,"""Binds to and modulates the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."" [GOC:dph, GOC:tb]",73,2505,19,24541,0.007584830339321357,0.2602739726027397,query_1,['GO:0030234']
