source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0004813,alanine-tRNA ligase activity,1.544205913207858e-06,True,"""Catalysis of the reaction: ATP + L-alanine + tRNA(Ala) = AMP + diphosphate + L-alanyl-tRNA(Ala)."" [EC:6.1.1.7]",7,86,4,24541,0.046511627906976744,0.5714285714285714,query_1,['GO:0004812']
GO:MF,GO:0016807,cysteine-type carboxypeptidase activity,1.544205913207858e-06,True,"""Catalysis of the hydrolysis of a single C-terminal amino acid residue from a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."" [GOC:mah, https://www.ebi.ac.uk/merops/about/glossary.shtml#CARBOXYPEPTIDASE]",7,86,4,24541,0.046511627906976744,0.5714285714285714,query_1,"['GO:0004180', 'GO:0070004']"
GO:MF,GO:0070004,cysteine-type exopeptidase activity,1.544205913207858e-06,True,"""Catalysis of the hydrolysis of C- or N-terminal peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."" [GOC:mah, https://www.ebi.ac.uk/merops/about/glossary.shtml#CATTYPE, https://www.ebi.ac.uk/merops/about/glossary.shtml#EXOPEPTIDASE]",7,86,4,24541,0.046511627906976744,0.5714285714285714,query_1,"['GO:0008234', 'GO:0008238']"
GO:BP,GO:0006419,alanyl-tRNA aminoacylation,3.1660304522313965e-06,True,"""The process of coupling alanine to alanyl-tRNA, catalyzed by alanyl-tRNA synthetase. The alanyl-tRNA synthetase is a class-II synthetases. The activated amino acid is transferred to the 3'-OH group of an alanine accetping tRNA."" [GOC:mcc, ISBN:0716730510]",7,76,4,21641,0.05263157894736842,0.5714285714285714,query_1,['GO:0006418']
GO:MF,GO:1990380,K48-linked deubiquitinase activity,2.1549212256363205e-05,True,"""Hydrolysis of a ubiquitin unit from a ubiquitinated protein linked via the Lys48 residue of ubiquitin."" [GOC:bf, GOC:PARL, PMID:22970133]",12,86,4,24541,0.046511627906976744,0.3333333333333333,query_1,['GO:0101005']
GO:MF,GO:0004812,aminoacyl-tRNA ligase activity,3.355391849209837e-05,True,"""Catalysis of the formation of aminoacyl-tRNA from ATP, amino acid, and tRNA with the release of diphosphate and AMP."" [ISBN:0198506732]",108,86,7,24541,0.08139534883720931,0.06481481481481481,query_1,"['GO:0016875', 'GO:0140101']"
GO:MF,GO:0016875,"ligase activity, forming carbon-oxygen bonds",3.355391849209837e-05,True,"""Catalysis of the joining of two molecules via a carbon-oxygen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate."" [EC:6.1.-.-]",108,86,7,24541,0.08139534883720931,0.06481481481481481,query_1,['GO:0016874']
GO:BP,GO:0006418,tRNA aminoacylation for protein translation,3.456309905120836e-05,True,"""The synthesis of aminoacyl tRNA by the formation of an ester bond between the 3'-hydroxyl group of the most 3' adenosine of the tRNA and the alpha carboxylic acid group of an amino acid, to be used in ribosome-mediated polypeptide synthesis."" [GOC:ma]",98,76,7,21641,0.09210526315789473,0.07142857142857142,query_1,"['GO:0006412', 'GO:0043039']"
GO:BP,GO:0043039,tRNA aminoacylation,4.562411694133791e-05,True,"""The chemical reactions and pathways by which the various amino acids become bonded to their corresponding tRNAs. The most common route for synthesis of aminoacyl tRNA is by the formation of an ester bond between the 3'-hydroxyl group of the most 3' adenosine of the tRNA and the alpha carboxylic acid group of an amino acid, usually catalyzed by the cognate aminoacyl-tRNA ligase. A given aminoacyl-tRNA ligase aminoacylates all species of an isoaccepting group of tRNA molecules."" [GOC:ma, GOC:mah, MetaCyc:Aminoacyl-tRNAs]",102,76,7,21641,0.09210526315789473,0.06862745098039216,query_1,"['GO:0006399', 'GO:0043038']"
GO:BP,GO:0043038,amino acid activation,4.881432679921507e-05,True,"""The modification of an amino acid to an active form, for incorporation into a peptide, protein or other macromolecule."" [GOC:jl]",103,76,7,21641,0.09210526315789473,0.06796116504854369,query_1,['GO:0006520']
GO:MF,GO:0004180,carboxypeptidase activity,0.00025788597896862206,True,"""Catalysis of the hydrolysis of a single C-terminal amino acid residue from a polypeptide chain."" [https://www.ebi.ac.uk/merops/about/glossary.shtml#CARBOXYPEPTIDASE]",91,86,6,24541,0.06976744186046512,0.06593406593406594,query_1,['GO:0008238']
GO:CC,GO:0032300,mismatch repair complex,0.0006902662539023792,True,"""Any complex formed of proteins that act in mismatch repair."" [GOC:mah]",13,57,3,20617,0.05263157894736842,0.23076923076923078,query_1,"['GO:0005622', 'GO:0032991']"
GO:MF,GO:0140101,"catalytic activity, acting on a tRNA",0.00179668759453522,True,"""Catalytic activity that acts to modify a tRNA."" [GOC:molecular_function_refactoring, GOC:pdt]",195,86,7,24541,0.08139534883720931,0.035897435897435895,query_1,['GO:0140098']
GO:BP,GO:0080162,endoplasmic reticulum to cytosol auxin transport,0.003186371934009719,True,"""The directed movement of auxins from endoplasmic reticulum to cytosol."" [PMID:19506555]",10,76,3,21641,0.039473684210526314,0.3,query_1,"['GO:0055085', 'GO:0060918']"
GO:MF,GO:0008238,exopeptidase activity,0.005447677901853442,True,"""Catalysis of the hydrolysis of a peptide bond not more than three residues from the N- or C-terminus of a polypeptide chain, in a reaction that requires a free N-terminal amino group, C-terminal carboxyl group or both."" [https://www.ebi.ac.uk/merops/about/glossary.shtml#EXOPEPTIDASE]",154,86,6,24541,0.06976744186046512,0.03896103896103896,query_1,['GO:0008233']
GO:MF,GO:0004843,cysteine-type deubiquitinase activity,0.00904240295671972,True,"""An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."" [GOC:jh2, PMID:30783221]",101,86,5,24541,0.05813953488372093,0.04950495049504951,query_1,"['GO:0008234', 'GO:0101005']"
GO:MF,GO:0101005,deubiquitinase activity,0.017572234965242853,True,"""An isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."" [GOC:mec, PMID:30783221]",116,86,5,24541,0.05813953488372093,0.04310344827586207,query_1,['GO:0019783']
GO:BP,GO:0051604,protein maturation,0.0187487667443549,True,"""Any process leading to the attainment of the full functional capacity of a protein."" [GOC:ai]",568,76,10,21641,0.13157894736842105,0.017605633802816902,query_1,"['GO:0010467', 'GO:0019538']"
GO:MF,GO:0030983,mismatched DNA binding,0.02860088823424809,True,"""Binding to a double-stranded DNA region containing one or more mismatches."" [GOC:mah]",25,86,3,24541,0.03488372093023256,0.12,query_1,['GO:0003690']
GO:BP,GO:0006399,tRNA metabolic process,0.03566550881834049,True,"""The chemical reactions and pathways involving tRNA, transfer RNA, a class of relatively small RNA molecules responsible for mediating the insertion of amino acids into the sequence of nascent polypeptide chains during protein synthesis. Transfer RNA is characterized by the presence of many unusual minor bases, the function of which has not been completely established."" [ISBN:0198506732]",278,76,7,21641,0.09210526315789473,0.025179856115107913,query_1,['GO:0016070']
