source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0009507,chloroplast,1.1263512501287266e-293,True,"""A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."" [ISBN:0471245208]",1377,2954,751,20617,0.2542315504400812,0.5453885257806826,query_1,['GO:0009536']
GO:CC,GO:0009536,plastid,3.398622657838528e-293,True,"""Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid."" [GOC:jl, ISBN:0198547684]",1564,2954,805,20617,0.2725118483412322,0.5147058823529411,query_1,"['GO:0005737', 'GO:0043231']"
GO:CC,GO:0034357,photosynthetic membrane,5.360018953694575e-160,True,"""A membrane enriched in complexes formed of reaction centers, accessory pigments and electron carriers, in which photosynthetic reactions take place."" [GOC:ds, GOC:mah]",318,2954,259,20617,0.08767772511848342,0.8144654088050315,query_1,"['GO:0009579', 'GO:0016020']"
GO:CC,GO:0009579,thylakoid,1.5482538647151844e-151,True,"""A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation."" [GOC:ds, GOC:mtg_sensu, ISBN:0198506732]",485,2954,320,20617,0.1083276912660799,0.6597938144329897,query_1,['GO:0043232']
GO:CC,GO:0031976,plastid thylakoid,7.199458167121854e-142,True,"""Any thylakoid within a plastid."" [GOC:pz]",282,2954,230,20617,0.07786052809749493,0.8156028368794326,query_1,"['GO:0009536', 'GO:0009579']"
GO:CC,GO:0009534,chloroplast thylakoid,7.199458167121854e-142,True,"""Sac-like membranous structures (cisternae) in a chloroplast combined into stacks (grana) and present singly in the stroma (stroma thylakoids or frets) as interconnections between grana. An example of this component is found in Arabidopsis thaliana."" [GOC:mtg_sensu, ISBN:0943088399]",282,2954,230,20617,0.07786052809749493,0.8156028368794326,query_1,"['GO:0009507', 'GO:0031976']"
GO:CC,GO:0042651,thylakoid membrane,1.1406010495962205e-139,True,"""The pigmented membrane of any thylakoid."" [GOC:jl, GOC:pr]",292,2954,233,20617,0.07887610020311442,0.797945205479452,query_1,['GO:0034357']
GO:BP,GO:0015979,photosynthesis,1.7435701473690253e-139,True,"""The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds."" [ISBN:0198547684]",323,2985,244,21641,0.08174204355108877,0.7554179566563467,query_1,['GO:0008152']
GO:CC,GO:0009526,plastid envelope,2.3580577530244972e-127,True,"""The double lipid bilayer enclosing a plastid and separating its contents from the rest of the cytoplasm; includes the intermembrane space."" [GOC:jy]",493,2954,300,20617,0.1015572105619499,0.6085192697768763,query_1,"['GO:0009536', 'GO:0031967']"
GO:CC,GO:0009535,chloroplast thylakoid membrane,1.0145000379782322e-119,True,"""The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana."" [GOC:lr, GOC:mtg_sensu]",237,2954,194,20617,0.06567366283006093,0.8185654008438819,query_1,"['GO:0009534', 'GO:0031968', 'GO:0055035']"
GO:CC,GO:0055035,plastid thylakoid membrane,1.0145000379782322e-119,True,"""The lipid bilayer membrane of any thylakoid within a plastid."" [GOC:jid, GOC:rph]",237,2954,194,20617,0.06567366283006093,0.8185654008438819,query_1,"['GO:0031976', 'GO:0042170', 'GO:0042651']"
GO:CC,GO:0042170,plastid membrane,4.924803880728727e-106,True,"""Either of the lipid bilayers that surround a plastid and form the plastid envelope."" [GOC:mah]",386,2954,242,20617,0.08192281651997292,0.6269430051813472,query_1,"['GO:0009526', 'GO:0031090']"
GO:CC,GO:0031968,organelle outer membrane,4.556197782503081e-92,True,"""The outer, i.e. cytoplasm-facing in a cellular organelle, lipid bilayer of an organelle envelope."" [GOC:mah]",345,2954,214,20617,0.07244414353419093,0.6202898550724638,query_1,"['GO:0019867', 'GO:0031967', 'GO:0098588']"
