Function	TotalCounts	ModuleCounts	Pvalue	Relevancy	Module
UDP-arabinopyranose mutase 3 OS=Oryza sativa subsp. japonica	7	2	0.0005560673392028777	True	lightgreen
UTP--glucose-1-phosphate uridylyltransferase 1 OS=Arabidopsis thaliana	3	1	0.015522403657169665	True	lightgreen
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase, chloroplastic OS=Arabidopsis thaliana	9	4	8.810830831756569e-08	True	lightgreen
Acireductone dioxygenase 4 OS=Oryza sativa subsp. japonica	9	1	0.04585102315385081	True	lightgreen
Guanosine deaminase OS=Arabidopsis thaliana	10	3	1.6230278441533236e-05	True	lightgreen
Beta-carotene 3-hydroxylase, chloroplastic OS=Gentiana lutea	7	1	0.03584630980731021	True	lightgreen
Xylan O-acetyltransferase 4 OS=Oryza sativa subsp. japonica	9	2	0.0009467285266311987	True	lightgreen
Probable histone H2A variant 3 OS=Oryza sativa subsp. japonica	19	1	0.09434486677331144	False	lightgreen
Peptidyl serine alpha-galactosyltransferase OS=Arabidopsis thaliana	16	1	0.08006028434432319	False	lightgreen
Cyclin-A1-1 OS=Oryza sativa subsp. japonica	18	3	0.00010701836753224442	True	lightgreen
Exosome complex exonuclease RRP46 homolog OS=Oryza sativa subsp. japonica	6	2	0.00039855921349480803	True	lightgreen
Anaphase-promoting complex subunit 4 OS=Arabidopsis thaliana	10	3	1.6230278441533236e-05	True	lightgreen
Protein CHROMOSOME TRANSMISSION FIDELITY 7 OS=Arabidopsis thaliana	5	5	3.6509480431740115e-12	True	lightgreen
Prefoldin subunit 6 OS=Arabidopsis thaliana	9	2	0.0009467285266311987	True	lightgreen
E3 ubiquitin-protein ligase CCNB1IP1 homolog OS=Oryza sativa subsp. japonica	12	10	7.847503052277358e-22	True	lightgreen
RecQ-mediated genome instability protein 1 OS=Oryza sativa subsp. japonica	5	5	3.6509480431740115e-12	True	lightgreen
ATPase family AAA domain-containing protein FIGL1 OS=Arabidopsis thaliana	40	3	0.0011909003475185384	True	lightgreen
Fanconi-associated nuclease 1 homolog OS=Oryza sativa subsp. japonica	4	2	0.00016052464487057073	True	lightgreen
Syntaxin-72 OS=Arabidopsis thaliana	2	2	2.693902239383178e-05	True	lightgreen
Katanin p80 WD40 repeat-containing subunit B1 homolog KTN80.3 OS=Arabidopsis thaliana	10	3	1.6230278441533236e-05	True	lightgreen
Katanin p80 WD40 repeat-containing subunit B1 homolog KTN80.4 OS=Arabidopsis thaliana	10	2	0.001179353088678615	True	lightgreen
Protein ROOT HAIR DEFECTIVE 3 homolog 1 OS=Oryza sativa subsp. japonica	10	1	0.05081454204998105	False	lightgreen
Transcription initiation factor TFIID subunit 5 OS=Arabidopsis thaliana	6	1	0.030804846597580614	True	lightgreen
NADPH-dependent pterin aldehyde reductase OS=Arabidopsis thaliana	3	1	0.015522403657169665	True	lightgreen
Transcription factor MYB52 OS=Arabidopsis thaliana	3	2	8.053915949391033e-05	True	lightgreen
Putative B3 domain-containing protein Os04g0676650 OS=Oryza sativa subsp. japonica	2	2	2.693902239383178e-05	True	lightgreen
Protein G1-like6 OS=Oryza sativa subsp. indica	5	2	0.00026662183874827584	True	lightgreen
Pirin-like protein OS=Solanum lycopersicum	11	1	0.055752347117564834	False	lightgreen
Exosome complex component RRP45B OS=Arabidopsis thaliana	12	1	0.06066457101655609	False	lightgreen
Protein SUPPRESSOR OF GENE SILENCING 3 homolog OS=Zea mays	6	1	0.030804846597580614	True	lightgreen
Polyadenylate-binding protein-interacting protein 11 OS=Arabidopsis thaliana	25	7	4.1869515151305265e-11	True	lightgreen
Polyadenylate-binding protein-interacting protein 10 OS=Arabidopsis thaliana	2	1	0.010375115491277747	True	lightgreen
THO complex subunit 7B OS=Arabidopsis thaliana	4	3	5.536741172499712e-07	True	lightgreen
Nucleolin 1 OS=Oryza sativa subsp. japonica	6	1	0.030804846597580614	True	lightgreen
Pumilio homolog 23 OS=Arabidopsis thaliana	4	4	7.137526400184872e-10	True	lightgreen
Large ribosomal subunit protein uL24z OS=Arabidopsis thaliana	5	1	0.0257371320335663	True	lightgreen
Small ribosomal subunit protein eS24y OS=Arabidopsis thaliana	10	1	0.05081454204998105	False	lightgreen
WD repeat-containing protein PCN OS=Arabidopsis thaliana	6	2	0.00039855921349480803	True	lightgreen
Nicastrin OS=Arabidopsis thaliana	7	2	0.0005560673392028777	True	lightgreen
Protein translation factor SUI1 homolog OS=Zea mays	2	1	0.010375115491277747	True	lightgreen
