Function	TotalCounts	ModuleCounts	Pvalue	Relevancy	Module
Cellular respiration	713	5	0.19901217335674354	False	lightgreen
Carbohydrate metabolism	771	3	0.7677402560578763	False	lightgreen
Amino acid metabolism	882	5	0.39213547035463747	False	lightgreen
Nucleotide metabolism	354	3	0.14949064555580127	False	lightgreen
Secondary metabolism	350	1	1.0	False	lightgreen
Redox homeostasis	602	1	0.7316011451152649	False	lightgreen
Phytohormone action	1356	2	0.2522424573769136	False	lightgreen
Chromatin organisation	1655	1	0.022854825440491756	True	lightgreen
Cell division	1729	34	1.6188160988966615e-15	True	lightgreen
DNA damage response	384	1	1.0	False	lightgreen
RNA biosynthesis	5305	13	0.11688983552625096	False	lightgreen
RNA processing	1619	4	0.5329514074011676	False	lightgreen
RNA homeostasis	1170	13	0.0005111485054096695	True	lightgreen
Protein biosynthesis	2017	14	0.024106930447140722	True	lightgreen
Protein modification	3415	15	0.5576269624769838	False	lightgreen
Protein homeostasis	3834	10	0.267268248242471	False	lightgreen
Cytoskeleton organisation	1133	1	0.136333671060154	False	lightgreen
Cell wall organisation	1345	1	0.06744657792894135	False	lightgreen
Vesicle trafficking	1902	2	0.05164501689540528	False	lightgreen
Protein translocation	697	2	1.0	False	lightgreen
Solute transport	3163	10	0.6522306673635376	False	lightgreen
External stimuli response	958	1	0.27571638222782946	False	lightgreen
Multi-process regulation	2009	12	0.1296929305928513	False	lightgreen
Plant reproduction	329	1	1.0	False	lightgreen
Cellular respiration	713	50	1.2158834047438636e-09	True	salmon
Carbohydrate metabolism	771	15	0.217195533505206	False	salmon
Amino acid metabolism	882	5	4.586934111035705e-06	True	salmon
Lipid metabolism	1450	49	0.11601939816684703	False	salmon
Nucleotide metabolism	354	9	1.0	False	salmon
Secondary metabolism	350	16	0.043727036034077266	True	salmon
Redox homeostasis	602	3	0.00011295255673014342	True	salmon
Phytohormone action	1356	13	7.748105407251716e-06	True	salmon
Chromatin organisation	1655	16	8.276847549533952e-07	True	salmon
Cell division	1729	28	0.003808128362637678	True	salmon
DNA damage response	384	11	0.7519962220558842	False	salmon
RNA biosynthesis	5305	21	6.595951695479488e-41	True	salmon
RNA processing	1619	3	7.965486682106877e-16	True	salmon
RNA homeostasis	1170	43	0.04336242652735792	True	salmon
Protein biosynthesis	2017	17	2.1030559291584416e-09	True	salmon
Protein modification	3415	144	1.0003034666233282e-07	True	salmon
Protein homeostasis	3834	141	0.00015948147790508524	True	salmon
Cytoskeleton organisation	1133	36	0.30583926491562574	False	salmon
Cell wall organisation	1345	26	0.08632123652660295	False	salmon
Vesicle trafficking	1902	302	6.520239517441591e-148	True	salmon
Protein translocation	697	42	2.4275904032374313e-06	True	salmon
Solute transport	3163	55	0.00030927660381328256	True	salmon
Nutrient uptake	547	1	7.645302308282203e-06	True	salmon
External stimuli response	958	5	8.538957635751572e-07	True	salmon
Multi-process regulation	2009	42	0.0899034568335663	False	salmon
Plant reproduction	329	14	0.08588416080867496	False	salmon
Plant organogenesis	683	4	0.00010632161124503194	True	salmon
Photosynthesis	774	3	0.19557759554275475	False	darkturquoise
Cellular respiration	713	4	0.052267419810651645	False	darkturquoise
Amino acid metabolism	882	5	0.03013081716797844	True	darkturquoise
Lipid metabolism	1450	6	0.06609537893962084	False	darkturquoise
Nucleotide metabolism	354	1	0.5034666818069677	False	darkturquoise
Secondary metabolism	350	1	0.49950616977450635	False	darkturquoise
Phytohormone action	1356	2	1.0	False	darkturquoise
Chromatin organisation	1655	3	1.0	False	darkturquoise
Cell division	1729	4	0.5845436964262328	False	darkturquoise
RNA biosynthesis	5305	5	0.09393604392163446	False	darkturquoise
RNA processing	1619	2	0.7727882518522244	False	darkturquoise
RNA homeostasis	1170	5	0.08087410082409877	False	darkturquoise
Protein biosynthesis	2017	4	1.0	False	darkturquoise
Protein modification	3415	3	0.15863631398806943	False	darkturquoise
Protein homeostasis	3834	13	0.05194997069930448	False	darkturquoise
Cytoskeleton organisation	1133	4	0.288139446894046	False	darkturquoise
Cell wall organisation	1345	2	1.0	False	darkturquoise
Vesicle trafficking	1902	3	1.0	False	darkturquoise
Protein translocation	697	4	0.04883673989246327	True	darkturquoise
Solute transport	3163	2	0.0916700722492841	False	darkturquoise
Plant reproduction	329	4	0.004108558390406307	True	darkturquoise
Plant organogenesis	683	1	1.0	False	darkturquoise
Photosynthesis	774	1	1.0	False	steelblue
Cellular respiration	713	4	0.04482205700040736	True	steelblue
Carbohydrate metabolism	771	1	1.0	False	steelblue
Amino acid metabolism	882	8	0.00024548633109142354	True	steelblue
Lipid metabolism	1450	7	0.018769136143292786	True	steelblue
Nucleotide metabolism	354	2	0.14210243499637656	False	steelblue
Secondary metabolism	350	1	0.48208654099459497	False	steelblue
Phytohormone action	1356	3	0.7423370332158135	False	steelblue
Chromatin organisation	1655	2	0.7716158508126272	False	steelblue
Cell division	1729	5	0.2588599686762615	False	steelblue
RNA biosynthesis	5305	3	0.015688165819319855	True	steelblue
RNA homeostasis	1170	1	0.7278599129865682	False	steelblue
Protein biosynthesis	2017	3	1.0	False	steelblue
Protein modification	3415	6	1.0	False	steelblue
Protein homeostasis	3834	15	0.005066465457368444	True	steelblue
Vesicle trafficking	1902	2	0.5867485877931999	False	steelblue
Solute transport	3163	7	0.665194219107083	False	steelblue
External stimuli response	958	3	0.26638906881431706	False	steelblue
Multi-process regulation	2009	3	1.0	False	steelblue
Photosynthesis	774	2	1.0231629472270761e-20	True	red
Cellular respiration	713	11	1.0462199606617266e-10	True	red
Carbohydrate metabolism	771	24	1.5323728006694793e-05	True	red
Amino acid metabolism	882	22	2.4305657710594812e-08	True	red
Lipid metabolism	1450	80	0.07700427924341907	False	red
Nucleotide metabolism	354	15	0.06843312766158072	False	red
Secondary metabolism	350	5	4.732286605404254e-06	True	red
Redox homeostasis	602	10	8.789412311815985e-09	True	red
Phytohormone action	1356	55	3.205005140932659e-05	True	red
Chromatin organisation	1655	383	2.2479313916297e-108	True	red
Cell division	1729	126	0.3015157000231723	False	red
DNA damage response	384	45	0.00027963038420715286	True	red
RNA biosynthesis	5305	399	0.009547705075639106	True	red
RNA processing	1619	173	8.827633115025882e-10	True	red
RNA homeostasis	1170	172	1.2186289146265381e-22	True	red
Protein biosynthesis	2017	33	1.3920772010974764e-27	True	red
Protein modification	3415	219	0.5429869198918456	False	red
