Function_origin	Module	SFunction_1	SFunction_2	SFunction_3
d1	lightgreen	Cell division	RNA homeostasis	Chromatin organisation
d1	salmon	Vesicle trafficking	RNA biosynthesis	RNA processing
d1	darkturquoise	Plant reproduction	Amino acid metabolism	Protein translocation
d1	steelblue	Amino acid metabolism	Protein homeostasis	RNA biosynthesis
d1	red	Chromatin organisation	Protein biosynthesis	RNA homeostasis
d1	greenyellow	Protein biosynthesis	External stimuli response	Amino acid metabolism
d1	cyan	RNA biosynthesis	Multi-process regulation	Protein biosynthesis
d1	magenta	Cellular respiration	Protein homeostasis	Cell wall organisation
d1	brown	RNA processing	Photosynthesis	Cell wall organisation
d1	white	RNA processing	Multi-process regulation	Vesicle trafficking
d1	royalblue	DNA damage response	RNA biosynthesis	Nucleotide metabolism
d1	turquoise	Photosynthesis	Chromatin organisation	Cell division
d1	darkred	Cell division	Protein modification	Protein biosynthesis
d1	sienna3	RNA biosynthesis	Cell wall organisation	Phytohormone action
d1	yellowgreen	Cellular respiration	Solute transport	RNA homeostasis
d1	paleturquoise	Cellular respiration	Protein homeostasis	Lipid metabolism
d1	purple	Amino acid metabolism	Redox homeostasis	RNA processing
d1	yellow	Cell wall organisation	Protein biosynthesis	Cytoskeleton organisation
d1	skyblue3	Cell wall organisation	RNA biosynthesis	Secondary metabolism
d1	violet	Plant organogenesis	Multi-process regulation	Protein modification
d1	orange	Redox homeostasis	Photosynthesis	Cellular respiration
d1	green	Protein biosynthesis	Cell wall organisation	Photosynthesis
d1	pink	Protein biosynthesis	RNA processing	Photosynthesis
d1	skyblue	Cell division	Secondary metabolism	Protein modification
d1	darkolivegreen	Lipid metabolism	Solute transport	Amino acid metabolism
d1	plum1	Cell division	Multi-process regulation	RNA biosynthesis
d1	darkmagenta	Cellular respiration	DNA damage response	Protein biosynthesis
d1	midnightblue	DNA damage response	RNA biosynthesis	Vesicle trafficking
d1	darkgrey	Redox homeostasis	Protein translocation	RNA biosynthesis
d1	black	Solute transport	Multi-process regulation	Cell wall organisation
d1	lightcyan	Cell division	DNA damage response	Chromatin organisation
d1	tan	Protein biosynthesis	Solute transport	Phytohormone action
d1	lightyellow	Cell wall organisation	Vesicle trafficking	RNA processing
d1	grey	Protein biosynthesis	Photosynthesis	Chromatin organisation
d1	blue	Protein biosynthesis	Cell division	Photosynthesis
d1	darkorange	Cellular respiration	Vesicle trafficking	Cell division
d1	grey60	DNA damage response	Protein homeostasis	RNA processing
d1	saddlebrown	RNA homeostasis	Lipid metabolism	Multi-process regulation
d1	darkgreen	Cell wall organisation	RNA biosynthesis	Plant organogenesis
d2	lightgreen	Cell division.meiotic recombination	Protein modification.lipidation	Cell division.cell cycle organisation
d2	salmon	Vesicle trafficking.retrograde trafficking	Vesicle trafficking.clathrin coated vesicle machinery	RNA biosynthesis.DNA-binding transcriptional regulation
d2	darkturquoise	Amino acid metabolism.shikimate group amino acid biosynthesis	Plant reproduction.pollination and fertilization	Protein translocation.peroxisome
d2	steelblue	Amino acid metabolism.amino acid degradation	Cell division.meiotic recombination	Chromatin organisation.DNA homeostasis
d2	red	Chromatin organisation.nucleosome remodeling	RNA biosynthesis.RNA polymerase II-dependent transcription	Chromatin organisation.post-translational histone modification
d2	greenyellow	RNA biosynthesis.DNA-binding transcriptional regulation	External stimuli response.salinity	Redox homeostasis.glutathione-based redox regulation
d2	cyan	Cytoskeleton organisation.actin and tubulin folding	Multi-process regulation.phosphoinositide signalling	RNA biosynthesis.DNA-binding transcriptional regulation
d2	magenta	RNA homeostasis.mRNA surveillance pathways	Cellular respiration.oxidative phosphorylation	Redox homeostasis.glutathione-based redox regulation
d2	brown	Plant organogenesis.flower formation	RNA processing.spliceosome-mediated pre-mRNA splicing	Photosynthesis.photophosphorylation
d2	white	RNA processing.tRNA modification	Protein translocation.chloroplast	Cell division.plastid division
d2	royalblue	DNA damage response.DNA damage tolerance (DDT) pathways	Cytoskeleton organisation.actin and tubulin folding	RNA biosynthesis.DNA-binding transcriptional regulation
d2	turquoise	Photosynthesis.photophosphorylation	Protein biosynthesis.organellar translation machinery	Photosynthesis.calvin cycle
d2	darkred	Cell division.DNA replication	Multi-process regulation.ROP-GTPase regulatory system	Solute transport.channel-mediated transport
d2	sienna3	RNA biosynthesis.DNA-binding transcriptional regulation	Cell wall organisation.cutin and suberin	Cell wall organisation.pectin
d2	yellowgreen	Cellular respiration.oxidative phosphorylation	RNA homeostasis.mRNA silencing	Solute transport.channel-mediated transport
d2	paleturquoise	Cellular respiration.oxidative phosphorylation	RNA biosynthesis.RNA polymerase III-dependent transcription	Cellular respiration.tricarboxylic acid cycle
d2	purple	Protein homeostasis.protein repair	RNA biosynthesis.DNA-dependent RNA polymerase complexes	RNA processing.pre-tRNA splicing
d2	yellow	Cell wall organisation.cellulose	Protein modification.phosphorylation	Cytoskeleton organisation.microtubular network
d2	skyblue3	Cell wall organisation.pectin	RNA biosynthesis.DNA-binding transcriptional regulation	Secondary metabolism.terpenoid biosynthesis
d2	violet	Plant organogenesis.flower formation	Plant organogenesis.leaf formation	Cytoskeleton organisation.microfilament network
d2	orange	Carbohydrate metabolism.plastidial glycolysis	Redox homeostasis.reactive electrophilic lipid homeostasis	Amino acid metabolism.glutamate group amino acid biosynthesis
d2	green	Cell wall organisation.hemicellulose	RNA biosynthesis.DNA-binding transcriptional regulation	Protein biosynthesis.ribosome biogenesis
d2	pink	Vesicle trafficking.autophagosome formation	External stimuli response.pathogen	Redox homeostasis.glutathione-based redox regulation
d2	skyblue	Cell wall organisation.cell surface reactive oxygen homeostasis	RNA homeostasis.RNA transport	Multi-process regulation.14-3-3 regulatory system
d2	darkolivegreen	Protein modification.lipidation	Amino acid metabolism.shikimate group amino acid biosynthesis	Lipid metabolism.cytoplasmic lipid droplet-associated activities
d2	plum1	Cell division.cell cycle organisation	Multi-process regulation.G-protein-dependent signalling	RNA biosynthesis.DNA-binding transcriptional regulation
d2	darkmagenta	Cellular respiration.oxidative phosphorylation	DNA damage response.DNA damage tolerance (DDT) pathways	Protein biosynthesis.ribosome biogenesis
d2	midnightblue	DNA damage response.homologous recombination repair (HR)	External stimuli response.temperature	RNA homeostasis.mRNA degradation
d2	darkgrey	Redox homeostasis.glutathione-based redox regulation	External stimuli response.temperature	Protein translocation.endoplasmic reticulum
d2	black	Cell wall organisation.pectin	Cytoskeleton organisation.microfilament network	Protein modification.phosphorylation
d2	lightcyan	DNA damage response.DNA damage sensing and signalling	Cell division.DNA replication	Cell division.cell cycle organisation
d2	tan	Solute transport.carrier-mediated transport	Multi-process regulation.Programmed Cell Death (PCD) system	Phytohormone action.jasmonic acid
d2	lightyellow	Cell wall organisation.lignin	Cell wall organisation.hemicellulose	Cell wall organisation.cutin and suberin
d2	grey	Protein biosynthesis.ribosome biogenesis	Photosynthesis.photophosphorylation	Protein biosynthesis.organellar translation machinery
d2	blue	Protein biosynthesis.ribosome biogenesis	Cell division.cell cycle organisation	Photosynthesis.photophosphorylation
d2	darkorange	Multi-process regulation.14-3-3 regulatory system	Vesicle trafficking.anterograde trafficking	RNA biosynthesis.RNA polymerase II-dependent transcription
d2	grey60	RNA processing.tRNA modification	Multi-process regulation.nitric oxide signalling	DNA damage response.homologous recombination repair (HR)
d2	saddlebrown	Lipid metabolism.glycerolipid metabolism	Vesicle trafficking.endocytic trafficking	RNA homeostasis.mRNA surveillance pathways
d2	darkgreen	Cell wall organisation.cutin and suberin	Plant organogenesis.leaf formation	RNA biosynthesis.DNA-binding transcriptional regulation
d3	lightgreen	Cell division.meiotic recombination.meiotic crossover	RNA homeostasis.post-transcriptional regulator activities.CID-type posttranscriptional regulator activity	Protein modification.lipidation.glycophosphatidylinositol (GPI) anchor addition
d3	salmon	Vesicle trafficking.retrograde trafficking.Coat protein I (COPI) coatomer machinery	Vesicle trafficking.anterograde trafficking.Coat protein II (COPII) coatomer machinery	Vesicle trafficking.clathrin coated vesicle machinery.TPLATE cargo adaptor complex
d3	darkturquoise	Amino acid metabolism.shikimate group amino acid biosynthesis.tryptophan biosynthesis	Plant reproduction.pollination and fertilization.pollen tube growth	Protein translocation.peroxisome.importomer translocation system
d3	steelblue	Amino acid metabolism.amino acid degradation.branched-chain amino acids	Lipid metabolism.fatty acid metabolism.acetyl-CoA generation	Cell division.meiotic recombination.meiotic crossover
d3	red	Chromatin organisation.nucleosome remodeling.SWI/SNF chromatin remodeling complexes	RNA homeostasis.mRNA surveillance pathways.Nonsense-Mediated Decay (NMD) pathway	Chromatin organisation.post-translational histone modification.histone acetylation
d3	greenyellow	RNA biosynthesis.DNA-binding transcriptional regulation.beta-hairpin exposed by alpha/beta-scaffold structure	External stimuli response.salinity.SOS (Salt Overly Sensitive) signalling pathway	Amino acid metabolism.serine group amino acid biosynthesis.cysteine biosynthesis
d3	cyan	Multi-process regulation.phosphoinositide signalling.phosphoinositide homeostasis	Cytoskeleton organisation.actin and tubulin folding.post-CCT Tubulin folding pathway	Vesicle trafficking.vesicle tethering.RAB-GTPase membrane association
d3	magenta	Cell division.DNA replication.elongation	RNA homeostasis.mRNA surveillance pathways.mRNA adenine deamination-dependent decay	RNA biosynthesis.RNA polymerase III-dependent transcription.TFIIIb transcription factor complex
d3	brown	Plant organogenesis.flower formation.floral meristem identity	RNA biosynthesis.DNA-binding transcriptional regulation.alpha-helix exposed by beta-structure	RNA processing.spliceosome-mediated pre-mRNA splicing.spliceosome-associated non-snRNP factor activities
d3	white	Protein homeostasis.protein quality control.plastidial chaperonin system	Cell division.plastid division.contractile complex	Amino acid metabolism.polyamine metabolism.cadaverine biosynthesis
d3	royalblue	DNA damage response.DNA damage tolerance (DDT) pathways.DNA polymerase eta *(POLH)	Cytoskeleton organisation.actin and tubulin folding.Prefoldin-Like (PFDL) co-chaperone complex	RNA biosynthesis.DNA-binding transcriptional regulation.alpha-helix exposed by beta-structure
d3	turquoise	Photosynthesis.photophosphorylation.photosystem II	Protein biosynthesis.organellar translation machinery.plastidial ribosome biogenesis	Photosynthesis.photophosphorylation.chlororespiration
d3	darkred	Cell division.DNA replication.endoreduplication	Protein modification.phosphorylation.AGC protein kinase activities	Protein homeostasis.ubiquitin-proteasome system.DAR protease system
d3	sienna3	RNA biosynthesis.DNA-binding transcriptional regulation.alpha-helix exposed by beta-structure	Cell wall organisation.cutin and suberin.alkyl-hydrocinnamate biosynthesis	Cell wall organisation.pectin.homogalacturonan
d3	yellowgreen	Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	Solute transport.channel-mediated transport.cyclic nucleotide-gated cation channel *(CNGC1/2/++)	Solute transport.carrier-mediated transport.DMT-type transporter superfamily
d3	paleturquoise	Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	RNA biosynthesis.RNA polymerase III-dependent transcription.TFIIIf transcription factor heterodimer	Cellular respiration.oxidative phosphorylation.ATP synthase complex
d3	purple	Protein homeostasis.protein repair.protein-L-isoaspartate methyltransferase *(PIMT1/2)	Cytoskeleton organisation.microfilament network.actin polymerisation	RNA processing.pre-tRNA splicing.tRNA 2-phosphotransferase
d3	yellow	Protein modification.phosphorylation.TKL protein kinase activities	Cell wall organisation.cellulose.cellulose synthase complex (CSC)	Multi-process regulation.ROP-GTPase regulatory system.RopGEF guanine nucleotide exchange factor activities
d3	skyblue3	Cell wall organisation.pectin.rhamnogalacturonan I	RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain	Secondary metabolism.terpenoid biosynthesis.terpene biosynthesis
d3	violet	Plant organogenesis.flower formation.floral organ morphogenesis	Plant organogenesis.leaf formation.abaxial polarity	RNA biosynthesis.DNA-binding transcriptional regulation.beta-barrel DNA-binding domain
d3	orange	Photosynthesis.calvin cycle.fructose-1,6-bisphosphate aldolase	Carbohydrate metabolism.plastidial glycolysis.fructose-1,6-bisphosphate aldolase *(FBA1)	Redox homeostasis.reactive electrophilic lipid homeostasis.oxylipin carbonyl degradation
d3	green	Cell wall organisation.hemicellulose.xylan	Cell wall organisation.hemicellulose.xyloglucan	Cell wall organisation.cell wall proteins.expansin activities
d3	pink	Vesicle trafficking.autophagosome formation.expansion	Chromatin organisation.chromatin structure.DNA bridging	Protein modification.phosphorylation.TKL protein kinase activities
d3	skyblue	Cell wall organisation.cell surface reactive oxygen homeostasis.cell surface multi-copper oxidase *(SKU5)	Vesicle trafficking.anterograde trafficking.vesicle tethering	Lipid metabolism.glycerolipid metabolism.triacylglycerol biosynthesis
d3	darkolivegreen	Protein modification.lipidation.protein S-acylation	Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	Lipid metabolism.cytoplasmic lipid droplet-associated activities.Caleosin-type peroxygenase *(CLO/PXG)
d3	plum1	Multi-process regulation.G-protein-dependent signalling.regulatory protein *(NDL1/2/3)	Cell division.cell cycle organisation.metaphase to anaphase transition	Cell division.cell cycle organisation.sister chromatid separation
d3	darkmagenta	Cellular respiration.oxidative phosphorylation.ATP synthase complex	DNA damage response.DNA damage tolerance (DDT) pathways.DNA polymerase eta *(POLH)	Protein biosynthesis.ribosome biogenesis.small ribosomal subunit (SSU)
d3	midnightblue	DNA damage response.homologous recombination repair (HR).Smc5-Smc6 complex	Vesicle trafficking.vesicle tethering.TRAPP-II complex-specific components	RNA processing.tRNA modification.tRNA editing
d3	darkgrey	Redox homeostasis.glutathione-based redox regulation.glutathione degradation	External stimuli response.temperature.cold response	Protein modification.acetylation.protein acetylase *(GNAT9)
