Function	TotalCounts	ModuleCounts	Pvalue	Relevancy	Module
ferredoxin electron transfer protein *(Fd1/2/3)	10	1	0.22661859628753983	False	tan
assembly factor CRR41 involved in NDH complex assembly	1	1	0.02536812946493658	True	tan
transketolase	14	14	4.197389336676487e-23	True	tan
aminomethyltransferase component *(T-protein) of glycine cleavage system	1	1	0.02536812946493658	True	tan
serine hydroxymethyltransferase	2	2	0.0006429411958284657	True	tan
non-peroxisomal hydroxypyruvate reductase *(HPR2/3)	12	1	0.26536913179986016	False	tan
alpha-type carbonic anhydrase	21	3	0.015396737713454121	True	tan
beta-type carbonic anhydrase	23	4	0.002481310876212996	True	tan
subunit alpha of E1 subcomplex of pyruvate dehydrogenase complex	10	5	2.3586289756219487e-06	True	tan
alternative oxidase *(AOx)	5	1	0.12057198423327212	False	tan
component *(Cox-X1) of cytochrome c oxidase complex	6	1	0.14288413880471892	False	tan
alkaline sucrose-specific invertase *(CIN)	19	1	0.3863445688945952	False	tan
starch synthase *(SS3)	5	1	0.12057198423327212	False	tan
alpha amylase *(AMY1/2/3)	16	5	3.600648947590635e-05	True	tan
trehalose-6-phosphate phosphatase	41	8	7.589191758943111e-06	True	tan
galactinol synthase *(GolS)	4	3	6.388355304758299e-05	True	tan
galactinol-sucrose galactosyltransferase *(RFS1/6)	6	2	0.009011211376038194	True	tan
phosphosugar phosphatase	7	3	0.0005278426030653881	True	tan
aldehyde dehydrogenase *(ALDH2B)	4	1	0.09767957789854759	False	tan
ribose-phosphate diphosphokinase	6	1	0.14288413880471892	False	tan
cystathionine gamma-synthase	12	5	7.10516979816787e-06	True	tan
methionine S-methyltransferase *(MMT1)	2	2	0.0006429411958284657	True	tan
ketol-acid reductoisomerase	10	4	7.652900590456775e-05	True	tan
serine O-acetyltransferase *(SAT)	5	2	0.006109952559649248	True	tan
mitochondrial serine hydroxymethyltransferase *(SHMT1/2)	2	2	0.0006429411958284657	True	tan
3-hydroxyisobutyryl-CoA hydrolase *(CHY)	5	2	0.006109952559649248	True	tan
arginine decarboxylase *(ADC1/2	2	1	0.05009331773404469	False	tan
spermine synthase *(SPMS)	16	9	4.100286470245131e-11	True	tan
peroxisomal polyamine oxidase *(PAO2/3/4)	13	2	0.04166937202125533	True	tan
fatty acid export protein *(FAX1/2/++)	27	6	4.9259758329768674e-05	True	tan
fatty acid transporter *(ABCA2/9/11)	3	3	1.6279761033564863e-05	True	tan
peroxisomal long-chain acyl-CoA synthetase *(LACS6/7)	7	5	2.0947651039874255e-07	True	tan
long-chain acyl-CoA oxidase *(ACX1/5)	11	4	0.00011784075830531284	True	tan
multifunctional enoyl-CoA hydratase & 3-hydroxyacyl-CoA dehydrogenase *(AIM1/MFP2)	10	1	0.22661859628753983	False	tan
peroxisomal acetyl-CoA synthetase *(ACN/BZU)	2	1	0.05009331773404469	False	tan
lyso-phosphatidylethanolamine acyltransferase *(LPEAT)	17	2	0.06799788553003422	False	tan
phosphocholine phosphatase	12	2	0.03585080174645834	True	tan
choline kinase *(CEK)	8	3	0.0008286066530814943	True	tan
monoacylglycerol lipase	21	4	0.0017459226751642333	True	tan
phospholipase-A1 *(PC-PLA1)	22	1	0.43189328871944827	False	tan
phospholipase-A2 *(sPLA2))	7	3	0.0005278426030653881	True	tan
phospholipase-C *(nPLC))	6	1	0.14288413880471892	False	tan
phospholipase-D *(PLD-alpha)	29	2	0.1670284182697346	False	tan
glycerol kinase	1	1	0.02536812946493658	True	tan
catalytic component *(LCB2) of serine C-palmitoyltransferase complex	7	1	0.16463073545796747	False	tan
regulatory protein *(ORM1/2) of serine C-palmitoyltransferase activity	5	2	0.006109952559649248	True	tan
glycolipid transfer protein *(GLTP)	12	3	0.003017088520739178	True	tan
tetra-acyl-disaccharide kinase *(LpxK)	4	4	4.1183036222548715e-07	True	tan
regulatory component *(ALIS) of ALA-ALIS flippase complex	30	2	0.1761190401377408	False	tan
STEROLEOSIN-type dehydrogenase	21	3	0.015396737713454121	True	tan
lipid droplet-associated factor *(LDAP)	4	1	0.09767957789854759	False	tan
adenine phosphoribosyltransferase *(APT)	22	1	0.43189328871944827	False	tan
component *(NSH2) of NSH1-NSH2 nucleoside hydrolase heterodimer	3	2	0.0018962640654182673	True	tan
dihydopyrimidine aminohydrolase *(PYD2)	4	4	4.1183036222548715e-07	True	tan
multisubstrate deoxyribonucleoside kinase *(TK2)	3	1	0.0741918445683579	False	tan
1-deoxy-D-xylulose 5-phosphate synthase *(DXS)	3	1	0.0741918445683579	False	tan
substrate(PAL) adaptor of SCF E3 ubiquitin ligase *(SAGL1)	9	5	1.2046004204876226e-06	True	tan
class tau glutathione S-transferase *(GSTU1/2/++)	46	3	0.11102302897633026	False	tan
monodehydroascorbate reductase *(MDAR)	10	2	0.025274443903357674	True	tan
hydrogen peroxide receptor kinase *(HPCAL1/2/++)	22	16	1.7002797431972932e-21	True	tan
xanthoxin oxidase molybdopterin sulfurase *(ABA3)	8	5	5.468641867708343e-07	True	tan
phaseic acid reductase *(CRL1/2)	18	2	0.07524849824517191	False	tan
abscisic acid transporter *(ABCG25)	2	1	0.05009331773404469	False	tan
flavin-dependent monooxygenase *(YUC1/2/++)	26	2	0.1403111704585966	False	tan
transcriptional repressor *(IAA/AUX)	93	2	1.0	False	tan
kinase-regulatory protein *(MAKR2) of auxin perception and signal transduction	5	1	0.12057198423327212	False	tan
auxin efflux transporter *(PILS)	15	2	0.05426199141739127	False	tan
3-epi-6-deoxocathasterone 23-monooxygenase *(ROT3)	2	1	0.05009331773404469	False	tan
brassinosteroid co-receptor protein kinase *(BAK/SERK)	5	1	0.12057198423327212	False	tan
transcription regulator *(BES/BZR)	10	3	0.0017093155004062526	True	tan
cytokinin phosphoribohydrolase *(LOG)	17	1	0.3539695588403098	False	tan
cytokinin receptor protein *(AHK2/3/4)	19	3	0.011645945838361321	True	tan
