Function	TotalCounts	ModuleCounts	Pvalue	Relevancy	Module
glycine dehydrogenase decarboxylating 1 mitochondrial	5	2	0.02881562049347183	True	red
atp dependent 6 phosphofructokinase 4	26	1	1.0	False	red
isocitrate dehydrogenase [nad] subunit 1 mitochondrial	15	4	0.008594092099161524	True	red
methyltransf 11 domain containing protein	69	5	0.5965893404695486	False	red
cytochrome b c1 complex subunit 9	2	1	0.11051299823815972	False	red
phosphoglucomutase alpha d glucose bisphosphate dependent	15	4	0.008594092099161524	True	red
sucrose phosphate synthase	17	3	0.06878168528476121	False	red
hexokinase protein	31	7	0.0015009143679289468	True	red
ribulose phosphate 3 epimerase protein	2	2	0.003233777986874771	True	red
bifunctional udp glucose 4 epimerase	24	5	0.010168225441955355	True	red
udp n acetylglucosamine pyrophosphorylase	6	2	0.041609726460679966	True	red
udp n acetylhexosamine pyrophosphorylase protein	2	1	0.11051299823815972	False	red
carbamoyl phosphate synthase small chain protein	14	10	2.8362000800487887e-10	True	red
ornithine carbamoyltransferase	15	1	0.5845595768578534	False	red
aspartokinase 1	3	1	0.16110265482359473	False	red
aspartokinase 1 chloroplastic	3	1	0.16110265482359473	False	red
homocysteine s methyltransferase protein	7	2	0.05608986252775652	False	red
bifunctional homocysteine s methyltransferase 5 10	3	2	0.009333685067289712	True	red
methylthioribose kinase	4	4	1.044692007481096e-05	True	red
phospho dehydro deoxyheptonate aldolase 1	11	1	0.47489229263116967	False	red
3 hydroxy methylglutarate coa lyase	5	1	0.2538157641209004	False	red
amino acid polyamine transporter	13	9	3.5777177693852817e-09	True	red
dihydrolipoyl dehydrogenase 1 mitochondrial	10	2	0.10741944942528744	False	red
acetyl coa carboxylase	14	4	0.006595958125319739	True	red
3 oxoacyl [acyl carrier protein] synthase chloroplastic	2	1	0.11051299823815972	False	red
3 oxoacyl [acyl carrier protein] synthase iii chloroplastic	4	2	0.017963413108134655	True	red
cytochrome b5 heme binding domain containing protein	53	4	0.5442682270264619	False	red
plsc domain containing protein	23	7	0.0002088313290183552	True	red
diacylglycerol kinase	32	6	0.008507597956655592	True	red
phosphatidate phosphatase	10	5	0.00011745515801681856	True	red
acyltransferase	4	3	0.0007039570264447682	True	red
choline ethanolaminephosphotransferase	8	2	0.07202297028467085	False	red
ef hand domain containing protein	113	6	1.0	False	red
tafazzin family protein	8	5	2.874514134272893e-05	True	red
glyco trans 4 like n domain containing protein	16	4	0.010949826635563919	True	red
non specific phospholipase c2	1	1	0.05687338811251724	False	red
glyco transf 64 domain containing protein	9	2	0.08919703553323098	False	red
gltp domain containing protein	19	3	0.09020233776244589	False	red
non lysosomal glucosylceramidase	12	6	2.311172811778833e-05	True	red
