Function	TotalCounts	ModuleCounts	Pvalue	Relevancy	Module
Photosynthesis.photophosphorylation.linear electron flow	30	1	0.5373382860900903	False	tan
Photosynthesis.photophosphorylation.chlororespiration	95	1	0.7363386955023752	False	tan
Photosynthesis.calvin cycle.transketolase	7	7	6.607080371148851e-12	True	tan
Photosynthesis.photorespiration.glycine decarboxylase complex	15	1	0.31975920471733765	False	tan
Photosynthesis.photorespiration.serine hydroxymethyltransferase *(SHM)	2	2	0.0006423167310229029	True	tan
Photosynthesis.photorespiration.hydroxypyruvate reductase activities	17	1	0.3538306366380052	False	tan
Photosynthesis.CAM/C4 photosynthesis.carbon dioxide-bicarbonate equilibrium	44	7	0.00011158441531721816	True	tan
Cellular respiration.pyruvate oxidation.mitochondrial pyruvate dehydrogenase complex	39	5	0.002923916569201547	True	tan
Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities	34	1	0.5825414516283063	False	tan
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	74	1	1.0	False	tan
Carbohydrate metabolism.sucrose metabolism.degradation	94	1	0.7351720617637181	False	tan
Carbohydrate metabolism.starch metabolism.biosynthesis	71	1	1.0	False	tan
Carbohydrate metabolism.starch metabolism.degradation	85	5	0.06507371712819346	False	tan
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate phosphatase	41	8	7.562497779869695e-06	True	tan
Carbohydrate metabolism.oligosaccharide metabolism.galactinol synthase *(GolS)	4	3	6.379110225335871e-05	True	tan
Carbohydrate metabolism.oligosaccharide metabolism.galactinol-sucrose galactosyltransferase *(RFS1/6)	6	2	0.009002757519878724	True	tan
Carbohydrate metabolism.mannose metabolism.phosphosugar phosphatase	7	3	0.0005270934998455333	True	tan
Carbohydrate metabolism.oxidative pentose phosphate pathway.non-oxidative phase	14	7	1.9403050241446577e-08	True	tan
Carbohydrate metabolism.fermentation.acetic acid biosynthesis	21	1	0.416943762174265	False	tan
Amino acid metabolism.glutamate group amino acid biosynthesis.histidine biosynthesis	36	1	0.603460360305546	False	tan
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	164	9	0.03920873528302618	True	tan
Amino acid metabolism.pyruvate group amino acid biosynthesis.pyruvate-derived amino acids	55	2	0.6514168109216654	False	tan
Amino acid metabolism.serine group amino acid biosynthesis.cysteine biosynthesis	14	2	0.04777139857730071	True	tan
Amino acid metabolism.serine group amino acid biosynthesis.glycine biosynthesis	11	2	0.030351249064753512	True	tan
Amino acid metabolism.amino acid degradation.branched-chain amino acids	84	2	1.0	False	tan
Amino acid metabolism.polyamine metabolism.putrescine biosynthesis	17	1	0.3538306366380052	False	tan
Amino acid metabolism.polyamine metabolism.spermidine biosynthesis	35	9	1.633718481037165e-07	True	tan
Amino acid metabolism.polyamine metabolism.polyamine degradation	20	2	0.09035465399733904	False	tan
Lipid metabolism.fatty acid metabolism.fatty acid transport	34	9	1.2415579910219355e-07	True	tan
Lipid metabolism.fatty acid metabolism.fatty acid degradation	105	11	7.516035673426473e-05	True	tan
Lipid metabolism.glycerolipid metabolism.phosphatidylethanolamine metabolism	59	2	0.6625873145277017	False	tan
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	49	5	0.007871516012346839	True	tan
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	178	12	0.0020635750064954264	True	tan
Lipid metabolism.sphingolipid metabolism.ceramide biosynthesis	54	3	0.15704846820694474	False	tan
Lipid metabolism.sphingolipid metabolism.sphingolipid transport	18	3	0.009979808517598344	True	tan
Lipid metabolism.lipid-A biosynthesis.tetra-acyl-disaccharide kinase *(LpxK)	4	4	4.110307403751301e-07	True	tan
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	114	2	1.0	False	tan
Lipid metabolism.cytoplasmic lipid droplet-associated activities.STEROLEOSIN-type dehydrogenase *(SLO/HSD)	21	3	0.015376852366620767	True	tan
Lipid metabolism.cytoplasmic lipid droplet-associated activities.associated factor *(LDAP)	4	1	0.09763394102843453	False	tan
Nucleotide metabolism.purines.salvage pathway	33	1	0.5716721415926421	False	tan
Nucleotide metabolism.purines.catabolism	43	2	0.2978390762472797	False	tan
Nucleotide metabolism.pyrimidines.catabolism	24	4	0.0029132789146419555	True	tan
Nucleotide metabolism.deoxynucleotides.salvage pathway	21	1	0.416943762174265	False	tan
Secondary metabolism.terpenoid biosynthesis.methylerythritol phosphate (MEP) pathway	22	1	0.43173516771675374	False	tan
Secondary metabolism.phenolics biosynthesis.p-coumaroyl-CoA biosynthesis	38	5	0.002602640254364	True	tan
Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities	109	3	0.7574487824332972	False	tan
Redox homeostasis.ascorbate-based redox regulation.monodehydroascorbate reductase *(MDAR)	10	2	0.025251554875281548	True	tan
Redox homeostasis.reactive oxygen-induced signalling.hydrogen peroxide receptor kinase *(HPCAL1/2/++)	22	16	1.6872294312154984e-21	True	tan
Phytohormone action.abscisic acid.biosynthesis	38	5	0.002602640254364	True	tan
Phytohormone action.abscisic acid.conjugation and degradation	32	2	0.19437271511175777	False	tan
Phytohormone action.abscisic acid.transport	9	1	0.2063938659528284	False	tan
Phytohormone action.auxin.biosynthesis	39	2	0.26006928431329374	False	tan
Phytohormone action.auxin.perception and signal transduction	162	3	0.8020881551522228	False	tan
Phytohormone action.auxin.transport	69	2	0.6948219086937035	False	tan
