Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
alpha carbonic anhydrase 1	0.005742411812961444	14	0.0004281229188469223	36	True
phosphoenolpyruvate carboxylase	0.0012305168170631665	3	3.567690990391019e-05	3	True
nadh dehydrogenase [ubiquinone] beta subcomplex subunit 3	0.00041017227235438887	1	7.135381980782038e-05	6	True
cytochrome c containing protein	0.00041017227235438887	1	5.9461516506516985e-05	5	True
utp glucose phosphate uridylyltransferase	0.003281378178835111	8	0.0002497383693273713	21	True
beta fructofuranosidase insoluble isoenzyme cwinv	0.002050861361771944	5	0.00016649224621824755	14	True
alpha amylase isozyme	0.0008203445447087777	2	0.00019027685282085435	16	True
beta amylase 1	0.006562756357670222	16	0.0006659689848729902	56	True
glycogen debranching enzyme	0.00041017227235438887	1	3.567690990391019e-05	3	True
trehalose 6 phosphate phosphatase	0.002871205906480722	7	0.0005589382551612597	47	True
trehalose phosphate phosphatase protein	0.0008203445447087777	2	4.756921320521359e-05	4	True
pyruvate decarboxylase	0.0012305168170631665	3	0.0002616306726286747	22	True
udp glucose 6 dehydrogenase	0.0016406890894175555	4	0.0002854152792312815	24	True
udp glucuronic acid decarboxylase	0.0008203445447087777	2	0.0004043383122443155	34	True
udp glucuronate decarboxylase	0.0008203445447087777	2	7.135381980782038e-05	6	True
bifunctional udp glucose 4 epimerase	0.0008203445447087777	2	0.0005589382551612597	47	True
glutamate decarboxylase	0.0008203445447087777	2	0.00015459994291694415	13	True
anthranilate synthase 1	0.0016406890894175555	4	4.756921320521359e-05	4	True
fumarylacetoacetase	0.0012305168170631665	3	4.756921320521359e-05	4	True
lysine ornithine decarboxylase	0.0008203445447087777	2	7.135381980782038e-05	6	True
nadp dependent malic enzyme 4	0.0016406890894175555	4	0.0005589382551612597	47	True
3 ketoacyl coa synthase	0.00041017227235438887	1	0.0004756921320521359	40	False
elongation of fatty acids protein	0.00041017227235438887	1	1.1892303301303397e-05	1	True
very long chain 3 oxoacyl coa reductase protein	0.0008203445447087777	2	9.513842641042717e-05	8	True
[acyl carrier protein] 9 desaturase 1 chloroplastic	0.002461033634126333	6	7.135381980782038e-05	6	True
diacylglycerol kinase	0.00041017227235438887	1	0.0004637998287508325	39	False
phosphatidate phosphatase	0.0012305168170631665	3	0.00011892303301303397	10	True
choline phosphate cytidylyltransferase	0.0016406890894175555	4	0.00021406145942346114	18	True
hydrolase 4 domain containing protein	0.002461033634126333	6	0.0009632765674055751	81	True
neofi patatin phospholipase domain containing protein 019760	0.0008203445447087777	2	4.756921320521359e-05	4	True
gastric triacylglycerol lipase	0.0016406890894175555	4	8.324612310912378e-05	7	True
lipase 3 domain containing protein	0.00041017227235438887	1	0.000987061174008182	83	False
patatin 2	0.00041017227235438887	1	3.567690990391019e-05	3	True
patatin 3	0.00041017227235438887	1	1.1892303301303397e-05	1	True
phospholipase d alpha	0.003281378178835111	8	0.0009632765674055751	81	True
phospholipase d	0.0008203445447087777	2	0.0002497383693273713	21	True
transmembrane protein	0.00041017227235438887	1	0.000570830558462563	48	False
ala interacting subunit	0.004101722723543888	10	0.0006659689848729902	56	True
polycomb group protein pc isoform x1	0.00041017227235438887	1	1.1892303301303397e-05	1	True
voltage dependent l type calcium channel subunit	0.00041017227235438887	1	4.756921320521359e-05	4	True
ectonucleoside triphosphate diphosphohydrolase	0.004511894995898278	11	0.0006421843782703834	54	True
bovin pyridoxal phosphate homeostasis protein	0.002871205906480722	7	0.00011892303301303397	10	True
ubiquinone biosynthesis protein	0.0008203445447087777	2	2.3784606602606793e-05	2	True
cycloartenol synthase	0.0008203445447087777	2	0.0006302920749690801	53	True
sqhop cyclase n domain containing protein	0.00041017227235438887	1	1.1892303301303397e-05	1	True
polyphenol oxidase chloroplastic	0.0008203445447087777	2	8.324612310912378e-05	7	True
glutathione s transferase t1 protein	0.0016406890894175555	4	9.513842641042717e-05	8	True
thioredoxin domain containing protein	0.00041017227235438887	1	0.0017957377984968129	151	False
respiratory burst oxidase homolog protein b	0.0008203445447087777	2	0.0004162306155456189	35	True
c2 domain containing protein	0.004101722723543888	10	0.001082199600418609	91	True
fe2og dioxygenase domain containing protein	0.002050861361771944	5	0.002164399200837218	182	False
alliinase c domain containing protein	0.00041017227235438887	1	0.00011892303301303397	10	True
flavin containing monooxygenase	0.002050861361771944	5	0.0005113690419560461	43	True
indole acetic acid amido synthetase gh	0.0008203445447087777	2	0.0003567690990391019	30	True
iaa amino acid hydrolase ilr	0.00041017227235438887	1	0.0002616306726286747	22	True
ab hydrolase domain containing protein	0.002871205906480722	7	0.002223860717343735	187	True
auxin efflux carrier component	0.0008203445447087777	2	0.0005351536485586529	45	True
adenylate isopentenyltransferase 5 chloroplastic protein	0.0008203445447087777	2	9.513842641042717e-05	8	True
cytokinin dehydrogenase	0.0016406890894175555	4	0.0004756921320521359	40	True
della protein gai	0.0016406890894175555	4	0.00019027685282085435	16	True
quality protein gibberellin 2 beta dioxygenase	0.0008203445447087777	2	0.00011892303301303397	10	True
coronatine insensitive protein homolog	0.002050861361771944	5	0.00014270763961564075	12	True
auxin response factor	0.0036915504511894994	9	0.0010940919037199124	92	True
cytochrome p450 94c1	0.0008203445447087777	2	0.00015459994291694415	13	True
protein serine threonine phosphatase	0.004922067268252666	12	0.005482351821900866	461	False
scp domain containing protein	0.0016406890894175555	4	0.00021406145942346114	18	True
protein ralf	0.0016406890894175555	4	0.00017838454951955095	15	True
no annotation	0.1103363412633306	269	0.06807154409666064	5724	True
protein kinase domain containing	0.03732567678424938	91	0.025330606031776233	2130	True
gpi anchored protein lorelei	0.00041017227235438887	1	1.1892303301303397e-05	1	True
dicdi fact complex subunit ssrp	0.0012305168170631665	3	5.9461516506516985e-05	5	True
vefs box domain containing protein	0.00041017227235438887	1	4.756921320521359e-05	4	True
quality protein lysine specific demethylase jmj	0.00041017227235438887	1	0.00017838454951955095	15	True
methyl cpg binding domain containing protein	0.0008203445447087777	2	0.0005589382551612597	47	True
transcription factor gte	0.0012305168170631665	3	0.0004637998287508325	39	True
