Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
histone domain containing protein	0.00041816509157815507	5	8.324612310912378e-05	7	True
thioredoxin chloroplastic	8.363301831563101e-05	1	2.3784606602606793e-05	2	True
caad domain containing protein	8.363301831563101e-05	1	0.00022595376272476454	19	False
chaperonin groel	0.000250899054946893	3	3.567690990391019e-05	3	True
chaperonin subunit beta 1 chloroplastic	0.000250899054946893	3	0.0003567690990391019	30	False
ribulose phosphate 3 epimerase	0.0006690641465250481	8	0.00021406145942346114	18	True
peroxisomal s 2 hydroxy acid oxidase	0.0005854311282094171	7	0.0002735229759299781	23	True
glycine cleavage system h protein 1	8.363301831563101e-05	1	0.00010703072971173057	9	False
beta carbonic anhydrase 1	0.0011708622564188342	14	0.0002735229759299781	23	True
c4 phosphoenolpyruvate carboxylase	0.0006690641465250481	8	0.0002854152792312815	24	True
atp dependent 6 phosphofructokinase 4	0.000501798109893786	6	0.0003091998858338883	26	True
arath pyrophosphate fructose 6 phosphate 1 phosphotransferase subunit beta	0.00016726603663126202	2	4.756921320521359e-05	4	True
triosephosphate isomerase cytosolic	0.000250899054946893	3	0.0002616306726286747	22	False
nadp dependent glyceraldehyde phosphate dehydrogenase	0.00016726603663126202	2	2.3784606602606793e-05	2	True
bifunctional enolase 2	0.00016726603663126202	2	7.135381980782038e-05	6	True
pyruvate kinase	0.000250899054946893	3	0.00014270763961564075	12	True
hydroxyacylglutathione hydrolase protein	0.00033453207326252405	4	4.756921320521359e-05	4	True
protein dj homolog d	8.363301831563101e-05	1	1.1892303301303397e-05	1	True
dicdi pyruvate dehydrogenase e1 component subunit alpha mitochondrial	0.00033453207326252405	4	0.00021406145942346114	18	True
[pyruvate dehydrogenase acetyl transferring ] kinase 1 mitochondrial	0.0006690641465250481	8	0.00019027685282085435	16	True
succinate coa ligase [adp forming] subunit alpha mitochondrial	0.00033453207326252405	4	7.135381980782038e-05	6	True
succinate dehydrogenase subunit 6 mitochondrial	8.363301831563101e-05	1	3.567690990391019e-05	3	True
malate dehydrogenase 1	0.000250899054946893	3	0.0005232613452573494	44	False
faa hydrolase domain containing protein	0.0008363301831563101	10	0.0003329844924364951	28	True
gamma carbonic anhydrase 1 mitochondrial	8.363301831563101e-05	1	0.00019027685282085435	16	False
nadh ubiquinone reductase non electrogenic	0.00016726603663126202	2	0.00014270763961564075	12	True
quality protein alternative nad p h ubiquinone oxidoreductase mitochondrial	8.363301831563101e-05	1	1.1892303301303397e-05	1	True
bovin mitochondrial processing peptidase subunit alpha	0.0012544952747344652	15	0.0004281229188469223	36	True
mitochondrial processing peptidase subunit beta	0.000501798109893786	6	0.0002616306726286747	22	True
