Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
caad domain containing protein	0.0003589375448671931	3	0.00022595376272476454	19	True
ferredoxin chloroplastic	0.0003589375448671931	3	9.513842641042717e-05	8	True
triosephosphate isomerase cytosolic	0.0004785833931562575	4	0.0002616306726286747	22	True
peroxisomal s 2 hydroxy acid oxidase	0.0016750418760469012	14	0.0002735229759299781	23	True
alpha carbonic anhydrase protein	0.0005982292414453219	5	7.135381980782038e-05	6	True
alpha carbonic anhydrase domain containing protein	0.0003589375448671931	3	3.567690990391019e-05	3	True
c4 phosphoenolpyruvate carboxylase	0.00023929169657812874	2	0.0002854152792312815	24	False
malate dehydrogenase 1	0.0027518545106484803	23	0.0005232613452573494	44	True
atp dependent 6 phosphofructokinase 4	0.00011964584828906437	1	0.0003091998858338883	26	False
glyceraldehyde phosphate dehydrogenase 1 cytosolic	0.0007178750897343862	6	0.0004281229188469223	36	True
dicdi pyruvate dehydrogenase e1 component subunit alpha mitochondrial	0.00023929169657812874	2	0.00021406145942346114	18	True
orysj pyruvate dehydrogenase e1 component subunit beta	0.00023929169657812874	2	7.135381980782038e-05	6	True
orysj pyruvate dehydrogenase e1 component subunit beta mitochondrial	0.00023929169657812874	2	2.3784606602606793e-05	2	True
citrate synthase 4	0.0014357501794687725	12	0.0002616306726286747	22	True
cytoplasmic aconitate hydratase	0.0003589375448671931	3	7.135381980782038e-05	6	True
aconitate hydratase a	0.004307250538406317	36	0.0006183997716677766	52	True
isocitrate dehydrogenase [nad] subunit 1 mitochondrial	0.0003589375448671931	3	0.0003210921891351917	27	True
2 oxoglutarate dehydrogenase	0.000957166786312515	8	0.00021406145942346114	18	True
succinate dehydrogenase subunit 5 mitochondrial	0.00023929169657812874	2	4.756921320521359e-05	4	True
succinate dehydrogenase subunit 8a mitochondrial	0.00011964584828906437	1	3.567690990391019e-05	3	True
succinate dehydrogenase assembly factor 4 mitochondrial	0.00011964584828906437	1	2.3784606602606793e-05	2	True
nadp dependent malic enzyme 4	0.0008375209380234506	7	0.0005589382551612597	47	True
nadp dependent malic enzyme	0.00023929169657812874	2	2.3784606602606793e-05	2	True
nadh quinone oxidoreductase subunit i	0.00023929169657812874	2	4.756921320521359e-05	4	True
l51 s25 ci b8 domain containing protein	0.00011964584828906437	1	7.135381980782038e-05	6	True
quality protein nadh dehydrogenase [ubiquinone] beta subcomplex subunit 10 b	0.00011964584828906437	1	2.3784606602606793e-05	2	True
zf chcc domain containing protein	0.00011964584828906437	1	3.567690990391019e-05	3	True
gamma carbonic anhydrase 1 mitochondrial	0.00011964584828906437	1	0.00019027685282085435	16	False
complex1 lyr dom domain containing protein	0.0005982292414453219	5	0.00019027685282085435	16	True
cia domain containing protein	0.0005982292414453219	5	7.135381980782038e-05	6	True
nadh dehydrogenase [ubiquinone] alpha subcomplex assembly factor	0.00023929169657812874	2	3.567690990391019e-05	3	True
no annotation	0.0812395309882747	679	0.06807154409666064	5724	True
cytochrome b	0.0007178750897343862	6	7.135381980782038e-05	6	True
sp ccma cytochrome c biogenesis atp binding export protein ccma	0.00011964584828906437	1	7.135381980782038e-05	6	True
cytochrome c type biogenesis protein	0.0003589375448671931	3	3.567690990391019e-05	3	True
cytochrome c oxidase subunit	0.0007178750897343862	6	7.135381980782038e-05	6	True
hig domain containing protein	0.00011964584828906437	1	8.324612310912378e-05	7	True
cytochrome c oxidase assembly protein ctag cox	0.00023929169657812874	2	2.3784606602606793e-05	2	True
cytochrome c oxidase copper chaperone protein	0.00011964584828906437	1	1.1892303301303397e-05	1	True
cytochrome c oxidase assembly protein cox	0.00011964584828906437	1	3.567690990391019e-05	3	True
chch domain containing protein	0.00011964584828906437	1	0.00014270763961564075	12	False
cytochrome c oxidase assembly factor	0.0003589375448671931	3	4.756921320521359e-05	4	True
cox assembly mitochondrial protein	0.00011964584828906437	1	9.513842641042717e-05	8	True
atp synthase subunit alpha	0.0015553960277578367	13	0.00015459994291694415	13	True
atp synthase mitochondrial f1 complex assembly factor	0.00023929169657812874	2	2.3784606602606793e-05	2	True
beta fructofuranosidase insoluble isoenzyme cwinv	0.0007178750897343862	6	0.00016649224621824755	14	True
hexokinase protein	0.00011964584828906437	1	0.0003686614023404053	31	False
glucose phosphate adenylyltransferase large subunit 1 chloroplastic	0.0010768126346015793	9	0.0003329844924364951	28	True
glucose phosphate adenylyltransferase subunit 1 chloroplastic	0.0010768126346015793	9	0.00017838454951955095	15	True
granule bound starch synthase 1 chloroplastic amyloplastic	0.0016750418760469012	14	0.0002735229759299781	23	True
ampk1 cbm domain containing protein	0.0003589375448671931	3	0.00015459994291694415	13	True
alpha amylase isozyme	0.00023929169657812874	2	0.00019027685282085435	16	True
alpha glucan phosphorylase 1	0.0011964584828906438	10	0.00011892303301303397	10	True
amylomaltase	0.00023929169657812874	2	5.9461516506516985e-05	5	True
trehalose 6 phosphate phosphatase	0.0007178750897343862	6	0.0005589382551612597	47	True
trehalose phosphate phosphatase protein	0.00011964584828906437	1	4.756921320521359e-05	4	True
galactinol sucrose galactosyltransferase	0.0004785833931562575	4	0.0002973075825325849	25	True
aldo ket red domain containing protein	0.0010768126346015793	9	0.0007967843211873275	67	True
glucose phosphate 1 dehydrogenase 5	0.000957166786312515	8	9.513842641042717e-05	8	True
6 phosphogluconolactonase 3	0.0014357501794687725	12	0.0002616306726286747	22	True
rhopa ribose phosphate isomerase a	0.00023929169657812874	2	5.9461516506516985e-05	5	True
pyruvate decarboxylase	0.000957166786312515	8	0.0002616306726286747	22	True
plastidial pyruvate kinase 1	0.0007178750897343862	6	0.0004637998287508325	39	True
mannose phosphate guanyltransferase beta	0.0014357501794687725	12	0.0005351536485586529	45	True
amino acid n acetyltransferase	0.0008375209380234506	7	0.00015459994291694415	13	True
n acetyl gamma glutamyl phosphate reductase	0.0004785833931562575	4	4.756921320521359e-05	4	True
argininosuccinate synthase	0.0014357501794687725	12	0.00014270763961564075	12	True
ornithine aminotransferase	0.0007178750897343862	6	7.135381980782038e-05	6	True
cn hydrolase domain containing protein	0.0011964584828906438	10	0.00023784606602606794	20	True
homocysteine s methyltransferase protein	0.0007178750897343862	6	0.00016649224621824755	14	True
reactive intermediate deaminase a chloroplastic	0.0003589375448671931	3	3.567690990391019e-05	3	True
acetolactate synthase 1	0.0003589375448671931	3	7.135381980782038e-05	6	True
acetohydroxy acid synthase small subunit	0.00023929169657812874	2	0.00023784606602606794	20	True
geosw ketol acid reductoisomerase nadp +	0.0010768126346015793	9	0.00014270763961564075	12	True
alanine aminotransferase 1	0.0014357501794687725	12	0.0004400152221482257	37	True
2 isopropylmalate synthase 1	0.0003589375448671931	3	0.00010703072971173057	9	True
quality protein 3 isopropylmalate dehydratase large subunit	0.0004785833931562575	4	0.00013081533631433735	11	True
3 isopropylmalate dehydratase large subunit	0.00023929169657812874	2	4.756921320521359e-05	4	True
3 isopropylmalate dehydrogenase 1	0.0003589375448671931	3	7.135381980782038e-05	6	True
bifunctional l 3 cyanoalanine synthase cysteine 1 mitochondrial	0.00023929169657812874	2	0.00016649224621824755	14	True
chorismate mutase 1	0.0016750418760469012	14	0.00022595376272476454	19	True
prephenate arogenate dehydrogenase domain containing protein	0.00011964584828906437	1	7.135381980782038e-05	6	True
arogenate dehydratase 1	0.00011964584828906437	1	5.9461516506516985e-05	5	True
arogenate dehydratase prephenate 1 chloroplastic	0.0005982292414453219	5	9.513842641042717e-05	8	True
arogenate dehydratase prephenate 1	0.00011964584828906437	1	9.513842641042717e-05	8	True
anthranilate synthase component	0.00023929169657812874	2	4.756921320521359e-05	4	True
anthranilate synthase alpha subunit 1 chloroplastic	0.00011964584828906437	1	1.1892303301303397e-05	1	True
indole glycerol phosphate synthase	0.00011964584828906437	1	5.9461516506516985e-05	5	True
tryptophan synthase alpha chain	0.0004785833931562575	4	0.00014270763961564075	12	True
tryptophan synthase beta chain 1	0.00023929169657812874	2	7.135381980782038e-05	6	True
agmatinase mitochondrial	0.0014357501794687725	12	0.00014270763961564075	12	True
urease subunit alpha	0.00023929169657812874	2	4.756921320521359e-05	4	True
aldehyde dehydrogenase nad +	0.0005982292414453219	5	0.00010703072971173057	9	True
duf 1338 domain containing protein	0.00023929169657812874	2	2.3784606602606793e-05	2	True
l threonine dehydratase biosynthetic	0.0004785833931562575	4	7.135381980782038e-05	6	True
l threonine dehydratase	0.0004785833931562575	4	7.135381980782038e-05	6	True
quality protein thiosulfate 3 mercaptopyruvate sulfurtransferase 1	0.0007178750897343862	6	7.135381980782038e-05	6	True
thiosulfate 3 sulfurtransferase 1	0.0003589375448671931	3	0.0004994767386547426	42	False
aminotran 5 domain containing protein	0.00023929169657812874	2	9.513842641042717e-05	8	True
electron transfer flavoprotein ubiquinone oxidoreductase mitochondrial	0.0014357501794687725	12	0.00014270763961564075	12	True
amino acid polyamine transporter	0.0004785833931562575	4	0.00015459994291694415	13	True
amino oxidase domain containing protein	0.0004785833931562575	4	0.0004994767386547426	42	False
sp dtc mitochondrial dicarboxylate tricarboxylate transporter dtc	0.0014357501794687725	12	0.00015459994291694415	13	True
acetyl coa carboxylase	0.001316104331179708	11	0.0002854152792312815	24	True
acyl carrier protein 1 chloroplastic	0.00011964584828906437	1	3.567690990391019e-05	3	True
acyl [ carrier protein] hydrolase chloroplastic	0.0003589375448671931	3	9.513842641042717e-05	8	True
acyl carrier protein 1	0.00011964584828906437	1	0.00011892303301303397	10	True
3 oxoacyl [acyl carrier protein] synthase	0.0003589375448671931	3	3.567690990391019e-05	3	True
very long chain 3 oxoacyl coa reductase protein	0.00023929169657812874	2	9.513842641042717e-05	8	True
dicdi very long chain enoyl coa reductase	0.00023929169657812874	2	2.3784606602606793e-05	2	True
palmitoyl [acyl carrier protein] 4 desaturase 1 chloroplastic	0.00023929169657812874	2	2.3784606602606793e-05	2	True
protein fatty acid export	0.00023929169657812874	2	9.513842641042717e-05	8	True
atp binding cassette sub family d member	0.00023929169657812874	2	0.00011892303301303397	10	True
4hbt domain containing protein	0.00023929169657812874	2	0.0003567690990391019	30	False
cyclopropane mycolic acid synthase mmaa	0.0005982292414453219	5	0.00010703072971173057	9	True
glycerol phosphate acyltransferase	0.0003589375448671931	3	3.567690990391019e-05	3	True
plsc domain containing protein	0.000957166786312515	8	0.0002735229759299781	23	True
diacylglycerol kinase	0.000957166786312515	8	0.0004637998287508325	39	True
acidppc domain containing protein	0.00023929169657812874	2	0.0007492151079821139	63	False
phospholipid diacylglycerol acyltransferase	0.0004785833931562575	4	0.00023784606602606794	20	True
ctp phosphoethanolamine cytidylyltransferase	0.0007178750897343862	6	0.00016649224621824755	14	True
phosphatidylserine decarboxylase proenzyme	0.00011964584828906437	1	3.567690990391019e-05	3	True
lon n terminal domain containing protein	0.00023929169657812874	2	0.00013081533631433735	11	True
phosphoethanolamine n methyltransferase	0.000957166786312515	8	0.00019027685282085435	16	True
choline phosphate cytidylyltransferase	0.0007178750897343862	6	0.00021406145942346114	18	True
lysophospholipid acyltransferase	0.0004785833931562575	4	4.756921320521359e-05	4	True
phosphatidylcholine diacylglycerol cholinephosphotransferase	0.00023929169657812874	2	2.3784606602606793e-05	2	True
dual specificity protein phosphatase	0.00011964584828906437	1	0.00014270763961564075	12	False
glyco trans 4 like n domain containing protein	0.0007178750897343862	6	0.0002497383693273713	21	True
glycos transf 1 domain containing protein	0.0005982292414453219	5	0.0002497383693273713	21	True
hydrolase 4 domain containing protein	0.00011964584828906437	1	0.0009632765674055751	81	False
orysi phospholipase a1 ii	0.00023929169657812874	2	0.00013081533631433735	11	True
patatin protein	0.00011964584828906437	1	0.00016649224621824755	14	False
patatin 09	0.0007178750897343862	6	0.00019027685282085435	16	True
aerobic glycerol phosphate dehydrogenase	0.000957166786312515	8	9.513842641042717e-05	8	True
serine c palmitoyltransferase	0.00023929169657812874	2	0.0003210921891351917	27	False
small subunit of serine palmitoyltransferase	0.00011964584828906437	1	1.1892303301303397e-05	1	True
orm protein	0.00011964584828906437	1	7.135381980782038e-05	6	True
tlc domain containing protein	0.00023929169657812874	2	0.0004875844353534393	41	False
gltp domain containing protein	0.00011964584828906437	1	0.00022595376272476454	19	False
dagkc domain containing protein	0.0003589375448671931	3	0.0002616306726286747	22	True
sphingosine kinase	0.00023929169657812874	2	4.756921320521359e-05	4	True
lanosterol 14 alpha demethylase	0.0004785833931562575	4	0.0003805537056417087	32	True
quality protein methylsterol monooxygenase	0.0007178750897343862	6	0.00019027685282085435	16	True
3beta hydroxysteroid dehydrogenase decarboxylase isoform	0.0007178750897343862	6	0.00023784606602606794	20	True
ergosterol biosynthetic protein	0.00011964584828906437	1	9.513842641042717e-05	8	True
quality protein sterol 3 beta glucosyltransferase	0.0005982292414453219	5	0.00017838454951955095	15	True
bruab udp o acyl n acetylglucosamine deacetylase	0.0004785833931562575	4	4.756921320521359e-05	4	True
phospholipid transporting atpase	0.0007178750897343862	6	0.0012605841499381601	106	False
ala interacting subunit	0.0007178750897343862	6	0.0006659689848729902	56	True
phospholipid scramblase	0.00023929169657812874	2	3.567690990391019e-05	3	True
long chain fatty acid coa ligase	0.0011964584828906438	10	0.0007729997145847207	65	True
protein trigalactosyldiacylglycerol 5 chloroplastic	0.00011964584828906437	1	2.3784606602606793e-05	2	True
oleosin kda	0.0007178750897343862	6	7.135381980782038e-05	6	True
oleosin protein	0.00011964584828906437	1	1.1892303301303397e-05	1	True
protein chup chloroplastic	0.00011964584828906437	1	0.0002854152792312815	24	False
peroxygenase	0.000957166786312515	8	0.00016649224621824755	14	True
ubc core domain containing protein	0.0004785833931562575	4	0.0006540766815716869	55	False
hydroxysteroid 11 beta dehydrogenase protein	0.001316104331179708	11	0.00020216915612215775	17	True
11 beta hydroxysteroid dehydrogenase 1b	0.00023929169657812874	2	0.00023784606602606794	20	True
oil body associated protein 1a	0.00023929169657812874	2	2.3784606602606793e-05	2	True
oil body associated protein 2a	0.00011964584828906437	1	1.1892303301303397e-05	1	True
oil body associated protein	0.00011964584828906437	1	1.1892303301303397e-05	1	True
gdsl esterase lipase	0.00191433357262503	16	0.0026519836361906576	223	False
amidophosphoribosyltransferase 1	0.0004785833931562575	4	7.135381980782038e-05	6	True
