Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
amino oxidase domain containing protein	0.0012048192771084338	1	0.0004994767386547426	42	True
succinate dehydrogenase subunit 8a mitochondrial	0.0024096385542168677	2	3.567690990391019e-05	3	True
complex1 lyr dom domain containing protein	0.0036144578313253013	3	0.00019027685282085435	16	True
nadh dehydrogenase ubiquinone complex i assembly factor	0.0024096385542168677	2	8.324612310912378e-05	7	True
sp ccme cytochrome c type biogenesis protein ccme	0.0012048192771084338	1	2.3784606602606793e-05	2	True
e2 ubiquitin conjugating enzyme	0.0024096385542168677	2	2.3784606602606793e-05	2	True
utp glucose phosphate uridylyltransferase	0.0024096385542168677	2	0.0002497383693273713	21	True
ornithine carbamoyltransferase	0.0012048192771084338	1	0.0003210921891351917	27	True
4 hydroxy tetrahydrodipicolinate synthase 1	0.007228915662650603	6	0.00011892303301303397	10	True
threonine synthase 1 chloroplastic	0.0024096385542168677	2	5.9461516506516985e-05	5	True
bifunctional aspartate aminotransferase and protein	0.004819277108433735	4	5.9461516506516985e-05	5	True
urease accessory protein d	0.0024096385542168677	2	2.3784606602606793e-05	2	True
gamma aminobutyrate transaminase 1 mitochondrial	0.00963855421686747	8	0.0002973075825325849	25	True
stearoyl [acyl carrier protein] 9 desaturase 1 chloroplastic	0.0036144578313253013	3	0.0003448767957377985	29	True
protein fatty acid export	0.004819277108433735	4	9.513842641042717e-05	8	True
fatty acid oxidation complex subunit alpha	0.0012048192771084338	1	0.00013081533631433735	11	True
galactoside 2 fucosyltransferase	0.0036144578313253013	3	0.0003448767957377985	29	True
non specific phospholipase	0.0012048192771084338	1	5.9461516506516985e-05	5	True
quality protein dl glycerol phosphatase 1 mitochondrial	0.0024096385542168677	2	3.567690990391019e-05	3	True
aldehyde oxygenase deformylating	0.0024096385542168677	2	0.0002854152792312815	24	True
ergosterol biosynthetic protein	0.0012048192771084338	1	9.513842641042717e-05	8	True
gst c terminal domain containing protein	0.0012048192771084338	1	0.00015459994291694415	13	True
adenosine deaminase domain containing protein	0.0036144578313253013	3	5.9461516506516985e-05	5	True
pap fibrillin domain containing protein	0.0012048192771084338	1	0.0003091998858338883	26	True
adenine phosphoribosyltransferase 1	0.0024096385542168677	2	0.0004400152221482257	37	True
acyl [ carrier protein] hydrolase chloroplastic	0.0024096385542168677	2	9.513842641042717e-05	8	True
n carbamoyl l amino acid hydrolase	0.0036144578313253013	3	3.567690990391019e-05	3	True
2 hydroxyacyl coa lyase	0.0036144578313253013	3	8.324612310912378e-05	7	True
protein kinase domain containing	0.04096385542168675	34	0.025330606031776233	2130	True
fethred a domain containing protein	0.0036144578313253013	3	5.9461516506516985e-05	5	True
thioredoxin h type	0.0024096385542168677	2	7.135381980782038e-05	6	True
auxin responsive protein iaa	0.0024096385542168677	2	0.0009632765674055751	81	True
histone h2a	0.0012048192771084338	1	0.0002616306726286747	22	True
arath protein nrt ptr family	0.0024096385542168677	2	0.0003686614023404053	31	True
protein nrt ptr family	0.0024096385542168677	2	0.0016411378555798686	138	True
shni tpr domain containing protein	0.0024096385542168677	2	0.00011892303301303397	10	True
paired amphipathic helix protein sin	0.0036144578313253013	3	0.0002735229759299781	23	True
paired amphipathic helix sin protein	0.0024096385542168677	2	2.3784606602606793e-05	2	True
e3 ubiquitin protein ligase ring	0.0012048192771084338	1	0.0006065074683664733	51	True
arath phd finger protein alfin	0.004819277108433735	4	0.0005113690419560461	43	True
actin protein	0.0036144578313253013	3	0.00013081533631433735	11	True
cyclin dependent kinase c 1	0.004819277108433735	4	8.324612310912378e-05	7	True
cyclin dependent protein kinase inhibitor smr	0.0012048192771084338	1	2.3784606602606793e-05	2	True
