Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
ferredoxin	0.001524390243902439	1	3.567690990391019e-05	3	True
succinate dehydrogenase [ubiquinone] flavoprotein subunit 1 mitochondrial	0.009146341463414634	6	0.00021406145942346114	18	True
udp glucuronate 4 epimerase	0.001524390243902439	1	9.513842641042717e-05	8	True
chorismate synthase 1	0.012195121951219513	8	0.00014270763961564075	12	True
3 ketoacyl coa synthase	0.018292682926829267	12	0.0004756921320521359	40	True
coa 5 n hydroxycinnamoyltransferase	0.003048780487804878	2	4.756921320521359e-05	4	True
stearoyl [acyl carrier protein] 9 desaturase 1 chloroplastic	0.009146341463414634	6	0.0003448767957377985	29	True
quality protein glycerol phosphate 2 o acyltransferase	0.004573170731707317	3	3.567690990391019e-05	3	True
glycerol phosphate 2 acyltransferase	0.004573170731707317	3	0.00016649224621824755	14	True
gltp domain containing protein	0.007621951219512195	5	0.00022595376272476454	19	True
nadph dependent aldehyde reductase 2 chloroplastic	0.001524390243902439	1	2.3784606602606793e-05	2	True
dfp domain containing protein	0.003048780487804878	2	4.756921320521359e-05	4	True
phosphopantothenate cysteine ligase	0.003048780487804878	2	2.3784606602606793e-05	2	True
protochlorophyllide reductase chloroplastic	0.012195121951219513	8	9.513842641042717e-05	8	True
ww domain containing protein	0.006097560975609756	4	0.00017838454951955095	15	True
epimerase domain containing protein	0.001524390243902439	1	0.000927599657501665	78	True
flavin containing monooxygenase	0.001524390243902439	1	0.0005113690419560461	43	True
auxin efflux carrier component	0.009146341463414634	6	0.0005351536485586529	45	True
cytokinin riboside 5 monophosphate phosphoribohydrolase	0.003048780487804878	2	0.00022595376272476454	19	True
ent kaur ene synthase chloroplastic	0.01524390243902439	10	0.00020216915612215775	17	True
carotenoid cleavage dioxygenase 7 chloroplastic	0.001524390243902439	1	1.1892303301303397e-05	1	True
small polypeptide devil	0.001524390243902439	1	8.324612310912378e-05	7	True
lrr receptor serine threonine protein kinase	0.04725609756097561	31	0.0008324612310912378	70	True
ent domain containing protein	0.007621951219512195	5	0.0006540766815716869	55	True
cdi domain containing protein	0.001524390243902439	1	2.3784606602606793e-05	2	True
sprt domain containing protein	0.003048780487804878	2	7.135381980782038e-05	6	True
btb poz domain and ankyrin repeat containing protein	0.009146341463414634	6	7.135381980782038e-05	6	True
btb domain and containing protein	0.003048780487804878	2	4.756921320521359e-05	4	True
bhlh transcription factor	0.024390243902439025	16	0.0030444296451336695	256	True
transcription factor bhlh	0.003048780487804878	2	0.0012724764532394634	107	True
zinc finger protein wip	0.001524390243902439	1	0.00010703072971173057	9	True
arath squamosa promoter binding protein	0.001524390243902439	1	0.0003924460089430121	33	True
lob domain containing protein	0.001524390243902439	1	0.0012130149367329465	102	True
arath growth regulating factor	0.007621951219512195	5	0.0004637998287508325	39	True
zinc finger protein zat	0.001524390243902439	1	0.0007611074112834174	64	True
homeobox leucine zipper protein roc	0.013719512195121951	9	0.0007135381980782038	60	True
arath homeobox leucine zipper protein hdg	0.003048780487804878	2	2.3784606602606793e-05	2	True
mini zinc finger protein	0.001524390243902439	1	0.00010703072971173057	9	True
zinc finger homeodomain protein	0.009146341463414634	6	0.0003567690990391019	30	True
transcription factor divaricata	0.001524390243902439	1	0.00020216915612215775	17	True
hth myb type domain containing protein	0.012195121951219513	8	0.0016054609456759585	135	True
myb transcription factor	0.012195121951219513	8	0.0024498144800684995	206	True
arath transcription factor myb	0.006097560975609756	4	0.000808676624488631	68	True
axial regulator yabby	0.012195121951219513	8	0.0005351536485586529	45	True
specific transcription factor yabby protein	0.006097560975609756	4	4.756921320521359e-05	4	True
arath nuclear transcription factor y subunit 9	0.006097560975609756	4	0.0005589382551612597	47	True
zinc finger protein constans	0.001524390243902439	1	0.0005232613452573494	44	True
wrky transcription factor	0.007621951219512195	5	0.0006659689848729902	56	True
wrky domain containing protein	0.006097560975609756	4	0.00185519931500333	156	True
tcp transcription factor	0.001524390243902439	1	0.00021406145942346114	18	True
transcription factor tcp	0.006097560975609756	4	9.513842641042717e-05	8	True
arath transcription factor tcp	0.009146341463414634	6	0.00021406145942346114	18	True
ap ethylene responsive transcription factor	0.004573170731707317	3	0.0007729997145847207	65	True
ethylene responsive transcription factor erf	0.012195121951219513	8	0.0025092759965750166	211	True
orysj protein g1 like	0.004573170731707317	3	0.0003567690990391019	30	True
golgin subfamily a member protein	0.001524390243902439	1	3.567690990391019e-05	3	True
protein gl interacting repressor	0.003048780487804878	2	0.00010703072971173057	9	True
double stranded rna binding protein	0.001524390243902439	1	0.0002497383693273713	21	True
quality protein double stranded rna binding	0.001524390243902439	1	3.567690990391019e-05	3	True
60s ribosomal export protein nmd	0.003048780487804878	2	3.567690990391019e-05	3	True
alpha beta hydrolase domain containing protein	0.003048780487804878	2	0.00019027685282085435	16	True
protein kinase domain containing	0.007621951219512195	5	0.025330606031776233	2130	False
serine threonine protein kinase	0.006097560975609756	4	0.0009394919608029683	79	True
burp domain containing protein	0.004573170731707317	3	0.0002497383693273713	21	True
ring type e3 ubiquitin transferase	0.001524390243902439	1	0.0038768908762249073	326	False
