Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
succinate dehydrogenase assembly factor 2 mitochondrial	0.0023584905660377358	1	2.3784606602606793e-05	2	True
enoyl coa hydratase domain containing protein 2 mitochondrial	0.02358490566037736	10	0.00019027685282085435	16	True
long chain base biosynthesis protein	0.0023584905660377358	1	0.00015459994291694415	13	True
orysi phospholipase a1 ii	0.0023584905660377358	1	0.00013081533631433735	11	True
arath lipid phosphate phosphatase delta	0.0023584905660377358	1	2.3784606602606793e-05	2	True
gpcr type g protein	0.007075471698113208	3	3.567690990391019e-05	3	True
7 8 dihydroneopterin aldolase	0.007075471698113208	3	7.135381980782038e-05	6	True
9 cis epoxycarotenoid dioxygenase nced chloroplastic	0.007075471698113208	3	0.0003567690990391019	30	True
gamma glutamylcyclotransferase	0.02122641509433962	9	0.00021406145942346114	18	True
glutathione s transferase	0.0023584905660377358	1	0.0004281229188469223	36	True
thioredoxin domain containing protein	0.009433962264150943	4	0.0017957377984968129	151	True
aldo ket red domain containing protein	0.0023584905660377358	1	0.0007967843211873275	67	True
auxin binding protein	0.009433962264150943	4	0.00010703072971173057	9	True
ethylene receptor	0.0047169811320754715	2	0.0004400152221482257	37	True
b30 2 spry domain containing protein	0.0047169811320754715	2	0.00013081533631433735	11	True
helitron like n domain containing protein	0.0023584905660377358	1	0.00020216915612215775	17	True
caebr wd repeat containing protein	0.0047169811320754715	2	4.756921320521359e-05	4	True
cyclin n terminal domain containing protein	0.0047169811320754715	2	0.0007492151079821139	63	True
cdk5rap1 protein	0.0047169811320754715	2	2.3784606602606793e-05	2	True
mitochondrial trna cdk5rap1	0.0047169811320754715	2	2.3784606602606793e-05	2	True
rubredoxin family protein	0.0023584905660377358	1	1.1892303301303397e-05	1	True
aldo keto reductase family member	0.0023584905660377358	1	1.1892303301303397e-05	1	True
assoc domain containing protein	0.0023584905660377358	1	5.9461516506516985e-05	5	True
bzip domain containing protein	0.007075471698113208	3	0.0034130910474740746	287	True
zf di domain containing protein	0.0023584905660377358	1	1.1892303301303397e-05	1	True
quality protein dof zinc finger	0.0023584905660377358	1	2.3784606602606793e-05	2	True
nuclear transcription factor y subunit b 1	0.007075471698113208	3	0.0004637998287508325	39	True
nuclear transcription factor y subunit c 1	0.0023584905660377358	1	0.00023784606602606794	20	True
vq domain containing protein	0.0023584905660377358	1	0.0007729997145847207	65	True
scarecrow protein	0.0023584905660377358	1	0.0005113690419560461	43	True
psp domain containing protein	0.014150943396226415	6	0.00014270763961564075	12	True
nuclear poly a polymerase	0.0023584905660377358	1	0.0003448767957377985	29	True
trna n6 adenosine threonylcarbamoyltransferase	0.0023584905660377358	1	0.00014270763961564075	12	True
ccr not transcription complex subunit	0.0047169811320754715	2	0.000570830558462563	48	True
exportin t	0.018867924528301886	8	0.00014270763961564075	12	True
ribosome assembly factor mrt	0.0023584905660377358	1	4.756921320521359e-05	4	True
40s ribosomal protein s15a 1	0.0023584905660377358	1	9.513842641042717e-05	8	True
40s ribosomal protein s10 1	0.0023584905660377358	1	8.324612310912378e-05	7	True
40s ribosomal protein s23 1	0.0023584905660377358	1	0.00013081533631433735	11	True
bms type g domain containing protein	0.0047169811320754715	2	0.00011892303301303397	10	True
tyrosine trna ligase 1	0.0047169811320754715	2	7.135381980782038e-05	6	True
eukaryotic translation initiation factor subunit e	0.0023584905660377358	1	0.00021406145942346114	18	True
eukaryotic translation initiation factor 5a 1 2	0.0023584905660377358	1	0.00011892303301303397	10	True
n acetyltransferase domain containing protein	0.007075471698113208	3	0.0008681381409951479	73	True
calcium dependent protein kinase	0.014150943396226415	6	0.0004162306155456189	35	True
arath calcium dependent protein kinase	0.025943396226415096	11	0.0034368756540766815	289	True
btb poz domain containing protein	0.0023584905660377358	1	0.0009632765674055751	81	True
pppde domain containing protein	0.007075471698113208	3	0.0004994767386547426	42	True
lysosomal pro x carboxypeptidase protein	0.0047169811320754715	2	0.00019027685282085435	16	True
quality protein qwrf motif containing	0.0023584905660377358	1	0.00010703072971173057	9	True
tpx domain containing protein	0.0047169811320754715	2	0.0006659689848729902	56	True
prefoldin subunit protein	0.0023584905660377358	1	2.3784606602606793e-05	2	True
c2 nt type domain containing protein	0.0047169811320754715	2	0.0006183997716677766	52	True
vacuole membrane protein kms	0.0047169811320754715	2	0.00013081533631433735	11	True
no annotation	0.09198113207547169	39	0.06807154409666064	5724	True
3 hydroxy methylglutaryl coenzyme a reductase 2	0.0047169811320754715	2	0.0002854152792312815	24	True
activating protein and vps domain containing	0.0023584905660377358	1	4.756921320521359e-05	4	True
uv radiation resistance associated gene protein	0.007075471698113208	3	7.135381980782038e-05	6	True
protein tic 20 chloroplastic	0.0047169811320754715	2	4.756921320521359e-05	4	True
protein tic 20	0.0023584905660377358	1	5.9461516506516985e-05	5	True
golgi to er traffic protein homolog	0.0047169811320754715	2	2.3784606602606793e-05	2	True
duf 4283 domain containing protein	0.0047169811320754715	2	0.0011535534202264295	97	True
golgi to er traffic protein	0.0023584905660377358	1	2.3784606602606793e-05	2	True
dioxygenase domain containing protein	0.0023584905660377358	1	4.756921320521359e-05	4	True
bile acid sodium symporter family protein	0.0047169811320754715	2	2.3784606602606793e-05	2	True
arath protein detoxification	0.007075471698113208	3	0.0002973075825325849	25	True
selenium binding protein	0.0023584905660377358	1	3.567690990391019e-05	3	True
methanethiol oxidase	0.0023584905660377358	1	7.135381980782038e-05	6	True
arath cold regulated inner membrane protein 2 chloroplastic	0.009433962264150943	4	8.324612310912378e-05	7	True
chitinase	0.0047169811320754715	2	0.00015459994291694415	13	True
ring type domain containing protein	0.025943396226415096	11	0.007848920178860241	660	True
tubulin beta chain	0.014150943396226415	6	0.0005232613452573494	44	True
v type proton atpase proteolipid subunit	0.0047169811320754715	2	0.00013081533631433735	11	True
ppr long domain containing protein	0.0023584905660377358	1	0.0007373228046808106	62	True
glutaredoxin domain containing protein	0.0023584905660377358	1	0.0008324612310912378	70	True
eukaryotic peptide chain release factor subunit	0.0023584905660377358	1	5.9461516506516985e-05	5	True
non specific lipid transfer protein	0.014150943396226415	6	0.00021406145942346114	18	True
myb domain containing protein	0.0023584905660377358	1	0.0010465226905146988	88	True
ulp protease domain containing protein	0.0047169811320754715	2	0.0009038150508990582	76	True
rna binding kh domain containing protein	0.0023584905660377358	1	0.0004281229188469223	36	True
duf 668 domain containing protein	0.0023584905660377358	1	5.9461516506516985e-05	5	True
steroid nuclear receptor ligand binding	0.0023584905660377358	1	2.3784606602606793e-05	2	True
lectin domain containing receptor kinase	0.0023584905660377358	1	0.001165445723527733	98	True
protein kinase domain containing	0.01650943396226415	7	0.025330606031776233	2130	False
fbd domain containing protein	0.009433962264150943	4	0.00021406145942346114	18	True
f box domain containing protein	0.014150943396226415	6	0.005958043953953001	501	True
myb dna bind 3 domain containing protein	0.014150943396226415	6	0.0036152602035962327	304	True
p loop ntpase domain containing protein lpa	0.0023584905660377358	1	3.567690990391019e-05	3	True
nadp dependent malic enzyme 4	0.007075471698113208	3	0.0005589382551612597	47	True
transmembrane protein	0.0047169811320754715	2	0.000570830558462563	48	True
protein pgr	0.007075471698113208	3	4.756921320521359e-05	4	True
protein serine threonine phosphatase	0.0047169811320754715	2	0.005482351821900866	461	False
duf 3523 domain containing protein	0.0023584905660377358	1	1.1892303301303397e-05	1	True
elmo domain containing protein	0.007075471698113208	3	0.00019027685282085435	16	True
tetraspanin protein	0.0023584905660377358	1	0.00022595376272476454	19	True
eukaryotic translation initiation factor subunit d	0.0047169811320754715	2	4.756921320521359e-05	4	True
cell linked locus protein	0.0023584905660377358	1	3.567690990391019e-05	3	True
serine arginine rich splicing factor	0.0047169811320754715	2	7.135381980782038e-05	6	True
protein fam isoform	0.009433962264150943	4	7.135381980782038e-05	6	True
transposase 23 domain containing protein	0.007075471698113208	3	0.0008443535343925411	71	True
fe2og dioxygenase domain containing protein	0.0047169811320754715	2	0.002164399200837218	182	True
v type proton atpase subunit b	0.0023584905660377358	1	0.00013081533631433735	11	True
globulin s allele	0.0023584905660377358	1	3.567690990391019e-05	3	True
zf rvt domain containing protein	0.0047169811320754715	2	0.00016649224621824755	14	True
auxin responsive protein saur	0.0023584905660377358	1	0.0007135381980782038	60	True
yae1 n domain containing protein	0.0047169811320754715	2	0.00020216915612215775	17	True
bed domain containing protein	0.0023584905660377358	1	7.135381980782038e-05	6	True
kinesin	0.0023584905660377358	1	2.3784606602606793e-05	2	True
duf 1664 domain containing protein	0.0023584905660377358	1	0.00016649224621824755	14	True
1 phosphatidylinositol phosphate 5 kinase	0.0023584905660377358	1	0.0010108457806107887	85	True
bri kd interacting protein	0.0023584905660377358	1	0.00014270763961564075	12	True
cellulose synthase a catalytic subunit [udp forming]	0.0047169811320754715	2	0.0007729997145847207	65	True
2 hydroxyacyl coa lyase	0.0023584905660377358	1	8.324612310912378e-05	7	True
3 oxoacyl [acyl carrier protein] synthase iii chloroplastic	0.0023584905660377358	1	8.324612310912378e-05	7	True
phb domain containing protein	0.007075471698113208	3	0.00021406145942346114	18	True
pre mrna splicing factor cwf	0.0023584905660377358	1	3.567690990391019e-05	3	True
wrky superfamily of tfs having and zinc finger domains	0.0023584905660377358	1	1.1892303301303397e-05	1	True
maldo peptidyl prolyl cis trans isomerase	0.0023584905660377358	1	3.567690990391019e-05	3	True
ab hydrolase domain containing protein	0.0047169811320754715	2	0.002223860717343735	187	True
of rcc domain containing protein rug mitochondrial	0.0023584905660377358	1	1.1892303301303397e-05	1	True
structural maintenance of chromosomes protein	0.0023584905660377358	1	0.00019027685282085435	16	True
nac domain containing protein	0.0023584905660377358	1	0.00371039863000666	312	False
pmr5n domain containing protein	0.0047169811320754715	2	0.0009989534773094852	84	True
3beta hsd domain containing protein	0.0023584905660377358	1	0.0002735229759299781	23	True
myosin domain containing protein	0.0047169811320754715	2	7.135381980782038e-05	6	True
mitochondrial phosphate carrier protein 1	0.0023584905660377358	1	0.00020216915612215775	17	True
duf 569 domain containing protein	0.0023584905660377358	1	0.0004043383122443155	34	True
tlc domain containing protein	0.0047169811320754715	2	0.0004875844353534393	41	True
atp citrate synthase protein	0.0023584905660377358	1	0.00017838454951955095	15	True
casein kinase protein	0.0023584905660377358	1	8.324612310912378e-05	7	True
cdp diacylglycerol serine o phosphatidyltransferase	0.0047169811320754715	2	0.0002616306726286747	22	True
c2 domain containing protein	0.009433962264150943	4	0.001082199600418609	91	True
mttase n terminal domain containing protein	0.0023584905660377358	1	1.1892303301303397e-05	1	True
rcc and btb domain containing protein	0.0023584905660377358	1	0.0003686614023404053	31	True
plant mxo protein	0.0023584905660377358	1	2.3784606602606793e-05	2	True
tryptophan synthase	0.0023584905660377358	1	4.756921320521359e-05	4	True
thioredoxin domain containing protein plp3a	0.0023584905660377358	1	2.3784606602606793e-05	2	True
nodulin domain containing protein	0.0023584905660377358	1	0.0007729997145847207	65	True
rf prok i domain containing protein	0.0023584905660377358	1	4.756921320521359e-05	4	True
ubiquitin conjugating enzyme e2	0.0047169811320754715	2	0.00016649224621824755	14	True
