Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
homeobox leucine zipper protein hox	0.014285714285714285	1	0.0016292455522785654	137	True
phosphopyruvate hydratase	0.014285714285714285	1	4.756921320521359e-05	4	True
atp synthase small subunit 6 mitochondrial	0.014285714285714285	1	7.135381980782038e-05	6	True
helicase protein mom	0.02857142857142857	2	0.00020216915612215775	17	True
umuc domain containing protein	0.014285714285714285	1	4.756921320521359e-05	4	True
transcription elongation factor homolog	0.014285714285714285	1	8.324612310912378e-05	7	True
40s ribosomal protein s23 1	0.02857142857142857	2	0.00013081533631433735	11	True
inactive leucine rich repeat receptor protein kinase	0.02857142857142857	2	0.00021406145942346114	18	True
rhamnogalacturonan endolyase	0.014285714285714285	1	0.00017838454951955095	15	True
auxilin protein	0.014285714285714285	1	8.324612310912378e-05	7	True
knot domain containing protein	0.014285714285714285	1	0.00021406145942346114	18	True
protein fam32a	0.02857142857142857	2	0.0004162306155456189	35	True
lysine specific demethylase protein	0.014285714285714285	1	5.9461516506516985e-05	5	True
sh domain containing protein	0.02857142857142857	2	0.0003091998858338883	26	True
40s ribosomal protein s24 1	0.014285714285714285	1	0.00015459994291694415	13	True
calreticulin	0.014285714285714285	1	0.0002497383693273713	21	True
lzipper mip domain containing protein	0.014285714285714285	1	0.00015459994291694415	13	True
duf 2431 domain containing protein	0.014285714285714285	1	0.00010703072971173057	9	True
sister chromatid cohesion protein	0.014285714285714285	1	0.00022595376272476454	19	True
esx secretion associated protein espi	0.014285714285714285	1	1.1892303301303397e-05	1	True
phd type domain containing protein	0.02857142857142857	2	0.0006065074683664733	51	True
of topless protein	0.02857142857142857	2	9.513842641042717e-05	8	True
helicase domain containing protein	0.014285714285714285	1	9.513842641042717e-05	8	True
calcium binding mitochondrial carrier protein scamc	0.014285714285714285	1	3.567690990391019e-05	3	True
duf 295 domain containing protein	0.014285714285714285	1	0.0009394919608029683	79	True
dna polymerase v family	0.014285714285714285	1	1.1892303301303397e-05	1	True
phb domain containing protein	0.014285714285714285	1	0.00021406145942346114	18	True
homeobox protein knotted	0.014285714285714285	1	0.0003686614023404053	31	True
atp dependent dna helicase	0.02857142857142857	2	0.002342783750356769	197	True
thioredoxin domain containing protein	0.014285714285714285	1	0.0017957377984968129	151	True
edr2 c domain containing protein	0.014285714285714285	1	0.0003805537056417087	32	True
sister chromatid cohesion protein pds homolog	0.014285714285714285	1	0.0003210921891351917	27	True
auxin responsive protein	0.014285714285714285	1	0.0004875844353534393	41	True
nascent polypeptide associated complex subunit alpha muscle specific form	0.014285714285714285	1	0.00016649224621824755	14	True
uridine 5 monophosphate synthase	0.014285714285714285	1	9.513842641042717e-05	8	True
rrna biogenesis protein rrp	0.014285714285714285	1	0.00016649224621824755	14	True
carbohydrate binding x8 domain superfamily protein	0.014285714285714285	1	1.1892303301303397e-05	1	True
tify domain containing protein	0.014285714285714285	1	0.0008919227475977547	75	True
2 phosphotransferase	0.014285714285714285	1	0.00014270763961564075	12	True
er domain containing protein	0.014285714285714285	1	3.567690990391019e-05	3	True
nuclear transcription factor y subunit b 1	0.014285714285714285	1	0.0004637998287508325	39	True
myb dna bind 3 domain containing protein	0.014285714285714285	1	0.0036152602035962327	304	True
eukaryotic translation initiation factor subunit e 1	0.014285714285714285	1	2.3784606602606793e-05	2	True
alpha glucosyltransferase	0.014285714285714285	1	3.567690990391019e-05	3	True
no annotation	0.22857142857142856	16	0.06807154409666064	5724	True
cyclin dependent kinase homolog	0.014285714285714285	1	7.135381980782038e-05	6	True
polygalacturonase	0.014285714285714285	1	0.0009989534773094852	84	True
