Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
shikimate kinase 1	0.05673758865248227	8	0.00014270763961564075	12	True
3 oxoacyl [acyl carrier protein] synthase i	0.02127659574468085	3	0.00014270763961564075	12	True
malate synthase	0.028368794326241134	4	4.756921320521359e-05	4	True
non specific phospholipase c3	0.014184397163120567	2	2.3784606602606793e-05	2	True
ef hand domain containing protein	0.02127659574468085	3	0.0013438302730472839	113	True
epimerase domain containing protein	0.02127659574468085	3	0.000927599657501665	78	True
mrg domain containing protein	0.03546099290780142	5	5.9461516506516985e-05	5	True
bzip transcription factor tga	0.0070921985815602835	1	0.0012367995433355532	104	True
lob domain containing protein	0.028368794326241134	4	0.0012130149367329465	102	True
nac domain containing protein	0.0070921985815602835	1	0.00371039863000666	312	True
ribonuclease t 2	0.0070921985815602835	1	1.1892303301303397e-05	1	True
rna dependent polymerase	0.014184397163120567	2	0.00015459994291694415	13	True
s acyltransferase	0.04964539007092199	7	0.0003805537056417087	32	True
ring type domain containing protein	0.04964539007092199	7	0.007848920178860241	660	True
vacuolar processing enzyme isozyme	0.0425531914893617	6	0.0003210921891351917	27	True
carboxypeptidase y homolog a	0.014184397163120567	2	4.756921320521359e-05	4	True
protein spiral	0.0070921985815602835	1	0.00010703072971173057	9	True
mannan endo beta mannosidase	0.014184397163120567	2	0.00014270763961564075	12	True
cinnamoyl coa reductase	0.028368794326241134	4	0.0002616306726286747	22	True
wat protein	0.028368794326241134	4	0.0011297688136238226	95	True
domain wat protein	0.0070921985815602835	1	5.9461516506516985e-05	5	True
aa trans domain containing protein	0.02127659574468085	3	0.0010108457806107887	85	True
bidirectional sugar transporter sweet protein	0.0070921985815602835	1	8.324612310912378e-05	7	True
arath protein detoxification	0.0070921985815602835	1	0.0002973075825325849	25	True
protein kinase domain containing	0.014184397163120567	2	0.025330606031776233	2130	False
inactive metacaspase	0.0070921985815602835	1	1.1892303301303397e-05	1	True
upf protein	0.03546099290780142	5	0.0004043383122443155	34	True
tify domain containing protein	0.0070921985815602835	1	0.0008919227475977547	75	True
fe 3+ 2+ purple acid phosphatase	0.014184397163120567	2	0.00023784606602606794	20	True
nucleotide sugar transporter	0.0070921985815602835	1	4.756921320521359e-05	4	True
protein bps chloroplastic	0.0070921985815602835	1	4.756921320521359e-05	4	True
protein dmp	0.014184397163120567	2	0.00015459994291694415	13	True
c2 domain containing protein	0.0070921985815602835	1	0.001082199600418609	91	True
endo 4 beta glucanase	0.0070921985815602835	1	8.324612310912378e-05	7	True
calcium calmodulin dependent protein kinase	0.0070921985815602835	1	1.1892303301303397e-05	1	True
plastid movement impaired protein	0.0070921985815602835	1	1.1892303301303397e-05	1	True
e3 ubiquitin protein ligase ring	0.0070921985815602835	1	0.0006065074683664733	51	True
macpf domain containing protein	0.02127659574468085	3	0.0002735229759299781	23	True
cral trio domain containing protein	0.014184397163120567	2	0.001617353248977262	136	True
lea 2 domain containing protein	0.0070921985815602835	1	0.0012843687565407668	108	True
arc domain protein	0.0070921985815602835	1	1.1892303301303397e-05	1	True
quality protein upf	0.0070921985815602835	1	4.756921320521359e-05	4	True
duf 4228 domain protein	0.0070921985815602835	1	0.00016649224621824755	14	True
metacaspase	0.0070921985815602835	1	0.00013081533631433735	11	True
magnesium dependent phosphatase	0.014184397163120567	2	2.3784606602606793e-05	2	True
h0818e04 21 protein	0.014184397163120567	2	2.3784606602606793e-05	2	True
serine arginine repetitive matrix protein	0.0070921985815602835	1	0.00010703072971173057	9	True
bidirectional sugar transporter sweet	0.0070921985815602835	1	0.0003210921891351917	27	True
f box protein	0.0070921985815602835	1	0.0003686614023404053	31	True
no annotation	0.1773049645390071	25	0.06807154409666064	5724	True
anionic peroxidase	0.0070921985815602835	1	0.0010227380839120922	86	True
cationic peroxidase	0.0070921985815602835	1	0.0010108457806107887	85	True
cyclin dependent kinase 1	0.0070921985815602835	1	0.0021762915041385216	183	True
