Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
2 3 independent phosphoglycerate mutase	0.010810810810810811	4	0.0003091998858338883	26	True
outer envelope pore protein 16 3 chloroplastic mitochondrial	0.010810810810810811	4	0.00011892303301303397	10	True
heme a synthase	0.008108108108108109	3	3.567690990391019e-05	3	True
atp protein expressed	0.002702702702702703	1	5.9461516506516985e-05	5	True
udp sugar pyrophosphorylase	0.010810810810810811	4	0.00021406145942346114	18	True
aspartokinase 1 chloroplastic	0.005405405405405406	2	5.9461516506516985e-05	5	True
maoc domain containing protein	0.005405405405405406	2	7.135381980782038e-05	6	True
cdp diacylglycerol serine o phosphatidyltransferase	0.005405405405405406	2	0.0002616306726286747	22	True
aminotran 1 2 domain containing protein	0.005405405405405406	2	0.0004637998287508325	39	True
desag phosphoribosylformylglycinamidine cyclo ligase	0.002702702702702703	1	2.3784606602606793e-05	2	True
iron sulfur cluster assembly scaffold protein iscu	0.002702702702702703	1	4.756921320521359e-05	4	True
sirohydrochlorin ferrochelatase chloroplastic	0.01891891891891892	7	0.00017838454951955095	15	True
sirohydrochlorin ferrochelatase	0.002702702702702703	1	1.1892303301303397e-05	1	True
1 deoxy d xylulose 5 phosphate reductoisomerase	0.005405405405405406	2	8.324612310912378e-05	7	True
shni tpr domain containing protein	0.005405405405405406	2	0.00011892303301303397	10	True
atp dependent clp protease binding subunit clpa homolog chloroplastic	0.002702702702702703	1	7.135381980782038e-05	6	True
histone lysine n methyltransferase atx	0.002702702702702703	1	0.00016649224621824755	14	True
swi snf complex subunit swi3c	0.002702702702702703	1	0.00019027685282085435	16	True
papa domain containing protein	0.002702702702702703	1	0.00011892303301303397	10	True
snf domain containing protein classy	0.005405405405405406	2	0.00015459994291694415	13	True
lon protease homolog 1 mitochondrial	0.005405405405405406	2	0.00013081533631433735	11	True
replication protein a kda subunit	0.005405405405405406	2	0.00011892303301303397	10	True
orysj protein shortage in chiasmata	0.010810810810810811	4	4.756921320521359e-05	4	True
rst domain containing protein	0.021621621621621623	8	0.00013081533631433735	11	True
tafii55 n domain containing protein	0.002702702702702703	1	0.00011892303301303397	10	True
cir n domain containing protein	0.005405405405405406	2	0.00010703072971173057	9	True
cysteine trna ligase	0.005405405405405406	2	2.3784606602606793e-05	2	True
calmodulin binding transcription activator	0.002702702702702703	1	0.0004994767386547426	42	True
wrky transcription factor susiba	0.005405405405405406	2	3.567690990391019e-05	3	True
pre mrna splicing factor rse	0.008108108108108109	3	4.756921320521359e-05	4	True
gcfc domain containing protein	0.005405405405405406	2	0.00013081533631433735	11	True
pentatricopeptide repeat containing protein	0.002702702702702703	1	0.007289981923698982	613	False
pre mrna splicing atp dependent rna helicase prp	0.010810810810810811	4	8.324612310912378e-05	7	True
fcf domain containing protein	0.005405405405405406	2	9.513842641042717e-05	8	True
lectin domain containing receptor kinase	0.010810810810810811	4	0.001165445723527733	98	True
pig h domain containing protein	0.013513513513513514	5	0.00013081533631433735	11	True
