Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
duf 3598 domain containing protein	0.010438413361169102	5	9.513842641042717e-05	8	True
udp glucuronic acid decarboxylase	0.006263048016701462	3	0.0004043383122443155	34	True
shr bd domain containing protein	0.0041753653444676405	2	4.756921320521359e-05	4	True
2 methoxy polyprenyl benzoquinol methylase mitochondrial	0.0020876826722338203	1	0.00010703072971173057	9	True
dicdi monothiol glutaredoxin mitochondrial	0.0041753653444676405	2	0.00010703072971173057	9	True
superoxide dismutase [fe] 1	0.0041753653444676405	2	7.135381980782038e-05	6	True
cytochrome b561 domain containing protein	0.0041753653444676405	2	0.00020216915612215775	17	True
ethylene receptor	0.006263048016701462	3	0.0004400152221482257	37	True
histone h2a	0.0020876826722338203	1	0.0002616306726286747	22	True
f box domain containing protein	0.006263048016701462	3	0.005958043953953001	501	True
40s ribosomal protein s4 x isoform	0.0020876826722338203	1	0.00019027685282085435	16	True
40s ribosomal protein s4 3	0.006263048016701462	3	0.00022595376272476454	19	True
40s ribosomal protein s4 1	0.016701461377870562	8	0.0003448767957377985	29	True
isoform of phd finger protein ing	0.0041753653444676405	2	2.3784606602606793e-05	2	True
swi snf complex subunit swi3b	0.0041753653444676405	2	5.9461516506516985e-05	5	True
dna replication licensing factor mcm	0.006263048016701462	3	0.0003805537056417087	32	True
dna helicase mcm	0.006263048016701462	3	4.756921320521359e-05	4	True
lim zinc binding domain containing protein	0.025052192066805846	12	0.0005470459518599562	46	True
cyclin n terminal domain containing protein	0.010438413361169102	5	0.0007492151079821139	63	True
shugoshin c domain containing protein	0.0020876826722338203	1	0.00013081533631433735	11	True
transcription initiation factor iib	0.0020876826722338203	1	0.00010703072971173057	9	True
rna polymerase ii subunit b1 ctd phosphatase rpap homolog	0.0020876826722338203	1	5.9461516506516985e-05	5	True
tafii55 n domain containing protein	0.0020876826722338203	1	0.00011892303301303397	10	True
transcription factor iiib kda subunit	0.0020876826722338203	1	2.3784606602606793e-05	2	True
beta amylase 1	0.012526096033402923	6	0.0006659689848729902	56	True
heat stress transcription factor a 1	0.0041753653444676405	2	0.0004875844353534393	41	True
calmodulin binding transcription activator	0.0020876826722338203	1	0.0004994767386547426	42	True
vq domain containing protein	0.0041753653444676405	2	0.0007729997145847207	65	True
transcription factor tcp	0.0020876826722338203	1	9.513842641042717e-05	8	True
transcription repressor	0.0020876826722338203	1	0.0005232613452573494	44	True
kda ribonucleoprotein associated protein	0.0041753653444676405	2	0.00023784606602606794	20	True
protein s acyltransferase	0.0041753653444676405	2	0.0009989534773094852	84	True
g type lectin s receptor serine threonine protein kinase	0.012526096033402923	6	0.002640091332889354	222	True
casein kinase i isoform	0.0041753653444676405	2	0.0014270763961564076	120	True
arath cbl interacting serine threonine protein kinase	0.008350730688935281	4	0.001165445723527733	98	True
microtubule associated serine threonine protein kinase	0.033402922755741124	16	0.0004043383122443155	34	True
tyrosine protein phosphatase domain containing	0.0020876826722338203	1	0.00015459994291694415	13	True
peptidase s26 domain containing protein	0.0020876826722338203	1	0.00023784606602606794	20	True
membrane anchored ubiquitin fold protein	0.006263048016701462	3	0.00013081533631433735	11	True
sp ubc ubiquitin conjugating enzyme e2	0.0020876826722338203	1	0.00023784606602606794	20	True
canlf inactive rhomboid protein	0.0041753653444676405	2	0.00010703072971173057	9	True
no annotation	0.1419624217118998	68	0.06807154409666064	5724	True
kinesin protein kin	0.0041753653444676405	2	0.0005470459518599562	46	True
octicosapeptide phox pb domain containing protein	0.0020876826722338203	1	5.9461516506516985e-05	5	True
cral trio domain containing protein	0.0041753653444676405	2	0.001617353248977262	136	True
gb rhd type g domain containing protein	0.0020876826722338203	1	0.0002616306726286747	22	True
exostosin domain containing protein	0.0020876826722338203	1	0.001165445723527733	98	True
vacuolar protein sorting associated 9a	0.0020876826722338203	1	3.567690990391019e-05	3	True
nuclear pore complex protein nup	0.0041753653444676405	2	0.0007967843211873275	67	True
magnesium transporter nipa	0.006263048016701462	3	0.0003805537056417087	32	True
nipa protein	0.0020876826722338203	1	5.9461516506516985e-05	5	True
molybdate anion transporter	0.0041753653444676405	2	0.0003091998858338883	26	True
glutamate receptor	0.006263048016701462	3	0.0004994767386547426	42	True
cell division protein ftsz 2 1	0.0020876826722338203	1	0.00011892303301303397	10	True
quality protein magnesium transporter mrs	0.0020876826722338203	1	0.00013081533631433735	11	True
quality protein magnesium transporter mrs f	0.0020876826722338203	1	2.3784606602606793e-05	2	True
arf gap domain containing protein	0.0020876826722338203	1	0.00016649224621824755	14	True
ph domain containing protein	0.010438413361169102	5	0.0004400152221482257	37	True
glutaredoxin domain containing protein	0.0041753653444676405	2	0.0008324612310912378	70	True
transmembrane superfamily member	0.0020876826722338203	1	5.9461516506516985e-05	5	True
cral trio n domain containing protein	0.0041753653444676405	2	0.00019027685282085435	16	True
myb domain containing protein	0.0020876826722338203	1	0.0010465226905146988	88	True
beta galactosidase	0.010438413361169102	5	0.0009632765674055751	81	True
2 carboxy naphthoquinone phytyltransferase chloroplastic	0.006263048016701462	3	3.567690990391019e-05	3	True
tubby f box protein	0.006263048016701462	3	4.756921320521359e-05	4	True
acidic kda endochitinase	0.0020876826722338203	1	1.1892303301303397e-05	1	True
myb dna bind 3 domain containing protein	0.022964509394572025	11	0.0036152602035962327	304	True
lrrnt 2 domain containing protein	0.0041753653444676405	2	0.001438968699457711	121	True
disease resistance protein rpm	0.0041753653444676405	2	0.0003686614023404053	31	True
helicase atp binding domain containing protein	0.0020876826722338203	1	5.9461516506516985e-05	5	True
th domain containing protein	0.0020876826722338203	1	1.1892303301303397e-05	1	True
bovin mitochondrial processing peptidase subunit alpha	0.0020876826722338203	1	0.0004281229188469223	36	True
rho domain containing protein	0.0020876826722338203	1	5.9461516506516985e-05	5	True
cwf domain containing protein	0.0020876826722338203	1	0.00017838454951955095	15	True
duf 6469 domain containing protein	0.0020876826722338203	1	1.1892303301303397e-05	1	True
coatomer subunit beta 1	0.006263048016701462	3	0.0003448767957377985	29	True
b3 domain containing protein	0.0041753653444676405	2	0.0004875844353534393	41	True
ubiquitin thioesterase protein	0.0020876826722338203	1	1.1892303301303397e-05	1	True
65 kda microtubule associated protein	0.010438413361169102	5	0.0004994767386547426	42	True
clathrin heavy chain	0.0020876826722338203	1	0.0002616306726286747	22	True
aaa domain containing protein	0.006263048016701462	3	0.0012605841499381601	106	True
mitochondrial acidic protein mam	0.0020876826722338203	1	1.1892303301303397e-05	1	True
beach domain containing protein	0.0020876826722338203	1	9.513842641042717e-05	8	True
beach domain containing protein b	0.0020876826722338203	1	0.00010703072971173057	9	True
nad dependent protein deacylase srt	0.008350730688935281	4	7.135381980782038e-05	6	True
mediator of rna polymerase ii transcription subunit	0.0020876826722338203	1	0.0007492151079821139	63	True
plant specific tfiib protein	0.0020876826722338203	1	1.1892303301303397e-05	1	True
arath lysine histidine transporter	0.0020876826722338203	1	0.0003567690990391019	30	True
polynucleotide adenylyltransferase	0.0020876826722338203	1	3.567690990391019e-05	3	True
atp dependent dna helicase	0.012526096033402923	6	0.002342783750356769	197	True
rrna biogenesis protein rrp	0.0041753653444676405	2	0.00016649224621824755	14	True
bhlh domain containing protein	0.0020876826722338203	1	0.00318713728474931	268	False
trna guanine n 7 methyltransferase	0.0041753653444676405	2	0.00011892303301303397	10	True
pci domain containing protein	0.006263048016701462	3	0.0004281229188469223	36	True
swirm domain containing protein	0.0020876826722338203	1	2.3784606602606793e-05	2	True
e3 ubiquitin protein ligase rglg	0.0020876826722338203	1	4.756921320521359e-05	4	True
cell migration inducing and hyaluronan binding protein	0.0020876826722338203	1	1.1892303301303397e-05	1	True
orysj protein argonaute	0.0041753653444676405	2	2.3784606602606793e-05	2	True
human protein argonaute	0.0020876826722338203	1	0.0007135381980782038	60	True
swib mdm domain containing protein	0.0020876826722338203	1	0.0002735229759299781	23	True
ubc core domain containing protein	0.010438413361169102	5	0.0006540766815716869	55	True
c4 phosphoenolpyruvate carboxylase	0.0020876826722338203	1	0.0002854152792312815	24	True
mlo protein	0.008350730688935281	4	0.0007611074112834174	64	True
sap domain containing protein	0.0041753653444676405	2	0.0003805537056417087	32	True
gata type domain containing protein	0.006263048016701462	3	0.00019027685282085435	16	True
exocyst complex component exo84b	0.0020876826722338203	1	1.1892303301303397e-05	1	True
cointegrator complex	0.006263048016701462	3	3.567690990391019e-05	3	True
transcription factor bhlh	0.0020876826722338203	1	0.0012724764532394634	107	True
pentatricopeptide repeat containing protein	0.0041753653444676405	2	0.007289981923698982	613	False
hexosyltransferase	0.006263048016701462	3	0.0020216915612215774	170	True
duf 4283 domain containing protein	0.0020876826722338203	1	0.0011535534202264295	97	True
aminopeptidase 3754	0.0020876826722338203	1	2.3784606602606793e-05	2	True
glutathione synthetase chloroplastic	0.008350730688935281	4	4.756921320521359e-05	4	True
formin protein	0.0020876826722338203	1	0.0006778612881742935	57	True
nb arc domain containing protein	0.0020876826722338203	1	0.0014032917895538007	118	True
cleavage and factor cpsf a subunit protein	0.0020876826722338203	1	1.1892303301303397e-05	1	True
g protein wd repeat containing	0.0020876826722338203	1	1.1892303301303397e-05	1	True
late embryogenesis abundant protein d 34	0.0020876826722338203	1	3.567690990391019e-05	3	True
translation initiation factor subunit gamma	0.0020876826722338203	1	3.567690990391019e-05	3	True
v snare coiled coil homology domain containing protein	0.0020876826722338203	1	9.513842641042717e-05	8	True
homology domain containing protein	0.0020876826722338203	1	3.567690990391019e-05	3	True
cinnamoyl coa reductase	0.0020876826722338203	1	0.0002616306726286747	22	True
gst n terminal domain containing protein	0.0041753653444676405	2	0.0006540766815716869	55	True
regulator of nonsense transcripts homolog	0.0020876826722338203	1	0.00013081533631433735	11	True
grf type domain containing protein	0.0020876826722338203	1	5.9461516506516985e-05	5	True
tetraspanin protein	0.006263048016701462	3	0.00022595376272476454	19	True
pangi 3 hydroxy methylglutaryl coenzyme a reductase 2	0.0020876826722338203	1	1.1892303301303397e-05	1	True
translocon at the outer membrane of chloroplasts	0.0041753653444676405	2	2.3784606602606793e-05	2	True
amidase domain containing protein	0.0020876826722338203	1	3.567690990391019e-05	3	True
duf 4228 domain protein	0.0020876826722338203	1	0.00016649224621824755	14	True
pgg domain containing protein	0.0020876826722338203	1	0.000689753591475597	58	True
protein sys homolog	0.0041753653444676405	2	3.567690990391019e-05	3	True
cysteine rich rlk receptor protein kinase 25	0.0041753653444676405	2	4.756921320521359e-05	4	True
exopolyphosphatase	0.0020876826722338203	1	3.567690990391019e-05	3	True
superoxide dismutase [fe] 1 chloroplastic	0.008350730688935281	4	9.513842641042717e-05	8	True
tify domain containing protein	0.0041753653444676405	2	0.0008919227475977547	75	True
protein kinase domain containing	0.008350730688935281	4	0.025330606031776233	2130	False
amino oxidase domain containing protein	0.0020876826722338203	1	0.0004994767386547426	42	True
vhs domain containing protein	0.0041753653444676405	2	0.00015459994291694415	13	True
haloacid dehalogenase hydrolase had superfamily protein	0.0020876826722338203	1	0.00020216915612215775	17	True
