Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
high molecular mass early light inducible protein hv chloroplastic	0.002617801047120419	1	4.756921320521359e-05	4	True
nad p bd dom domain containing protein	0.005235602094240838	2	0.000570830558462563	48	True
aconitate hydratase cytoplasmic	0.015706806282722512	6	0.00011892303301303397	10	True
bovin mitochondrial processing peptidase subunit alpha	0.015706806282722512	6	0.0004281229188469223	36	True
tryptophan synthase alpha chain	0.013089005235602094	5	0.00014270763961564075	12	True
mitochondrial pyruvate carrier protein	0.005235602094240838	2	0.00011892303301303397	10	True
inorganic pyrophosphatase	0.005235602094240838	2	0.0004400152221482257	37	True
ergosterol biosynthetic protein	0.002617801047120419	1	9.513842641042717e-05	8	True
mcafunc domain containing protein	0.005235602094240838	2	0.00014270763961564075	12	True
adenine phosphoribosyltransferase 1	0.002617801047120419	1	0.0004400152221482257	37	True
nicotinate nucleotide pyrophosphorylase [carboxylating]	0.005235602094240838	2	4.756921320521359e-05	4	True
phenylcoumaran benzylic ether reductase	0.010471204188481676	4	5.9461516506516985e-05	5	True
flavin containing monooxygenase	0.005235602094240838	2	0.0005113690419560461	43	True
hsf domain domain containing protein	0.002617801047120419	1	0.00013081533631433735	11	True
histone h2a 6	0.002617801047120419	1	1.1892303301303397e-05	1	True
acidic leucine rich nuclear phosphoprotein protein	0.002617801047120419	1	5.9461516506516985e-05	5	True
methyltransf 11 domain containing protein	0.002617801047120419	1	0.0008324612310912378	70	True
53exoc domain containing protein	0.002617801047120419	1	5.9461516506516985e-05	5	True
cyclin n terminal domain containing protein	0.002617801047120419	1	0.0007492151079821139	63	True
dnaj homolog subfamily a member	0.013089005235602094	5	0.0005946151650651698	50	True
transcription initiation factor iie subunit beta	0.002617801047120419	1	3.567690990391019e-05	3	True
transcription factor bhlh protein	0.002617801047120419	1	0.0012724764532394634	107	True
squamosa promoter binding protein	0.005235602094240838	2	0.0005232613452573494	44	True
nac domain containing protein 21 22	0.002617801047120419	1	0.0007016458947769003	59	True
rwp rk domain containing protein	0.005235602094240838	2	0.00021406145942346114	18	True
kda ribonucleoprotein associated protein	0.005235602094240838	2	0.00023784606602606794	20	True
ribonuclease p protein subunit p29	0.002617801047120419	1	5.9461516506516985e-05	5	True
importin domain containing protein	0.002617801047120419	1	0.00010703072971173057	9	True
arath polyadenylate binding protein interacting	0.005235602094240838	2	0.0004043383122443155	34	True
rrm domain containing protein	0.015706806282722512	6	0.003650937113500143	307	True
yth domain containing family protein	0.002617801047120419	1	0.0006540766815716869	55	True
60s ribosomal protein l3 1	0.005235602094240838	2	0.00010703072971173057	9	True
60s ribosomal protein l6 1	0.002617801047120419	1	9.513842641042717e-05	8	True
palmitoyltransferase zdhhc	0.002617801047120419	1	8.324612310912378e-05	7	True
alpha beta hydrolase domain containing protein 17c	0.007853403141361256	3	0.00014270763961564075	12	True
ubc core domain containing protein	0.007853403141361256	3	0.0006540766815716869	55	True
ring type domain containing protein	0.02617801047120419	10	0.007848920178860241	660	True
ubiquitin conjugating enzyme e2 16	0.005235602094240838	2	0.0005470459518599562	46	True
proteasome subunit alpha type	0.020942408376963352	8	0.0006183997716677766	52	True
peptidase a1 domain containing protein	0.005235602094240838	2	0.0025211682998763202	212	True
ste endopeptidase	0.002617801047120419	1	0.00014270763961564075	12	True
serpin domain containing protein	0.002617801047120419	1	0.00013081533631433735	11	True
actin protein 2 3 complex subunit	0.002617801047120419	1	0.00020216915612215775	17	True
quality protein stomatal closure actin binding	0.005235602094240838	2	0.0002973075825325849	25	True
wpp domain containing protein	0.002617801047120419	1	0.00021406145942346114	18	True
o fucosyltransferase family protein	0.002617801047120419	1	0.001771953191894206	149	True
glycosyltransferase family sialyltransferase protein	0.002617801047120419	1	4.756921320521359e-05	4	True
coatomer epsilon subunit	0.002617801047120419	1	0.00011892303301303397	10	True
exocyst subunit exo family protein	0.002617801047120419	1	0.0006540766815716869	55	True
t snare coiled coil homology domain containing protein	0.002617801047120419	1	0.0009751688707068786	82	True
duf 2012 domain containing protein	0.002617801047120419	1	0.00011892303301303397	10	True
ubiquitin conjugating enzyme e2 17	0.007853403141361256	3	0.0002735229759299781	23	True
glycerophosphodiester phosphodiesterase gdpdl	0.010471204188481676	4	0.00021406145942346114	18	True
arath zinc finger ccch domain containing protein	0.002617801047120419	1	0.0004400152221482257	37	True
dnaj homolog subfamily b member	0.002617801047120419	1	0.00020216915612215775	17	True
hva protein	0.002617801047120419	1	0.0005470459518599562	46	True
triacylglycerol lipase sdp protein	0.007853403141361256	3	3.567690990391019e-05	3	True
atp dependent dna helicase q	0.005235602094240838	2	2.3784606602606793e-05	2	True
nadph cytochrome p450 reductase	0.015706806282722512	6	0.0003686614023404053	31	True
homeobox domain containing protein	0.002617801047120419	1	0.0013319379697459804	112	True
inositol phosphate synthase 1	0.002617801047120419	1	0.00023784606602606794	20	True
duf 4283 domain containing protein	0.002617801047120419	1	0.0011535534202264295	97	True
sas utp c1d family	0.002617801047120419	1	4.756921320521359e-05	4	True
myb dna bind 3 domain containing protein	0.013089005235602094	5	0.0036152602035962327	304	True
inactive purple acid phosphatase	0.002617801047120419	1	1.1892303301303397e-05	1	True
duf 4220 domain containing protein	0.013089005235602094	5	0.0009989534773094852	84	True
drim domain containing protein	0.005235602094240838	2	5.9461516506516985e-05	5	True
mitochondrial processing peptidase subunit alpha	0.002617801047120419	1	3.567690990391019e-05	3	True
protein flx isoform x2	0.005235602094240838	2	5.9461516506516985e-05	5	True
4 hydroxy methoxy oxo dihydro 2h 1 benzoxazin yl glucosidebeta d glucosidase	0.002617801047120419	1	0.00015459994291694415	13	True
cchc type domain containing protein	0.005235602094240838	2	0.0007967843211873275	67	True
