Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
alpha carbonic anhydrase 1	0.0014367816091954023	6	0.0004281229188469223	36	True
fba 3 domain containing protein	0.0011973180076628352	5	0.0003091998858338883	26	True
nadh ubiquinone reductase non electrogenic	0.0011973180076628352	5	0.00014270763961564075	12	True
pyr redox 2 domain containing protein	0.003352490421455939	14	0.00023784606602606794	20	True
ubiquinol oxidase 1 mitochondrial	0.0004789272030651341	2	5.9461516506516985e-05	5	True
gibze protoheme ix farnesyltransferase mitochondrial	0.00023946360153256704	1	3.567690990391019e-05	3	True
sucrose phosphatase	0.0023946360153256703	10	0.0002616306726286747	22	True
acid beta fructofuranosidase 1 vacuolar	0.0019157088122605363	8	0.00015459994291694415	13	True
neutral alkaline invertase 1	0.0007183908045977011	3	0.0002735229759299781	23	True
hexokinase protein	0.0026340996168582377	11	0.0003686614023404053	31	True
ampk1 cbm domain containing protein	0.0009578544061302681	4	0.00015459994291694415	13	True
glucose phosphate adenylyltransferase large subunit 1 chloroplastic	0.0026340996168582377	11	0.0003329844924364951	28	True
soluble starch synthase 2 1 chloroplastic amyloplastic	0.0004789272030651341	2	0.00019027685282085435	16	True
granule bound starch synthase 1 chloroplastic amyloplastic	0.0019157088122605363	8	0.0002735229759299781	23	True
1 4 alpha glucan branching enzyme 2	0.003352490421455939	14	0.00021406145942346114	18	True
glycogen debranching enzyme	0.00023946360153256704	1	3.567690990391019e-05	3	True
trehalose 6 phosphate phosphatase	0.0004789272030651341	2	0.0005589382551612597	47	False
mannose phosphate isomerase	0.0014367816091954023	6	0.0002497383693273713	21	True
haloacid dehalogenase hydrolase domain containing protein sgpp	0.0004789272030651341	2	7.135381980782038e-05	6	True
6 phosphogluconate dehydrogenase decarboxylating 1	0.0038314176245210726	16	0.00023784606602606794	20	True
pyruvate phosphate dikinase 1	0.0014367816091954023	6	0.00019027685282085435	16	True
gdp mannose 4 6 dehydratase	0.0004789272030651341	2	5.9461516506516985e-05	5	True
inositol oxygenase	0.0011973180076628352	5	8.324612310912378e-05	7	True
udp glucuronic acid decarboxylase	0.0031130268199233715	13	0.0004043383122443155	34	True
orysj udp arabinopyranose mutase	0.0009578544061302681	4	0.00022595376272476454	19	True
aa trans domain containing protein	0.0021551724137931034	9	0.0010108457806107887	85	True
