Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
atp dependent 6 phosphofructokinase 4	0.0005558643690939411	1	0.0003091998858338883	26	True
citrate synthase 4	0.0033351862145636463	6	0.0002616306726286747	22	True
ubiquinol oxidase 1 mitochondrial	0.0011117287381878821	2	5.9461516506516985e-05	5	True
beta fructofuranosidase insoluble isoenzyme	0.007782101167315175	14	0.00021406145942346114	18	True
acid beta fructofuranosidase 1 vacuolar	0.0022234574763757642	4	0.00015459994291694415	13	True
alpha galactosidase	0.0022234574763757642	4	0.0003924460089430121	33	True
glucose phosphate 1 dehydrogenase 2	0.0011117287381878821	2	0.00011892303301303397	10	True
glucose phosphate 1 dehydrogenase 3	0.0022234574763757642	4	4.756921320521359e-05	4	True
aldehyde dehydrogenase family member mitochondrial	0.0033351862145636463	6	9.513842641042717e-05	8	True
ambme l lactate dehydrogenase a chain	0.0011117287381878821	2	7.135381980782038e-05	6	True
glutamate decarboxylase	0.0022234574763757642	4	0.00015459994291694415	13	True
aa trans domain containing protein	0.0022234574763757642	4	0.0010108457806107887	85	True
asparagine synthetase [glutamine hydrolyzing]	0.0033351862145636463	6	0.0002735229759299781	23	True
branched chain amino acid aminotransferase 1	0.011117287381878822	20	0.0006183997716677766	52	True
serine acetyltransferase 1	0.0011117287381878821	2	9.513842641042717e-05	8	True
bifunctional l 3 synthase cysteine 1	0.006670372429127293	12	0.00016649224621824755	14	True
l 3 synthase cysteine 1	0.0011117287381878821	2	0.00016649224621824755	14	True
arogenate dehydratase 1	0.0005558643690939411	1	5.9461516506516985e-05	5	True
bovin proline dehydrogenase 1 mitochondrial	0.0011117287381878821	2	4.756921320521359e-05	4	True
3 hydroxyisobutyryl coa hydrolase protein 1 mitochondrial	0.0011117287381878821	2	0.0002616306726286747	22	True
methylcrotonoyl coa carboxylase beta chain mitochondrial	0.0038910505836575876	7	8.324612310912378e-05	7	True
quality protein tyrosine dopa decarboxylase	0.0044469149527515284	8	0.00019027685282085435	16	True
aminotran 1 2 domain containing protein	0.0022234574763757642	4	0.0004637998287508325	39	True
mitochondrial pyruvate carrier	0.0033351862145636463	6	9.513842641042717e-05	8	True
3 ketoacyl coa synthase	0.0027793218454697055	5	0.0004756921320521359	40	True
bifunctional fatty acid conjugase delta 12 desaturase	0.0011117287381878821	2	2.3784606602606793e-05	2	True
