Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
light harvesting complex protein ohp chloroplastic	0.0015455950540958269	1	0.00010703072971173057	9	True
photosystem i reaction center subunit vi	0.0015455950540958269	1	1.1892303301303397e-05	1	True
nadh dehydrogenase ubiquinone complex i assembly factor	0.00463678516228748	3	8.324612310912378e-05	7	True
utp glucose phosphate uridylyltransferase	0.0030911901081916537	2	0.0002497383693273713	21	True
nudix hydrolase domain containing protein	0.0015455950540958269	1	0.0007135381980782038	60	True
beta elim lyase domain containing protein	0.00927357032457496	6	0.0003924460089430121	33	True
sp fabg 3 oxoacyl [acyl carrier protein] reductase fabg	0.0030911901081916537	2	0.00017838454951955095	15	True
2 4 dienoyl coa reductase 3e enoyl producing	0.0077279752704791345	5	0.00013081533631433735	11	True
fe 2+ transport protein	0.0061823802163833074	4	0.00011892303301303397	10	True
iron sulfur cluster carrier protein	0.00927357032457496	6	0.00017838454951955095	15	True
oxygen dependent coproporphyrinogen iii oxidase	0.0030911901081916537	2	4.756921320521359e-05	4	True
superoxide dismutase [fe] 1	0.0015455950540958269	1	7.135381980782038e-05	6	True
gamma glutamylcyclotransferase	0.00463678516228748	3	0.00021406145942346114	18	True
arath glutathione s transferase	0.0015455950540958269	1	0.0005946151650651698	50	True
glutathione s transferase	0.0015455950540958269	1	0.0004281229188469223	36	True
xanthine dehydrogenase oxidase	0.0030911901081916537	2	0.0003448767957377985	29	True
auxin binding protein	0.0061823802163833074	4	0.00010703072971173057	9	True
h4 histone	0.0015455950540958269	1	3.567690990391019e-05	3	True
methyltransf 11 domain containing protein	0.0030911901081916537	2	0.0008324612310912378	70	True
dna polymerase delta subunit	0.0015455950540958269	1	0.0002973075825325849	25	True
dna repair rad protein 1 mitochondrial	0.0015455950540958269	1	4.756921320521359e-05	4	True
cyclin n terminal domain containing protein	0.0030911901081916537	2	0.0007492151079821139	63	True
meiosis specific protein pair	0.0077279752704791345	5	5.9461516506516985e-05	5	True
pentatricopeptide repeat containing protein 10 chloroplastic	0.00463678516228748	3	0.00010703072971173057	9	True
negative regulator of systemic acquired resistance sni	0.00463678516228748	3	3.567690990391019e-05	3	True
dna repair protein rad	0.0015455950540958269	1	0.0004637998287508325	39	True
transcription initiation factor iie subunit beta	0.0030911901081916537	2	3.567690990391019e-05	3	True
snrna activating protein complex subunit	0.0061823802163833074	4	5.9461516506516985e-05	5	True
mediator of rna polymerase ii transcription subunit	0.0015455950540958269	1	0.0007492151079821139	63	True
mediator of rna polymerase ii transcription subunit 33a protein	0.0030911901081916537	2	2.3784606602606793e-05	2	True
transcription factor bhlh	0.0077279752704791345	5	0.0012724764532394634	107	True
quality protein transcription factor bhlh	0.0015455950540958269	1	0.0003805537056417087	32	True
c2h2 type domain containing protein	0.012364760432766615	8	0.003234706497954524	272	True
nac domain containing protein	0.015455950540958269	10	0.00371039863000666	312	True
nac domain containing protein 21 22	0.0030911901081916537	2	0.0007016458947769003	59	True
scarecrow transcription factor	0.0061823802163833074	4	0.0003210921891351917	27	True
rrm domain containing protein	0.0030911901081916537	2	0.003650937113500143	307	False
quality protein pre mrna splicing factor	0.00463678516228748	3	0.00017838454951955095	15	True
50s ribosomal l18 protein	0.0030911901081916537	2	5.9461516506516985e-05	5	True
n6	0.00463678516228748	3	4.756921320521359e-05	4	True
trna n6 adenosine threonylcarbamoyltransferase	0.0077279752704791345	5	0.00014270763961564075	12	True
