Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
protein arginine methyltransferase ndufaf	0.0023006134969325155	3	9.513842641042717e-05	8	True
protein arginine methyltransferase ndufaf mitochondrial	0.0007668711656441718	1	1.1892303301303397e-05	1	True
albino protein 3 mitochondrial isoform x1	0.004601226993865031	6	7.135381980782038e-05	6	True
albino protein 2 chloroplastic isoform x1	0.0007668711656441718	1	1.1892303301303397e-05	1	True
membrane protein insertase yidc	0.0015337423312883436	2	9.513842641042717e-05	8	True
plastidial pyruvate kinase 1	0.004601226993865031	6	0.0004637998287508325	39	True
carbamoyl phosphate synthase large chain	0.003834355828220859	5	0.00010703072971173057	9	True
carbamoyl phosphate synthase small chain protein	0.004601226993865031	6	0.0002497383693273713	21	True
diaminopimelate decarboxylase 1 chloroplastic	0.003067484662576687	4	9.513842641042717e-05	8	True
bifunctional aspartokinase homoserine dehydrogenase 1	0.0015337423312883436	2	0.00020216915612215775	17	True
2 isopropylmalate synthase 1	0.0015337423312883436	2	0.00010703072971173057	9	True
aminotran 5 domain containing protein	0.0007668711656441718	1	9.513842641042717e-05	8	True
1 acyl sn glycerol phosphate acyltransferase 174358	0.0023006134969325155	3	3.567690990391019e-05	3	True
protein dgs mitochondrial isoform	0.0015337423312883436	2	2.3784606602606793e-05	2	True
digalactosyldiacylglycerol synthase 1	0.004601226993865031	6	0.0002854152792312815	24	True
lipid iv a 3 deoxy d manno octulosonic acid transferase	0.003067484662576687	4	5.9461516506516985e-05	5	True
phosphoribosylaminoimidazole carboxylase protein	0.0007668711656441718	1	2.3784606602606793e-05	2	True
adenylosuccinate lyase	0.003834355828220859	5	0.00010703072971173057	9	True
ctp synthase 1	0.007668711656441718	10	0.0006421843782703834	54	True
ribonucleoside diphosphate reductase large subunit	0.003067484662576687	4	7.135381980782038e-05	6	True
ribonucleoside diphosphate reductase small chain protein	0.0007668711656441718	1	3.567690990391019e-05	3	True
bifunctional dethiobiotin synthetase adenosylmethionine amino oxononanoate aminotransferase	0.0015337423312883436	2	2.3784606602606793e-05	2	True
nadph dependent diflavin oxidoreductase	0.003067484662576687	4	4.756921320521359e-05	4	True
mms nucleotide excision repair protein	0.0007668711656441718	1	7.135381980782038e-05	6	True
beta carotene 3 hydroxylase 1	0.0015337423312883436	2	7.135381980782038e-05	6	True
thioredoxin domain containing protein	0.003834355828220859	5	0.0017957377984968129	151	True
isoform topless protein	0.0015337423312883436	2	0.0004281229188469223	36	True
bhlh domain containing protein	0.0023006134969325155	3	0.00318713728474931	268	False
f box domain containing protein	0.00843558282208589	11	0.005958043953953001	501	True
auxin response factor	0.003067484662576687	4	0.0010940919037199124	92	True
histone h2b 1	0.0023006134969325155	3	0.0002854152792312815	24	True
sp h4 histone h4	0.0015337423312883436	2	0.00017838454951955095	15	True
dek c terminal domain containing protein	0.0023006134969325155	3	0.00019027685282085435	16	True
cystm domain containing protein	0.005368098159509203	7	0.00014270763961564075	12	True
chromatin assembly factor subunit a	0.0015337423312883436	2	4.756921320521359e-05	4	True
shni tpr domain containing protein	0.003067484662576687	4	0.00011892303301303397	10	True
chz domain containing protein	0.0007668711656441718	1	1.1892303301303397e-05	1	True
histone lysine n methyltransferase h3 specific	0.0015337423312883436	2	0.0004400152221482257	37	True
polycomb group protein fie	0.0007668711656441718	1	3.567690990391019e-05	3	True
fe2og dioxygenase domain containing protein	0.003834355828220859	5	0.002164399200837218	182	True
dna topoisomerase 3	0.004601226993865031	6	9.513842641042717e-05	8	True
growth regulating factor	0.0023006134969325155	3	0.00022595376272476454	19	True
lysine specific demethylase ref	0.0007668711656441718	1	5.9461516506516985e-05	5	True
histone deacetylase	0.006901840490797546	9	0.0004162306155456189	35	True
chromatin remodeling protein ebs	0.0015337423312883436	2	0.00013081533631433735	11	True
bah and domain containing protein	0.0007668711656441718	1	0.00011892303301303397	10	True
b3 domain containing transcription factor val	0.003067484662576687	4	7.135381980782038e-05	6	True
phd type domain containing protein	0.0015337423312883436	2	0.0006065074683664733	51	True
isoform of iswi chromatin remodeling complex atpase chr	0.0007668711656441718	1	1.1892303301303397e-05	1	True
isoform of iswi chromatin remodeling complex atpase	0.0015337423312883436	2	4.756921320521359e-05	4	True
ddt domain containing protein ddr	0.0015337423312883436	2	2.3784606602606793e-05	2	True
actin protein arp	0.0023006134969325155	3	4.756921320521359e-05	4	True
actin protein 6	0.0015337423312883436	2	2.3784606602606793e-05	2	True
ruvb helicase	0.003067484662576687	4	4.756921320521359e-05	4	True
swi snf matrix associated actin dependent regulator of chromatin subfamily a protein	0.0023006134969325155	3	3.567690990391019e-05	3	True
protein argonaute 4a	0.009969325153374233	13	0.00019027685282085435	16	True
snf domain containing protein classy	0.006134969325153374	8	0.00015459994291694415	13	True
transcription elongation factor spt	0.0007668711656441718	1	0.00011892303301303397	10	True
quality protein atpase family aaa domain containing	0.0023006134969325155	3	3.567690990391019e-05	3	True
methyl cpg binding domain containing protein	0.0023006134969325155	3	0.0005589382551612597	47	True
binding domain containing protein	0.0007668711656441718	1	0.0004519075254495291	38	True
factor of dna methylation	0.0007668711656441718	1	0.00021406145942346114	18	True
origin recognition complex subunit	0.0007668711656441718	1	5.9461516506516985e-05	5	True
cdt domain containing protein	0.003067484662576687	4	9.513842641042717e-05	8	True
protein tonsoku	0.003834355828220859	5	5.9461516506516985e-05	5	True
sld domain containing protein	0.0023006134969325155	3	5.9461516506516985e-05	5	True
dna polymerase alpha catalytic subunit	0.0007668711656441718	1	1.1892303301303397e-05	1	True
dna polymerase catalytic subunit	0.003067484662576687	4	5.9461516506516985e-05	5	True
dna polymerase epsilon catalytic subunit	0.0015337423312883436	2	9.513842641042717e-05	8	True
proliferating cell nuclear antigen	0.0007668711656441718	1	3.567690990391019e-05	3	True
replication factor c large subunit	0.0007668711656441718	1	4.756921320521359e-05	4	True
dna replication factor c subunit	0.0015337423312883436	2	2.3784606602606793e-05	2	True
replication factor c small subunit	0.003067484662576687	4	0.00011892303301303397	10	True
ribonuclease	0.004601226993865031	6	8.324612310912378e-05	7	True
dna ligase	0.006901840490797546	9	0.00020216915612215775	17	True
arath dna polymerase i	0.003067484662576687	4	5.9461516506516985e-05	5	True
sf helicase domain containing protein	0.0023006134969325155	3	3.567690990391019e-05	3	True
dna gyrase subunit a	0.0015337423312883436	2	2.3784606602606793e-05	2	True
dna gyrase subunit b	0.003067484662576687	4	4.756921320521359e-05	4	True
dna topoisomerase	0.0007668711656441718	1	9.513842641042717e-05	8	True
reca 2 protein	0.003067484662576687	4	5.9461516506516985e-05	5	True
sp muts dna mismatch repair protein muts	0.003067484662576687	4	5.9461516506516985e-05	5	True
dna mismatch repair protein muts	0.0023006134969325155	3	9.513842641042717e-05	8	True
type dna topoisomerase subunit b	0.003834355828220859	5	7.135381980782038e-05	6	True
cyclin u4 1	0.0007668711656441718	1	5.9461516506516985e-05	5	True
arath cyclin dependent kinase 2	0.011503067484662576	15	0.0002973075825325849	25	True
cyclin dependent kinase inhibitor	0.0007668711656441718	1	0.0002497383693273713	21	True
transcription factor dp member	0.0007668711656441718	1	9.513842641042717e-05	8	True
structural maintenance of chromosomes protein	0.003834355828220859	5	0.00019027685282085435	16	True
cnd domain containing protein	0.0007668711656441718	1	8.324612310912378e-05	7	True
condensin complex subunit h2	0.003834355828220859	5	0.00013081533631433735	11	True
centromere protein c	0.0015337423312883436	2	9.513842641042717e-05	8	True
kda u5 small nuclear ribonucleoprotein component clo	0.0023006134969325155	3	4.756921320521359e-05	4	True
anaphase promoting complex subunit	0.011503067484662576	15	0.0005232613452573494	44	True
cell division cycle protein homolog b	0.005368098159509203	7	8.324612310912378e-05	7	True
anaphase promoting complex subunit 6 protein	0.0007668711656441718	1	5.9461516506516985e-05	5	True
anaphase promoting complex subunit isoform	0.0007668711656441718	1	2.3784606602606793e-05	2	True
sister chromatid cohesion protein pds homolog	0.003067484662576687	4	0.0003210921891351917	27	True
mitotic spindle checkpoint protein mad	0.003834355828220859	5	0.00013081533631433735	11	True
protein kinase domain containing	0.007668711656441718	10	0.025330606031776233	2130	False
atpase aaa domain containing protein	0.003067484662576687	4	0.00020216915612215775	17	True
nac domain containing protein	0.00843558282208589	11	0.00371039863000666	312	True
lob domain containing protein	0.003067484662576687	4	0.0012130149367329465	102	True
