Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
nadh dehydrogenase [ubiquinone] alpha subcomplex subunit 13	0.003703703703703704	2	5.9461516506516985e-05	5	True
nadh dehydrogenase [ubiquinone] beta subcomplex subunit	0.003703703703703704	2	4.756921320521359e-05	4	True
glyceraldehyde phosphate dehydrogenase 1 cytosolic	0.001851851851851852	1	0.0004281229188469223	36	True
orysj udp arabinopyranose mutase	0.003703703703703704	2	0.00022595376272476454	19	True
utp glucose phosphate uridylyltransferase	0.001851851851851852	1	0.0002497383693273713	21	True
1 5 phosphoribosyl [ phosphoribosylamino methylideneamino] imidazole carboxamide isomerase	0.014814814814814815	8	0.00021406145942346114	18	True
1 2 dihydroxy keto methylthiopentene dioxygenase	0.001851851851851852	1	0.00017838454951955095	15	True
cmp dcmp type deaminase domain containing protein	0.005555555555555556	3	0.00023784606602606794	20	True
3 oxoacyl [acyl carrier protein] reductase fabg	0.003703703703703704	2	4.756921320521359e-05	4	True
beta carotene 3 hydroxylase 1 chloroplastic	0.001851851851851852	1	1.1892303301303397e-05	1	True
monodehydroascorbate reductase 1 peroxisomal	0.005555555555555556	3	0.0002497383693273713	21	True
er domain containing protein	0.003703703703703704	2	3.567690990391019e-05	3	True
histone h2a	0.001851851851851852	1	0.0002616306726286747	22	True
peptidyl serine alpha galactosyltransferase	0.001851851851851852	1	8.324612310912378e-05	7	True
cyclin a1 1	0.005555555555555556	3	7.135381980782038e-05	6	True
e2f tdp domain containing protein	0.003703703703703704	2	0.00019027685282085435	16	True
anaphase promoting complex subunit	0.005555555555555556	3	0.0005232613452573494	44	True
protein chromosome transmission fidelity	0.009259259259259259	5	5.9461516506516985e-05	5	True
alba domain containing protein	0.003703703703703704	2	0.0006778612881742935	57	True
e3 ubiquitin protein ligase ccnb1ip1 homolog	0.001851851851851852	1	1.1892303301303397e-05	1	True
ring type domain containing protein	0.022222222222222223	12	0.007848920178860241	660	True
recq mediated genome instability protein	0.009259259259259259	5	9.513842641042717e-05	8	True
atpase aaa domain containing protein	0.003703703703703704	2	0.00020216915612215775	17	True
fanconi associated nuclease	0.003703703703703704	2	4.756921320521359e-05	4	True
t snare coiled coil homology domain containing protein	0.003703703703703704	2	0.0009751688707068786	82	True
katanin p80 wd repeat containing subunit b1	0.003703703703703704	2	2.3784606602606793e-05	2	True
katanin p80 wd repeat containing subunit b1 homolog	0.003703703703703704	2	0.00014270763961564075	12	True
protein root hair defective homolog	0.001851851851851852	1	0.00019027685282085435	16	True
non structural maintenance of chromosomes element homolog	0.001851851851851852	1	4.756921320521359e-05	4	True
transcription initiation factor tfiid subunit	0.001851851851851852	1	0.0004756921320521359	40	True
leucine rich repeat receptor kinase protein	0.001851851851851852	1	4.756921320521359e-05	4	True
ulp protease domain containing protein	0.003703703703703704	2	0.0009038150508990582	76	True
arath transcription factor myb	0.003703703703703704	2	0.000808676624488631	68	True
vq domain containing protein	0.001851851851851852	1	0.0007729997145847207	65	True
tf b3 domain containing protein	0.011111111111111112	6	0.0007373228046808106	62	True
orysj protein g1 like	0.003703703703703704	2	0.0003567690990391019	30	True
pirin protein 0481	0.001851851851851852	1	0.00011892303301303397	10	True
trna uridine 5 carboxymethylaminomethyl modification enzyme mnmg protein	0.007407407407407408	4	0.00016649224621824755	14	True
exosome complex component rrp	0.001851851851851852	1	0.0002854152792312815	24	True
protein suppressor of gene silencing	0.001851851851851852	1	5.9461516506516985e-05	5	True
arath polyadenylate binding protein interacting	0.011111111111111112	6	0.0004043383122443155	34	True
rrm domain containing protein	0.003703703703703704	2	0.003650937113500143	307	True
tho complex subunit homolog	0.005555555555555556	3	4.756921320521359e-05	4	True
nucleolin isoform x1	0.001851851851851852	1	0.00010703072971173057	9	True
pumilio homolog	0.007407407407407408	4	4.756921320521359e-05	4	True
60s ribosomal protein l26 1	0.001851851851851852	1	9.513842641042717e-05	8	True
40s ribosomal protein s24 1	0.001851851851851852	1	0.00015459994291694415	13	True
nicastrin	0.007407407407407408	4	0.00010703072971173057	9	True
protein translation factor sui	0.001851851851851852	1	9.513842641042717e-05	8	True
eukaryotic translation initiation factor subunit c protein	0.001851851851851852	1	9.513842641042717e-05	8	True
39s ribosomal protein l41 a mitochondrial	0.005555555555555556	3	4.756921320521359e-05	4	True
gpi mannosyltransferase	0.007407407407407408	4	0.00017838454951955095	15	True
post gpi attachment to proteins factor	0.005555555555555556	3	0.00020216915612215775	17	True
abhydrolase 3 domain containing protein	0.007407407407407408	4	0.0013438302730472839	113	True
g type lectin s receptor serine threonine protein kinase	0.007407407407407408	4	0.002640091332889354	222	True
arath wall associated receptor kinase	0.011111111111111112	6	0.0018195224050994196	153	True
kda class i heat shock protein	0.001851851851851852	1	0.00023784606602606794	20	True
ubiquitin conjugating enzyme 5 e2	0.005555555555555556	3	0.0002497383693273713	21	True
nedd activating enzyme e1 regulatory subunit	0.003703703703703704	2	8.324612310912378e-05	7	True
arath u box domain containing protein	0.001851851851851852	1	0.0006540766815716869	55	True
rbr type e3 ubiquitin transferase	0.001851851851851852	1	0.0003567690990391019	30	True
lysosomal pro x carboxypeptidase protein	0.018518518518518517	10	0.00019027685282085435	16	True
peptidase a1 domain containing protein	0.003703703703703704	2	0.0025211682998763202	212	True
guanosine nucleotide diphosphate dissociation inhibitor	0.001851851851851852	1	8.324612310912378e-05	7	True
mitochondrial import receptor subunit tom protein	0.003703703703703704	2	0.00014270763961564075	12	True
atpase 1 plasma membrane type	0.001851851851851852	1	0.0003924460089430121	33	True
abc transporter b family member	0.001851851851851852	1	0.0009632765674055751	81	True
solute carrier family 35 member f5	0.001851851851851852	1	3.567690990391019e-05	3	True
nucleobase ascorbate transporter protein	0.001851851851851852	1	0.0005827228617638665	49	True
quality protein amino acid transporter	0.003703703703703704	2	5.9461516506516985e-05	5	True
mitochondrial carrier family protein	0.001851851851851852	1	0.00013081533631433735	11	True
calcium binding mitochondrial carrier protein scamc b	0.001851851851851852	1	5.9461516506516985e-05	5	True
cnnm transmembrane domain containing protein	0.001851851851851852	1	0.00021406145942346114	18	True
