Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
anthranilate synthase beta subunit 1 chloroplastic	0.00516795865633075	4	0.00011892303301303397	10	True
mitochondrial pyruvate carrier protein	0.00516795865633075	4	0.00011892303301303397	10	True
acyl [ carrier protein] hydrolase	0.003875968992248062	3	0.0002854152792312815	24	True
3 ketoacyl coa synthase	0.006459948320413436	5	0.0004756921320521359	40	True
glycerol phosphate 2 acyltransferase	0.011627906976744186	9	0.00016649224621824755	14	True
phospholipase a2 alpha	0.0012919896640826874	1	7.135381980782038e-05	6	True
patatin 09	0.0012919896640826874	1	0.00019027685282085435	16	True
peroxygenase	0.006459948320413436	5	0.00016649224621824755	14	True
danre dephospho coa kinase domain containing protein	0.0012919896640826874	1	1.1892303301303397e-05	1	True
isochorismatase domain containing protein	0.0012919896640826874	1	0.00022595376272476454	19	True
4hbt domain containing protein	0.0012919896640826874	1	0.0003567690990391019	30	True
e beta farnesene synthase	0.00516795865633075	4	0.0005946151650651698	50	True
chalcone flavonone isomerase family protein	0.0012919896640826874	1	7.135381980782038e-05	6	True
respiratory burst oxidase homolog protein b	0.002583979328165375	2	0.0004162306155456189	35	True
lrr receptor serine threonine protein kinase	0.003875968992248062	3	0.0008324612310912378	70	True
abc transporter g family member	0.00904392764857881	7	0.0014746456093616212	124	True
abhydrolase 3 domain containing protein	0.002583979328165375	2	0.0013438302730472839	113	True
leucine rich repeat receptor serine threonine protein kinase	0.003875968992248062	3	0.0019622300447150604	165	True
protein ralf	0.002583979328165375	2	0.00017838454951955095	15	True
retinoblastoma binding protein	0.002583979328165375	2	2.3784606602606793e-05	2	True
quality protein b3 domain containing transcription repressor val	0.0103359173126615	8	0.00021406145942346114	18	True
shugoshin c domain containing protein	0.006459948320413436	5	0.00013081533631433735	11	True
bovin serine threonine protein phosphatase 2a regulatory subunit b gamma	0.00516795865633075	4	0.00016649224621824755	14	True
ef hand domain containing protein	0.0012919896640826874	1	0.0013438302730472839	113	False
lysine specific demethylase	0.002583979328165375	2	3.567690990391019e-05	3	True
zinc finger protein	0.0012919896640826874	1	0.0002497383693273713	21	True
homeobox protein knotted	0.002583979328165375	2	0.0003686614023404053	31	True
homeobox domain containing protein	0.0103359173126615	8	0.0013319379697459804	112	True
tsl kinase interacting protein	0.003875968992248062	3	3.567690990391019e-05	3	True
myb transcription factor	0.011627906976744186	9	0.0024498144800684995	206	True
arath transcription factor myb	0.002583979328165375	2	0.000808676624488631	68	True
transcription factor myb protein	0.00904392764857881	7	0.0003210921891351917	27	True
myb transcription factor protein	0.00516795865633075	4	5.9461516506516985e-05	5	True
nac domain containing protein	0.015503875968992248	12	0.00371039863000666	312	True
nac domain containing protein 21 22	0.002583979328165375	2	0.0007016458947769003	59	True
wrky domain containing protein	0.00516795865633075	4	0.00185519931500333	156	True
vq domain containing protein	0.0012919896640826874	1	0.0007729997145847207	65	True
ethylene responsive transcription factor erf	0.002583979328165375	2	0.0025092759965750166	211	True
transcription repressor	0.0012919896640826874	1	0.0005232613452573494	44	True
nuclear cap binding protein subunit	0.003875968992248062	3	8.324612310912378e-05	7	True
orysj zinc finger ccch domain containing protein	0.007751937984496124	6	0.0005113690419560461	43	True
zinc finger ccch domain containing protein	0.0103359173126615	8	0.0016054609456759585	135	True
rrm domain containing protein	0.007751937984496124	6	0.003650937113500143	307	True
dead box atp dependent rna helicase	0.003875968992248062	3	0.0007848920178860242	66	True
beta hexosaminidase subunit	0.012919896640826873	10	0.00023784606602606794	20	True
protein farnesyltransferase geranylgeranyltransferase type subunit alpha	0.00904392764857881	7	8.324612310912378e-05	7	True
lrr receptor kinase serk	0.014211886304909561	11	0.00016649224621824755	14	True
protein kinase domain containing	0.03488372093023256	27	0.025330606031776233	2130	True
arath wall associated receptor kinase	0.0103359173126615	8	0.0018195224050994196	153	True
serine threonine protein kinase ccr	0.002583979328165375	2	7.135381980782038e-05	6	True
lectin domain containing receptor kinase	0.00516795865633075	4	0.001165445723527733	98	True
serine threonine kinase sapk protein	0.00516795865633075	4	0.0004637998287508325	39	True
j domain containing protein	0.003875968992248062	3	0.0013676148796498905	115	True
bag family molecular chaperone regulator	0.0012919896640826874	1	0.00021406145942346114	18	True
bag family molecular chaperone regulator protein	0.002583979328165375	2	4.756921320521359e-05	4	True
ring type domain containing protein	0.0103359173126615	8	0.007848920178860241	660	True
e3 ubiquitin protein ligase rin	0.002583979328165375	2	5.9461516506516985e-05	5	True
ring ch type domain containing protein	0.007751937984496124	6	0.0009632765674055751	81	True
ring type e3 ubiquitin transferase	0.00516795865633075	4	0.0038768908762249073	326	True
f box domain containing protein	0.003875968992248062	3	0.005958043953953001	501	False
btb poz domain containing protein	0.002583979328165375	2	0.0009632765674055751	81	True
rhomboid protein 6	0.0012919896640826874	1	3.567690990391019e-05	3	True
peptidase a1 domain containing protein	0.01937984496124031	15	0.0025211682998763202	212	True
cysteine proteinase inhibitor	0.006459948320413436	5	0.0002735229759299781	23	True
kinesin protein kin chloroplastic	0.003875968992248062	3	0.00016649224621824755	14	True
protein spiral	0.002583979328165375	2	0.00010703072971173057	9	True
tpx domain containing protein	0.006459948320413436	5	0.0006659689848729902	56	True
formin protein	0.00516795865633075	4	0.0006778612881742935	57	True
