Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
glyoxylate hydroxypyruvate reductase hpr protein	0.0012853470437017994	2	7.135381980782038e-05	6	True
2 3 bisphosphoglycerate independent phosphoglycerate mutase	0.002570694087403599	4	0.00011892303301303397	10	True
succinate dehydrogenase [ubiquinone] flavoprotein subunit 1 mitochondrial	0.0019280205655526992	3	0.00021406145942346114	18	True
fumarate hydratase 1 mitochondrial	0.002570694087403599	4	0.00010703072971173057	9	True
mitochondrial processing peptidase subunit beta	0.002570694087403599	4	0.0002616306726286747	22	True
l51 s25 ci b8 domain containing protein	0.0006426735218508997	1	7.135381980782038e-05	6	True
fba 3 domain containing protein	0.0012853470437017994	2	0.0003091998858338883	26	True
type 1 domain containing protein	0.0012853470437017994	2	4.756921320521359e-05	4	True
arath nadh dehydrogenase [ubiquinone] iron sulfur protein 6 mitochondrial	0.0006426735218508997	1	1.1892303301303397e-05	1	True
glyceraldehyde phosphate dehydrogenase 1 cytosolic	0.0006426735218508997	1	0.0004281229188469223	36	True
nadh dehydrogenase ubiquinone complex i assembly factor	0.0006426735218508997	1	8.324612310912378e-05	7	True
ubiquinol cytochrome c reductase complex assembly factor	0.003213367609254499	5	7.135381980782038e-05	6	True
sp ccma cytochrome c biogenesis atp binding export protein ccma	0.0006426735218508997	1	7.135381980782038e-05	6	True
cytochrome c oxidase subunit 5b 1 mitochondrial	0.0006426735218508997	1	0.00010703072971173057	9	True
cox assembly mitochondrial protein	0.0012853470437017994	2	9.513842641042717e-05	8	True
atp synthase small subunit 6 mitochondrial	0.0006426735218508997	1	7.135381980782038e-05	6	True
regulator of nonsense transcripts protein	0.0012853470437017994	2	0.00010703072971173057	9	True
alpha galactosidase	0.0012853470437017994	2	0.0003924460089430121	33	True
nudix hydrolase domain containing protein	0.0006426735218508997	1	0.0007135381980782038	60	False
udp glucuronic acid decarboxylase	0.0006426735218508997	1	0.0004043383122443155	34	True
orysj udp arabinopyranose mutase	0.0012853470437017994	2	0.00022595376272476454	19	True
electron transfer flavoprotein beta subunit	0.0012853470437017994	2	3.567690990391019e-05	3	True
electron transfer flavoprotein beta subunit protein	0.0006426735218508997	1	1.1892303301303397e-05	1	True
glutathione s transferase	0.006426735218508998	10	0.0004281229188469223	36	True
maoc domain containing protein	0.0006426735218508997	1	7.135381980782038e-05	6	True
very long chain 3r 3 hydroxyacyl coa dehydratase	0.0006426735218508997	1	3.567690990391019e-05	3	True
of very long chain 3r 3 hydroxyacyl coa dehydratase	0.0012853470437017994	2	3.567690990391019e-05	3	True
dna topoisomerase	0.0012853470437017994	2	9.513842641042717e-05	8	True
dna repair protein rad	0.002570694087403599	4	0.0004637998287508325	39	True
dna directed rna polymerase ii subunit	0.0006426735218508997	1	0.0005113690419560461	43	True
acyl coenzyme a oxidase 2 peroxisomal	0.002570694087403599	4	0.00010703072971173057	9	True
acidppc domain containing protein	0.0006426735218508997	1	0.0007492151079821139	63	False
glycerophosphodiester phosphodiesterase	0.0006426735218508997	1	0.0002735229759299781	23	True
cdp diacylglycerol serine o phosphatidyltransferase	0.0019280205655526992	3	0.0002616306726286747	22	True
serine c palmitoyltransferase	0.0038560411311053984	6	0.0003210921891351917	27	True
40s ribosomal protein s14 1	0.0019280205655526992	3	0.00015459994291694415	13	True
phospholipid sterol o acyltransferase	0.0006426735218508997	1	3.567690990391019e-05	3	True
arath heat shock kda protein	0.0006426735218508997	1	0.0002735229759299781	23	True
adenylate kinase 1	0.003213367609254499	5	0.0002854152792312815	24	True
uridine 5 monophosphate synthase	0.0006426735218508997	1	9.513842641042717e-05	8	True
bifunctional hydroxymethylpyrimidine kinase phosphomethylpyrimidine	0.0012853470437017994	2	2.3784606602606793e-05	2	True
thiamine phosphate synthase	0.0038560411311053984	6	7.135381980782038e-05	6	True
danre dephospho coa kinase protein	0.0012853470437017994	2	2.3784606602606793e-05	2	True
dihydrofolate synthase folylpolyglutamate	0.0012853470437017994	2	0.0003210921891351917	27	True
ubiquinone biosynthesis o methyltransferase	0.0012853470437017994	2	0.00019027685282085435	16	True
iron sulfur cluster assembly scaffold protein iscu	0.0019280205655526992	3	4.756921320521359e-05	4	True
anamorsin homolog	0.0006426735218508997	1	5.9461516506516985e-05	5	True
monothiol glutaredoxin mitochondrial	0.0006426735218508997	1	1.1892303301303397e-05	1	True
pks er domain containing protein	0.0019280205655526992	3	0.0010465226905146988	88	True
bifunctional pinoresinol lariciresinol reductase	0.0019280205655526992	3	8.324612310912378e-05	7	True
formate dehydrogenase 1 mitochondrial	0.0012853470437017994	2	0.00014270763961564075	12	True
glutathione s transferase t1 protein	0.0019280205655526992	3	9.513842641042717e-05	8	True
e3 ubiquitin protein ligase ring	0.0006426735218508997	1	0.0006065074683664733	51	True
iaa amino acid hydrolase ilr	0.0019280205655526992	3	0.0002616306726286747	22	True
histone h2a	0.0019280205655526992	3	0.0002616306726286747	22	True
histone h2a 2 1	0.002570694087403599	4	0.00022595376272476454	19	True
chromatin assembly factor subunit fas	0.0006426735218508997	1	7.135381980782038e-05	6	True
f box domain containing protein	0.014781491002570694	23	0.005958043953953001	501	True
histone lysine n methyltransferase ashr	0.002570694087403599	4	7.135381980782038e-05	6	True
j domain containing protein	0.0019280205655526992	3	0.0013676148796498905	115	True
helicase protein mom	0.002570694087403599	4	0.00020216915612215775	17	True
protein serine threonine phosphatase	0.004498714652956298	7	0.005482351821900866	461	False
dna polymerase delta subunit	0.008354755784061696	13	0.0002973075825325849	25	True
nuclear pore complex protein nup	0.006426735218508998	10	0.0007967843211873275	67	True
myb domain containing protein	0.0012853470437017994	2	0.0010465226905146988	88	True
cyclin b1 1	0.0012853470437017994	2	0.00014270763961564075	12	True
e2f tdp domain containing protein	0.0012853470437017994	2	0.00019027685282085435	16	True
aldo keto reductase family member b1	0.0019280205655526992	3	3.567690990391019e-05	3	True
26s proteasome non atpase regulatory subunit homolog	0.002570694087403599	4	0.00017838454951955095	15	True
dnaj homolog subfamily a member	0.008354755784061696	13	0.0005946151650651698	50	True
ras protein rab 5a	0.0012853470437017994	2	0.0003091998858338883	26	True
