Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
malate dehydrogenase 1	0.00749063670411985	6	0.0005232613452573494	44	True
sp ccma cytochrome c biogenesis atp binding export protein ccma	0.0012484394506866417	1	7.135381980782038e-05	6	True
cytochrome c oxidase subunit 1	0.0012484394506866417	1	1.1892303301303397e-05	1	True
galactinol synthase	0.0012484394506866417	1	4.756921320521359e-05	4	True
2 3 bisphosphoglycerate dependent phosphoglycerate mutase	0.0024968789013732834	2	0.00016649224621824755	14	True
udp glucuronic acid decarboxylase	0.0024968789013732834	2	0.0004043383122443155	34	True
l arabinokinase	0.0012484394506866417	1	4.756921320521359e-05	4	True
diaminopimelate decarboxylase 1 chloroplastic	0.004993757802746567	4	9.513842641042717e-05	8	True
protein fatty acid export chloroplastic	0.0024968789013732834	2	3.567690990391019e-05	3	True
protein fatty acid export 1 chloroplastic	0.0012484394506866417	1	7.135381980782038e-05	6	True
cdp diacylglycerol serine o phosphatidyltransferase	0.0012484394506866417	1	0.0002616306726286747	22	True
cdp diacylglycerol glycerol phosphate 3 phosphatidyltransferase 1	0.0012484394506866417	1	0.00017838454951955095	15	True
phosphoribosylaminoimidazolesuccinocarboxamide synthase	0.0024968789013732834	2	2.3784606602606793e-05	2	True
nucleoside diphosphate kinase 4	0.0024968789013732834	2	7.135381980782038e-05	6	True
cyclic pyranopterin monophosphate synthase	0.0024968789013732834	2	8.324612310912378e-05	7	True
mitochondrial thiamine pyrophosphate carrier protein	0.004993757802746567	4	7.135381980782038e-05	6	True
duf 2470 domain containing protein	0.0012484394506866417	1	0.00013081533631433735	11	True
betaine aldehyde dehydrogenase 1 chloroplastic	0.0024968789013732834	2	0.00011892303301303397	10	True
auxin responsive protein iaa	0.0012484394506866417	1	0.0009632765674055751	81	True
copine	0.003745318352059925	3	5.9461516506516985e-05	5	True
allene oxide cyclase 1	0.0024968789013732834	2	3.567690990391019e-05	3	True
d27 like c domain containing protein	0.0012484394506866417	1	0.00014270763961564075	12	True
histone h2b 1	0.004993757802746567	4	0.0002854152792312815	24	True
wd repeat containing protein 82	0.0024968789013732834	2	0.00016649224621824755	14	True
40s ribosomal protein s4 1	0.0012484394506866417	1	0.0003448767957377985	29	True
tubulin beta chain	0.0012484394506866417	1	0.0005232613452573494	44	True
rnase h type domain containing protein	0.0012484394506866417	1	0.00023784606602606794	20	True
kh domain containing protein	0.0012484394506866417	1	0.0003805537056417087	32	True
arath kinetochore protein ndc	0.0012484394506866417	1	8.324612310912378e-05	7	True
f10k1 23	0.0012484394506866417	1	1.1892303301303397e-05	1	True
orysi serine threonine protein phosphatase 3 catalytic subunit	0.004993757802746567	4	0.0003329844924364951	28	True
human serine threonine protein kinase	0.004993757802746567	4	0.00014270763961564075	12	True
kinesin motor domain containing protein	0.0024968789013732834	2	0.0006302920749690801	53	True
plastid division protein pdv	0.004993757802746567	4	0.00013081533631433735	11	True
lys specific deubiquitinase brcc	0.006242197253433208	5	0.00010703072971173057	9	True
non structural maintenance of chromosomes element	0.009987515605493134	8	0.00016649224621824755	14	True
dna directed rna polymerase ii subunit	0.003745318352059925	3	0.0005113690419560461	43	True
bzip domain containing protein	0.006242197253433208	5	0.0034130910474740746	287	True
bhlh domain containing protein	0.01373283395755306	11	0.00318713728474931	268	True
bhlh transcription factor	0.00749063670411985	6	0.0030444296451336695	256	True
nac domain containing protein	0.003745318352059925	3	0.00371039863000666	312	True
transcription factor voz	0.0012484394506866417	1	4.756921320521359e-05	4	True
scarecrow protein	0.0012484394506866417	1	0.0005113690419560461	43	True
pirin protein 0481	0.0012484394506866417	1	0.00011892303301303397	10	True
kda ribonucleoprotein associated protein	0.0024968789013732834	2	0.00023784606602606794	20	True
sm domain containing protein	0.0024968789013732834	2	9.513842641042717e-05	8	True
pentatricopeptide repeat containing protein mitochondrial	0.008739076154806492	7	0.0016887070687850822	142	True
crm domain containing protein	0.0012484394506866417	1	8.324612310912378e-05	7	True
intron maturas2 domain containing protein	0.0012484394506866417	1	8.324612310912378e-05	7	True
ribosomal rna small subunit methyltransferase f	0.00749063670411985	6	0.00017838454951955095	15	True
trna uridine aminocarboxypropyltransferase	0.00749063670411985	6	0.00013081533631433735	11	True
not domain containing protein	0.006242197253433208	5	8.324612310912378e-05	7	True
u6 snrna associated sm protein lsm	0.0024968789013732834	2	0.0002854152792312815	24	True
importin domain containing protein	0.0012484394506866417	1	0.00010703072971173057	9	True
tutase domain containing protein	0.003745318352059925	3	7.135381980782038e-05	6	True
arath zinc finger ccch domain containing protein	0.0012484394506866417	1	0.0004400152221482257	37	True
arath polyadenylate binding protein interacting	0.0012484394506866417	1	0.0004043383122443155	34	True
rrna processing protein fcf homolog	0.004993757802746567	4	5.9461516506516985e-05	5	True
60s ribosomal protein l35a 1	0.0012484394506866417	1	9.513842641042717e-05	8	True
60s ribosomal protein l37a 1	0.0012484394506866417	1	5.9461516506516985e-05	5	True
ribosome assembly factor mrt	0.0012484394506866417	1	4.756921320521359e-05	4	True
40s ribosomal protein s21 1	0.0024968789013732834	2	0.00015459994291694415	13	True
40s ribosomal protein s26 1	0.0012484394506866417	1	8.324612310912378e-05	7	True
rio serine threonine protein kinase	0.0024968789013732834	2	4.756921320521359e-05	4	True
eukaryotic translation initiation factor 5a 1 2	0.0024968789013732834	2	0.00011892303301303397	10	True
50s ribosomal protein l13	0.003745318352059925	3	5.9461516506516985e-05	5	True
30s ribosomal protein s17	0.0012484394506866417	1	2.3784606602606793e-05	2	True
exonuclease domain containing protein	0.006242197253433208	5	0.0005232613452573494	44	True
50s ribosomal protein l29	0.0012484394506866417	1	3.567690990391019e-05	3	True
glyco tran 28 c domain containing protein	0.0024968789013732834	2	0.00014270763961564075	12	True
glucosidase subunit beta	0.003745318352059925	3	7.135381980782038e-05	6	True
pig p domain containing protein	0.004993757802746567	4	8.324612310912378e-05	7	True
