Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
light harvesting complex protein ohp chloroplastic	0.0024330900243309003	1	0.00010703072971173057	9	True
arath fructose bisphosphate aldolase 2	0.0364963503649635	15	0.0005113690419560461	43	True
glycine cleavage system h protein 2 mitochondrial	0.004866180048661801	2	2.3784606602606793e-05	2	True
glycine cleavage system h protein 1	0.009732360097323601	4	0.00010703072971173057	9	True
mitochondrial subunit alpha	0.004866180048661801	2	2.3784606602606793e-05	2	True
cytochrome c oxidase subunit 5b 1 mitochondrial	0.012165450121654502	5	0.00010703072971173057	9	True
quality protein cytochrome c oxidase subunit 5b 2 mitochondrial	0.0024330900243309003	1	1.1892303301303397e-05	1	True
biosyn domain containing protein	0.0024330900243309003	1	5.9461516506516985e-05	5	True
udp glucuronate 4 epimerase	0.004866180048661801	2	9.513842641042717e-05	8	True
ornithine carbamoyltransferase	0.0267639902676399	11	0.0003210921891351917	27	True
ornithine carbamoyltransferase chloroplastic	0.0072992700729927005	3	8.324612310912378e-05	7	True
gamma aminobutyrate transaminase 1 mitochondrial	0.004866180048661801	2	0.0002973075825325849	25	True
arath lipid phosphate phosphatase delta	0.0024330900243309003	1	2.3784606602606793e-05	2	True
ala interacting subunit protein	0.004866180048661801	2	2.3784606602606793e-05	2	True
molybdopterin synthase sulfur carrier subunit	0.0024330900243309003	1	4.756921320521359e-05	4	True
e beta farnesene synthase	0.004866180048661801	2	0.0005946151650651698	50	True
gamma glutamylcyclotransferase	0.004866180048661801	2	0.00021406145942346114	18	True
glutathione s transferase	0.004866180048661801	2	0.0004281229188469223	36	True
glutaredoxin dependent peroxiredoxin	0.0024330900243309003	1	0.00014270763961564075	12	True
pks er domain containing protein	0.009732360097323601	4	0.0010465226905146988	88	True
protein reversion to ethylene sensitivity	0.0024330900243309003	1	8.324612310912378e-05	7	True
protein ralf	0.0024330900243309003	1	0.00017838454951955095	15	True
arath lysine specific demethylase jmj	0.0024330900243309003	1	0.0003448767957377985	29	True
e3 ubiquitin protein ligase fancl isoform	0.004866180048661801	2	2.3784606602606793e-05	2	True
e3 ubiquitin protein ligase fancl	0.0072992700729927005	3	3.567690990391019e-05	3	True
