Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
stress enhanced protein 2 chloroplastic	0.00038774718883288094	1	1.1892303301303397e-05	1	True
glyoxylate hydroxypyruvate reductase b	0.0007754943776657619	2	8.324612310912378e-05	7	True
atp dependent 6 phosphofructokinase 4	0.0015509887553315238	4	0.0003091998858338883	26	True
pyrophosphate fructose 6 phosphate 1 phosphotransferase subunit alpha	0.0031019775106630476	8	0.0004994767386547426	42	True
citrate synthase 4	0.0015509887553315238	4	0.0002616306726286747	22	True
ubiquinol cytochrome c reductase complex assembly factor	0.00038774718883288094	1	7.135381980782038e-05	6	True
hig domain containing protein	0.00038774718883288094	1	8.324612310912378e-05	7	True
triose phosphate translocator tpt chloroplastic	0.0007754943776657619	2	0.0002973075825325849	25	True
pfkb domain containing protein	0.0007754943776657619	2	0.0004043383122443155	34	True
ampk1 cbm domain containing protein	0.0019387359441644049	5	0.00015459994291694415	13	True
alpha amylase isozyme	0.0011632415664986429	3	0.00019027685282085435	16	True
bifunctional udp glucose 4 epimerase	0.0023264831329972858	6	0.0005589382551612597	47	True
mevalonate galactokinase protein	0.0015509887553315238	4	0.00011892303301303397	10	True
1 2 dihydroxy keto methylthiopentene dioxygenase	0.0011632415664986429	3	0.00017838454951955095	15	True
shikimate kinase 1	0.0007754943776657619	2	0.00014270763961564075	12	True
gamma aminobutyrate transaminase 1 mitochondrial	0.0015509887553315238	4	0.0002973075825325849	25	True
2 oxoisovalerate dehydrogenase e1 component alpha subunit	0.0038774718883288098	10	0.00011892303301303397	10	True
3 hydroxy methylglutarate coa lyase	0.0031019775106630476	8	0.00011892303301303397	10	True
hydroxymethylglutaryl coa lyase	0.0015509887553315238	4	4.756921320521359e-05	4	True
glutathione s transferase protein	0.0023264831329972858	6	7.135381980782038e-05	6	True
cytochrome b5 heme binding domain containing protein	0.0015509887553315238	4	0.0006302920749690801	53	True
atp binding cassette sub family d member	0.0023264831329972858	6	0.00011892303301303397	10	True
3 ketoacyl coa thiolase 1 peroxisomal	0.0011632415664986429	3	0.00015459994291694415	13	True
3 ketoacyl coa thiolase a peroxisomal	0.0011632415664986429	3	3.567690990391019e-05	3	True
citrate synthase 1	0.0019387359441644049	5	5.9461516506516985e-05	5	True
isocitrate lyase	0.0031019775106630476	8	0.00016649224621824755	14	True
glycerol phosphate 1 acyltransferase	0.00038774718883288094	1	2.3784606602606793e-05	2	True
diacylglycerol kinase	0.0011632415664986429	3	0.0004637998287508325	39	True
