Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
e2f transcription factor e2fe	0.030303030303030304	1	7.135381980782038e-05	6	True
wapl domain containing protein	0.030303030303030304	1	0.00011892303301303397	10	True
bhlh domain containing protein	0.030303030303030304	1	0.00318713728474931	268	True
pollen specific protein sf isoform	0.030303030303030304	1	0.00011892303301303397	10	True
dynamin protein	0.030303030303030304	1	2.3784606602606793e-05	2	True
j domain containing protein	0.030303030303030304	1	0.0013676148796498905	115	True
glutathione synthetase	0.030303030303030304	1	0.00022595376272476454	19	True
microtubule binding protein tangled	0.030303030303030304	1	9.513842641042717e-05	8	True
expressed protein	0.030303030303030304	1	0.0006659689848729902	56	True
calreticulin	0.030303030303030304	1	0.0002497383693273713	21	True
dna directed rna polymerases ii iv and v subunit 8b	0.06060606060606061	2	3.567690990391019e-05	3	True
protein tify	0.030303030303030304	1	3.567690990391019e-05	3	True
mfs domain containing protein	0.09090909090909091	3	0.002818475882408905	237	True
thiolase n domain containing protein	0.030303030303030304	1	1.1892303301303397e-05	1	True
thiolase protein	0.030303030303030304	1	1.1892303301303397e-05	1	True
ring ch type domain containing protein	0.030303030303030304	1	0.0009632765674055751	81	True
myb dna bind 4 domain containing protein	0.030303030303030304	1	0.0003686614023404053	31	True
no annotation	0.3333333333333333	11	0.06807154409666064	5724	True
quality protein udp glycosyltransferase	0.030303030303030304	1	0.00011892303301303397	10	True
bifunctional l 3 synthase cysteine 1	0.030303030303030304	1	0.00016649224621824755	14	True
