Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
nad p bd dom domain containing protein	0.0006493506493506494	1	0.000570830558462563	48	True
co chaperonin groes	0.003896103896103896	6	0.0003448767957377985	29	True
glycine cleavage system h protein 1	0.0006493506493506494	1	0.00010703072971173057	9	True
malate dehydrogenase 1 cytoplasmic	0.0025974025974025974	4	5.9461516506516985e-05	5	True
aconitate hydratase a	0.007792207792207792	12	0.0006183997716677766	52	True
succinate coa ligase [adp forming] subunit beta mitochondrial	0.0006493506493506494	1	5.9461516506516985e-05	5	True
fumarate hydratase 1 mitochondrial	0.0006493506493506494	1	0.00010703072971173057	9	True
transmembrane protein	0.0006493506493506494	1	0.000570830558462563	48	True
nadh dehydrogenase [ubiquinone] alpha subcomplex assembly factor	0.0006493506493506494	1	3.567690990391019e-05	3	True
nadh dehydrogenase ubiquinone complex i assembly factor	0.0006493506493506494	1	8.324612310912378e-05	7	True
atp synthase small subunit 6 mitochondrial	0.0006493506493506494	1	7.135381980782038e-05	6	True
atp protein expressed	0.0025974025974025974	4	5.9461516506516985e-05	5	True
utp glucose phosphate uridylyltransferase	0.0012987012987012987	2	0.0002497383693273713	21	True
plastidial pyruvate kinase 1	0.003896103896103896	6	0.0004637998287508325	39	True
ornithine carbamoyltransferase chloroplastic	0.0025974025974025974	4	8.324612310912378e-05	7	True
ornithine carbamoyltransferase	0.005194805194805195	8	0.0003210921891351917	27	True
1 5 phosphoribosyl [ phosphoribosylamino methylideneamino] imidazole carboxamide isomerase	0.006493506493506494	10	0.00021406145942346114	18	True
cystathionine gamma lyase	0.001948051948051948	3	0.00014270763961564075	12	True
pnp udp 1 domain containing protein	0.0012987012987012987	2	0.00016649224621824755	14	True
1 2 dihydroxy keto methylthiopentene dioxygenase	0.0012987012987012987	2	0.00017838454951955095	15	True
phospho dehydro deoxyheptonate aldolase 1	0.001948051948051948	3	0.0003210921891351917	27	True
arogenate dehydratase 1	0.0012987012987012987	2	5.9461516506516985e-05	5	True
arogenate dehydratase prephenate 1	0.0025974025974025974	4	9.513842641042717e-05	8	True
stearoyl [acyl carrier protein] 9 desaturase 1 chloroplastic	0.0012987012987012987	2	0.0003448767957377985	29	True
protein fatty acid export chloroplastic	0.0006493506493506494	1	3.567690990391019e-05	3	True
4hbt domain containing protein	0.0006493506493506494	1	0.0003567690990391019	30	True
diacylglycerol kinase	0.0025974025974025974	4	0.0004637998287508325	39	True
patatin 09	0.0006493506493506494	1	0.00019027685282085435	16	True
tlc domain containing protein	0.0006493506493506494	1	0.0004875844353534393	41	True
phospholipid scramblase protein	0.0006493506493506494	1	1.1892303301303397e-05	1	True
bifunctional dihydrofolate reductase thymidylate synthase	0.0012987012987012987	2	0.0003091998858338883	26	True
9 cis epoxycarotenoid dioxygenase nced chloroplastic	0.003896103896103896	6	0.0003567690990391019	30	True
folate gamma glutamyl hydrolase	0.0012987012987012987	2	7.135381980782038e-05	6	True
nadph adrenodoxin oxidoreductase mitochondrial	0.001948051948051948	3	5.9461516506516985e-05	5	True
protein chaperone of por chloroplastic	0.0025974025974025974	4	0.00020216915612215775	17	True
phytanoyl coa dioxygenase domain containing protein	0.0006493506493506494	1	0.00010703072971173057	9	True
superoxide dismutase [cu zn]	0.007792207792207792	12	0.0003805537056417087	32	True
gamma glutamylcyclotransferase	0.0012987012987012987	2	0.00021406145942346114	18	True
thioredoxin domain containing protein	0.004545454545454545	7	0.0017957377984968129	151	True
homogentisate geranylgeranyltransferase chloroplastic	0.001948051948051948	3	5.9461516506516985e-05	5	True
abscisic acid receptor pyl protein	0.001948051948051948	3	0.00011892303301303397	10	True
e3 ubiquitin protein ligase rnf	0.0025974025974025974	4	0.0003210921891351917	27	True
ww domain containing protein	0.0012987012987012987	2	0.00017838454951955095	15	True
auxin responsive protein iaa	0.0006493506493506494	1	0.0009632765674055751	81	False
germin protein subfamily member	0.0006493506493506494	1	0.00019027685282085435	16	True
two component response regulator orr	0.0025974025974025974	4	0.0005470459518599562	46	True
phytosulfokine	0.0012987012987012987	2	9.513842641042717e-05	8	True
no annotation	0.07337662337662337	113	0.06807154409666064	5724	True
protein ralf	0.0006493506493506494	1	0.00017838454951955095	15	True
histone h2a 2 1	0.0006493506493506494	1	0.00022595376272476454	19	True
histone h2b 1	0.001948051948051948	3	0.0002854152792312815	24	True
histone h3 2	0.0006493506493506494	1	0.0005113690419560461	43	True
histone lysine n methyltransferase h3	0.006493506493506494	10	0.00019027685282085435	16	True
histone lysine n methyltransferase suvr	0.005194805194805195	8	0.00017838454951955095	15	True
40s ribosomal protein s4 x isoform	0.001948051948051948	3	0.00019027685282085435	16	True
jmjc domain containing protein	0.0006493506493506494	1	0.00015459994291694415	13	True
histone deacetylase complex subunit sap	0.0025974025974025974	4	9.513842641042717e-05	8	True
histone deacetylase hdt	0.001948051948051948	3	0.00020216915612215775	17	True
arath phd finger protein alfin	0.0012987012987012987	2	0.0005113690419560461	43	True
swi snf complex subunit swi3c	0.0006493506493506494	1	0.00019027685282085435	16	True
helicase protein mom	0.0012987012987012987	2	0.00020216915612215775	17	True
hth myb type domain containing protein	0.0006493506493506494	1	0.0016054609456759585	135	False
cyclin domain containing protein	0.001948051948051948	3	0.0003567690990391019	30	True
cyclin n terminal domain containing protein	0.0012987012987012987	2	0.0007492151079821139	63	True
protein kinase domain containing	0.015584415584415584	24	0.025330606031776233	2130	False
nac domain containing protein	0.0025974025974025974	4	0.00371039863000666	312	False
protein zip homolog	0.0012987012987012987	2	2.3784606602606793e-05	2	True
65 kda microtubule associated protein	0.0006493506493506494	1	0.0004994767386547426	42	True
katanin p80 wd repeat containing subunit b1 homolog	0.0025974025974025974	4	0.00014270763961564075	12	True
dna polymerase kappa	0.0012987012987012987	2	2.3784606602606793e-05	2	True
