Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
glycine dehydrogenase decarboxylating 1 mitochondrial	0.0009174311926605505	4	8.324612310912378e-05	7	True
atp dependent 6 phosphofructokinase 4	0.00022935779816513763	1	0.0003091998858338883	26	False
isocitrate dehydrogenase [nad] subunit 1 mitochondrial	0.001834862385321101	8	0.0003210921891351917	27	True
succinate dehydrogenase [ubiquinone] iron sulfur subunit 1 mitochondrial	0.00022935779816513763	1	7.135381980782038e-05	6	True
orysj succinate dehydrogenase [ubiquinone] iron sulfur subunit 2 mitochondrial	0.00045871559633027525	2	8.324612310912378e-05	7	True
nadh dehydrogenase [ubiquinone] iron sulfur protein 7 mitochondrial	0.00022935779816513763	1	1.1892303301303397e-05	1	True
nadh dehydrogenase [ubiquinone] alpha subcomplex subunit	0.00022935779816513763	1	0.00011892303301303397	10	True
methyltransf 11 domain containing protein	0.0011467889908256881	5	0.0008324612310912378	70	True
cytochrome b c1 complex subunit 9	0.00022935779816513763	1	2.3784606602606793e-05	2	True
phosphoglucomutase alpha d glucose bisphosphate dependent	0.0011467889908256881	5	0.0002854152792312815	24	True
sucrose phosphate synthase	0.0013761467889908258	6	0.0003805537056417087	32	True
hexokinase protein	0.0016055045871559634	7	0.0003686614023404053	31	True
ribulose phosphate 3 epimerase protein	0.0009174311926605505	4	4.756921320521359e-05	4	True
bifunctional udp glucose 4 epimerase	0.0022935779816513763	10	0.0005589382551612597	47	True
udp n acetylglucosamine pyrophosphorylase	0.0009174311926605505	4	0.00014270763961564075	12	True
udp n acetylhexosamine pyrophosphorylase protein	0.00045871559633027525	2	4.756921320521359e-05	4	True
carbamoyl phosphate synthase small chain protein	0.0034403669724770644	15	0.0002497383693273713	21	True
ornithine carbamoyltransferase	0.00045871559633027525	2	0.0003210921891351917	27	True
aspartokinase 1	0.00045871559633027525	2	7.135381980782038e-05	6	True
aspartokinase 1 chloroplastic	0.00045871559633027525	2	5.9461516506516985e-05	5	True
homocysteine s methyltransferase protein	0.0009174311926605505	4	0.00016649224621824755	14	True
bifunctional homocysteine s methyltransferase 5 10	0.0009174311926605505	4	7.135381980782038e-05	6	True
methylthioribose kinase	0.0009174311926605505	4	4.756921320521359e-05	4	True
phospho dehydro deoxyheptonate aldolase 1	0.00045871559633027525	2	0.0003210921891351917	27	True
3 hydroxy methylglutarate coa lyase	0.00045871559633027525	2	0.00011892303301303397	10	True
amino acid polyamine transporter	0.0020642201834862386	9	0.00015459994291694415	13	True
dihydrolipoyl dehydrogenase 1 mitochondrial	0.00045871559633027525	2	0.00013081533631433735	11	True
acetyl coa carboxylase	0.001834862385321101	8	0.0002854152792312815	24	True
3 oxoacyl [acyl carrier protein] synthase chloroplastic	0.00045871559633027525	2	4.756921320521359e-05	4	True
3 oxoacyl [acyl carrier protein] synthase iii chloroplastic	0.0009174311926605505	4	8.324612310912378e-05	7	True
cytochrome b5 heme binding domain containing protein	0.0009174311926605505	4	0.0006302920749690801	53	True
plsc domain containing protein	0.0016055045871559634	7	0.0002735229759299781	23	True
diacylglycerol kinase	0.0013761467889908258	6	0.0004637998287508325	39	True
phosphatidate phosphatase	0.0011467889908256881	5	0.00011892303301303397	10	True
acyltransferase	0.0006880733944954129	3	4.756921320521359e-05	4	True
choline ethanolaminephosphotransferase	0.0006880733944954129	3	0.00014270763961564075	12	True
ef hand domain containing protein	0.0013761467889908258	6	0.0013438302730472839	113	True
