Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
succinate coa ligase [adp forming] subunit beta mitochondrial	0.002008032128514056	1	5.9461516506516985e-05	5	True
cytochrome b c1 complex subunit 6 1	0.010040160642570281	5	0.00010703072971173057	9	True
dna directed rna polymerase 2 chloroplastic mitochondrial	0.004016064257028112	2	5.9461516506516985e-05	5	True
amylomaltase	0.002008032128514056	1	5.9461516506516985e-05	5	True
glcnac kinase	0.006024096385542169	3	8.324612310912378e-05	7	True
40s ribosomal protein s4 x isoform	0.004016064257028112	2	0.00019027685282085435	16	True
phospholipid diacylglycerol acyltransferase	0.012048192771084338	6	0.00023784606602606794	20	True
nad kinase domain containing protein	0.004016064257028112	2	4.756921320521359e-05	4	True
lipid a disaccharide synthase	0.002008032128514056	1	1.1892303301303397e-05	1	True
phosphoribosylamine glycine ligase	0.01606425702811245	8	0.00016649224621824755	14	True
allantoinase	0.004016064257028112	2	9.513842641042717e-05	8	True
respiratory burst oxidase homolog protein b	0.004016064257028112	2	0.0004162306155456189	35	True
respiratory burst oxidase homolog protein a	0.002008032128514056	1	1.1892303301303397e-05	1	True
f box domain containing protein	0.012048192771084338	6	0.005958043953953001	501	True
acidic leucine rich nuclear phosphoprotein protein	0.002008032128514056	1	5.9461516506516985e-05	5	True
dna polymerase delta subunit	0.004016064257028112	2	0.0002973075825325849	25	True
cyclin dependent kinase 1	0.008032128514056224	4	0.0021762915041385216	183	True
dirp domain containing protein	0.010040160642570281	5	0.0002497383693273713	21	True
wapl domain containing protein	0.002008032128514056	1	0.00011892303301303397	10	True
dna polymerase eta	0.014056224899598393	7	0.00017838454951955095	15	True
umuc domain containing protein	0.002008032128514056	1	4.756921320521359e-05	4	True
mediator of rna polymerase ii transcription subunit	0.002008032128514056	1	0.0007492151079821139	63	True
myb transcription factor	0.012048192771084338	6	0.0024498144800684995	206	True
transcription factor myb	0.024096385542168676	12	0.0007016458947769003	59	True
mads box transcription factor	0.014056224899598393	7	0.001831414708400723	154	True
mads box domain containing protein	0.002008032128514056	1	0.0003329844924364951	28	True
nac domain containing protein	0.004016064257028112	2	0.00371039863000666	312	True
calmodulin binding transcription activator	0.002008032128514056	1	0.0004994767386547426	42	True
scarecrow protein	0.002008032128514056	1	0.0005113690419560461	43	True
gaga binding transcriptional activator	0.006024096385542169	3	9.513842641042717e-05	8	True
tify domain containing protein	0.008032128514056224	4	0.0008919227475977547	75	True
dna directed rna polymerase 1	0.002008032128514056	1	0.00013081533631433735	11	True
small nuclear ribonucleoprotein e	0.002008032128514056	1	7.135381980782038e-05	6	True
protein bud homolog	0.004016064257028112	2	8.324612310912378e-05	7	True
pwi domain containing protein	0.006024096385542169	3	0.00020216915612215775	17	True
peptidyl trna hydrolase protein	0.004016064257028112	2	2.3784606602606793e-05	2	True
riccn trna specific adenosine deaminase	0.004016064257028112	2	2.3784606602606793e-05	2	True
exosome complex component rrp	0.002008032128514056	1	0.0002854152792312815	24	True
c2h2 type domain containing protein	0.012048192771084338	6	0.003234706497954524	272	True
40s ribosomal protein s21 1	0.002008032128514056	1	0.00015459994291694415	13	True
leucine zipper ef hand containing transmembrane protein	0.002008032128514056	1	7.135381980782038e-05	6	True
ribosomal l30 domain containing protein	0.002008032128514056	1	2.3784606602606793e-05	2	True
if3 n domain containing protein	0.004016064257028112	2	4.756921320521359e-05	4	True
beta galactosyltransferase galt	0.004016064257028112	2	5.9461516506516985e-05	5	True
o fucosyltransferase protein	0.002008032128514056	1	9.513842641042717e-05	8	True
cysteine rich receptor protein kinase	0.006024096385542169	3	0.00022595376272476454	19	True
lectin domain containing receptor kinase	0.004016064257028112	2	0.001165445723527733	98	True
lectin domain containing receptor kinase 5	0.004016064257028112	2	0.00015459994291694415	13	True
