Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
light harvesting complex protein ohp chloroplastic	0.006211180124223602	2	0.00010703072971173057	9	True
2 oxoglutarate dehydrogenase	0.012422360248447204	4	0.00021406145942346114	18	True
methyltransf 11 domain containing protein	0.003105590062111801	1	0.0008324612310912378	70	True
mitochondrial atp synthase g subunit protein	0.003105590062111801	1	2.3784606602606793e-05	2	True
nudix hydrolase domain containing protein	0.003105590062111801	1	0.0007135381980782038	60	True
quality protein s adenosylmethionine decarboxylase proenzyme	0.012422360248447204	4	4.756921320521359e-05	4	True
digalactosyldiacylglycerol synthase 1	0.009316770186335404	3	0.0002854152792312815	24	True
digalactosyldiacylglycerol synthase 1 chloroplastic	0.018633540372670808	6	8.324612310912378e-05	7	True
ddhd domain containing protein	0.018633540372670808	6	8.324612310912378e-05	7	True
pap2 c domain containing protein	0.003105590062111801	1	0.00022595376272476454	19	True
adenylyltransferase and sulfurtransferase mocs	0.012422360248447204	4	0.00021406145942346114	18	True
caf1c h4 bd domain containing protein	0.006211180124223602	2	0.0004043383122443155	34	True
smk domain containing protein	0.009316770186335404	3	0.00014270763961564075	12	True
mat domain containing protein	0.006211180124223602	2	4.756921320521359e-05	4	True
bzip domain containing protein	0.018633540372670808	6	0.0034130910474740746	287	True
b3 domain containing protein	0.003105590062111801	1	0.0004875844353534393	41	True
g patch 2 domain containing protein	0.015527950310559006	5	5.9461516506516985e-05	5	True
adenosine deaminase domain containing protein	0.006211180124223602	2	5.9461516506516985e-05	5	True
5 3 exoribonuclease	0.009316770186335404	3	0.00013081533631433735	11	True
endonuclease v protein	0.003105590062111801	1	9.513842641042717e-05	8	True
spliceosome associated protein cwc homolog	0.009316770186335404	3	7.135381980782038e-05	6	True
smr domain containing protein	0.006211180124223602	2	0.0004875844353534393	41	True
yth domain containing family protein	0.003105590062111801	1	0.0006540766815716869	55	True
kinesin motor domain containing protein	0.003105590062111801	1	0.0006302920749690801	53	True
rrna processing protein fcf homolog	0.003105590062111801	1	5.9461516506516985e-05	5	True
60s ribosomal protein l23a 1	0.003105590062111801	1	9.513842641042717e-05	8	True
40s ribosomal protein s21 2	0.003105590062111801	1	1.1892303301303397e-05	1	True
50s ribosomal protein l14	0.003105590062111801	1	5.9461516506516985e-05	5	True
myb dna bind 3 domain containing protein	0.040372670807453416	13	0.0036152602035962327	304	True
udp n acetylglucosamine transferase subunit alg	0.012422360248447204	4	0.00011892303301303397	10	True
s acyltransferase	0.012422360248447204	4	0.0003805537056417087	32	True
serine threonine protein phosphatase 2a kda regulatory subunit isoform	0.003105590062111801	1	0.00020216915612215775	17	True
f box domain containing protein	0.015527950310559006	5	0.005958043953953001	501	True
da domain containing protein	0.006211180124223602	2	2.3784606602606793e-05	2	True
actin protein 2 3 complex subunit	0.006211180124223602	2	0.00020216915612215775	17	True
glycosyltransferase family sialyltransferase protein	0.003105590062111801	1	4.756921320521359e-05	4	True
family sialyltransferase protein	0.003105590062111801	1	1.1892303301303397e-05	1	True
thenn xylose isomerase	0.012422360248447204	4	8.324612310912378e-05	7	True
charged multivesicular body protein 4b	0.018633540372670808	6	0.00022595376272476454	19	True
importin subunit alpha	0.009316770186335404	3	9.513842641042717e-05	8	True
gtp binding nuclear protein ran	0.003105590062111801	1	0.00011892303301303397	10	True
v type proton atpase kda proteolipid subunit	0.003105590062111801	1	0.00016649224621824755	14	True
two pore calcium channel protein	0.009316770186335404	3	3.567690990391019e-05	3	True
cyclase protein	0.012422360248447204	4	0.00015459994291694415	13	True
protein gf b	0.003105590062111801	1	8.324612310912378e-05	7	True
glutamyl trna gln amidotransferase	0.003105590062111801	1	0.00010703072971173057	9	True
box domain containing protein	0.003105590062111801	1	0.0003448767957377985	29	True
phosphatidylinositol phosphatase sac	0.012422360248447204	4	5.9461516506516985e-05	5	True
phosphoinositide phosphatase sac	0.003105590062111801	1	5.9461516506516985e-05	5	True
glycoside 26 beta glucosidase	0.006211180124223602	2	0.00011892303301303397	10	True
wrky domain containing protein	0.006211180124223602	2	0.00185519931500333	156	True
homeobox leucine zipper protein hox	0.015527950310559006	5	0.0016292455522785654	137	True
