Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
2 3 independent phosphoglycerate mutase	0.0036407766990291263	6	0.0003091998858338883	26	True
bifunctional enolase 2	0.0012135922330097086	2	7.135381980782038e-05	6	True
dihydrolipoyllysine residue acetyltransferase component of pyruvate dehydrogenase complex mitochondrial	0.0036407766990291263	6	7.135381980782038e-05	6	True
isocitrate dehydrogenase [nad] subunit 1 mitochondrial	0.0036407766990291263	6	0.0003210921891351917	27	True
succinate coa ligase [adp forming] subunit alpha	0.0012135922330097086	2	2.3784606602606793e-05	2	True
succinate coa ligase [adp forming] subunit alpha mitochondrial	0.0012135922330097086	2	7.135381980782038e-05	6	True
succinate coa ligase [adp forming] subunit beta	0.0018203883495145632	3	8.324612310912378e-05	7	True
orysj succinate dehydrogenase [ubiquinone] iron sulfur subunit 2 mitochondrial	0.0018203883495145632	3	8.324612310912378e-05	7	True
fumarate hydratase class ii	0.0006067961165048543	1	1.1892303301303397e-05	1	True
fumarate hydratase 1 mitochondrial	0.0024271844660194173	4	0.00010703072971173057	9	True
malate dehydrogenase 1	0.003033980582524272	5	0.0005232613452573494	44	True
nadh dehydrogenase [ubiquinone] alpha subcomplex subunit 13	0.0012135922330097086	2	5.9461516506516985e-05	5	True
type 1 domain containing protein	0.0012135922330097086	2	4.756921320521359e-05	4	True
f1f0 atpase inhibitor protein	0.0006067961165048543	1	4.756921320521359e-05	4	True
danre ferredoxin mitochondrial	0.0012135922330097086	2	4.756921320521359e-05	4	True
bovin mitochondrial processing peptidase subunit alpha	0.0018203883495145632	3	0.0004281229188469223	36	True
mitochondrial processing peptidase subunit beta	0.007281553398058253	12	0.0002616306726286747	22	True
cytochrome b c1 complex subunit 6 1	0.0012135922330097086	2	0.00010703072971173057	9	True
atp synthase subunit d mitochondrial	0.0036407766990291263	6	7.135381980782038e-05	6	True
atp synthase subunit beta mitochondrial	0.0006067961165048543	1	1.1892303301303397e-05	1	True
atp synthase subunit beta	0.003033980582524272	5	0.0002616306726286747	22	True
atp synthase subunit gamma mitochondrial	0.0012135922330097086	2	2.3784606602606793e-05	2	True
of sucrose transport protein sut	0.007281553398058253	12	0.0002735229759299781	23	True
neutral alkaline invertase 1	0.0018203883495145632	3	0.0002735229759299781	23	True
orysj udp arabinopyranose mutase	0.003033980582524272	5	0.00022595376272476454	19	True
phosphoacetylglucosamine mutase	0.0024271844660194173	4	4.756921320521359e-05	4	True
alanine aminotransferase 1	0.0012135922330097086	2	0.0004400152221482257	37	True
beta elim lyase domain containing protein	0.0048543689320388345	8	0.0003924460089430121	33	True
acetyl coa carboxylase	0.0024271844660194173	4	0.0002854152792312815	24	True
acyl carrier protein 1	0.0006067961165048543	1	0.00011892303301303397	10	True
omega fatty acid desaturase endoplasmic reticulum	0.0018203883495145632	3	5.9461516506516985e-05	5	True
quality protein diacylglycerol o acyltransferase	0.0048543689320388345	8	0.00016649224621824755	14	True
formation of crista junctions protein	0.0006067961165048543	1	2.3784606602606793e-05	2	True
glycerophosphodiester phosphodiesterase	0.0006067961165048543	1	0.0002735229759299781	23	True
patatin phospholipase	0.003033980582524272	5	5.9461516506516985e-05	5	True
serine palmitoyltransferase	0.0036407766990291263	6	0.00010703072971173057	9	True
serine c palmitoyltransferase	0.0012135922330097086	2	0.0003210921891351917	27	True
orm protein	0.0006067961165048543	1	7.135381980782038e-05	6	True
ceramide glucosyltransferase	0.0012135922330097086	2	3.567690990391019e-05	3	True
hexosyltransferase	0.007281553398058253	12	0.0020216915612215774	170	True
glyco transf 64 domain containing protein	0.0006067961165048543	1	0.00010703072971173057	9	True
7 dehydrocholesterol reductase protein	0.0012135922330097086	2	2.3784606602606793e-05	2	True
3beta hydroxysteroid dehydrogenase decarboxylase isoform	0.007281553398058253	12	0.00023784606602606794	20	True
isoform 3beta hydroxysteroid dehydrogenase decarboxylase	0.0024271844660194173	4	4.756921320521359e-05	4	True
3beta hydroxysteroid dehydrogenase	0.0012135922330097086	2	2.3784606602606793e-05	2	True
acyl coa binding domain containing protein	0.006674757281553398	11	0.0003567690990391019	30	True
quality protein acyl coa binding domain containing	0.0006067961165048543	1	1.1892303301303397e-05	1	True
phospholipid transporting atpase	0.0054611650485436895	9	0.0012605841499381601	106	True
ectonucleoside triphosphate diphosphohydrolase	0.006674757281553398	11	0.0006421843782703834	54	True
ctp synthase 1	0.0048543689320388345	8	0.0006421843782703834	54	True
bpl lpl catalytic domain containing protein	0.0006067961165048543	1	5.9461516506516985e-05	5	True
haloacid dehalogenase hydrolase domain containing protein	0.003033980582524272	5	0.00023784606602606794	20	True
fes assembly p domain containing protein	0.0006067961165048543	1	7.135381980782038e-05	6	True
acetyl coa acetyltransferase mitochondrial	0.0012135922330097086	2	0.00023784606602606794	20	True
hydroxymethylglutaryl coa synthase a	0.0036407766990291263	6	0.0003091998858338883	26	True
isopentenyl diphosphate delta isomerase	0.010922330097087379	18	0.0002616306726286747	22	True
betaine aldehyde dehydrogenase 1 chloroplastic	0.0024271844660194173	4	0.00011892303301303397	10	True
l ascorbate peroxidase 1	0.0018203883495145632	3	0.0006065074683664733	51	True
chloride intracellular channel protein	0.0012135922330097086	2	7.135381980782038e-05	6	True
protein kinase domain containing	0.00849514563106796	14	0.025330606031776233	2130	False
arath serine threonine protein kinase bsk	0.010922330097087379	18	0.0008919227475977547	75	True
hybrid signal transduction histidine kinase	0.0012135922330097086	2	4.756921320521359e-05	4	True
btb domain containing protein	0.0012135922330097086	2	0.0005351536485586529	45	True
natural resistance associated macrophage protein	0.0018203883495145632	3	0.00015459994291694415	13	True
ab hydrolase domain containing protein	0.0006067961165048543	1	0.002223860717343735	187	False
pwwp domain containing protein	0.0054611650485436895	9	0.0009157073542003615	77	True
transcription factor gte	0.003033980582524272	5	0.0004637998287508325	39	True
endo3c domain containing protein	0.00424757281553398	7	0.0002973075825325849	25	True
