Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
cycloartenol synthase	0.0425531914893617	2	0.0006302920749690801	53	True
lob domain containing protein	0.0425531914893617	2	0.0012130149367329465	102	True
c2h2 type domain containing protein	0.02127659574468085	1	0.003234706497954524	272	True
at hook motif nuclear localized protein	0.02127659574468085	1	0.0007373228046808106	62	True
rhamnogalacturonan endolyase	0.19148936170212766	9	0.00017838454951955095	15	True
udp glycosyltransferase	0.02127659574468085	1	0.0016887070687850822	142	True
duf 1618 domain containing protein	0.1276595744680851	6	0.0006183997716677766	52	True
quality protein upf	0.02127659574468085	1	4.756921320521359e-05	4	True
40s ribosomal protein 2	0.02127659574468085	1	2.3784606602606793e-05	2	True
duf 569 domain containing protein	0.02127659574468085	1	0.0004043383122443155	34	True
protein serine threonine phosphatase	0.06382978723404255	3	0.005482351821900866	461	True
rrna n glycosylase	0.0425531914893617	2	7.135381980782038e-05	6	True
lea 2 domain containing protein	0.02127659574468085	1	0.0012843687565407668	108	True
duf 295 domain containing protein	0.06382978723404255	3	0.0009394919608029683	79	True
aai domain containing protein	0.02127659574468085	1	0.0016887070687850822	142	True
auxin responsive protein	0.02127659574468085	1	0.0004875844353534393	41	True
syndrome protein family member	0.02127659574468085	1	1.1892303301303397e-05	1	True
ring type domain containing protein	0.02127659574468085	1	0.007848920178860241	660	True
no annotation	0.19148936170212766	9	0.06807154409666064	5724	True
