Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
f1f0 atpase inhibitor protein	0.0027624309392265192	1	4.756921320521359e-05	4	True
orysj udp arabinopyranose mutase	0.008287292817679558	3	0.00022595376272476454	19	True
phosphoglucomutase alpha d glucose bisphosphate dependent	0.019337016574585635	7	0.0002854152792312815	24	True
udp glucuronic acid decarboxylase	0.008287292817679558	3	0.0004043383122443155	34	True
phospho dehydro deoxyheptonate aldolase 1	0.008287292817679558	3	0.0003210921891351917	27	True
tryptophan synthase alpha chain	0.0027624309392265192	1	0.00014270763961564075	12	True
phospholipid diacylglycerol acyltransferase	0.027624309392265192	10	0.00023784606602606794	20	True
uridine kinase protein	0.011049723756906077	4	4.756921320521359e-05	4	True
adenylyltransferase and sulfurtransferase mocs	0.011049723756906077	4	0.00021406145942346114	18	True
of phosphomevalonate kinase	0.013812154696132596	5	9.513842641042717e-05	8	True
auxin responsive protein	0.0027624309392265192	1	0.0004875844353534393	41	True
3 hydroxy methylglutaryl coenzyme a reductase 2	0.008287292817679558	3	0.0002854152792312815	24	True
shni tpr domain containing protein	0.0055248618784530384	2	0.00011892303301303397	10	True
dna repair protein reca 2 mitochondrial	0.008287292817679558	3	3.567690990391019e-05	3	True
sp reca protein reca	0.008287292817679558	3	5.9461516506516985e-05	5	True
kinetochore protein spc	0.0055248618784530384	2	9.513842641042717e-05	8	True
protein pair	0.011049723756906077	4	7.135381980782038e-05	6	True
peroxisome biogenesis protein	0.0055248618784530384	2	0.00015459994291694415	13	True
bzip domain containing protein	0.0027624309392265192	1	0.0034130910474740746	287	False
no annotation	0.13535911602209943	49	0.06807154409666064	5724	True
homeobox domain containing protein	0.008287292817679558	3	0.0013319379697459804	112	True
hth myb type domain containing protein	0.013812154696132596	5	0.0016054609456759585	135	True
arath nuclear transcription factor y subunit 9	0.0055248618784530384	2	0.0005589382551612597	47	True
lactamase b domain containing protein	0.0055248618784530384	2	0.0006778612881742935	57	True
endonuclease v protein	0.0027624309392265192	1	9.513842641042717e-05	8	True
endonuclease v	0.0027624309392265192	1	1.1892303301303397e-05	1	True
smr domain containing protein	0.008287292817679558	3	0.0004875844353534393	41	True
smr domain containing protein isoform	0.0055248618784530384	2	3.567690990391019e-05	3	True
60s ribosomal protein l6 1	0.0027624309392265192	1	9.513842641042717e-05	8	True
