Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
arath kda chaperonin 1 chloroplastic	0.008547008547008548	2	7.135381980782038e-05	6	True
s adenosylmethionine decarboxylase proenzyme	0.03418803418803419	8	9.513842641042717e-05	8	True
cchc 4 domain containing protein	0.004273504273504274	1	7.135381980782038e-05	6	True
heat shock a protein 1 8	0.004273504273504274	1	1.1892303301303397e-05	1	True
amylomaltase	0.004273504273504274	1	5.9461516506516985e-05	5	True
3 hydroxyisobutyrate dehydrogenase mitochondrial	0.02564102564102564	6	7.135381980782038e-05	6	True
3 hydroxyisobutyrate dehydrogenase	0.01282051282051282	3	3.567690990391019e-05	3	True
quality protein pyruvate dehydrogenase e1 component subunit beta	0.017094017094017096	4	7.135381980782038e-05	6	True
aminotran 1 2 domain containing protein	0.017094017094017096	4	0.0004637998287508325	39	True
serine c palmitoyltransferase	0.01282051282051282	3	0.0003210921891351917	27	True
adenylate kinase 1	0.01282051282051282	3	0.0002854152792312815	24	True
heme binding protein chloroplastic	0.004273504273504274	1	9.513842641042717e-05	8	True
protein pin likes	0.029914529914529916	7	0.0003805537056417087	32	True
exonuclease domain containing protein	0.008547008547008548	2	0.0005232613452573494	44	True
dna mismatch repair protein mutl	0.01282051282051282	3	8.324612310912378e-05	7	True
sp mutl dna mismatch repair protein mutl	0.004273504273504274	1	2.3784606602606793e-05	2	True
dnaj homolog subfamily a member	0.008547008547008548	2	0.0005946151650651698	50	True
bzip domain containing protein	0.008547008547008548	2	0.0034130910474740746	287	True
wrky transcription factor	0.004273504273504274	1	0.0006659689848729902	56	True
protein nlp	0.008547008547008548	2	0.0007016458947769003	59	True
pci domain containing protein	0.01282051282051282	3	0.0004281229188469223	36	True
repeat and sam domain containing protein	0.004273504273504274	1	0.00016649224621824755	14	True
60s ribosomal protein l37 1	0.004273504273504274	1	4.756921320521359e-05	4	True
exocyst complex component sec	0.01282051282051282	3	0.0003448767957377985	29	True
phosphatidylinositol glycan biosynthesis class x protein	0.004273504273504274	1	1.1892303301303397e-05	1	True
protein kinase domain containing	0.01282051282051282	3	0.025330606031776233	2130	False
acid phosphatase	0.004273504273504274	1	7.135381980782038e-05	6	True
nicastrin	0.008547008547008548	2	0.00010703072971173057	9	True
peptidyl prolyl cis trans isomerase	0.017094017094017096	4	0.0006778612881742935	57	True
quality protein endoplasmin homolog	0.008547008547008548	2	0.00013081533631433735	11	True
heat shock protein 90	0.004273504273504274	1	1.1892303301303397e-05	1	True
heat shock protein hsp 90	0.004273504273504274	1	1.1892303301303397e-05	1	True
light mediated development protein det	0.008547008547008548	2	0.00014270763961564075	12	True
ubiquitin carboxyl terminal hydrolase	0.008547008547008548	2	0.0012962610598420703	109	True
cop signalosome complex subunit	0.004273504273504274	1	0.0002616306726286747	22	True
carboxypeptidase sol	0.008547008547008548	2	7.135381980782038e-05	6	True
peptidase m14 carboxypeptidase	0.03418803418803419	8	9.513842641042717e-05	8	True
s4 domain containing protein	0.004273504273504274	1	0.0002735229759299781	23	True
spx domain containing membrane protein 08463	0.01282051282051282	3	0.00020216915612215775	17	True
photolyase cryptochrome alpha beta domain containing protein	0.008547008547008548	2	0.0002616306726286747	22	True
inositol polyphosphate multikinase	0.017094017094017096	4	0.0002497383693273713	21	True
medsf mob kinase activator 1a	0.004273504273504274	1	0.00013081533631433735	11	True
importin n terminal domain containing protein	0.004273504273504274	1	0.000570830558462563	48	True
calcium transporting atpase 4 endoplasmic reticulum type	0.008547008547008548	2	3.567690990391019e-05	3	True
metal nicotianamine transporter ysl	0.01282051282051282	3	0.0007611074112834174	64	True
transposase 23 domain containing protein	0.0811965811965812	19	0.0008443535343925411	71	True
urease subunit alpha	0.004273504273504274	1	4.756921320521359e-05	4	True
potassium transporter	0.01282051282051282	3	0.0007492151079821139	63	True
cyclin n terminal domain containing protein	0.008547008547008548	2	0.0007492151079821139	63	True
electron transfer flavoprotein subunit alpha mitochondrial	0.004273504273504274	1	2.3784606602606793e-05	2	True
polypyrimidine tract binding protein homolog	0.01282051282051282	3	0.00019027685282085435	16	True
atp dependent clp protease binding subunit clpa homolog chloroplastic	0.004273504273504274	1	7.135381980782038e-05	6	True
aquaporin tip protein	0.008547008547008548	2	9.513842641042717e-05	8	True
ponab ubiquitin carboxyl terminal hydrolase mindy	0.004273504273504274	1	2.3784606602606793e-05	2	True
post gpi attachment to proteins factor	0.004273504273504274	1	0.00020216915612215775	17	True
rnb domain containing protein	0.004273504273504274	1	1.1892303301303397e-05	1	True
40s ribosomal protein s4 1	0.004273504273504274	1	0.0003448767957377985	29	True
phytochrome b 2	0.004273504273504274	1	8.324612310912378e-05	7	True
