Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
2s ferredoxin protein	0.0005249343832020997	1	2.3784606602606793e-05	2	True
protein chlororespiratory reduction 41 chloroplastic	0.0005249343832020997	1	1.1892303301303397e-05	1	True
transketolase 1 protein	0.011023622047244094	21	0.0002497383693273713	21	True
aminomethyltransferase mitochondrial	0.0010498687664041995	2	2.3784606602606793e-05	2	True
arath serine hydroxymethyltransferase 2 mitochondrial	0.0031496062992125984	6	8.324612310912378e-05	7	True
glyoxylate hydroxypyruvate reductase hpr protein	0.0010498687664041995	2	7.135381980782038e-05	6	True
alpha carbonic anhydrase 1	0.0031496062992125984	6	0.0004281229188469223	36	True
beta carbonic anhydrase 1	0.002099737532808399	4	0.0002735229759299781	23	True
dicdi pyruvate dehydrogenase e1 component subunit alpha mitochondrial	0.005249343832020997	10	0.00021406145942346114	18	True
ubiquinol oxidase 1 mitochondrial	0.0005249343832020997	1	5.9461516506516985e-05	5	True
hig domain containing protein	0.0005249343832020997	1	8.324612310912378e-05	7	True
neutral alkaline invertase 1	0.0010498687664041995	2	0.0002735229759299781	23	True
baccr glycogen synthase	0.0005249343832020997	1	2.3784606602606793e-05	2	True
1 4 alpha glucan branching enzyme 2	0.0010498687664041995	2	0.00021406145942346114	18	True
alpha amylase isozyme	0.0026246719160104987	5	0.00019027685282085435	16	True
trehalose 6 phosphate phosphatase	0.004724409448818898	9	0.0005589382551612597	47	True
galactinol synthase	0.0015748031496062992	3	4.756921320521359e-05	4	True
galactinol sucrose galactosyltransferase	0.0010498687664041995	2	0.0002973075825325849	25	True
haloacid dehalogenase hydrolase domain containing protein sgpp isoform	0.0005249343832020997	1	1.1892303301303397e-05	1	True
haloacid dehalogenase hydrolase domain containing protein sgpp	0.0010498687664041995	2	7.135381980782038e-05	6	True
aldehyde dehydrogenase family member mitochondrial	0.0010498687664041995	2	9.513842641042717e-05	8	True
ribose phosphate pyrophosphokinase 3	0.0005249343832020997	1	5.9461516506516985e-05	5	True
cystathionine gamma synthase 1	0.0031496062992125984	6	0.0002497383693273713	21	True
cystathionine gamma lyase	0.0031496062992125984	6	0.00014270763961564075	12	True
cystathionine gamma synthase 1 chloroplastic	0.0015748031496062992	3	3.567690990391019e-05	3	True
methionine s methyltransferase protein	0.002099737532808399	4	4.756921320521359e-05	4	True
ketol acid reductoisomerase	0.0015748031496062992	3	3.567690990391019e-05	3	True
geosw ketol acid reductoisomerase nadp +	0.0015748031496062992	3	0.00014270763961564075	12	True
serine acetyltransferase 1	0.002099737532808399	4	9.513842641042717e-05	8	True
3 hydroxyisobutyryl coa hydrolase protein 1 mitochondrial	0.0031496062992125984	6	0.0002616306726286747	22	True
arginine decarboxylase	0.0010498687664041995	2	8.324612310912378e-05	7	True
spermidine synthase	0.009973753280839895	19	0.0005113690419560461	43	True
amino oxidase domain containing protein	0.0010498687664041995	2	0.0004994767386547426	42	True
nadp dependent malic enzyme 4	0.0010498687664041995	2	0.0005589382551612597	47	True
protein fatty acid export 3 chloroplastic	0.0031496062992125984	6	0.00010703072971173057	9	True
abc transporter a family member	0.002099737532808399	4	0.0002735229759299781	23	True
long chain fatty acid coa ligase	0.005249343832020997	10	0.0007729997145847207	65	True
of peroxisomal acyl coenzyme a oxidase	0.006299212598425197	12	0.0002497383693273713	21	True
