Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
chlorophyll a b binding protein 1 chloroplastic	0.000985869208018403	12	0.00016649224621824755	14	True
chlorophyll a b binding protein 2 1 chloroplastic	0.0005750903713440683	7	0.00014270763961564075	12	True
chlorophyll a b binding protein cp chloroplastic	0.00016431153466973383	2	2.3784606602606793e-05	2	True
i chlorophyll a b binding protein 3 1 chloroplastic	0.000903713440683536	11	0.00013081533631433735	11	True
arath chlorophyll a b binding protein 3 chloroplastic	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
chlorophyll a b binding protein 2 4 chloroplastic	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
photosystem ii protein d1	0.0014788038120276043	18	0.00021406145942346114	18	True
lirtu photosystem ii d2 protein	0.0004929346040092015	6	7.135381980782038e-05	6	True
quality protein oxygen evolving enhancer 1 2 chloroplastic	0.00016431153466973383	2	2.3784606602606793e-05	2	True
oxygen evolving enhancer protein 1 2 chloroplastic	0.00016431153466973383	2	2.3784606602606793e-05	2	True
of oxygen evolving enhancer protein 2 1 chloroplastic	0.00024646730200460074	3	3.567690990391019e-05	3	True
oxygen evolving enhancer protein 3 1 chloroplastic	0.0004107788366743345	5	5.9461516506516985e-05	5	True
photosystem ii reaction center protein k	0.0005750903713440683	7	8.324612310912378e-05	7	True
photosystem ii kda polypeptide chloroplastic	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
photosystem ii kda protein chloroplastic	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
psii kda protein	0.00032862306933946765	4	4.756921320521359e-05	4	True
photosystem ii reaction center x protein	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
ultraviolet b repressible protein	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
photosystem ii core complex proteins psby chloroplastic	0.00016431153466973383	2	2.3784606602606793e-05	2	True
protein low psii accumulation 1 chloroplastic	0.0004929346040092015	6	7.135381980782038e-05	6	True
protein low psii accumulation 2	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
duf 1995 domain containing protein	0.000903713440683536	11	0.00017838454951955095	15	True
sp tatb sec independent protein translocase tatb chloroplastic	0.0004929346040092015	6	7.135381980782038e-05	6	True
psii bnr domain containing protein	0.00016431153466973383	2	2.3784606602606793e-05	2	True
nmra domain containing protein	0.00016431153466973383	2	9.513842641042717e-05	8	True
light harvesting complex protein ohp chloroplastic	0.0004107788366743345	5	0.00010703072971173057	9	True
photosystem ii d1 precursor processing protein psb h2 chloroplastic	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
cyam1 photosystem ii reaction center psb protein	0.00016431153466973383	2	2.3784606602606793e-05	2	True
nosp7 photosystem ii reaction center psb protein	0.00016431153466973383	2	2.3784606602606793e-05	2	True
tpm phosphatase domain containing protein	0.00024646730200460074	3	3.567690990391019e-05	3	True
rieske domain containing protein	0.0005750903713440683	7	0.00016649224621824755	14	True
abc type co + transport system permease component	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
protein pam chloroplastic	0.00016431153466973383	2	2.3784606602606793e-05	2	True
rubredoxin domain containing protein	0.000903713440683536	11	0.00014270763961564075	12	True
integral membrane protein terc domain containing	0.0004107788366743345	5	5.9461516506516985e-05	5	True
vkc domain containing protein	0.0004929346040092015	6	7.135381980782038e-05	6	True
nad p bd dom domain containing protein	0.0029576076240552087	36	0.000570830558462563	48	True
ppr long domain containing protein	0.0026289845547157412	32	0.0007373228046808106	62	True
thioredoxin domain containing protein	0.0028754518567203416	35	0.0017957377984968129	151	True
thioredoxin chloroplastic	8.215576733486691e-05	1	2.3784606602606793e-05	2	True
light harvesting complex protein isotype 1 chloroplastic	0.0004107788366743345	5	5.9461516506516985e-05	5	True
peptidylprolyl isomerase	0.003368386460729543	41	0.0006778612881742935	57	True
bph 2 domain containing protein	8.215576733486691e-05	1	4.756921320521359e-05	4	True
