Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
isocitrate dehydrogenase [nad] subunit 1 mitochondrial	0.03669724770642202	8	0.0003210921891351917	27	True
nadh ubiquinone reductase non electrogenic	0.0045871559633027525	1	0.00014270763961564075	12	True
hexokinase protein	0.0045871559633027525	1	0.0003686614023404053	31	True
trehalose 6 phosphate phosphatase	0.027522935779816515	6	0.0005589382551612597	47	True
phospho dehydro deoxyheptonate aldolase 1	0.009174311926605505	2	0.0003210921891351917	27	True
nadp dependent malic enzyme 4	0.009174311926605505	2	0.0005589382551612597	47	True
acidppc domain containing protein	0.009174311926605505	2	0.0007492151079821139	63	True
tlc domain containing protein	0.013761467889908258	3	0.0004875844353534393	41	True
pap2 c domain containing protein	0.009174311926605505	2	0.00022595376272476454	19	True
cytokinin dehydrogenase	0.009174311926605505	2	0.0004756921320521359	40	True
btb domain containing protein	0.0045871559633027525	1	0.0005351536485586529	45	True
lectin domain containing receptor kinase 4	0.013761467889908258	3	0.0003567690990391019	30	True
zinc finger protein zat	0.01834862385321101	4	0.0007611074112834174	64	True
nac domain containing protein	0.009174311926605505	2	0.00371039863000666	312	True
arath auxin response factor	0.12844036697247707	28	0.001201122633431643	101	True
leucine rich repeat receptor serine threonine protein kinase	0.009174311926605505	2	0.0019622300447150604	165	True
protein kinase domain containing	0.04128440366972477	9	0.025330606031776233	2130	True
cyclin dependent kinase 1	0.01834862385321101	4	0.0021762915041385216	183	True
arath calcium dependent protein kinase	0.06880733944954129	15	0.0034368756540766815	289	True
arath serine threonine protein kinase	0.009174311926605505	2	0.0002854152792312815	24	True
microtubule associated serine threonine protein kinase	0.045871559633027525	10	0.0004043383122443155	34	True
serine threonine protein phosphatase pp	0.01834862385321101	4	0.0007135381980782038	60	True
ef hand domain containing protein	0.013761467889908258	3	0.0013438302730472839	113	True
transitional endoplasmic reticulum atpase homolog	0.009174311926605505	2	0.00020216915612215775	17	True
actin depolymerizing factor	0.027522935779816515	6	0.00023784606602606794	20	True
actin depolymerizing factor protein	0.0045871559633027525	1	1.1892303301303397e-05	1	True
lim domain containing protein plim2b	0.0045871559633027525	1	5.9461516506516985e-05	5	True
pb domain containing protein	0.009174311926605505	2	0.0003210921891351917	27	True
hexosyltransferase	0.0045871559633027525	1	0.0020216915612215774	170	True
pectinesterase	0.01834862385321101	4	0.0008562458376938446	72	True
exocyst subunit exo family protein	0.009174311926605505	2	0.0006540766815716869	55	True
ap complex subunit sigma	0.0045871559633027525	1	0.00017838454951955095	15	True
ras protein rab 6a	0.0045871559633027525	1	7.135381980782038e-05	6	True
sti domain containing protein	0.027522935779816515	6	0.00016649224621824755	14	True
potassium transporter	0.009174311926605505	2	0.0007492151079821139	63	True
na + h + antiporter	0.009174311926605505	2	7.135381980782038e-05	6	True
k + h + antiporter	0.0045871559633027525	1	0.00014270763961564075	12	True
aquaporin tip	0.009174311926605505	2	0.00021406145942346114	18	True
protein fmp mitochondrial	0.0045871559633027525	1	1.1892303301303397e-05	1	True
major viral transcription factor	0.009174311926605505	2	2.3784606602606793e-05	2	True
arath rop guanine nucleotide exchange factor	0.01834862385321101	4	0.0004756921320521359	40	True
arath phosphoinositide phospholipase c	0.013761467889908258	3	0.00017838454951955095	15	True
type i inositol polyphosphate 5 phosphatase	0.01834862385321101	4	0.0010584149938160023	89	True
phosphatidylinositol phosphatidylcholine transfer protein sfh	0.01834862385321101	4	0.0002973075825325849	25	True
calmodulin protein	0.009174311926605505	2	0.00017838454951955095	15	True
tetratricopeptide repeat protein	0.0045871559633027525	1	0.00013081533631433735	11	True
pollen specific arabinogalacta protein ban	0.009174311926605505	2	2.3784606602606793e-05	2	True
inactive tpr repeat containing thioredoxin ttl	0.022935779816513763	5	0.00017838454951955095	15	True
duf 295 domain containing protein	0.009174311926605505	2	0.0009394919608029683	79	True
arabinogalactan peptide	0.0045871559633027525	1	9.513842641042717e-05	8	True
glutaredoxin domain containing protein	0.0045871559633027525	1	0.0008324612310912378	70	True
traf type domain containing protein	0.009174311926605505	2	0.00023784606602606794	20	True
edr2 c domain containing protein	0.01834862385321101	4	0.0003805537056417087	32	True
tyr phosphatase 2 domain containing protein	0.03211009174311927	7	0.00017838454951955095	15	True
arath transcription factor myb	0.0045871559633027525	1	0.000808676624488631	68	True
inhibitor i9 domain containing protein	0.013761467889908258	3	0.00010703072971173057	9	True
nudix hydrolase domain containing protein	0.009174311926605505	2	0.0007135381980782038	60	True
translation initiation factor if family protein	0.0045871559633027525	1	2.3784606602606793e-05	2	True
endoglucanase	0.009174311926605505	2	0.0005946151650651698	50	True
protein mizu kussei	0.0045871559633027525	1	0.0002497383693273713	21	True
cam binding domain containing protein	0.009174311926605505	2	0.0004162306155456189	35	True
cbamoylp synth lsu like atp bd domain containing protein	0.0045871559633027525	1	1.1892303301303397e-05	1	True
no annotation	0.022935779816513763	5	0.06807154409666064	5724	False
chalcone synthase	0.0045871559633027525	1	0.0002497383693273713	21	True
arath udp glycosyltransferase	0.0045871559633027525	1	0.0003448767957377985	29	True
aldose 1 epimerase	0.013761467889908258	3	0.00022595376272476454	19	True
