Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
chloroplast envelope membrane protein	0.0014204545454545455	1	4.756921320521359e-05	4	True
chaperonin subunit beta 1 chloroplastic	0.008522727272727272	6	0.0003567690990391019	30	True
co chaperonin groes	0.022727272727272728	16	0.0003448767957377985	29	True
c4 phosphoenolpyruvate carboxylase	0.002840909090909091	2	0.0002854152792312815	24	True
transcriptional protein	0.005681818181818182	4	4.756921320521359e-05	4	True
mar binding filament protein	0.0014204545454545455	1	4.756921320521359e-05	4	True
1 4 alpha glucan branching enzyme 2	0.002840909090909091	2	0.00021406145942346114	18	True
4 alpha glucanotransferase	0.0014204545454545455	1	1.1892303301303397e-05	1	True
bifunctional udp glucose 4 epimerase	0.002840909090909091	2	0.0005589382551612597	47	True
glutamine fructose phosphate	0.011363636363636364	8	9.513842641042717e-05	8	True
m20 dimer domain containing protein	0.002840909090909091	2	3.567690990391019e-05	3	True
histidinol dehydrogenase	0.008522727272727272	6	7.135381980782038e-05	6	True
histidinol dehydrogenase chloroplastic protein	0.005681818181818182	4	4.756921320521359e-05	4	True
cn hydrolase domain containing protein	0.007102272727272727	5	0.00023784606602606794	20	True
3 isopropylmalate 2 dehydratase small subunit	0.008522727272727272	6	7.135381980782038e-05	6	True
3 isopropylmalate dehydrogenase 1	0.004261363636363636	3	7.135381980782038e-05	6	True
indole glycerol phosphate synthase	0.002840909090909091	2	5.9461516506516985e-05	5	True
okr dc 1 domain containing protein	0.002840909090909091	2	2.3784606602606793e-05	2	True
arginine decarboxylase	0.004261363636363636	3	8.324612310912378e-05	7	True
mitochondrial pyruvate carrier	0.002840909090909091	2	9.513842641042717e-05	8	True
malonate coa ligase	0.0014204545454545455	1	1.1892303301303397e-05	1	True
malonate coa ligase mitochondrial	0.008522727272727272	6	7.135381980782038e-05	6	True
stearoyl [acyl carrier protein] 9 desaturase 1 chloroplastic	0.008522727272727272	6	0.0003448767957377985	29	True
protein fatty acid export	0.002840909090909091	2	9.513842641042717e-05	8	True
protein fatty acid export 3 chloroplastic	0.004261363636363636	3	0.00010703072971173057	9	True
phosphatidyl n methylethanolamine methyltransferase	0.0014204545454545455	1	1.1892303301303397e-05	1	True
diacylglycerol kinase	0.0014204545454545455	1	0.0004637998287508325	39	True
ump cmp kinase	0.005681818181818182	4	0.00021406145942346114	18	True
nucleoside diphosphate kinase 2	0.017045454545454544	12	0.00019027685282085435	16	True
hit domain containing protein	0.002840909090909091	2	0.0002616306726286747	22	True
dihydrofolate synthase folylpolyglutamate	0.014204545454545454	10	0.0003210921891351917	27	True
fad synthase	0.002840909090909091	2	2.3784606602606793e-05	2	True
linked sulfhydryl oxidase	0.008522727272727272	6	7.135381980782038e-05	6	True
protein chaperone of por chloroplastic	0.009943181818181818	7	0.00020216915612215775	17	True
15 cis phytoene synthase	0.002840909090909091	2	0.00022595376272476454	19	True
superoxide dismutase [fe] 1	0.0014204545454545455	1	7.135381980782038e-05	6	True
arath glutathione s transferase	0.004261363636363636	3	0.0005946151650651698	50	True
thioredoxin domain containing protein	0.002840909090909091	2	0.0017957377984968129	151	True
of thioredoxin protein citrx chloroplastic	0.002840909090909091	2	2.3784606602606793e-05	2	True
bifunctional l 3 cyanoalanine synthase cysteine 1 mitochondrial	0.004261363636363636	3	0.00016649224621824755	14	True
linoleate 9s lipoxygenase	0.004261363636363636	3	0.0003448767957377985	29	True
auxin responsive protein iaa	0.005681818181818182	4	0.0009632765674055751	81	True
auxin response factor	0.008522727272727272	6	0.0010940919037199124	92	True
auxin efflux carrier component	0.005681818181818182	4	0.0005351536485586529	45	True
lrr receptor kinase	0.005681818181818182	4	0.00023784606602606794	20	True
abc transporter g family member	0.014204545454545454	10	0.0014746456093616212	124	True
gibberellin 3 beta dioxygenase	0.002840909090909091	2	7.135381980782038e-05	6	True
quality protein gibberellin 2 beta dioxygenase	0.002840909090909091	2	0.00011892303301303397	10	True
13s lipoxygenase 2 1 chloroplastic	0.008522727272727272	6	0.00017838454951955095	15	True
arath lysine specific demethylase jmj	0.022727272727272728	16	0.0003448767957377985	29	True
swib mdm domain containing protein	0.0014204545454545455	1	0.0002735229759299781	23	True
cytochrome c biogenesis ccsb	0.005681818181818182	4	8.324612310912378e-05	7	True
arath dna polymerase i	0.0014204545454545455	1	5.9461516506516985e-05	5	True
single stranded dna binding protein	0.009943181818181818	7	8.324612310912378e-05	7	True
dna protein reca 1	0.004261363636363636	3	3.567690990391019e-05	3	True
sp reca protein reca	0.002840909090909091	2	5.9461516506516985e-05	5	True
cyclin t1 1	0.005681818181818182	4	0.0002854152792312815	24	True
chloroplast j domain 1 containing protein	0.007102272727272727	5	5.9461516506516985e-05	5	True
dnaj domain containing protein	0.002840909090909091	2	0.0005232613452573494	44	True
dynamin type g domain containing protein	0.004261363636363636	3	9.513842641042717e-05	8	True
octicosapeptide phox pb domain containing protein	0.005681818181818182	4	5.9461516506516985e-05	5	True
rho n domain containing protein 1	0.002840909090909091	2	2.3784606602606793e-05	2	True
c2h2 type domain containing protein	0.002840909090909091	2	0.003234706497954524	272	False
calmodulin binding transcription activator protein	0.002840909090909091	2	2.3784606602606793e-05	2	True
cg domain containing protein	0.0014204545454545455	1	0.00013081533631433735	11	True
at hook motif nuclear localized protein	0.011363636363636364	8	0.0007373228046808106	62	True
sap domain containing protein	0.002840909090909091	2	0.0003805537056417087	32	True
smr domain containing protein	0.004261363636363636	3	0.0004875844353534393	41	True
quality protein fructokinase 2 chloroplastic	0.002840909090909091	2	2.3784606602606793e-05	2	True
cupin 3 domain containing protein	0.0014204545454545455	1	0.00014270763961564075	12	True
rna binding protein luc	0.005681818181818182	4	0.00013081533631433735	11	True
u11 u12 small nuclear ribonucleoprotein kda protein	0.0014204545454545455	1	9.513842641042717e-05	8	True
quality protein integrator complex subunit homolog	0.0014204545454545455	1	1.1892303301303397e-05	1	True
transcription termination factor mterf chloroplastic	0.005681818181818182	4	0.00019027685282085435	16	True
crm domain containing factor cfm chloroplastic mitochondrial	0.0014204545454545455	1	7.135381980782038e-05	6	True
trimethylguanosine synthase	0.005681818181818182	4	7.135381980782038e-05	6	True
quality protein trna guanine 26 n 2 dimethyltransferase	0.011363636363636364	8	9.513842641042717e-05	8	True
tram domain containing protein	0.008522727272727272	6	7.135381980782038e-05	6	True
spou methylase domain containing protein	0.007102272727272727	5	0.0002497383693273713	21	True
trna ile lysidine	0.007102272727272727	5	5.9461516506516985e-05	5	True
lactamase b domain containing protein	0.011363636363636364	8	0.0006778612881742935	57	True
trna pseudouridine synthase	0.002840909090909091	2	2.3784606602606793e-05	2	True
trna pseudouridine 27 28 synthase	0.002840909090909091	2	2.3784606602606793e-05	2	True
ribosomal large subunit pseudouridine synthase d	0.007102272727272727	5	0.00013081533631433735	11	True
multiple organellar rna editing factor 5 chloroplastic mitochondrial	0.002840909090909091	2	0.00010703072971173057	9	True
pentatricopeptide repeat containing protein	0.019886363636363636	14	0.007289981923698982	613	True
kda ribonucleoprotein chloroplastic	0.004261363636363636	3	0.00016649224621824755	14	True
2 hacid dh c domain containing protein	0.005681818181818182	4	5.9461516506516985e-05	5	True
aspcl atp dependent rna helicase dbp	0.002840909090909091	2	0.00016649224621824755	14	True
ribosomal rna small subunit methyltransferase h	0.005681818181818182	4	0.00019027685282085435	16	True
chlpn ribosomal rna small subunit methyltransferase h	0.0014204545454545455	1	1.1892303301303397e-05	1	True
spou sub bind domain containing protein	0.0014204545454545455	1	1.1892303301303397e-05	1	True
hals3 ribosomal rna large subunit methyltransferase e	0.0014204545454545455	1	1.1892303301303397e-05	1	True
ftsj domain containing protein	0.0014204545454545455	1	8.324612310912378e-05	7	True
cysteine trna ligase 1	0.008522727272727272	6	0.0003210921891351917	27	True
chloroplastic import inner membrane translocase subunit hp	0.0014204545454545455	1	1.1892303301303397e-05	1	True
sam domain containing protein	0.004261363636363636	3	0.0002735229759299781	23	True
atp dependent rna helicase ded	0.002840909090909091	2	7.135381980782038e-05	6	True
