Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
nadh ubiquinone oxidoreductase chain	0.17777777777777778	8	0.00010703072971173057	9	True
alpha humulene synthase	0.044444444444444446	2	2.3784606602606793e-05	2	True
rapid alkalinization factor	0.022222222222222223	1	1.1892303301303397e-05	1	True
rwp rk domain containing protein	0.022222222222222223	1	0.00021406145942346114	18	True
arath protein reveille	0.022222222222222223	1	0.0003329844924364951	28	True
atp dependent rna helicase	0.044444444444444446	2	0.00021406145942346114	18	True
l type lectin domain containing receptor kinase 3	0.044444444444444446	2	0.0008324612310912378	70	True
wat protein	0.06666666666666667	3	0.0011297688136238226	95	True
cyclic nucleotide binding domain containing protein	0.044444444444444446	2	0.0007729997145847207	65	True
nadh quinone oxidoreductase subunit n	0.15555555555555556	7	0.00013081533631433735	11	True
pentatricopeptide repeat containing protein chloroplastic	0.044444444444444446	2	0.0007254305013795071	61	True
c2h2 type domain containing protein	0.022222222222222223	1	0.003234706497954524	272	True
nb arc domain containing protein	0.022222222222222223	1	0.0014032917895538007	118	True
exocyst subunit exo family protein	0.022222222222222223	1	0.0006540766815716869	55	True
atp dependent rna helicase has	0.022222222222222223	1	2.3784606602606793e-05	2	True
c2 domain containing protein	0.022222222222222223	1	0.001082199600418609	91	True
trigger n domain containing protein	0.022222222222222223	1	5.9461516506516985e-05	5	True
serine arginine repetitive matrix protein	0.022222222222222223	1	0.00010703072971173057	9	True
protein unc homolog a	0.044444444444444446	2	2.3784606602606793e-05	2	True
pentatricopeptide repeat containing protein	0.022222222222222223	1	0.007289981923698982	613	True
no annotation	0.06666666666666667	3	0.06807154409666064	5724	False
cytochrome p450 protein	0.022222222222222223	1	0.0003805537056417087	32	True
