Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
atp dependent zinc metalloprotease ftsh 1 chloroplastic	0.0005062436719541006	3	0.0003210921891351917	27	True
ubiquinol oxidase 4	0.0006749915626054674	4	7.135381980782038e-05	6	True
arath calcium dependent protein kinase	0.005231184610192373	31	0.0034368756540766815	289	True
pyrophosphate fructose 6 phosphate 1 phosphotransferase subunit alpha	0.0026999662504218697	16	0.0004994767386547426	42	True
succinate dehydrogenase assembly factor 2 mitochondrial	0.00016874789065136686	1	2.3784606602606793e-05	2	True
gst n terminal domain containing protein	0.0006749915626054674	4	0.0006540766815716869	55	True
cchc 4 domain containing protein	0.00016874789065136686	1	7.135381980782038e-05	6	True
f1f0 atpase inhibitor protein	0.00016874789065136686	1	4.756921320521359e-05	4	True
mitochondrial brown fat uncoupling protein	0.0020249746878164025	12	0.0002735229759299781	23	True
cytochrome c containing protein	0.00016874789065136686	1	5.9461516506516985e-05	5	True
cox viia protein	0.00016874789065136686	1	2.3784606602606793e-05	2	True
utp glucose phosphate uridylyltransferase	0.0003374957813027337	2	0.0002497383693273713	21	True
sucrose phosphate synthase	0.0006749915626054674	4	0.0003805537056417087	32	True
beta fructofuranosidase insoluble isoenzyme	0.0003374957813027337	2	0.00021406145942346114	18	True
neutral alkaline invertase 1	0.0005062436719541006	3	0.0002735229759299781	23	True
pmei domain containing protein	0.0005062436719541006	3	0.0008324612310912378	70	False
sucrose synthase	0.002362470469119136	14	0.0005589382551612597	47	True
pfkb domain containing protein	0.0018562267971650355	11	0.0004043383122443155	34	True
soluble starch synthase 2 1 chloroplastic amyloplastic	0.0013499831252109348	8	0.00019027685282085435	16	True
trehalose 6 phosphate phosphatase	0.0006749915626054674	4	0.0005589382551612597	47	True
pks er domain containing protein	0.0018562267971650355	11	0.0010465226905146988	88	True
mannose phosphate isomerase	0.0005062436719541006	3	0.0002497383693273713	21	True
6 phosphogluconate dehydrogenase decarboxylating 1	0.0003374957813027337	2	0.00023784606602606794	20	True
straw transaldolase	0.00016874789065136686	1	3.567690990391019e-05	3	True
ashgo phosphoenolpyruvate carboxykinase atp	0.0003374957813027337	2	0.00011892303301303397	10	True
mannose phosphate guanyltransferase beta	0.002531218359770503	15	0.0005351536485586529	45	True
udp glucose 6 dehydrogenase	0.0033749578130273373	20	0.0002854152792312815	24	True
udp glucuronate 4 epimerase	0.0006749915626054674	4	9.513842641042717e-05	8	True
udp glucuronate decarboxylase	0.0006749915626054674	4	7.135381980782038e-05	6	True
sp arna bifunctional polymyxin resistance protein arna	0.00016874789065136686	1	3.567690990391019e-05	3	True
dtdp d glucose 4 6 dehydratase	0.0008437394532568343	5	0.00016649224621824755	14	True
trifunctional udp glucose 4 6 dehydratase keto deoxy d 3 5 epimerase l rhamnose reductase rhm	0.00016874789065136686	1	2.3784606602606793e-05	2	True
bifunctional udp glucose 4 epimerase	0.00320620992237597	19	0.0005589382551612597	47	True
mevalonate galactokinase protein	0.0003374957813027337	2	0.00011892303301303397	10	True
orysj udp arabinopyranose mutase	0.0003374957813027337	2	0.00022595376272476454	19	True
udp n acetylhexosamine pyrophosphorylase protein	0.0003374957813027337	2	4.756921320521359e-05	4	True
udp n acetylglucosamine pyrophosphorylase	0.0006749915626054674	4	0.00014270763961564075	12	True
glutamate decarboxylase	0.0006749915626054674	4	0.00015459994291694415	13	True
ribose phosphate pyrophosphokinase 3	0.0003374957813027337	2	5.9461516506516985e-05	5	True
5 methyltetrahydropteroyltriglutamate homocysteine methyltransferase 3	0.0033749578130273373	20	0.0002854152792312815	24	True
aspfc methylthioribose phosphate isomerase	0.0006749915626054674	4	4.756921320521359e-05	4	True
d 3 phosphoglycerate dehydrogenase 1	0.0010124873439082012	6	0.0002854152792312815	24	True
serine acetyltransferase 1	0.0003374957813027337	2	9.513842641042717e-05	8	True
serine o acetyltransferase	0.0003374957813027337	2	2.3784606602606793e-05	2	True
phospho dehydro deoxyheptonate aldolase 1	0.0003374957813027337	2	0.0003210921891351917	27	True
3 phosphoshikimate 1 carboxyvinyltransferase	0.0003374957813027337	2	2.3784606602606793e-05	2	True
bifunctional aspartate aminotransferase and protein	0.00016874789065136686	1	5.9461516506516985e-05	5	True
prephenate arogenate dehydrogenase domain containing protein	0.00016874789065136686	1	7.135381980782038e-05	6	True
arogenate dehydratase 1	0.00016874789065136686	1	5.9461516506516985e-05	5	True
homogentisate 1 2 dioxygenase	0.0010124873439082012	6	7.135381980782038e-05	6	True
primary amine oxidase	0.0003374957813027337	2	2.3784606602606793e-05	2	True
amine oxidase	0.0003374957813027337	2	7.135381980782038e-05	6	True
atp citrate synthase protein	0.0021937225784677693	13	0.00017838454951955095	15	True
acyl [ carrier protein] hydrolase	0.0010124873439082012	6	0.0002854152792312815	24	True
acyl [ carrier protein] hydrolase chloroplastic	0.00016874789065136686	1	9.513842641042717e-05	8	True
3 ketoacyl coa synthase	0.0003374957813027337	2	0.0004756921320521359	40	False
of very long chain 3r 3 hydroxyacyl coa dehydratase	0.00016874789065136686	1	3.567690990391019e-05	3	True
lipid desat domain containing protein	0.00016874789065136686	1	2.3784606602606793e-05	2	True
protein fatty acid export 1 chloroplastic	0.00016874789065136686	1	7.135381980782038e-05	6	True
3 ketoacyl coa thiolase 1 peroxisomal	0.0010124873439082012	6	0.00015459994291694415	13	True
delta 3 5 2 4 dienoyl coa isomerase mitochondrial	0.00016874789065136686	1	2.3784606602606793e-05	2	True
