Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
prot-scriber: caad domain containing protein	0.0003589375448671931	3	0.00022595376272476454	19	True
prot-scriber: ferredoxin chloroplastic	0.0003589375448671931	3	9.513842641042717e-05	8	True
prot-scriber: triosephosphate isomerase cytosolic	0.0004785833931562575	4	0.0002616306726286747	22	True
prot-scriber: peroxisomal s 2 hydroxy acid oxidase	0.0016750418760469012	14	0.0002735229759299781	23	True
prot-scriber: alpha carbonic anhydrase protein	0.0005982292414453219	5	7.135381980782038e-05	6	True
prot-scriber: alpha carbonic anhydrase domain containing protein	0.0003589375448671931	3	3.567690990391019e-05	3	True
prot-scriber: c4 phosphoenolpyruvate carboxylase	0.00023929169657812874	2	0.0002854152792312815	24	False
prot-scriber: malate dehydrogenase 1	0.0027518545106484803	23	0.0005232613452573494	44	True
prot-scriber: atp dependent 6 phosphofructokinase 4	0.00011964584828906437	1	0.0003091998858338883	26	False
prot-scriber: glyceraldehyde phosphate dehydrogenase 1 cytosolic	0.0007178750897343862	6	0.0004281229188469223	36	True
prot-scriber: dicdi pyruvate dehydrogenase e1 component subunit alpha mitochondrial	0.00023929169657812874	2	0.00021406145942346114	18	True
prot-scriber: orysj pyruvate dehydrogenase e1 component subunit beta	0.00023929169657812874	2	7.135381980782038e-05	6	True
prot-scriber: orysj pyruvate dehydrogenase e1 component subunit beta mitochondrial	0.00023929169657812874	2	2.3784606602606793e-05	2	True
prot-scriber: citrate synthase 4	0.0014357501794687725	12	0.0002616306726286747	22	True
prot-scriber: cytoplasmic aconitate hydratase	0.0003589375448671931	3	7.135381980782038e-05	6	True
prot-scriber: aconitate hydratase a	0.004307250538406317	36	0.0006183997716677766	52	True
prot-scriber: isocitrate dehydrogenase [nad] subunit 1 mitochondrial	0.0003589375448671931	3	0.0003210921891351917	27	True
prot-scriber: 2 oxoglutarate dehydrogenase	0.000957166786312515	8	0.00021406145942346114	18	True
