Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.0003589375448671931	3	0.0030682142517362765	258	False
Photosynthesis.photophosphorylation.linear electron flow	0.0003589375448671931	3	0.0003567690990391019	30	True
Photosynthesis.calvin cycle.triosephosphate isomerase	0.00011964584828906437	1	2.3784606602606793e-05	2	True
Photosynthesis.photorespiration.glycolate oxidase *(GOX1/2/3)	0.0008375209380234506	7	0.00011892303301303397	10	True
Photosynthesis.CAM/C4 photosynthesis.carbon dioxide-bicarbonate equilibrium	0.0003589375448671931	3	0.0005232613452573494	44	False
Photosynthesis.CAM/C4 photosynthesis.phosphoenolpyruvate (PEP) carboxylase activity	0.00011964584828906437	1	0.00016649224621824755	14	False
Photosynthesis.CAM/C4 photosynthesis.NAD-dependent malate dehydrogenase	0.000957166786312515	8	0.00013081533631433735	11	True
Cellular respiration.glycolysis.cytosolic glycolysis	0.0004785833931562575	4	0.0009394919608029683	79	False
Cellular respiration.pyruvate oxidation.mitochondrial pyruvate dehydrogenase complex	0.0005982292414453219	5	0.0004637998287508325	39	True
Cellular respiration.tricarboxylic acid cycle.citrate synthase *(CSY4/5)	0.0007178750897343862	6	0.00013081533631433735	11	True
Cellular respiration.tricarboxylic acid cycle.aconitase *(ACO)	0.0015553960277578367	13	0.0002497383693273713	21	True
Cellular respiration.tricarboxylic acid cycle.isocitrate dehydrogenase heterodimer	0.00011964584828906437	1	0.00014270763961564075	12	False
Cellular respiration.tricarboxylic acid cycle.2-oxoglutarate dehydrogenase complex	0.0004785833931562575	4	0.00021406145942346114	18	True
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	0.0004785833931562575	4	0.0004400152221482257	37	True
Cellular respiration.tricarboxylic acid cycle.NAD-dependent malic enzyme *(NAD-ME1/2)	0.0004785833931562575	4	4.756921320521359e-05	4	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.0017946877243359654	15	0.001771953191894206	149	True
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.0005982292414453219	5	0.0007373228046808106	62	False
Cellular respiration.oxidative phosphorylation.cytochrome c hemoprotein activity	0.0004785833931562575	4	0.0003805537056417087	32	True
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.0014357501794687725	12	0.0008800304442964514	74	True
Cellular respiration.oxidative phosphorylation.ATP synthase complex	0.0017946877243359654	15	0.0009632765674055751	81	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.0004785833931562575	4	0.0011178765103225193	94	False
Carbohydrate metabolism.starch metabolism.biosynthesis	0.0020339794209140944	17	0.0009513842641042718	80	True
Carbohydrate metabolism.starch metabolism.degradation	0.0010768126346015793	9	0.0010108457806107887	85	True
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate phosphatase	0.0008375209380234506	7	0.0004875844353534393	41	True
