Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
ferredoxin electron transfer protein *(Fd1/2/3)	0.001524390243902439	1	0.00011892303301303397	10	True	darkgreen
flavoprotein component *(SDH1) of succinate dehydrogenase complex	0.004573170731707317	3	7.135381980782038e-05	6	True	darkgreen
UDP-D-glucuronic acid 4-epimerase	0.001524390243902439	1	0.00016649224621824755	14	True	darkgreen
chorismate synthase *(CS)	0.006097560975609756	4	7.135381980782038e-05	6	True	darkgreen
3-ketoacyl-CoA synthase *(KCS)	0.01676829268292683	11	0.0004162306155456189	35	True	darkgreen
catalytic protein *(CER2)	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
delta-9 stearoyl-ACP desaturase *(AAD)	0.004573170731707317	3	0.00021406145942346114	18	True	darkgreen
glycerol-3-phosphate acyltransferase *(GPAT4/5/6)	0.004573170731707317	3	0.00010703072971173057	9	True	darkgreen
glycerol-3-phosphate acyltransferase *(GPAT)	0.001524390243902439	1	7.135381980782038e-05	6	True	darkgreen
glycolipid transfer protein *(GLTP)	0.007621951219512195	5	0.00014270763961564075	12	True	darkgreen
sterone ketoreductase of phytosterol C4-demethylation complex	0.001524390243902439	1	5.9461516506516985e-05	5	True	darkgreen
phosphopantothenoylcysteine synthetase	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
protochlorophyllide oxidoreductase *(POR)	0.006097560975609756	4	9.513842641042717e-05	8	True	darkgreen
transcriptional repressor *(EAU)	0.006097560975609756	4	5.9461516506516985e-05	5	True	darkgreen
phaseic acid reductase *(CRL1/2)	0.001524390243902439	1	0.00021406145942346114	18	True	darkgreen
flavin-dependent monooxygenase *(YUC1/2/++)	0.001524390243902439	1	0.0003091998858338883	26	True	darkgreen
auxin transporter *(PIN)	0.004573170731707317	3	0.0002973075825325849	25	True	darkgreen
cytokinin phosphoribohydrolase *(LOG)	0.003048780487804878	2	0.00020216915612215775	17	True	darkgreen
ent-kaurene synthase	0.007621951219512195	5	0.00011892303301303397	10	True	darkgreen
carotenoid cleavage dioxygenase *(CCD7)	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
DVL/RTFL precursor polypeptide	0.001524390243902439	1	9.513842641042717e-05	8	True	darkgreen
ERF-peptide receptor *(ER)	0.010670731707317074	7	8.324612310912378e-05	7	True	darkgreen
histone H3K36 methylation reader *(EML)	0.003048780487804878	2	0.0002616306726286747	22	True	darkgreen
cyclin-dependent kinase inhibitor *(KRP/ICK)	0.001524390243902439	1	0.00011892303301303397	10	True	darkgreen
crosslink-repair peptidase *(SPRTN)	0.001524390243902439	1	5.9461516506516985e-05	5	True	darkgreen
transcriptional co-activator *(BOP)	0.007621951219512195	5	8.324612310912378e-05	7	True	darkgreen
bHLH class-VIIa/b transcription factor	0.004573170731707317	3	0.0004281229188469223	36	True	darkgreen
bHLH class-XII transcription factor *(CIB1/2/++)	0.010670731707317074	7	0.0009751688707068786	82	True	darkgreen
C2H2 class-WIP transcription factor	0.001524390243902439	1	0.00013081533631433735	11	True	darkgreen
SBP transcription factor	0.001524390243902439	1	0.0009632765674055751	81	True	darkgreen
AS2/LOB transcription factor	0.001524390243902439	1	0.0008205689277899343	69	True	darkgreen
GRF transcription factor	0.007621951219512195	5	0.0004875844353534393	41	True	darkgreen
ZAT transcription factor	0.001524390243902439	1	0.0005232613452573494	44	True	darkgreen
HD-ZIP IV-type transcription factor	0.013719512195121951	9	0.0004994767386547426	42	True	darkgreen
zf-HD-type transcription factor	0.010670731707317074	7	0.0004756921320521359	40	True	darkgreen
MYBR-R-type transcription factor	0.001524390243902439	1	0.0006540766815716869	55	True	darkgreen
transcription factor *(CLAUSA)	0.003048780487804878	2	0.00022595376272476454	19	True	darkgreen
MYB class-R2R3 subgroup-1 transcription factor	0.007621951219512195	5	0.00020216915612215775	17	True	darkgreen
MYB class-R2R3 subgroup-8 transcription factor	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
transcription factor *(YABBY)	0.01524390243902439	10	0.0004519075254495291	38	True	darkgreen
component *(NF-YA) of NF-Y transcription factor complex	0.006097560975609756	4	0.0006421843782703834	54	True	darkgreen
BBX class-II transcription factor	0.001524390243902439	1	0.00020216915612215775	17	True	darkgreen
transcription factor *(WRKY)	0.010670731707317074	7	0.002247645323946342	189	True	darkgreen
transcription factor *(TCP)	0.012195121951219513	8	0.000570830558462563	48	True	darkgreen
transcription factor *(WRI/AIL)	0.004573170731707317	3	0.000927599657501665	78	True	darkgreen
subgroup ERF-III transcription factor	0.003048780487804878	2	0.0003091998858338883	26	True	darkgreen
subgroup ERF-V transcription factor *(SHN1/2/3)	0.004573170731707317	3	4.756921320521359e-05	4	True	darkgreen
ALOG transcription factor	0.004573170731707317	3	0.0003567690990391019	30	True	darkgreen
adapter component *(ECAP) of JAZ-TPL transcriptional repressor complex	0.001524390243902439	1	0.00010703072971173057	9	True	darkgreen
transcriptional co-regulator *(GIR1/2)	0.003048780487804878	2	9.513842641042717e-05	8	True	darkgreen
regulatory protein *(DRB2) of miRNA biogenesis pathway	0.003048780487804878	2	9.513842641042717e-05	8	True	darkgreen
pre-60S ribosomal-subunit proteome nuclear export factor *(NMD3)	0.003048780487804878	2	3.567690990391019e-05	3	True	darkgreen
protein de-S-acylation enzyme *(ABAPT)	0.003048780487804878	2	0.0003924460089430121	33	True	darkgreen
LRR-XIIIb protein kinase	0.012195121951219513	8	9.513842641042717e-05	8	True	darkgreen
Extensin-type protein kinase	0.003048780487804878	2	0.00013081533631433735	11	True	darkgreen
Crinkly-like protein kinase	0.003048780487804878	2	0.00010703072971173057	9	True	darkgreen
Plant BURP-domain peptide cyclase *(RD22)	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
RING-H2-class ATL-subclass E3 ubiquitin ligase	0.004573170731707317	3	0.001355722576348587	114	True	darkgreen
protease *(SBT1)	0.001524390243902439	1	0.00019027685282085435	16	True	darkgreen
serine carboxypeptidase	0.003048780487804878	2	0.0004994767386547426	42	True	darkgreen
Pepsin-type protease	0.003048780487804878	2	0.0019622300447150604	165	True	darkgreen
component *(SCAR1/2/++) of SCAR/WAVE ARP2/3-activating complex	0.012195121951219513	8	0.00023784606602606794	20	True	darkgreen
component *(ABIL1/2/++) of SCAR/WAVE ARP2/3-activating complex	0.004573170731707317	3	0.00017838454951955095	15	True	darkgreen
catalytic component *(CesA) of cellulose synthase complex	0.006097560975609756	4	0.0004281229188469223	36	True	darkgreen
xylan alpha-1,3-arabinosyltransferase	0.003048780487804878	2	0.0005827228617638665	49	True	darkgreen
mannan synthase *(CSLA)	0.003048780487804878	2	0.0002973075825325849	25	True	darkgreen
component *(GAUT1) of GAUT1:GAUT7 galacturonosyltransferase complex	0.001524390243902439	1	7.135381980782038e-05	6	True	darkgreen
component *(GAUT7) of GAUT1:GAUT7 galacturonosyltransferase complex	0.003048780487804878	2	0.00015459994291694415	13	True	darkgreen
pectin methylesterase	0.003048780487804878	2	0.0007492151079821139	63	True	darkgreen
pectin acetylesterase *(PAE)	0.004573170731707317	3	0.0003448767957377985	29	True	darkgreen
Fasciclin-type arabinogalactan protein	0.001524390243902439	1	0.0003805537056417087	32	True	darkgreen
arabinogalactan protein *(Xylogen)	0.006097560975609756	4	0.00022595376272476454	19	True	darkgreen
LRR-domain extensin	0.001524390243902439	1	0.00015459994291694415	13	True	darkgreen
fatty acyl in-chain hydroxylase *(CYP77A)	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
omega-hydroxy fatty acyl dehydrogenase *(HOTHEAD)	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
cutin sn-glycerol-3-phosphate acyltransferase *(GPAT4/6/8)	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
fatty acyl CoA reductase *(FAR)	0.003048780487804878	2	0.00021406145942346114	18	True	darkgreen
aldehyde decarbonylase component *(CER1) of CER1-CER3 alkane-forming complex	0.013719512195121951	9	0.00014270763961564075	12	True	darkgreen
aldehyde-generating component *(CER3) of CER1-CER3 alkane-forming complex	0.001524390243902439	1	9.513842641042717e-05	8	True	darkgreen
fatty alcohol oxidase *(FAO)	0.003048780487804878	2	0.00010703072971173057	9	True	darkgreen
cutin and suberin biosynthesis transcription factor *(SHN)	0.004573170731707317	3	4.756921320521359e-05	4	True	darkgreen
suberin/cutin lipid exporter *(DSO)	0.009146341463414634	6	7.135381980782038e-05	6	True	darkgreen
wax lipid exporter *(CER5)	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
cuticular lipid exporter *(PEC1)	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
cuticular lipid transfer accessory factor *(LTPG)	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
cutin synthase *(CD)	0.006097560975609756	4	0.00015459994291694415	13	True	darkgreen
cutin synthase *(DCR)	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
class I ARF-GAP ARF-GTPase-activating protein	0.001524390243902439	1	9.513842641042717e-05	8	True	darkgreen
P2A-type calcium cation-transporting ATPase *(ECA)	0.003048780487804878	2	0.00010703072971173057	9	True	darkgreen
ABCB-type transporter *(MDR/PGP)	0.001524390243902439	1	0.0005470459518599562	46	True	darkgreen
ABC2 subfamily-G full-size transporter *(PDR1/2/3)	0.006097560975609756	4	0.0004162306155456189	35	True	darkgreen
ABC2 subfamily-G half-size transporter *(WBC1/2/3)	0.013719512195121951	9	0.0004994767386547426	42	True	darkgreen
metal chelator transporter *(ZIF1)	0.007621951219512195	5	0.0005113690419560461	43	True	darkgreen
auxin efflux transporter *(PIN1/2/3)	0.004573170731707317	3	0.0002973075825325849	25	True	darkgreen
metabolite transporter *(DTX1/2/++)	0.003048780487804878	2	0.0010227380839120922	86	True	darkgreen
oligopeptide transporter *(OPT1/2/++)	0.001524390243902439	1	0.00011892303301303397	10	True	darkgreen
metal cation transporter *(VIT)	0.003048780487804878	2	5.9461516506516985e-05	5	True	darkgreen
Nodulin-26-like intrinsic protein *(NIP)	0.004573170731707317	3	0.00016649224621824755	14	True	darkgreen
voltage-gated potassium cation channel *(AKT/SKOR/GORK)	0.007621951219512195	5	0.0003924460089430121	33	True	darkgreen
phytosiderophore efflux transporter *(TOM1)	0.007621951219512195	5	0.0005113690419560461	43	True	darkgreen
iron transporter *(VIT)	0.003048780487804878	2	5.9461516506516985e-05	5	True	darkgreen
regulatory protein *(CIB) of blue light perception	0.009146341463414634	6	0.0009157073542003615	77	True	darkgreen
glycerol-3-phosphate acyl transferase *(RAM2)	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
transcriptional regulator of circadian clock *(CHE)	0.004573170731707317	3	4.756921320521359e-05	4	True	darkgreen
regulatory protein *(FLZ) of SnRK1 complex	0.001524390243902439	1	0.000570830558462563	48	True	darkgreen
type-I inositol-polyphosphate 5-phosphatase	0.010670731707317074	7	0.000689753591475597	58	True	darkgreen
regulatory mediator of IRE1-bZIP60 UPR pathway	0.004573170731707317	3	0.00021406145942346114	18	True	darkgreen
