Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
ferredoxin	0.001524390243902439	1	3.567690990391019e-05	3	True	darkgreen
succinate dehydrogenase [ubiquinone] flavoprotein subunit 1 mitochondrial	0.009146341463414634	6	0.00021406145942346114	18	True	darkgreen
udp glucuronate 4 epimerase	0.001524390243902439	1	9.513842641042717e-05	8	True	darkgreen
chorismate synthase 1	0.012195121951219513	8	0.00014270763961564075	12	True	darkgreen
3 ketoacyl coa synthase	0.018292682926829267	12	0.0004756921320521359	40	True	darkgreen
coa 5 n hydroxycinnamoyltransferase	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
stearoyl [acyl carrier protein] 9 desaturase 1 chloroplastic	0.009146341463414634	6	0.0003448767957377985	29	True	darkgreen
quality protein glycerol phosphate 2 o acyltransferase	0.004573170731707317	3	3.567690990391019e-05	3	True	darkgreen
glycerol phosphate 2 acyltransferase	0.004573170731707317	3	0.00016649224621824755	14	True	darkgreen
gltp domain containing protein	0.007621951219512195	5	0.00022595376272476454	19	True	darkgreen
nadph dependent aldehyde reductase 2 chloroplastic	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
dfp domain containing protein	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
phosphopantothenate cysteine ligase	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
protochlorophyllide reductase chloroplastic	0.012195121951219513	8	9.513842641042717e-05	8	True	darkgreen
ww domain containing protein	0.006097560975609756	4	0.00017838454951955095	15	True	darkgreen
epimerase domain containing protein	0.001524390243902439	1	0.000927599657501665	78	True	darkgreen
flavin containing monooxygenase	0.001524390243902439	1	0.0005113690419560461	43	True	darkgreen
auxin efflux carrier component	0.009146341463414634	6	0.0005351536485586529	45	True	darkgreen
cytokinin riboside 5 monophosphate phosphoribohydrolase	0.003048780487804878	2	0.00022595376272476454	19	True	darkgreen
ent kaur ene synthase chloroplastic	0.01524390243902439	10	0.00020216915612215775	17	True	darkgreen
carotenoid cleavage dioxygenase 7 chloroplastic	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
small polypeptide devil	0.001524390243902439	1	8.324612310912378e-05	7	True	darkgreen
lrr receptor serine threonine protein kinase	0.04725609756097561	31	0.0008324612310912378	70	True	darkgreen
ent domain containing protein	0.007621951219512195	5	0.0006540766815716869	55	True	darkgreen
cdi domain containing protein	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
sprt domain containing protein	0.003048780487804878	2	7.135381980782038e-05	6	True	darkgreen
btb poz domain and ankyrin repeat containing protein	0.009146341463414634	6	7.135381980782038e-05	6	True	darkgreen
btb domain and containing protein	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
bhlh transcription factor	0.024390243902439025	16	0.0030444296451336695	256	True	darkgreen
transcription factor bhlh	0.003048780487804878	2	0.0012724764532394634	107	True	darkgreen
zinc finger protein wip	0.001524390243902439	1	0.00010703072971173057	9	True	darkgreen
arath squamosa promoter binding protein	0.001524390243902439	1	0.0003924460089430121	33	True	darkgreen
lob domain containing protein	0.001524390243902439	1	0.0012130149367329465	102	True	darkgreen
arath growth regulating factor	0.007621951219512195	5	0.0004637998287508325	39	True	darkgreen
zinc finger protein zat	0.001524390243902439	1	0.0007611074112834174	64	True	darkgreen
homeobox leucine zipper protein roc	0.013719512195121951	9	0.0007135381980782038	60	True	darkgreen
arath homeobox leucine zipper protein hdg	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
mini zinc finger protein	0.001524390243902439	1	0.00010703072971173057	9	True	darkgreen
zinc finger homeodomain protein	0.009146341463414634	6	0.0003567690990391019	30	True	darkgreen
transcription factor divaricata	0.001524390243902439	1	0.00020216915612215775	17	True	darkgreen
hth myb type domain containing protein	0.012195121951219513	8	0.0016054609456759585	135	True	darkgreen
myb transcription factor	0.012195121951219513	8	0.0024498144800684995	206	True	darkgreen
arath transcription factor myb	0.006097560975609756	4	0.000808676624488631	68	True	darkgreen
axial regulator yabby	0.012195121951219513	8	0.0005351536485586529	45	True	darkgreen
specific transcription factor yabby protein	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
arath nuclear transcription factor y subunit 9	0.006097560975609756	4	0.0005589382551612597	47	True	darkgreen
zinc finger protein constans	0.001524390243902439	1	0.0005232613452573494	44	True	darkgreen
wrky transcription factor	0.007621951219512195	5	0.0006659689848729902	56	True	darkgreen
wrky domain containing protein	0.006097560975609756	4	0.00185519931500333	156	True	darkgreen
tcp transcription factor	0.001524390243902439	1	0.00021406145942346114	18	True	darkgreen
transcription factor tcp	0.006097560975609756	4	9.513842641042717e-05	8	True	darkgreen
arath transcription factor tcp	0.009146341463414634	6	0.00021406145942346114	18	True	darkgreen
ap ethylene responsive transcription factor	0.004573170731707317	3	0.0007729997145847207	65	True	darkgreen
ethylene responsive transcription factor erf	0.012195121951219513	8	0.0025092759965750166	211	True	darkgreen
orysj protein g1 like	0.004573170731707317	3	0.0003567690990391019	30	True	darkgreen
golgin subfamily a member protein	0.001524390243902439	1	3.567690990391019e-05	3	True	darkgreen
protein gl interacting repressor	0.003048780487804878	2	0.00010703072971173057	9	True	darkgreen
double stranded rna binding protein	0.001524390243902439	1	0.0002497383693273713	21	True	darkgreen
quality protein double stranded rna binding	0.001524390243902439	1	3.567690990391019e-05	3	True	darkgreen
60s ribosomal export protein nmd	0.003048780487804878	2	3.567690990391019e-05	3	True	darkgreen
alpha beta hydrolase domain containing protein	0.003048780487804878	2	0.00019027685282085435	16	True	darkgreen
protein kinase domain containing	0.007621951219512195	5	0.025330606031776233	2130	False	darkgreen
serine threonine protein kinase	0.006097560975609756	4	0.0009394919608029683	79	True	darkgreen
burp domain containing protein	0.004573170731707317	3	0.0002497383693273713	21	True	darkgreen
ring type e3 ubiquitin transferase	0.001524390243902439	1	0.0038768908762249073	326	False	darkgreen
quality protein ring h2 finger atl	0.001524390243902439	1	4.756921320521359e-05	4	True	darkgreen
ring h2 finger protein atl	0.001524390243902439	1	0.0007254305013795071	61	True	darkgreen
sp sbt subtilisin protease	0.001524390243902439	1	0.0003686614023404053	31	True	darkgreen
serine carboxypeptidase	0.006097560975609756	4	0.0013081533631433737	110	True	darkgreen
peptidase a1 domain containing protein	0.003048780487804878	2	0.0025211682998763202	212	True	darkgreen
protein scar	0.013719512195121951	9	0.0003091998858338883	26	True	darkgreen
abil protein	0.004573170731707317	3	4.756921320521359e-05	4	True	darkgreen
cellulose synthase a catalytic subunit [udp forming]	0.006097560975609756	4	0.0007729997145847207	65	True	darkgreen
beta xylosyltransferease xax	0.003048780487804878	2	5.9461516506516985e-05	5	True	darkgreen
glucomannan 4 beta mannosyltransferase	0.006097560975609756	4	0.0004519075254495291	38	True	darkgreen
glycosyltransferase domain containing protein	0.003048780487804878	2	0.00019027685282085435	16	True	darkgreen
hexosyltransferase	0.010670731707317074	7	0.0020216915612215774	170	True	darkgreen
pectinesterase	0.012195121951219513	8	0.0008562458376938446	72	True	darkgreen
pectin acetylesterase	0.006097560975609756	4	0.0004281229188469223	36	True	darkgreen
fasciclin arabinogalactan protein	0.001524390243902439	1	0.00020216915612215775	17	True	darkgreen
aai domain containing protein	0.018292682926829267	12	0.0016887070687850822	142	True	darkgreen
leucine rich repeat extensin protein	0.001524390243902439	1	0.0003210921891351917	27	True	darkgreen
cytochrome p450 77a3 protein	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
gmc oxrdtase n domain containing protein	0.004573170731707317	3	9.513842641042717e-05	8	True	darkgreen
fatty acyl coa reductase 2	0.006097560975609756	4	0.0002854152792312815	24	True	darkgreen
very long chain aldehyde decarbonylase gl	0.01524390243902439	10	0.0002497383693273713	21	True	darkgreen
long chain alcohol oxidase	0.001524390243902439	1	7.135381980782038e-05	6	True	darkgreen
quality protein long chain alcohol oxidase	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
abc transporter g family member	0.028963414634146343	19	0.0014746456093616212	124	True	darkgreen
abc transporter g family member protein	0.006097560975609756	4	5.9461516506516985e-05	5	True	darkgreen
gdsl esterase lipase	0.056402439024390245	37	0.0026519836361906576	223	True	darkgreen
bahd acyltransferase dcr	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
arf gap with gtpase ank repeat and ph domain containing protein	0.001524390243902439	1	0.0002973075825325849	25	True	darkgreen
