Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Ferredoxin-3, chloroplastic OS=Zea mays	0.001524390243902439	1	3.567690990391019e-05	3	True	darkgreen
Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Oryza sativa subsp. japonica	0.009146341463414634	6	0.00013081533631433735	11	True	darkgreen
UDP-glucuronate 4-epimerase 6 OS=Arabidopsis thaliana	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
Chorismate synthase 2, chloroplastic OS=Solanum lycopersicum	0.012195121951219513	8	9.513842641042717e-05	8	True	darkgreen
Probable 3-ketoacyl-CoA synthase 20 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
3-ketoacyl-CoA synthase 12 OS=Arabidopsis thaliana	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
3-ketoacyl-CoA synthase 17 OS=Arabidopsis thaliana	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
3-ketoacyl-CoA synthase 4 OS=Arabidopsis thaliana	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
3-ketoacyl-CoA synthase 10 OS=Arabidopsis thaliana	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
3-ketoacyl-CoA synthase 6 OS=Arabidopsis thaliana	0.001524390243902439	1	7.135381980782038e-05	6	True	darkgreen
Protein ECERIFERUM 26-like OS=Arabidopsis thaliana	0.004573170731707317	3	5.9461516506516985e-05	5	True	darkgreen
Acyl-[acyl-carrier-protein] desaturase 6, chloroplastic OS=Oryza sativa subsp. japonica	0.009146341463414634	6	7.135381980782038e-05	6	True	darkgreen
Glycerol-3-phosphate 2-O-acyltransferase 6 OS=Arabidopsis thaliana	0.004573170731707317	3	5.9461516506516985e-05	5	True	darkgreen
Glycerol-3-phosphate acyltransferase RAM2 OS=Medicago truncatula	0.003048780487804878	2	3.567690990391019e-05	3	True	darkgreen
Glycerol-3-phosphate acyltransferase 1 OS=Arabidopsis thaliana	0.001524390243902439	1	3.567690990391019e-05	3	True	darkgreen
Glycolipid transfer protein 1 OS=Arabidopsis thaliana	0.007621951219512195	5	9.513842641042717e-05	8	True	darkgreen
NADPH-dependent aldehyde reductase-like protein, chloroplastic OS=Arabidopsis thaliana	0.001524390243902439	1	5.9461516506516985e-05	5	True	darkgreen
Phosphopantothenate--cysteine ligase 1 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
Protochlorophyllide reductase A, chloroplastic OS=Oryza sativa subsp. japonica	0.012195121951219513	8	9.513842641042717e-05	8	True	darkgreen
no annotation	0.20884146341463414	137	0.3144206069831605	26439	False	darkgreen
Cinnamoyl-CoA reductase 1 OS=Petunia hybrida	0.001524390243902439	1	0.0004637998287508325	39	True	darkgreen
Indole-3-pyruvate monooxygenase YUCCA1 OS=Oryza sativa subsp. japonica	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
Auxin efflux carrier component 3a OS=Oryza sativa subsp. japonica	0.009146341463414634	6	7.135381980782038e-05	6	True	darkgreen
Probable cytokinin riboside 5-monophosphate phosphoribohydrolase LOG4 OS=Oryza sativa subsp. japonica	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
Ent-kaur-16-ene synthase, chloroplastic OS=Oryza sativa subsp. japonica	0.01524390243902439	10	0.00011892303301303397	10	True	darkgreen
Carotenoid cleavage dioxygenase 7, chloroplastic OS=Oryza sativa subsp. japonica	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
LRR receptor-like serine/threonine-protein kinase SIK1 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	8.324612310912378e-05	7	True	darkgreen
LRR receptor-like serine/threonine-protein kinase ER1 OS=Oryza sativa subsp. japonica	0.012195121951219513	8	9.513842641042717e-05	8	True	darkgreen
LRR receptor-like serine/threonine-protein kinase ER2 OS=Oryza sativa subsp. japonica	0.028963414634146343	19	0.00022595376272476454	19	True	darkgreen
Protein EMSY-LIKE 3 OS=Arabidopsis thaliana	0.007621951219512195	5	0.0002854152792312815	24	True	darkgreen
BTB/POZ domain and ankyrin repeat-containing protein NH5.2 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
BTB/POZ domain and ankyrin repeat-containing protein NH5.1 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
Transcription factor SPATULA OS=Arabidopsis thaliana	0.004573170731707317	3	8.324612310912378e-05	7	True	darkgreen
Basic helix-loop-helix protein 80 OS=Oryza sativa subsp. indica	0.009146341463414634	6	0.00014270763961564075	12	True	darkgreen
Transcription factor bHLH48 OS=Arabidopsis thaliana	0.003048780487804878	2	7.135381980782038e-05	6	True	darkgreen
Transcription factor BC1 OS=Oryza sativa subsp. japonica	0.007621951219512195	5	0.00015459994291694415	13	True	darkgreen
Zinc finger protein WIP2 OS=Arabidopsis thaliana	0.001524390243902439	1	7.135381980782038e-05	6	True	darkgreen
Squamosa promoter-binding-like protein 10 OS=Oryza sativa subsp. japonica	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
LOB domain-containing protein 11 OS=Arabidopsis thaliana	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
Growth-regulating factor 3 OS=Oryza sativa subsp. japonica	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
Growth-regulating factor 1 OS=Zea mays	0.004573170731707317	3	3.567690990391019e-05	3	True	darkgreen
Zinc finger protein ZAT12 OS=Arabidopsis thaliana	0.001524390243902439	1	4.756921320521359e-05	4	True	darkgreen
Homeobox-leucine zipper protein ROC8 OS=Oryza sativa subsp. japonica	0.012195121951219513	8	0.00016649224621824755	14	True	darkgreen
Homeobox-leucine zipper protein ROC3 OS=Oryza sativa subsp. indica	0.004573170731707317	3	3.567690990391019e-05	3	True	darkgreen
Mini zinc finger protein 2 OS=Oryza sativa subsp. japonica	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
Zinc-finger homeodomain protein 9 OS=Oryza sativa subsp. japonica	0.001524390243902439	1	3.567690990391019e-05	3	True	darkgreen
Zinc-finger homeodomain protein 4 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
Zinc-finger homeodomain protein 8 OS=Oryza sativa subsp. japonica	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
Transcription factor DIVARICATA OS=Antirrhinum majus	0.001524390243902439	1	0.00017838454951955095	15	True	darkgreen
Probable transcription factor KAN2 OS=Arabidopsis thaliana	0.003048780487804878	2	0.00021406145942346114	18	True	darkgreen
Probable transcription factor KAN4 OS=Arabidopsis thaliana	0.009146341463414634	6	8.324612310912378e-05	7	True	darkgreen
Myb-related protein 306 OS=Antirrhinum majus	0.006097560975609756	4	7.135381980782038e-05	6	True	darkgreen
MYB transcription factor 69 OS=Zea mays	0.001524390243902439	1	9.513842641042717e-05	8	True	darkgreen
Transcription factor MYB94 OS=Arabidopsis thaliana	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
Transcription factor MYB106 OS=Arabidopsis thaliana	0.004573170731707317	3	7.135381980782038e-05	6	True	darkgreen
Protein YABBY 3 OS=Oryza sativa subsp. japonica	0.003048780487804878	2	4.756921320521359e-05	4	True	darkgreen
Protein YABBY 1 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
Protein DROOPING LEAF OS=Oryza sativa subsp. japonica	0.004573170731707317	3	9.513842641042717e-05	8	True	darkgreen
Protein YABBY 4 OS=Oryza sativa subsp. indica	0.004573170731707317	3	3.567690990391019e-05	3	True	darkgreen
Nuclear transcription factor Y subunit A-10 OS=Arabidopsis thaliana	0.006097560975609756	4	0.00014270763961564075	12	True	darkgreen
Probable WRKY transcription factor 2 OS=Arabidopsis thaliana	0.006097560975609756	4	0.0002497383693273713	21	True	darkgreen
Probable WRKY transcription factor 34 OS=Arabidopsis thaliana	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
Probable WRKY transcription factor 21 OS=Arabidopsis thaliana	0.006097560975609756	4	7.135381980782038e-05	6	True	darkgreen
Transcription factor PCF6 OS=Oryza sativa subsp. japonica	0.001524390243902439	1	3.567690990391019e-05	3	True	darkgreen
Transcription factor PCF5 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
Transcription factor TCP7 OS=Arabidopsis thaliana	0.009146341463414634	6	7.135381980782038e-05	6	True	darkgreen
APETALA2-like protein 5 OS=Oryza sativa subsp. indica	0.004573170731707317	3	5.9461516506516985e-05	5	True	darkgreen
Ethylene-responsive transcription factor ERF043 OS=Arabidopsis thaliana	0.003048780487804878	2	3.567690990391019e-05	3	True	darkgreen
Ethylene-responsive transcription factor WIN1 OS=Zea mays	0.009146341463414634	6	9.513842641042717e-05	8	True	darkgreen
Protein G1-like6 OS=Oryza sativa subsp. indica	0.004573170731707317	3	5.9461516506516985e-05	5	True	darkgreen
Double-stranded RNA-binding protein 5 OS=Oryza sativa subsp. japonica	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
Probable serine/threonine-protein kinase PBL23 OS=Arabidopsis thaliana	0.003048780487804878	2	0.0004162306155456189	35	True	darkgreen
Receptor-like serine/threonine-protein kinase ALE2 OS=Arabidopsis thaliana	0.003048780487804878	2	0.0005946151650651698	50	True	darkgreen
Putative receptor protein kinase CRINKLY4 OS=Zea mays	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
BURP domain-containing protein 3 OS=Oryza sativa subsp. japonica	0.004573170731707317	3	4.756921320521359e-05	4	True	darkgreen
RING-H2 finger protein ATL65 OS=Arabidopsis thaliana	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
RING-H2 finger protein ATL68 OS=Arabidopsis thaliana	0.001524390243902439	1	4.756921320521359e-05	4	True	darkgreen
RING-H2 finger protein ATL13 OS=Arabidopsis thaliana	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
Subtilisin-like protease SBT1.3 OS=Arabidopsis thaliana	0.001524390243902439	1	1.1892303301303397e-05	1	True	darkgreen
Serine carboxypeptidase 24 OS=Arabidopsis thaliana	0.006097560975609756	4	5.9461516506516985e-05	5	True	darkgreen
Probable aspartyl protease At4g16563 OS=Arabidopsis thaliana	0.001524390243902439	1	2.3784606602606793e-05	2	True	darkgreen
Aspartyl protease family protein At5g10770 OS=Arabidopsis thaliana	0.001524390243902439	1	0.0007135381980782038	60	True	darkgreen
Protein SCAR2 OS=Arabidopsis thaliana	0.006097560975609756	4	9.513842641042717e-05	8	True	darkgreen
Probable protein ABIL4 OS=Oryza sativa subsp. japonica	0.004573170731707317	3	3.567690990391019e-05	3	True	darkgreen
Probable cellulose synthase A catalytic subunit 2 [UDP-forming] OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
Alpha-1,3-arabinosyltransferase XAT2 OS=Oryza sativa subsp. japonica	0.003048780487804878	2	0.0002616306726286747	22	True	darkgreen
Probable glucomannan 4-beta-mannosyltransferase 9 OS=Oryza sativa subsp. japonica	0.006097560975609756	4	4.756921320521359e-05	4	True	darkgreen
Polygalacturonate 4-alpha-galacturonosyltransferase OS=Arabidopsis thaliana	0.003048780487804878	2	0.00020216915612215775	17	True	darkgreen
Probable galacturonosyltransferase 7 OS=Arabidopsis thaliana	0.010670731707317074	7	0.0004162306155456189	35	True	darkgreen
Probable pectinesterase/pectinesterase inhibitor 34 OS=Arabidopsis thaliana	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
