Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.CAM/C4 photosynthesis.carbon dioxide-bicarbonate equilibrium	0.002871205906480722	7	0.0005232613452573494	44	True
Photosynthesis.CAM/C4 photosynthesis.phosphoenolpyruvate (PEP) carboxylase activity	0.0012305168170631665	3	0.00016649224621824755	14	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.00041017227235438887	1	0.001771953191894206	149	False
Cellular respiration.oxidative phosphorylation.cytochrome c hemoprotein activity	0.00041017227235438887	1	0.0003805537056417087	32	True
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.0016406890894175555	4	0.0006659689848729902	56	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.0008203445447087777	2	0.0011178765103225193	94	False
Carbohydrate metabolism.starch metabolism.degradation	0.003281378178835111	8	0.0010108457806107887	85	True
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate phosphatase	0.0036915504511894994	9	0.0004875844353534393	41	True
Carbohydrate metabolism.fermentation.acetic acid biosynthesis	0.00041017227235438887	1	0.0002497383693273713	21	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucuronic acid biosynthesis	0.0008203445447087777	2	0.0003329844924364951	28	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-xylose biosynthesis	0.0008203445447087777	2	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucose 4-epimerase	0.00041017227235438887	1	0.00015459994291694415	13	True
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.0008203445447087777	2	0.001165445723527733	98	False
Amino acid metabolism.shikimate group amino acid biosynthesis.tryptophan biosynthesis	0.0008203445447087777	2	0.0004281229188469223	36	True
Amino acid metabolism.amino acid degradation.aromatic amino acids	0.0012305168170631665	3	0.000570830558462563	48	True
Amino acid metabolism.polyamine metabolism.putrescine biosynthesis	0.00041017227235438887	1	0.00020216915612215775	17	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.0008203445447087777	2	0.0005827228617638665	49	True
Lipid metabolism.fatty acid metabolism.endoplasmic reticulum-localized fatty acid elongase (FAE) system	0.0012305168170631665	3	0.0006183997716677766	52	True
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.0012305168170631665	3	0.0007492151079821139	63	True
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.0016406890894175555	4	0.0013676148796498905	115	True
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	0.0008203445447087777	2	0.0005827228617638665	49	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.007793273174733388	19	0.0021168299876320046	178	True
Lipid metabolism.sphingolipid metabolism.sphingolipid homeostasis	0.00041017227235438887	1	0.0002854152792312815	24	True
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	0.002050861361771944	5	0.001355722576348587	114	True
Lipid metabolism.cytoplasmic lipid droplet-associated activities.lipid droplet-plasma membrane tethering complex	0.00041017227235438887	1	2.3784606602606793e-05	2	True
Lipid metabolism.cytoplasmic lipid droplet-associated activities.associated factor *(LDIP)	0.00041017227235438887	1	3.567690990391019e-05	3	True
Nucleotide metabolism.purines.extracellular ATP	0.0012305168170631665	3	0.0003805537056417087	32	True
Coenzyme metabolism.pyridoxal-phosphate homeostasis.regulatory protein *(PLPHP1/2)	0.002871205906480722	7	0.00011892303301303397	10	True
Coenzyme metabolism.prenylquinone biosynthesis.ubiquinone biosynthesis	0.0008203445447087777	2	0.0004519075254495291	38	True
Coenzyme metabolism.chlorophyll metabolism.chlorophyll catabolism	0.00041017227235438887	1	0.0006183997716677766	52	False
Secondary metabolism.terpenoid biosynthesis.terpene biosynthesis	0.0008203445447087777	2	0.0008205689277899343	69	False
Secondary metabolism.phenolics biosynthesis.flavonoid biosynthesis	0.0008203445447087777	2	0.0004519075254495291	38	True
Secondary metabolism.alkaloid biosynthesis.lysine-derived alkaloid biosynthesis	0.00041017227235438887	1	5.9461516506516985e-05	5	True
Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities	0.0016406890894175555	4	0.0012962610598420703	109	True
Redox homeostasis.thiol-based redox regulation.thioredoxin activities	0.00041017227235438887	1	0.0006302920749690801	53	False
Redox homeostasis.reactive oxygen-induced signalling.NADPH-oxidase activity	0.0008203445447087777	2	0.0004519075254495291	38	True
Phytohormone action.abscisic acid.perception and signalling	0.0016406890894175555	4	0.0008562458376938446	72	True
Phytohormone action.abscisic acid.conjugation and degradation	0.00041017227235438887	1	0.0003805537056417087	32	True
Phytohormone action.auxin.biosynthesis	0.002461033634126333	6	0.0004637998287508325	39	True
Phytohormone action.auxin.conjugation and degradation	0.0016406890894175555	4	0.0004875844353534393	41	True
Phytohormone action.auxin.transport	0.00041017227235438887	1	0.0008205689277899343	69	False
Phytohormone action.cytokinin.biosynthesis	0.00041017227235438887	1	0.0003448767957377985	29	True
Phytohormone action.cytokinin.conjugation and degradation	0.0008203445447087777	2	0.0002973075825325849	25	True
Phytohormone action.gibberellin.perception and signal transduction	0.00041017227235438887	1	0.0002854152792312815	24	True
Phytohormone action.gibberellin.conjugation and degradation	0.00041017227235438887	1	0.00017838454951955095	15	True
Phytohormone action.jasmonic acid.perception and signal transduction	0.0036915504511894994	9	0.0005470459518599562	46	True
Phytohormone action.jasmonic acid.conjugation and degradation	0.00041017227235438887	1	0.0003329844924364951	28	True
Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category	0.002871205906480722	7	0.0017362762819902958	146	True
Phytohormone action.signalling peptides.CRP (cysteine-rich-peptide) category	0.006562756357670222	16	0.0012130149367329465	102	True
Chromatin organisation.histone chaperone activities.FACT histone chaperone complex	0.0012305168170631665	3	7.135381980782038e-05	6	True
Chromatin organisation.post-translational histone modification.histone methylation	0.0008203445447087777	2	0.004019598515840548	338	False
Chromatin organisation.post-translational histone modification.histone acetylation	0.0016406890894175555	4	0.0034844448672818953	293	False
Chromatin organisation.epigenetic state regulation.DNA methylation regulation	0.00041017227235438887	1	0.0009038150508990582	76	False
Cell division.cytokinesis.cell-plate formation	0.0016406890894175555	4	0.0006659689848729902	56	True
Cell division.cytokinesis.endoplasmic reticulum (ER) reorganisation	0.0061525840853158325	15	0.0010346303872133954	87	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription termination	0.002461033634126333	6	0.00023784606602606794	20	True
RNA biosynthesis.DNA-binding transcriptional regulation.basic DNA-binding domain	0.01066447908121411	26	0.009513842641042717	800	True
RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain	0.007383100902378999	18	0.0066477975454285985	559	True
RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain	0.007793273174733388	19	0.011392826562648653	958	False
