Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.00033453207326252405	4	0.0030682142517362765	258	False
Photosynthesis.photophosphorylation.chlororespiration	0.00016726603663126202	2	0.0011297688136238226	95	False
Photosynthesis.calvin cycle.ribulose-1,5-bisphosphat carboxylase/oxygenase (RuBisCo) activity	0.00016726603663126202	2	0.0007729997145847207	65	False
Photosynthesis.calvin cycle.phosphopentose epimerase	0.00033453207326252405	4	0.00010703072971173057	9	True
Photosynthesis.photorespiration.glycolate oxidase *(GOX1/2/3)	0.00016726603663126202	2	0.00011892303301303397	10	True
Photosynthesis.photorespiration.glycine decarboxylase complex	8.363301831563101e-05	1	0.00017838454951955095	15	False
Photosynthesis.CAM/C4 photosynthesis.carbon dioxide-bicarbonate equilibrium	0.0011708622564188342	14	0.0005232613452573494	44	True
Photosynthesis.CAM/C4 photosynthesis.phosphoenolpyruvate (PEP) carboxylase activity	0.00033453207326252405	4	0.00016649224621824755	14	True
Cellular respiration.glycolysis.cytosolic glycolysis	0.000501798109893786	6	0.0009394919608029683	79	False
Cellular respiration.glycolysis.methylglyoxal/glyoxal degradation	0.000250899054946893	3	0.0003210921891351917	27	False
Cellular respiration.pyruvate oxidation.mitochondrial pyruvate dehydrogenase complex	0.000501798109893786	6	0.0004637998287508325	39	True
Cellular respiration.tricarboxylic acid cycle.succinyl-CoA ligase heterodimer	0.00016726603663126202	2	0.00019027685282085435	16	False
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	8.363301831563101e-05	1	0.0004400152221482257	37	False
Cellular respiration.tricarboxylic acid cycle.NAD-dependent malate dehydrogenase *(mMDH1/2)	0.00016726603663126202	2	4.756921320521359e-05	4	True
Cellular respiration.tricarboxylic acid cycle.regulatory enol-oxaloacetate tautomerase *(FAHD1)	0.00041816509157815507	5	0.00011892303301303397	10	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	8.363301831563101e-05	1	0.001771953191894206	149	False
Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities	0.000250899054946893	3	0.0004043383122443155	34	False
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.0006690641465250481	8	0.0007373228046808106	62	False
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.0013381282930500962	16	0.0008800304442964514	74	True
Cellular respiration.oxidative phosphorylation.ATP synthase complex	0.001003596219787572	12	0.0009632765674055751	81	True
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.0009199632014719411	11	0.0006659689848729902	56	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.002007192439575144	24	0.0011178765103225193	94	True
Carbohydrate metabolism.starch metabolism.biosynthesis	0.000501798109893786	6	0.0009513842641042718	80	False
Carbohydrate metabolism.starch metabolism.degradation	0.0009199632014719411	11	0.0010108457806107887	85	False
Carbohydrate metabolism.oligosaccharide metabolism.raffinose synthase *(RFS5)	8.363301831563101e-05	1	1.1892303301303397e-05	1	True
Carbohydrate metabolism.oligosaccharide metabolism.alpha-galactosidase *(AGAL)	0.00016726603663126202	2	0.00019027685282085435	16	False
Carbohydrate metabolism.mannose metabolism.phosphomannose isomerase *(PMI)	0.00016726603663126202	2	8.324612310912378e-05	7	True
