Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis.photophosphorylation	0.001524390243902439	1	0.006243459233184283	525	False	darkgreen
Cellular respiration.tricarboxylic acid cycle	0.004573170731707317	3	0.0016649224621824756	140	True	darkgreen
Carbohydrate metabolism.nucleotide sugar biosynthesis	0.001524390243902439	1	0.002128722290933308	179	False	darkgreen
Amino acid metabolism.shikimate group amino acid biosynthesis	0.006097560975609756	4	0.0014270763961564076	120	True	darkgreen
Lipid metabolism.fatty acid metabolism	0.022865853658536585	15	0.005327751878983922	448	True	darkgreen
Lipid metabolism.glycerolipid metabolism	0.006097560975609756	4	0.006183997716677766	520	False	darkgreen
Lipid metabolism.sphingolipid metabolism	0.007621951219512195	5	0.0019860146513176673	167	True	darkgreen
Lipid metabolism.phytosterol metabolism	0.001524390243902439	1	0.0014508610027590143	122	True	darkgreen
Coenzyme metabolism.coenzyme A metabolism	0.003048780487804878	2	0.0003924460089430121	33	True	darkgreen
Coenzyme metabolism.chlorophyll metabolism	0.006097560975609756	4	0.001379507182951194	116	True	darkgreen
Phytohormone action.abscisic acid	0.007621951219512195	5	0.0017957377984968129	151	True	darkgreen
Phytohormone action.auxin	0.006097560975609756	4	0.003698506326705356	311	True	darkgreen
Phytohormone action.cytokinin	0.003048780487804878	2	0.002128722290933308	179	True	darkgreen
Phytohormone action.gibberellin	0.007621951219512195	5	0.0009632765674055751	81	True	darkgreen
Phytohormone action.strigolactone	0.001524390243902439	1	0.0004400152221482257	37	True	darkgreen
Phytohormone action.signalling peptides	0.012195121951219513	8	0.0029492912187232424	248	True	darkgreen
Chromatin organisation.post-translational histone modification	0.003048780487804878	2	0.008812196746265816	741	False	darkgreen
Cell division.cell cycle organisation	0.001524390243902439	1	0.007397012653410712	622	False	darkgreen
DNA damage response.DNA-protein crosslink (DPC) repair	0.001524390243902439	1	0.00019027685282085435	16	True	darkgreen
RNA biosynthesis.DNA-binding transcriptional regulation	0.13871951219512196	91	0.049376843307011704	4152	True	darkgreen
RNA biosynthesis.transcriptional co-regulation	0.004573170731707317	3	0.002461706783369803	207	True	darkgreen
RNA homeostasis.mRNA silencing	0.003048780487804878	2	0.002640091332889354	222	True	darkgreen
Protein biosynthesis.ribosome biogenesis	0.003048780487804878	2	0.012772333745599848	1074	False	darkgreen
Protein modification.lipidation	0.003048780487804878	2	0.0035914755969936258	302	False	darkgreen
Protein modification.phosphorylation	0.018292682926829267	12	0.022928360764912947	1928	False	darkgreen
Protein modification.peptide cyclisation	0.003048780487804878	2	2.3784606602606793e-05	2	True	darkgreen
Protein homeostasis.ubiquitin-proteasome system	0.004573170731707317	3	0.031110265436209684	2616	False	darkgreen
Protein homeostasis.proteolysis	0.007621951219512195	5	0.009692227190562269	815	False	darkgreen
Cytoskeleton organisation.microfilament network	0.01676829268292683	11	0.005161259632765674	434	True	darkgreen
Cell wall organisation.cellulose	0.006097560975609756	4	0.0016887070687850822	142	True	darkgreen
Cell wall organisation.hemicellulose	0.006097560975609756	4	0.004661782894110932	392	True	darkgreen
Cell wall organisation.pectin	0.012195121951219513	8	0.004257444581866616	358	True	darkgreen
Cell wall organisation.cell wall proteins	0.009146341463414634	6	0.0018433070117020265	155	True	darkgreen
Cell wall organisation.cutin and suberin	0.056402439024390245	37	0.0017481685852915993	147	True	darkgreen
Vesicle trafficking.retrograde trafficking	0.001524390243902439	1	0.0037936447531157834	319	False	darkgreen
Solute transport.primary active transport	0.024390243902439025	16	0.005803444011036057	488	True	darkgreen
Solute transport.carrier-mediated transport	0.019817073170731708	13	0.026115498049662258	2196	False	darkgreen
