Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.ATP synthase complex	0.010438413361169102	5	0.0005232613452573494	44	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-xylose biosynthesis	0.0020876826722338203	1	0.0002616306726286747	22	True
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	0.0041753653444676405	2	0.001355722576348587	114	True
Coenzyme metabolism.prenylquinone biosynthesis.ubiquinone biosynthesis	0.0020876826722338203	1	0.0004519075254495291	38	True
Coenzyme metabolism.iron-sulfur cluster assembly machinery.cytosolic CIA system	0.0041753653444676405	2	0.0004756921320521359	40	True
Redox homeostasis.reactive oxygen scavenging.superoxide dismutase activities	0.0041753653444676405	2	0.0003567690990391019	30	True
Redox homeostasis.ascorbate-based redox regulation.cyt-b561 electron shuttle hemoprotein *(CYBASC)	0.0041753653444676405	2	0.00015459994291694415	13	True
Phytohormone action.ethylene.perception and signal transduction	0.0041753653444676405	2	0.0007611074112834174	64	True
Chromatin organisation.chromatin structure.DNA wrapping	0.0020876826722338203	1	0.0014032917895538007	118	True
Chromatin organisation.histone chaperone activities.histone chaperone *(NASP)	0.0020876826722338203	1	0.00010703072971173057	9	True
Chromatin organisation.post-translational histone modification.histone methylation	0.006263048016701462	3	0.004019598515840548	338	True
Chromatin organisation.post-translational histone modification.histone acetylation	0.0041753653444676405	2	0.0034844448672818953	293	True
Chromatin organisation.nucleosome remodeling.SWI/SNF chromatin remodeling complexes	0.0020876826722338203	1	0.0016292455522785654	137	True
Cell division.DNA replication.initiation	0.008350730688935281	4	0.0003448767957377985	29	True
Cell division.DNA replication.endoreduplication	0.012526096033402923	6	0.0003329844924364951	28	True
Cell division.cell cycle organisation.cell cycle control	0.0020876826722338203	1	0.0035320140804871087	297	False
Cell division.cell cycle organisation.chromosome segregation	0.0020876826722338203	1	0.0011892303301303396	100	True
Cell division.cell cycle organisation.sister chromatid separation	0.0020876826722338203	1	0.001355722576348587	114	True
RNA biosynthesis.RNA polymerase I-dependent transcription.transcription initiation factor *(BRP1)	0.0020876826722338203	1	1.1892303301303397e-05	1	True
