Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.CAM/C4 photosynthesis.carbon dioxide-bicarbonate equilibrium	0.0007183908045977011	3	0.0005232613452573494	44	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.0011973180076628352	5	0.001771953191894206	149	False
Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities	0.0028735632183908046	12	0.0004043383122443155	34	True
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.00023946360153256704	1	0.0008800304442964514	74	False
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.0011973180076628352	5	0.0006659689848729902	56	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.004310344827586207	18	0.0011178765103225193	94	True
Carbohydrate metabolism.starch metabolism.granule initiation	0.0009578544061302681	4	0.00015459994291694415	13	True
Carbohydrate metabolism.starch metabolism.biosynthesis	0.004310344827586207	18	0.0009513842641042718	80	True
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate phosphatase	0.0004789272030651341	2	0.0004875844353534393	41	False
Carbohydrate metabolism.mannose metabolism.phosphomannose isomerase *(PMI)	0.0004789272030651341	2	8.324612310912378e-05	7	True
Carbohydrate metabolism.mannose metabolism.phosphosugar phosphatase	0.0004789272030651341	2	8.324612310912378e-05	7	True
Carbohydrate metabolism.oxidative pentose phosphate pathway.oxidative phase	0.0019157088122605363	8	0.0003805537056417087	32	True
Carbohydrate metabolism.gluconeogenesis.pyruvate orthophosphate dikinase activity	0.0007183908045977011	3	0.00013081533631433735	11	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.GDP-L-fucose biosynthesis	0.00023946360153256704	1	8.324612310912378e-05	7	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucuronic acid biosynthesis	0.0004789272030651341	2	0.0003329844924364951	28	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-xylose biosynthesis	0.0016762452107279694	7	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	0.0009578544061302681	4	0.0003924460089430121	33	True
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.0004789272030651341	2	0.001165445723527733	98	False
Amino acid metabolism.aspartate group amino acid biosynthesis.asparagine biosynthesis	0.0007183908045977011	3	0.0003448767957377985	29	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0016762452107279694	7	0.0019503377414137571	164	False
Amino acid metabolism.serine group amino acid biosynthesis.glycine biosynthesis	0.0004789272030651341	2	0.00013081533631433735	11	True
Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	0.0014367816091954023	6	0.0005232613452573494	44	True
Amino acid metabolism.amino acid degradation.branched-chain amino acids	0.0014367816091954023	6	0.0009989534773094852	84	True
Amino acid metabolism.amino acid degradation.aromatic amino acids	0.00023946360153256704	1	0.000570830558462563	48	False
Amino acid metabolism.polyamine metabolism.putrescine biosynthesis	0.00023946360153256704	1	0.00020216915612215775	17	True
Amino acid metabolism.polyamine metabolism.spermidine biosynthesis	0.0004789272030651341	2	0.0004162306155456189	35	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.0004789272030651341	2	0.0005827228617638665	49	False
Lipid metabolism.fatty acid metabolism.acetyl-CoA generation	0.0004789272030651341	2	0.0004756921320521359	40	True
Lipid metabolism.fatty acid metabolism.plastidial fatty acid synthase (ptFAS) system	0.0016762452107279694	7	0.000808676624488631	68	True
Lipid metabolism.fatty acid metabolism.endoplasmic reticulum-localized fatty acid elongase (FAE) system	0.0004789272030651341	2	0.0006183997716677766	52	False
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.0004789272030651341	2	0.0007492151079821139	63	False
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.00023946360153256704	1	0.0012486918466368567	105	False
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.0011973180076628352	5	0.0013676148796498905	115	False
Lipid metabolism.glycerolipid metabolism.phosphatidylethanolamine metabolism	0.0007183908045977011	3	0.0007016458947769003	59	True
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	0.0011973180076628352	5	0.0005827228617638665	49	True
Lipid metabolism.glycerolipid metabolism.galactolipid biosynthesis	0.00023946360153256704	1	0.00023784606602606794	20	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.0021551724137931034	9	0.0021168299876320046	178	True
Lipid metabolism.sphingolipid metabolism.ceramide biosynthesis	0.0004789272030651341	2	0.0006421843782703834	54	False
Lipid metabolism.phytosterol metabolism.plant sterol pathway	0.0016762452107279694	7	0.0006540766815716869	55	True
Lipid metabolism.phytosterol metabolism.phytosterol C4-demethylation complex	0.0004789272030651341	2	0.0004994767386547426	42	False
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	0.0021551724137931034	9	0.001355722576348587	114	True
Lipid metabolism.cytoplasmic lipid droplet-associated activities.STEROLEOSIN-type dehydrogenase *(SLO/HSD)	0.00023946360153256704	1	0.0002497383693273713	21	False
Lipid metabolism.cytoplasmic lipid droplet-associated activities.hydrolase *(LDAH)	0.00023946360153256704	1	0.00011892303301303397	10	True
Nucleotide metabolism.purines.salvage pathway	0.0011973180076628352	5	0.0003924460089430121	33	True
Nucleotide metabolism.purines.catabolism	0.0026340996168582377	11	0.0005113690419560461	43	True
Nucleotide metabolism.purines.extracellular ATP	0.0016762452107279694	7	0.0003805537056417087	32	True
Nucleotide metabolism.pyrimidines.catabolism	0.0004789272030651341	2	0.0002854152792312815	24	True
Nucleotide metabolism.deoxynucleotides.salvage pathway	0.00023946360153256704	1	0.0002497383693273713	21	False
Coenzyme metabolism.thiamine pyrophosphate metabolism.thiamine monophosphate phosphatase *(Th2)	0.00023946360153256704	1	4.756921320521359e-05	4	True
Coenzyme metabolism.S-adenosyl methionine (SAM) cycle.S-adenosyl methionine synthetase *(MAT)	0.0011973180076628352	5	0.00011892303301303397	10	True
Coenzyme metabolism.biotin biosynthesis.7-keto-8-aminopelargonic acid (KAPA) synthase	0.0007183908045977011	3	3.567690990391019e-05	3	True
Coenzyme metabolism.prenylquinone biosynthesis.4-hydroxybenzoate biosynthesis	0.0004789272030651341	2	0.00010703072971173057	9	True
Coenzyme metabolism.prenylquinone biosynthesis.ubiquinone biosynthesis	0.0019157088122605363	8	0.0004519075254495291	38	True
Coenzyme metabolism.NAD/NADP biosynthesis.Preiss-Handler salvage pathway	0.0004789272030651341	2	0.00019027685282085435	16	True
Coenzyme metabolism.iron-sulfur cluster assembly machinery.cytosolic CIA system	0.00023946360153256704	1	0.0004756921320521359	40	False
Coenzyme metabolism.tetrapyrrole biosynthesis.5-aminolevulinic acid formation	0.00023946360153256704	1	0.0004281229188469223	36	False
Coenzyme metabolism.tetrapyrrole biosynthesis.uroporphyrinogen III formation	0.0009578544061302681	4	0.00011892303301303397	10	True
Coenzyme metabolism.heme homeostasis.heme oxygenase activities	0.0009578544061302681	4	0.0003091998858338883	26	True
Coenzyme metabolism.chlorophyll metabolism.chlorophyll catabolism	0.0004789272030651341	2	0.0006183997716677766	52	False
Coenzyme metabolism.phylloquinone biosynthesis.NAD(P)H dehydrogenase *(NDC)	0.0011973180076628352	5	5.9461516506516985e-05	5	True
Secondary metabolism.terpenoid biosynthesis.terpene biosynthesis	0.0016762452107279694	7	0.0008205689277899343	69	True
Secondary metabolism.terpenoid biosynthesis.carotenoid biosynthesis	0.0007183908045977011	3	0.000689753591475597	58	True
Secondary metabolism.phenolics biosynthesis.p-coumaroyl-CoA biosynthesis	0.0021551724137931034	9	0.0004519075254495291	38	True
Secondary metabolism.phenolics biosynthesis.flavonoid biosynthesis	0.0011973180076628352	5	0.0004519075254495291	38	True
Secondary metabolism.alkaloid biosynthesis.lysine-derived alkaloid biosynthesis	0.00023946360153256704	1	5.9461516506516985e-05	5	True
Secondary metabolism.oxalate homeostasis.oxalyl-CoA lyase *(OXC)	0.00023946360153256704	1	2.3784606602606793e-05	2	True
Redox homeostasis.reactive oxygen scavenging.catalase *(CAT1/2/3)	0.0004789272030651341	2	8.324612310912378e-05	7	True
Redox homeostasis.glutathione-based redox regulation.glutathione biosynthesis	0.00023946360153256704	1	0.00013081533631433735	11	True
Redox homeostasis.glutathione-based redox regulation.glutathione degradation	0.00023946360153256704	1	0.0004519075254495291	38	False
Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities	0.0028735632183908046	12	0.0012962610598420703	109	True
Redox homeostasis.thiol-based redox regulation.thioredoxin activities	0.0004789272030651341	2	0.0006302920749690801	53	False
Redox homeostasis.ascorbate-based redox regulation.ascorbate metabolism	0.0040708812260536395	17	0.0008919227475977547	75	True
Redox homeostasis.tocopherol biosynthesis.4-hydroxyphenylpyruvate dioxygenase *(HPPD)	0.00023946360153256704	1	4.756921320521359e-05	4	True
Redox homeostasis.tocopherol biosynthesis.homogentisate phytyltransferase *(VTE2)	0.0007183908045977011	3	7.135381980782038e-05	6	True
Redox homeostasis.reactive oxygen-induced signalling.NADPH-oxidase activity	0.0011973180076628352	5	0.0004519075254495291	38	True
Phytohormone action.abscisic acid.biosynthesis	0.0004789272030651341	2	0.0004519075254495291	38	True
Phytohormone action.abscisic acid.conjugation and degradation	0.0011973180076628352	5	0.0003805537056417087	32	True
Phytohormone action.auxin.biosynthesis	0.0007183908045977011	3	0.0004637998287508325	39	True
Phytohormone action.auxin.perception and signal transduction	0.0014367816091954023	6	0.0019265531348111502	162	False
Phytohormone action.auxin.transport	0.0016762452107279694	7	0.0008205689277899343	69	True
Phytohormone action.brassinosteroid.perception and signal transduction	0.0014367816091954023	6	0.001141661116925126	96	True
Phytohormone action.cytokinin.perception and signal transduction	0.005268199233716475	22	0.001438968699457711	121	True
Phytohormone action.cytokinin.conjugation and degradation	0.0004789272030651341	2	0.0002973075825325849	25	True
Phytohormone action.ethylene.biosynthesis	0.0011973180076628352	5	0.0003091998858338883	26	True
Phytohormone action.ethylene.perception and signal transduction	0.0014367816091954023	6	0.0007611074112834174	64	True
Phytohormone action.gibberellin.biosynthesis	0.0038314176245210726	16	0.0004756921320521359	40	True
Phytohormone action.gibberellin.perception and signal transduction	0.0011973180076628352	5	0.0002854152792312815	24	True
Phytohormone action.gibberellin.conjugation and degradation	0.0009578544061302681	4	0.00017838454951955095	15	True
Phytohormone action.jasmonic acid.biosynthesis	0.0009578544061302681	4	0.0005827228617638665	49	True
Phytohormone action.jasmonic acid.perception and signal transduction	0.0004789272030651341	2	0.0005470459518599562	46	False
Phytohormone action.strigolactone.biosynthesis	0.0009578544061302681	4	0.0002616306726286747	22	True
Phytohormone action.strigolactone.conjugation and degradation	0.00023946360153256704	1	0.00010703072971173057	9	True
Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category	0.006944444444444444	29	0.0017362762819902958	146	True
Phytohormone action.signalling peptides.CRP (cysteine-rich-peptide) category	0.0014367816091954023	6	0.0012130149367329465	102	True
Chromatin organisation.chromatin structure.DNA wrapping	0.0007183908045977011	3	0.0014032917895538007	118	False
Chromatin organisation.chromatin structure.DNA bridging	0.00023946360153256704	1	0.0003091998858338883	26	False
Chromatin organisation.chromatin structure.structure modulation	0.0004789272030651341	2	0.0007135381980782038	60	False
Chromatin organisation.histone chaperone activities.CAF1 histone chaperone complex	0.0011973180076628352	5	0.0002735229759299781	23	True
Chromatin organisation.histone chaperone activities.FACT histone chaperone complex	0.0004789272030651341	2	7.135381980782038e-05	6	True
Chromatin organisation.post-translational histone modification.histone methylation	0.0035919540229885057	15	0.004019598515840548	338	False
Chromatin organisation.post-translational histone modification.histone acetylation	0.006704980842911878	28	0.0034844448672818953	293	True
Chromatin organisation.post-translational histone modification.PRC1 bifunctional histone ubiquitination and methylation reader complex	0.004549808429118774	19	0.0011892303301303396	100	True
Chromatin organisation.nucleosome remodeling.SWI/SNF chromatin remodeling complexes	0.0004789272030651341	2	0.0016292455522785654	137	False
Chromatin organisation.nucleosome remodeling.INO80 chromatin remodeling complex	0.0009578544061302681	4	0.0004637998287508325	39	True
Chromatin organisation.nucleosome remodeling.SWR1 chromatin remodeling complex	0.0014367816091954023	6	0.0004281229188469223	36	True
Chromatin organisation.epigenetic state regulation.RNA-directed DNA methylation (RdDM) pathway	0.0007183908045977011	3	0.0014032917895538007	118	False
Chromatin organisation.epigenetic state regulation.ROS1-mediated DNA demethylation	0.00023946360153256704	1	0.0002735229759299781	23	False
Chromatin organisation.epigenetic state regulation.DNA methylation regulation	0.0021551724137931034	9	0.0009038150508990582	76	True
Chromatin organisation.DNA homeostasis.bifunctional ssDNA and RNA endonuclease *(ENDO)	0.0009578544061302681	4	0.00010703072971173057	9	True
Chromatin organisation.DNA homeostasis.DNA exonuclease *(NEN)	0.0009578544061302681	4	0.00010703072971173057	9	True
Cell division.DNA replication.telomere replication	0.0007183908045977011	3	0.0004875844353534393	41	True
Cell division.cell cycle organisation.cell cycle control	0.0026340996168582377	11	0.0035320140804871087	297	False
Cell division.cell cycle organisation.chromatin condensation	0.00023946360153256704	1	0.0002497383693273713	21	False
Cell division.cell cycle organisation.chromosome segregation	0.00023946360153256704	1	0.0011892303301303396	100	False
Cell division.cell cycle organisation.metaphase to anaphase transition	0.0007183908045977011	3	0.0010227380839120922	86	False
Cell division.cell cycle organisation.sister chromatid separation	0.0021551724137931034	9	0.001355722576348587	114	True
Cell division.meiotic recombination.meiotic initiation	0.00023946360153256704	1	0.0002854152792312815	24	False
Cell division.meiotic recombination.meiotic double strand break initiation	0.0009578544061302681	4	0.0004637998287508325	39	True
Cell division.meiotic recombination.meiotic double strand break processing	0.0014367816091954023	6	0.00022595376272476454	19	True
Cell division.meiotic recombination.meiotic crossover	0.0007183908045977011	3	0.0017124916753876891	144	False
Cell division.cytokinesis.phragmoplast disassembly	0.00023946360153256704	1	0.0006183997716677766	52	False
Cell division.cytokinesis.endoplasmic reticulum (ER) reorganisation	0.00023946360153256704	1	0.0010346303872133954	87	False
Cell division.plastid division.contractile complex	0.0004789272030651341	2	0.0004043383122443155	34	True
DNA damage response.DNA damage tolerance (DDT) pathways.dCMP transferase *(REV1)	0.00023946360153256704	1	1.1892303301303397e-05	1	True
DNA damage response.homologous recombination repair (HR).homology-directed repair (HDR)	0.0007183908045977011	3	0.00014270763961564075	12	True
DNA damage response.homologous recombination repair (HR).Smc5-Smc6 complex	0.0004789272030651341	2	0.0003805537056417087	32	True
DNA damage response.base excision repair (BER).lesion recognition and removal	0.0004789272030651341	2	0.0002735229759299781	23	True
RNA biosynthesis.DNA-dependent RNA polymerase complexes.RNA polymerase I/II/III/IV/V shared components	0.00023946360153256704	1	0.00014270763961564075	12	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription initiation	0.00023946360153256704	1	0.0010584149938160023	89	False
