Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Cellular respiration.glycolysis.cytosolic glycolysis	0.0005558643690939411	1	0.0009394919608029683	79	False
Cellular respiration.tricarboxylic acid cycle.citrate synthase *(CSY4/5)	0.0016675931072818232	3	0.00013081533631433735	11	True
Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities	0.0011117287381878821	2	0.0004043383122443155	34	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.005002779321845469	9	0.0011178765103225193	94	True
Carbohydrate metabolism.oligosaccharide metabolism.alpha-galactosidase *(AGAL)	0.0011117287381878821	2	0.00019027685282085435	16	True
Carbohydrate metabolism.oxidative pentose phosphate pathway.oxidative phase	0.0016675931072818232	3	0.0003805537056417087	32	True
Carbohydrate metabolism.fermentation.acetic acid biosynthesis	0.0016675931072818232	3	0.0002497383693273713	21	True
Carbohydrate metabolism.fermentation.lactic acid fermentation	0.0005558643690939411	1	3.567690990391019e-05	3	True
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.0022234574763757642	4	0.001165445723527733	98	True
Amino acid metabolism.aspartate group amino acid biosynthesis.asparagine biosynthesis	0.0016675931072818232	3	0.0003448767957377985	29	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0027793218454697055	5	0.0019503377414137571	164	True
Amino acid metabolism.pyruvate group amino acid biosynthesis.pyruvate-derived amino acids	0.0027793218454697055	5	0.0006540766815716869	55	True
Amino acid metabolism.serine group amino acid biosynthesis.cysteine biosynthesis	0.0044469149527515284	8	0.00016649224621824755	14	True
Amino acid metabolism.shikimate group amino acid biosynthesis.phenylalanine and tyrosine	0.0005558643690939411	1	0.0004756921320521359	40	True
Amino acid metabolism.amino acid degradation.proline degradation	0.0005558643690939411	1	0.00014270763961564075	12	True
Amino acid metabolism.amino acid degradation.branched-chain amino acids	0.007226236798221234	13	0.0009989534773094852	84	True
Amino acid metabolism.amino acid degradation.aromatic amino acids	0.0033351862145636463	6	0.000570830558462563	48	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.0016675931072818232	3	0.0005827228617638665	49	True
Lipid metabolism.fatty acid metabolism.endoplasmic reticulum-localized fatty acid elongase (FAE) system	0.0022234574763757642	4	0.0006183997716677766	52	True
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.0022234574763757642	4	0.0007492151079821139	63	True
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.0038910505836575876	7	0.0012486918466368567	105	True
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.0027793218454697055	5	0.0013676148796498905	115	True
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	0.0011117287381878821	2	0.0005827228617638665	49	True
Lipid metabolism.glycerolipid metabolism.cardiolipin biosynthesis	0.0011117287381878821	2	4.756921320521359e-05	4	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.009449694274596998	17	0.0021168299876320046	178	True
Lipid metabolism.sphingolipid metabolism.ceramide biosynthesis	0.0011117287381878821	2	0.0006421843782703834	54	True
Lipid metabolism.sphingolipid metabolism.sphingolipid transport	0.0011117287381878821	2	0.00021406145942346114	18	True
Lipid metabolism.sphingolipid metabolism.sphingolipid phosphorylation	0.0011117287381878821	2	0.0003210921891351917	27	True
Lipid metabolism.phytosterol metabolism.phytosterol C4-demethylation complex	0.0011117287381878821	2	0.0004994767386547426	42	True
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	0.0038910505836575876	7	0.001355722576348587	114	True
Nucleotide metabolism.purines.catabolism	0.0011117287381878821	2	0.0005113690419560461	43	True
Nucleotide metabolism.purines.extracellular ATP	0.0011117287381878821	2	0.0003805537056417087	32	True
Nucleotide metabolism.pyrimidines.catabolism	0.0011117287381878821	2	0.0002854152792312815	24	True
Nucleotide metabolism.deoxynucleotides.salvage pathway	0.0011117287381878821	2	0.0002497383693273713	21	True
Coenzyme metabolism.pyridoxal-phosphate homeostasis.salvage biosynthetic pathway	0.005002779321845469	9	0.00010703072971173057	9	True
Coenzyme metabolism.prenylquinone biosynthesis.4-hydroxybenzoate biosynthesis	0.0005558643690939411	1	0.00010703072971173057	9	True
Coenzyme metabolism.chlorophyll metabolism.chlorophyll catabolism	0.005002779321845469	9	0.0006183997716677766	52	True
Secondary metabolism.terpenoid biosynthesis.isoprenyl diphosphate biosynthesis	0.0027793218454697055	5	0.00017838454951955095	15	True
Secondary metabolism.terpenoid biosynthesis.terpene biosynthesis	0.0016675931072818232	3	0.0008205689277899343	69	True
Secondary metabolism.phenolics biosynthesis.p-coumaroyl-CoA biosynthesis	0.0022234574763757642	4	0.0004519075254495291	38	True
Secondary metabolism.oxalate homeostasis.oxalyl-CoA synthetase *(OCS)	0.0027793218454697055	5	5.9461516506516985e-05	5	True
Redox homeostasis.reactive oxygen scavenging.glutathione peroxidase *(GPX1/2/++)	0.0005558643690939411	1	0.00013081533631433735	11	True
Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities	0.009449694274596998	17	0.0012962610598420703	109	True
Redox homeostasis.ascorbate-based redox regulation.monodehydroascorbate reductase *(MDAR)	0.0005558643690939411	1	0.00011892303301303397	10	True
Redox homeostasis.ascorbate-based redox regulation.glutathione reductase *(GR)	0.0011117287381878821	2	8.324612310912378e-05	7	True
Redox homeostasis.reactive electrophilic lipid homeostasis.oxylipin generation	0.0011117287381878821	2	0.00013081533631433735	11	True
Phytohormone action.abscisic acid.biosynthesis	0.0016675931072818232	3	0.0004519075254495291	38	True
Phytohormone action.abscisic acid.conjugation and degradation	0.0005558643690939411	1	0.0003805537056417087	32	True
Phytohormone action.auxin.perception and signal transduction	0.0016675931072818232	3	0.0019265531348111502	162	False
Phytohormone action.brassinosteroid.biosynthesis	0.0022234574763757642	4	0.00013081533631433735	11	True
Phytohormone action.brassinosteroid.perception and signal transduction	0.0027793218454697055	5	0.001141661116925126	96	True
Phytohormone action.cytokinin.perception and signal transduction	0.0011117287381878821	2	0.001438968699457711	121	False
Phytohormone action.cytokinin.conjugation and degradation	0.0005558643690939411	1	0.0002973075825325849	25	True
Phytohormone action.cytokinin.transport	0.0005558643690939411	1	4.756921320521359e-05	4	True
Phytohormone action.ethylene.biosynthesis	0.0038910505836575876	7	0.0003091998858338883	26	True
Phytohormone action.ethylene.perception and signal transduction	0.0016675931072818232	3	0.0007611074112834174	64	True
Phytohormone action.gibberellin.biosynthesis	0.0011117287381878821	2	0.0004756921320521359	40	True
Phytohormone action.jasmonic acid.biosynthesis	0.0022234574763757642	4	0.0005827228617638665	49	True
Phytohormone action.jasmonic acid.conjugation and degradation	0.005002779321845469	9	0.0003329844924364951	28	True
