Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.0015455950540958269	1	0.0030682142517362765	258	False
Photosynthesis.photophosphorylation.photosystem I	0.0015455950540958269	1	0.0004875844353534393	41	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.00463678516228748	3	0.001771953191894206	149	True
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.0030911901081916537	2	0.0006659689848729902	56	True
Carbohydrate metabolism.starch metabolism.biosynthesis	0.0015455950540958269	1	0.0009513842641042718	80	True
Amino acid metabolism.amino acid degradation.threonine degradation	0.00463678516228748	3	0.0002735229759299781	23	True
Lipid metabolism.fatty acid metabolism.plastidial fatty acid synthase (ptFAS) system	0.0015455950540958269	1	0.000808676624488631	68	True
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.0015455950540958269	1	0.0012486918466368567	105	True
Nucleotide metabolism.purines.salvage pathway	0.0015455950540958269	1	0.0003924460089430121	33	True
Coenzyme metabolism.iron-sulfur cluster assembly machinery.mitochondrial ISC system	0.0077279752704791345	5	0.0007254305013795071	61	True
Coenzyme metabolism.tetrapyrrole biosynthesis.protoporphyrin IX formation	0.0015455950540958269	1	0.00016649224621824755	14	True
Redox homeostasis.reactive oxygen scavenging.superoxide dismutase activities	0.0015455950540958269	1	0.0003567690990391019	30	True
Redox homeostasis.glutathione-based redox regulation.glutathione degradation	0.00463678516228748	3	0.0004519075254495291	38	True
Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities	0.0030911901081916537	2	0.0012962610598420703	109	True
Phytohormone action.abscisic acid.biosynthesis	0.0015455950540958269	1	0.0004519075254495291	38	True
Phytohormone action.auxin.perception and signal transduction	0.0061823802163833074	4	0.0019265531348111502	162	True
Chromatin organisation.chromatin structure.DNA wrapping	0.0015455950540958269	1	0.0014032917895538007	118	True
Chromatin organisation.epigenetic state regulation.RNA-directed DNA methylation (RdDM) pathway	0.0030911901081916537	2	0.0014032917895538007	118	True
Cell division.DNA replication.elongation	0.0015455950540958269	1	0.0011059842070212159	93	True
Cell division.DNA replication.organelle machinery	0.0015455950540958269	1	0.0010584149938160023	89	True
Cell division.cell cycle organisation.cell cycle control	0.0030911901081916537	2	0.0035320140804871087	297	False
Cell division.meiotic recombination.meiotic initiation	0.0077279752704791345	5	0.0002854152792312815	24	True
DNA damage response.homologous recombination repair (HR).BRCC regulatory holo-complex	0.0030911901081916537	2	0.0004756921320521359	40	True
DNA damage response.homologous recombination repair (HR).Smc5-Smc6 complex	0.00463678516228748	3	0.0003805537056417087	32	True
DNA damage response.nucleotide excision repair (NER).damage recognition	0.0015455950540958269	1	0.0005946151650651698	50	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription initiation	0.0061823802163833074	4	0.0010584149938160023	89	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription co-activation	0.00463678516228748	3	0.003258491104557131	274	True
RNA biosynthesis.DNA-binding transcriptional regulation.basic DNA-binding domain	0.0077279752704791345	5	0.009513842641042717	800	False
RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain	0.00463678516228748	3	0.0066477975454285985	559	False
RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain	0.0030911901081916537	2	0.011392826562648653	958	False
RNA biosynthesis.DNA-binding transcriptional regulation.beta-hairpin exposed by alpha/beta-scaffold structure	0.00927357032457496	6	0.010441442298544382	878	False
RNA biosynthesis.DNA-binding transcriptional regulation.undefined DNA-binding domain	0.00463678516228748	3	0.0031633526781467036	266	True
RNA processing.spliceosome-mediated pre-mRNA splicing.spliceosome-associated non-snRNP factor activities	0.0061823802163833074	4	0.002342783750356769	197	True
RNA processing.pre-RNA group-I/-II intron splicing.other RNA splicing factor activities	0.0030911901081916537	2	0.00021406145942346114	18	True
RNA processing.tRNA modification.N6-threonylcarbamoyladenosine modification	0.013910355486862442	9	0.0003805537056417087	32	True
RNA homeostasis.post-transcriptional regulator activities.CID-type posttranscriptional regulator activity	0.0015455950540958269	1	0.0009989534773094852	84	True
RNA homeostasis.post-transcriptional regulator activities.N6-methyladenosine-dependent regulation	0.0015455950540958269	1	0.0009513842641042718	80	True
RNA homeostasis.mRNA stress granule formation.assembly factor activity	0.0030911901081916537	2	0.0004162306155456189	35	True
Protein biosynthesis.ribosome biogenesis.small ribosomal subunit (SSU)	0.0015455950540958269	1	0.004947198173342213	416	False
Protein biosynthesis.aminoacyl-tRNA formation.glutamate-tRNA ligase	0.0030911901081916537	2	4.756921320521359e-05	4	True
Protein biosynthesis.translation elongation.eEF5 poly-P/G elongation factor activity	0.0015455950540958269	1	0.00021406145942346114	18	True
Protein biosynthesis.organellar translation machinery.mitochondrial ribosome biogenesis	0.0030911901081916537	2	0.002663875939491961	224	True
Protein modification.lipidation.glycophosphatidylinositol (GPI) anchor addition	0.0030911901081916537	2	0.001320045666444677	111	True
Protein modification.lipidation.Cys-linked prenylation	0.0030911901081916537	2	0.0004875844353534393	41	True
Protein modification.lipidation.protein de-S-acylation	0.0061823802163833074	4	0.0004519075254495291	38	True
Protein modification.phosphorylation.TKL protein kinase activities	0.00463678516228748	3	0.013664256493197602	1149	False
Protein modification.phosphorylation.CK protein kinase activities	0.0015455950540958269	1	0.0008443535343925411	71	True
Protein modification.phosphorylation.CAMK protein kinase activities	0.0015455950540958269	1	0.003603367900294929	303	False
Protein modification.phosphorylation.AGC protein kinase activities	0.0015455950540958269	1	0.0011178765103225193	94	True
Protein modification.dephosphorylation.protein tyrosine protein phosphatase activities	0.0015455950540958269	1	0.00020216915612215775	17	True
Protein homeostasis.protein quality control.cytosolic  Hsp70 chaperone system	0.0061823802163833074	4	0.0024498144800684995	206	True
Protein homeostasis.protein quality control.Hsp90 chaperone system	0.0077279752704791345	5	0.0010227380839120922	86	True
Protein homeostasis.ubiquitin-proteasome system.N-degron pathways	0.00463678516228748	3	0.0016768147654837788	141	True
Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation	0.00927357032457496	6	0.020169346399010562	1696	False
